<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILSBTC,D,20100719,000000,320.76,320.76,320.76,320.76,0,0
ILSBTC,D,20100720,000000,345.75,345.75,345.75,345.75,0,0
ILSBTC,D,20100721,000000,327.31,327.31,327.31,327.31,0,0
ILSBTC,D,20100722,000000,517.06,517.06,517.06,517.06,0,0
ILSBTC,D,20100723,000000,410.82,410.82,410.82,410.82,0,0
ILSBTC,D,20100726,000000,472.4,472.4,472.4,472.4,0,0
ILSBTC,D,20100727,000000,437.9,437.9,437.9,437.9,0,0
ILSBTC,D,20100728,000000,446.37,446.37,446.37,446.37,0,0
ILSBTC,D,20100729,000000,377.58,377.58,377.58,377.58,0,0
ILSBTC,D,20100730,000000,421.59,421.59,421.59,421.59,0,0
ILSBTC,D,20100802,000000,444.04,444.04,444.04,444.04,0,0
ILSBTC,D,20100803,000000,442.06,442.06,442.06,442.06,0,0
ILSBTC,D,20100804,000000,468.52,468.52,468.52,468.52,0,0
ILSBTC,D,20100805,000000,434.41,434.41,434.41,434.41,0,0
ILSBTC,D,20100806,000000,428.95,428.95,428.95,428.95,0,0
ILSBTC,D,20100809,000000,374.98,374.98,374.98,374.98,0,0
ILSBTC,D,20100810,000000,374.22,374.22,374.22,374.22,0,0
ILSBTC,D,20100811,000000,387.42,387.42,387.42,387.42,0,0
ILSBTC,D,20100812,000000,377.53,377.53,377.53,377.53,0,0
ILSBTC,D,20100813,000000,405.42,405.42,405.42,405.42,0,0
ILSBTC,D,20100816,000000,406.87,406.87,406.87,406.87,0,0
ILSBTC,D,20100817,000000,380.25,380.25,380.25,380.25,0,0
ILSBTC,D,20100818,000000,392.2,392.2,392.2,392.2,0,0
ILSBTC,D,20100819,000000,395.2,395.2,395.2,395.2,0,0
ILSBTC,D,20100820,000000,398.74,398.74,398.74,398.74,0,0
ILSBTC,D,20100823,000000,401.03,401.03,401.03,401.03,0,0
ILSBTC,D,20100824,000000,404.72,404.72,404.72,404.72,0,0
ILSBTC,D,20100825,000000,402.64,402.64,402.64,402.64,0,0
ILSBTC,D,20100826,000000,410.85,410.85,410.85,410.85,0,0
ILSBTC,D,20100827,000000,404.86,404.86,404.86,404.86,0,0
ILSBTC,D,20100830,000000,399.99,399.99,399.99,399.99,0,0
ILSBTC,D,20100831,000000,439.26,439.26,439.26,439.26,0,0
ILSBTC,D,20100901,000000,423.78,423.78,423.78,423.78,0,0
ILSBTC,D,20100902,000000,417.24,417.24,417.24,417.24,0,0
ILSBTC,D,20100903,000000,440.78,440.78,440.78,440.78,0,0
ILSBTC,D,20100906,000000,430,430,430,430,0,0
ILSBTC,D,20100907,000000,432.48,432.48,432.48,432.48,0,0
ILSBTC,D,20100908,000000,431.65,431.65,431.65,431.65,0,0
ILSBTC,D,20100909,000000,433.54,433.54,433.54,433.54,0,0
ILSBTC,D,20100910,000000,427.71,427.71,427.71,427.71,0,0
ILSBTC,D,20100913,000000,429.83,429.83,429.83,429.83,0,0
ILSBTC,D,20100914,000000,436.22,436.22,436.22,436.22,0,0
ILSBTC,D,20100915,000000,442.01,442.01,442.01,442.01,0,0
ILSBTC,D,20100916,000000,431.44,431.44,431.44,431.44,0,0
ILSBTC,D,20100917,000000,450.41,450.41,450.41,450.41,0,0
ILSBTC,D,20100920,000000,433.51,433.51,433.51,433.51,0,0
ILSBTC,D,20100921,000000,429.09,429.09,429.09,429.09,0,0
ILSBTC,D,20100922,000000,437.36,437.36,437.36,437.36,0,0
ILSBTC,D,20100923,000000,436.2,436.2,436.2,436.2,0,0
