<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILSTHB,D,19931025,000000,9.797,9.797,9.797,9.797,0,0
ILSTHB,D,19931026,000000,9.78,9.78,9.78,9.78,0,0
ILSTHB,D,19931027,000000,9.76,9.76,9.76,9.76,0,0
ILSTHB,D,19931028,000000,9.739,9.739,9.739,9.739,0,0
ILSTHB,D,19931029,000000,9.725,9.725,9.725,9.725,0,0
ILSTHB,D,19931102,000000,9.718,9.718,9.718,9.718,0,0
ILSTHB,D,19931103,000000,9.69,9.69,9.69,9.69,0,0
ILSTHB,D,19931104,000000,9.705,9.705,9.705,9.705,0,0
ILSTHB,D,19931105,000000,9.705,9.705,9.705,9.705,0,0
ILSTHB,D,19931108,000000,9.705,9.705,9.705,9.705,0,0
ILSTHB,D,19931109,000000,9.711,9.711,9.711,9.711,0,0
ILSTHB,D,19931110,000000,9.68,9.68,9.68,9.68,0,0
ILSTHB,D,19931112,000000,9.676,9.676,9.676,9.676,0,0
ILSTHB,D,19931115,000000,9.696,9.696,9.696,9.696,0,0
ILSTHB,D,19931116,000000,9.704,9.704,9.704,9.704,0,0
ILSTHB,D,19931117,000000,9.687,9.687,9.687,9.687,0,0
ILSTHB,D,19931118,000000,9.681,9.681,9.681,9.681,0,0
ILSTHB,D,19931119,000000,9.665,9.665,9.665,9.665,0,0
ILSTHB,D,19931122,000000,9.664,9.664,9.664,9.664,0,0
ILSTHB,D,19931123,000000,9.648,9.648,9.648,9.648,0,0
ILSTHB,D,19931124,000000,9.632,9.632,9.632,9.632,0,0
ILSTHB,D,19931125,000000,9.664,9.664,9.664,9.664,0,0
ILSTHB,D,19931126,000000,9.658,9.658,9.658,9.658,0,0
ILSTHB,D,19931129,000000,9.625,9.625,9.625,9.625,0,0
ILSTHB,D,19931130,000000,9.612,9.612,9.612,9.612,0,0
ILSTHB,D,19931201,000000,9.611,9.611,9.611,9.611,0,0
ILSTHB,D,19931202,000000,9.615,9.615,9.615,9.615,0,0
ILSTHB,D,19931203,000000,9.638,9.638,9.638,9.638,0,0
ILSTHB,D,19931206,000000,9.636,9.636,9.636,9.636,0,0
ILSTHB,D,19931207,000000,9.635,9.635,9.635,9.635,0,0
ILSTHB,D,19931208,000000,9.642,9.642,9.642,9.642,0,0
ILSTHB,D,19931209,000000,9.647,9.647,9.647,9.647,0,0
ILSTHB,D,19931210,000000,9.639,9.639,9.639,9.639,0,0
ILSTHB,D,19931213,000000,9.632,9.632,9.632,9.632,0,0
ILSTHB,D,19931214,000000,9.618,9.618,9.618,9.618,0,0
ILSTHB,D,19931215,000000,9.635,9.635,9.635,9.635,0,0
ILSTHB,D,19931216,000000,9.64,9.64,9.64,9.64,0,0
ILSTHB,D,19931217,000000,9.634,9.634,9.634,9.634,0,0
