<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILSXPT,D,19931025,000000,9.3535,9.3535,9.3535,9.3535,0,0
ILSXPT,D,19931026,000000,9.3611,9.3611,9.3611,9.3611,0,0
ILSXPT,D,19931027,000000,9.302,9.302,9.302,9.302,0,0
ILSXPT,D,19931028,000000,9.3378,9.3378,9.3378,9.3378,0,0
ILSXPT,D,19931029,000000,9.3395,9.3395,9.3395,9.3395,0,0
ILSXPT,D,19931102,000000,9.4175,9.4175,9.4175,9.4175,0,0
ILSXPT,D,19931103,000000,9.2689,9.2689,9.2689,9.2689,0,0
ILSXPT,D,19931104,000000,9.2479,9.2479,9.2479,9.2479,0,0
ILSXPT,D,19931105,000000,9.1525,9.1525,9.1525,9.1525,0,0
ILSXPT,D,19931108,000000,9.1959,9.1959,9.1959,9.1959,0,0
ILSXPT,D,19931109,000000,9.1565,9.1565,9.1565,9.1565,0,0
ILSXPT,D,19931110,000000,9.1285,9.1285,9.1285,9.1285,0,0
ILSXPT,D,19931112,000000,9.1828,9.1828,9.1828,9.1828,0,0
ILSXPT,D,19931115,000000,9.137,9.137,9.137,9.137,0,0
ILSXPT,D,19931116,000000,9.1721,9.1721,9.1721,9.1721,0,0
ILSXPT,D,19931117,000000,9.1562,9.1562,9.1562,9.1562,0,0
ILSXPT,D,19931118,000000,9.155,9.155,9.155,9.155,0,0
ILSXPT,D,19931119,000000,9.0849,9.0849,9.0849,9.0849,0,0
ILSXPT,D,19931122,000000,9.0517,9.0517,9.0517,9.0517,0,0
ILSXPT,D,19931123,000000,9.2068,9.2068,9.2068,9.2068,0,0
ILSXPT,D,19931124,000000,9.169,9.169,9.169,9.169,0,0
ILSXPT,D,19931125,000000,9.1968,9.1968,9.1968,9.1968,0,0
ILSXPT,D,19931126,000000,9.1765,9.1765,9.1765,9.1765,0,0
ILSXPT,D,19931129,000000,9.3813,9.3813,9.3813,9.3813,0,0
ILSXPT,D,19931130,000000,9.3324,9.3324,9.3324,9.3324,0,0
ILSXPT,D,19931201,000000,9.149,9.149,9.149,9.149,0,0
