<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRBRL,D,19950103,000000,2.6934,2.6934,2.6934,2.6934,0,0
INRBRL,D,19950104,000000,2.6944,2.6944,2.6944,2.6944,0,0
INRBRL,D,19950105,000000,2.6881,2.6881,2.6881,2.6881,0,0
INRBRL,D,19950106,000000,2.6789,2.6789,2.6789,2.6789,0,0
INRBRL,D,19950109,000000,2.6906,2.6906,2.6906,2.6906,0,0
INRBRL,D,19950110,000000,2.6996,2.6996,2.6996,2.6996,0,0
INRBRL,D,19950111,000000,2.713,2.713,2.713,2.713,0,0
INRBRL,D,19950112,000000,2.6946,2.6946,2.6946,2.6946,0,0
INRBRL,D,19950113,000000,2.7015,2.7015,2.7015,2.7015,0,0
INRBRL,D,19950116,000000,2.6934,2.6934,2.6934,2.6934,0,0
INRBRL,D,19950117,000000,2.6969,2.6969,2.6969,2.6969,0,0
INRBRL,D,19950118,000000,2.6973,2.6973,2.6973,2.6973,0,0
INRBRL,D,19950119,000000,2.7048,2.7048,2.7048,2.7048,0,0
INRBRL,D,19950120,000000,2.7036,2.7036,2.7036,2.7036,0,0
INRBRL,D,19950123,000000,2.7093,2.7093,2.7093,2.7093,0,0
INRBRL,D,19950124,000000,2.7129,2.7129,2.7129,2.7129,0,0
INRBRL,D,19950125,000000,2.7115,2.7115,2.7115,2.7115,0,0
INRBRL,D,19950126,000000,2.6932,2.6932,2.6932,2.6932,0,0
INRBRL,D,19950127,000000,2.69,2.69,2.69,2.69,0,0
INRBRL,D,19950130,000000,2.6966,2.6966,2.6966,2.6966,0,0
INRBRL,D,19950131,000000,2.6813,2.6813,2.6813,2.6813,0,0
INRBRL,D,19950201,000000,2.6848,2.6848,2.6848,2.6848,0,0
INRBRL,D,19950202,000000,2.6744,2.6744,2.6744,2.6744,0,0
INRBRL,D,19950203,000000,2.6741,2.6741,2.6741,2.6741,0,0
INRBRL,D,19950206,000000,2.6656,2.6656,2.6656,2.6656,0,0
