<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRBTC,D,20100719,000000,2626.52,2626.52,2626.52,2626.52,0,0
INRBTC,D,20100720,000000,2832.42,2832.42,2832.42,2832.42,0,0
INRBTC,D,20100721,000000,2679.68,2679.68,2679.68,2679.68,0,0
INRBTC,D,20100722,000000,4234.81,4234.81,4234.81,4234.81,0,0
INRBTC,D,20100723,000000,3376.83,3376.83,3376.83,3376.83,0,0
INRBTC,D,20100726,000000,3843.69,3843.69,3843.69,3843.69,0,0
INRBTC,D,20100727,000000,3576.21,3576.21,3576.21,3576.21,0,0
INRBTC,D,20100728,000000,3634.67,3634.67,3634.67,3634.67,0,0
INRBTC,D,20100729,000000,3067.82,3067.82,3067.82,3067.82,0,0
INRBTC,D,20100730,000000,3452.16,3452.16,3452.16,3452.16,0,0
INRBTC,D,20100802,000000,3646.08,3646.08,3646.08,3646.08,0,0
INRBTC,D,20100803,000000,3596.7,3596.7,3596.7,3596.7,0,0
INRBTC,D,20100804,000000,3815.86,3815.86,3815.86,3815.86,0,0
INRBTC,D,20100805,000000,3528.02,3528.02,3528.02,3528.02,0,0
INRBTC,D,20100806,000000,3505.93,3505.93,3505.93,3505.93,0,0
INRBTC,D,20100809,000000,3060.38,3060.38,3060.38,3060.38,0,0
INRBTC,D,20100810,000000,3060.96,3060.96,3060.96,3060.96,0,0
INRBTC,D,20100811,000000,3171.1,3171.1,3171.1,3171.1,0,0
INRBTC,D,20100812,000000,3070.08,3070.08,3070.08,3070.08,0,0
INRBTC,D,20100813,000000,3313.99,3313.99,3313.99,3313.99,0,0
INRBTC,D,20100816,000000,3285.5,3285.5,3285.5,3285.5,0,0
INRBTC,D,20100817,000000,3086.13,3086.13,3086.13,3086.13,0,0
INRBTC,D,20100818,000000,3164.97,3164.97,3164.97,3164.97,0,0
INRBTC,D,20100819,000000,3211.79,3211.79,3211.79,3211.79,0,0
INRBTC,D,20100820,000000,3276.87,3276.87,3276.87,3276.87,0,0
INRBTC,D,20100823,000000,3275.75,3275.75,3275.75,3275.75,0,0
INRBTC,D,20100824,000000,3298.73,3298.73,3298.73,3298.73,0,0
INRBTC,D,20100825,000000,3290.91,3290.91,3290.91,3290.91,0,0
INRBTC,D,20100826,000000,3337.16,3337.16,3337.16,3337.16,0,0
INRBTC,D,20100827,000000,3302.29,3302.29,3302.29,3302.29,0,0
INRBTC,D,20100830,000000,3260.6,3260.6,3260.6,3260.6,0,0
INRBTC,D,20100831,000000,3552.69,3552.69,3552.69,3552.69,0,0
INRBTC,D,20100901,000000,3415.11,3415.11,3415.11,3415.11,0,0
INRBTC,D,20100902,000000,3367.82,3367.82,3367.82,3367.82,0,0
INRBTC,D,20100903,000000,3551.9,3551.9,3551.9,3551.9,0,0
INRBTC,D,20100906,000000,3495.23,3495.23,3495.23,3495.23,0,0
INRBTC,D,20100907,000000,3499.68,3499.68,3499.68,3499.68,0,0
INRBTC,D,20100908,000000,3489.47,3489.47,3489.47,3489.47,0,0
INRBTC,D,20100909,000000,3507.12,3507.12,3507.12,3507.12,0,0
INRBTC,D,20100913,000000,3491.55,3491.55,3491.55,3491.55,0,0
INRBTC,D,20100914,000000,3545.16,3545.16,3545.16,3545.16,0,0
INRBTC,D,20100915,000000,3574.5,3574.5,3574.5,3574.5,0,0
INRBTC,D,20100916,000000,3489.79,3489.79,3489.79,3489.79,0,0
INRBTC,D,20100917,000000,3672.03,3672.03,3672.03,3672.03,0,0
INRBTC,D,20100920,000000,3528.15,3528.15,3528.15,3528.15,0,0
INRBTC,D,20100921,000000,3484.3,3484.3,3484.3,3484.3,0,0
INRBTC,D,20100922,000000,3519.93,3519.93,3519.93,3519.93,0,0
INRBTC,D,20100923,000000,3529.09,3529.09,3529.09,3529.09,0,0
INRBTC,D,20100924,000000,3586.39,3586.39,3586.39,3586.39,0,0
INRBTC,D,20100927,000000,3569.67,3569.67,3569.67,3569.67,0,0
INRBTC,D,20100928,000000,3604.95,3604.95,3604.95,3604.95,0,0
INRBTC,D,20100929,000000,3596.83,3596.83,3596.83,3596.83,0,0
INRBTC,D,20100930,000000,3607.15,3607.15,3607.15,3607.15,0,0
INRBTC,D,20101001,000000,3629.64,3629.64,3629.64,3629.64,0,0
INRBTC,D,20101004,000000,3649.11,3649.11,3649.11,3649.11,0,0
INRBTC,D,20101005,000000,3683,3683,3683,3683,0,0
INRBTC,D,20101006,000000,3576.64,3576.64,3576.64,3576.64,0,0
INRBTC,D,20101007,000000,3330.4,3330.4,3330.4,3330.4,0,0
INRBTC,D,20101008,000000,2609.5,2609.5,2609.5,2609.5,0,0
INRBTC,D,20101011,000000,2375.47,2375.47,2375.47,2375.47,0,0
INRBTC,D,20101012,000000,2373.95,2373.95,2373.95,2373.95,0,0
INRBTC,D,20101013,000000,2166.25,2166.25,2166.25,2166.25,0,0
INRBTC,D,20101014,000000,2217.41,2217.41,2217.41,2217.41,0,0
INRBTC,D,20101015,000000,2152.91,2152.91,2152.91,2152.91,0,0
INRBTC,D,20101018,000000,2221.55,2221.55,2221.55,2221.55,0,0
INRBTC,D,20101019,000000,2287.68,2287.68,2287.68,2287.68,0,0
INRBTC,D,20101020,000000,2305.35,2305.35,2305.35,2305.35,0,0
INRBTC,D,20101021,000000,2086.76,2086.76,2086.76,2086.76,0,0
INRBTC,D,20101022,000000,2194.03,2194.03,2194.03,2194.03,0,0
INRBTC,D,20101025,000000,1703.91,1703.91,1703.91,1703.91,0,0
INRBTC,D,20101026,000000,1488.9,1488.9,1488.9,1488.9,0,0
INRBTC,D,20101027,000000,1184.65,1184.65,1184.65,1184.65,0,0
INRBTC,D,20101028,000000,1302.37,1302.37,1302.37,1302.37,0,0
INRBTC,D,20101029,000000,1198.57,1198.57,1198.57,1198.57,0,0
INRBTC,D,20101101,000000,1146.27,1146.27,1146.27,1146.27,0,0
INRBTC,D,20101102,000000,1168.28,1168.28,1168.28,1168.28,0,0
INRBTC,D,20101103,000000,1169.49,1169.49,1169.49,1169.49,0,0
INRBTC,D,20101104,000000,983.5,983.5,983.5,983.5,0,0
INRBTC,D,20101108,000000,930.01,930.01,930.01,930.01,0,0
INRBTC,D,20101109,000000,1080.07,1080.07,1080.07,1080.07,0,0
INRBTC,D,20101110,000000,938.97,938.97,938.97,938.97,0,0
INRBTC,D,20101111,000000,997.44,997.44,997.44,997.44,0,0
INRBTC,D,20101112,000000,825.9,825.9,825.9,825.9,0,0
INRBTC,D,20101115,000000,828.94,828.94,828.94,828.94,0,0
INRBTC,D,20101116,000000,976.28,976.28,976.28,976.28,0,0
INRBTC,D,20101118,000000,823.62,823.62,823.62,823.62,0,0
INRBTC,D,20101119,000000,785.39,785.39,785.39,785.39,0,0
INRBTC,D,20101122,000000,752.01,752.01,752.01,752.01,0,0
INRBTC,D,20101123,000000,758.92,758.92,758.92,758.92,0,0
INRBTC,D,20101124,000000,779.86,779.86,779.86,779.86,0,0
INRBTC,D,20101125,000000,788.57,788.57,788.57,788.57,0,0
INRBTC,D,20101126,000000,769.49,769.49,769.49,769.49,0,0
INRBTC,D,20101129,000000,924.32,924.32,924.32,924.32,0,0
INRBTC,D,20101130,000000,1053.54,1053.54,1053.54,1053.54,0,0
INRBTC,D,20101201,000000,971.53,971.53,971.53,971.53,0,0
INRBTC,D,20101202,000000,870.45,870.45,870.45,870.45,0,0
INRBTC,D,20101203,000000,893.25,893.25,893.25,893.25,0,0
INRBTC,D,20101206,000000,1091.12,1091.12,1091.12,1091.12,0,0
INRBTC,D,20101207,000000,953.55,953.55,953.55,953.55,0,0
INRBTC,D,20101208,000000,928.3,928.3,928.3,928.3,0,0
INRBTC,D,20101209,000000,1104.65,1104.65,1104.65,1104.65,0,0
INRBTC,D,20101210,000000,1089.66,1089.66,1089.66,1089.66,0,0
INRBTC,D,20101213,000000,982.99,982.99,982.99,982.99,0,0
INRBTC,D,20101214,000000,896.51,896.51,896.51,896.51,0,0
INRBTC,D,20101215,000000,924.82,924.82,924.82,924.82,0,0
INRBTC,D,20101216,000000,883.6,883.6,883.6,883.6,0,0
INRBTC,D,20101220,000000,822.49,822.49,822.49,822.49,0,0
INRBTC,D,20101221,000000,918.69,918.69,918.69,918.69,0,0
INRBTC,D,20101222,000000,885.58,885.58,885.58,885.58,0,0
INRBTC,D,20101223,000000,891.75,891.75,891.75,891.75,0,0
INRBTC,D,20101224,000000,893.8,893.8,893.8,893.8,0,0
INRBTC,D,20101227,000000,830.03,830.03,830.03,830.03,0,0
INRBTC,D,20101228,000000,779.97,779.97,779.97,779.97,0,0
INRBTC,D,20101229,000000,745.87,745.87,745.87,745.87,0,0
INRBTC,D,20101230,000000,744.38,744.38,744.38,744.38,0,0
INRBTC,D,20101231,000000,745.54,745.54,745.54,745.54,0,0
INRBTC,D,20110103,000000,763.16,763.16,763.16,763.16,0,0
INRBTC,D,20110104,000000,744.12,744.12,744.12,744.12,0,0
INRBTC,D,20110105,000000,741.51,741.51,741.51,741.51,0,0
INRBTC,D,20110106,000000,736.68,736.68,736.68,736.68,0,0
INRBTC,D,20110107,000000,683.43,683.43,683.43,683.43,0,0
INRBTC,D,20110110,000000,676.56,676.56,676.56,676.56,0,0
INRBTC,D,20110111,000000,687.74,687.74,687.74,687.74,0,0
INRBTC,D,20110112,000000,700.75,700.75,700.75,700.75,0,0
INRBTC,D,20110113,000000,706.39,706.39,706.39,706.39,0,0
INRBTC,D,20110114,000000,551.4,551.4,551.4,551.4,0,0
INRBTC,D,20110117,000000,628.03,628.03,628.03,628.03,0,0
INRBTC,D,20110118,000000,701.18,701.18,701.18,701.18,0,0
INRBTC,D,20110119,000000,706.59,706.59,706.59,706.59,0,0
INRBTC,D,20110120,000000,561.09,561.09,561.09,561.09,0,0
INRBTC,D,20110121,000000,525.63,525.63,525.63,525.63,0,0
INRBTC,D,20110124,000000,525.31,525.31,525.31,525.31,0,0
INRBTC,D,20110125,000000,534.19,534.19,534.19,534.19,0,0
INRBTC,D,20110127,000000,520.54,520.54,520.54,520.54,0,0
INRBTC,D,20110128,000000,483.87,483.87,483.87,483.87,0,0
INRBTC,D,20110131,000000,421.28,421.28,421.28,421.28,0,0
INRBTC,D,20110201,000000,314.27,314.27,314.27,314.27,0,0
INRBTC,D,20110202,000000,305.15,305.15,305.15,305.15,0,0
INRBTC,D,20110203,000000,315.75,315.75,315.75,315.75,0,0
INRBTC,D,20110204,000000,270.71,270.71,270.71,270.71,0,0
INRBTC,D,20110207,000000,246.28,246.28,246.28,246.28,0,0
INRBTC,D,20110208,000000,240.73,240.73,240.73,240.73,0,0
INRBTC,D,20110209,000000,203.21,203.21,203.21,203.21,0,0
INRBTC,D,20110210,000000,223,223,223,223,0,0
INRBTC,D,20110211,000000,205.2,205.2,205.2,205.2,0,0
INRBTC,D,20110214,000000,205.6,205.6,205.6,205.6,0,0
INRBTC,D,20110215,000000,210.02,210.02,210.02,210.02,0,0
INRBTC,D,20110216,000000,211.15,211.15,211.15,211.15,0,0
INRBTC,D,20110217,000000,212.55,212.55,212.55,212.55,0,0
INRBTC,D,20110218,000000,248.26,248.26,248.26,248.26,0,0
INRBTC,D,20110221,000000,264.9,264.9,264.9,264.9,0,0
INRBTC,D,20110222,000000,253.71,253.71,253.71,253.71,0,0
INRBTC,D,20110223,000000,245.23,245.23,245.23,245.23,0,0
INRBTC,D,20110224,000000,220.8,220.8,220.8,220.8,0,0
INRBTC,D,20110225,000000,241.62,241.62,241.62,241.62,0,0
INRBTC,D,20110228,000000,257.03,257.03,257.03,257.03,0,0
INRBTC,D,20110301,000000,240.73,240.73,240.73,240.73,0,0
