<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INREGP,D,19951116,000000,9.774,9.774,9.774,9.774,0,0
INREGP,D,19951117,000000,9.801,9.801,9.801,9.801,0,0
INREGP,D,19951120,000000,9.738,9.738,9.738,9.738,0,0
INREGP,D,19951121,000000,9.765,9.765,9.765,9.765,0,0
INREGP,D,19951122,000000,9.762,9.762,9.762,9.762,0,0
INREGP,D,19951123,000000,9.767,9.767,9.767,9.767,0,0
INREGP,D,19951124,000000,9.749,9.749,9.749,9.749,0,0
INREGP,D,19951127,000000,9.737,9.737,9.737,9.737,0,0
INREGP,D,19951128,000000,9.74,9.74,9.74,9.74,0,0
INREGP,D,19951129,000000,9.74,9.74,9.74,9.74,0,0
INREGP,D,19951130,000000,9.742,9.742,9.742,9.742,0,0
INREGP,D,19951201,000000,9.734,9.734,9.734,9.734,0,0
INREGP,D,19951204,000000,9.736,9.736,9.736,9.736,0,0
INREGP,D,19951205,000000,9.751,9.751,9.751,9.751,0,0
INREGP,D,19951206,000000,9.761,9.761,9.761,9.761,0,0
INREGP,D,19951207,000000,9.757,9.757,9.757,9.757,0,0
INREGP,D,19951208,000000,9.703,9.703,9.703,9.703,0,0
INREGP,D,19951211,000000,9.733,9.733,9.733,9.733,0,0
INREGP,D,19951212,000000,9.718,9.718,9.718,9.718,0,0
INREGP,D,19951213,000000,9.697,9.697,9.697,9.697,0,0
INREGP,D,19951214,000000,9.695,9.695,9.695,9.695,0,0
INREGP,D,19951215,000000,9.697,9.697,9.697,9.697,0,0
INREGP,D,19951218,000000,9.69,9.69,9.69,9.69,0,0
INREGP,D,19951219,000000,9.692,9.692,9.692,9.692,0,0
INREGP,D,19951220,000000,9.693,9.693,9.693,9.693,0,0
INREGP,D,19951221,000000,9.679,9.679,9.679,9.679,0,0
INREGP,D,19951222,000000,9.69,9.69,9.69,9.69,0,0
INREGP,D,19951227,000000,9.672,9.672,9.672,9.672,0,0
INREGP,D,19951228,000000,9.644,9.644,9.644,9.644,0,0
INREGP,D,19951229,000000,9.638,9.638,9.638,9.638,0,0
INREGP,D,19960102,000000,9.632,9.632,9.632,9.632,0,0
INREGP,D,19960103,000000,9.628,9.628,9.628,9.628,0,0
INREGP,D,19960104,000000,9.599,9.599,9.599,9.599,0,0
INREGP,D,19960105,000000,9.57,9.57,9.57,9.57,0,0
INREGP,D,19960108,000000,9.456,9.456,9.456,9.456,0,0
INREGP,D,19960109,000000,9.4443,9.4443,9.4443,9.4443,0,0
INREGP,D,19960110,000000,9.4628,9.4628,9.4628,9.4628,0,0
INREGP,D,19960111,000000,9.4554,9.4554,9.4554,9.4554,0,0
INREGP,D,19960112,000000,9.4673,9.4673,9.4673,9.4673,0,0
INREGP,D,19960115,000000,9.4591,9.4591,9.4591,9.4591,0,0
INREGP,D,19960116,000000,9.4347,9.4347,9.4347,9.4347,0,0
INREGP,D,19960117,000000,9.4495,9.4495,9.4495,9.4495,0,0
INREGP,D,19960118,000000,9.4466,9.4466,9.4466,9.4466,0,0
INREGP,D,19960119,000000,9.4396,9.4396,9.4396,9.4396,0,0
INREGP,D,19960122,000000,9.4589,9.4589,9.4589,9.4589,0,0
INREGP,D,19960123,000000,9.4807,9.4807,9.4807,9.4807,0,0
INREGP,D,19960124,000000,9.4605,9.4605,9.4605,9.4605,0,0
INREGP,D,19960125,000000,9.4002,9.4002,9.4002,9.4002,0,0
INREGP,D,19960126,000000,9.3999,9.3999,9.3999,9.3999,0,0
INREGP,D,19960129,000000,9.4201,9.4201,9.4201,9.4201,0,0
INREGP,D,19960130,000000,9.3804,9.3804,9.3804,9.3804,0,0
INREGP,D,19960131,000000,9.2989,9.2989,9.2989,9.2989,0,0
INREGP,D,19960201,000000,9.2611,9.2611,9.2611,9.2611,0,0
INREGP,D,19960202,000000,9.236,9.236,9.236,9.236,0,0
INREGP,D,19960205,000000,8.9459,8.9459,8.9459,8.9459,0,0
INREGP,D,19960206,000000,9.0042,9.0042,9.0042,9.0042,0,0
INREGP,D,19960207,000000,9.0883,9.0883,9.0883,9.0883,0,0
INREGP,D,19960208,000000,9.1462,9.1462,9.1462,9.1462,0,0
INREGP,D,19960209,000000,9.162,9.162,9.162,9.162,0,0
INREGP,D,19960212,000000,9.1752,9.1752,9.1752,9.1752,0,0
INREGP,D,19960213,000000,9.2374,9.2374,9.2374,9.2374,0,0
INREGP,D,19960214,000000,9.2862,9.2862,9.2862,9.2862,0,0
INREGP,D,19960215,000000,9.2687,9.2687,9.2687,9.2687,0,0
INREGP,D,19960216,000000,9.2848,9.2848,9.2848,9.2848,0,0
INREGP,D,19960219,000000,9.2757,9.2757,9.2757,9.2757,0,0
INREGP,D,19960220,000000,9.271,9.271,9.271,9.271,0,0
INREGP,D,19960221,000000,9.2652,9.2652,9.2652,9.2652,0,0
INREGP,D,19960222,000000,9.2631,9.2631,9.2631,9.2631,0,0
INREGP,D,19960223,000000,9.3542,9.3542,9.3542,9.3542,0,0
INREGP,D,19960226,000000,9.4735,9.4735,9.4735,9.4735,0,0
INREGP,D,19960227,000000,9.525,9.525,9.525,9.525,0,0
INREGP,D,19960228,000000,9.659,9.659,9.659,9.659,0,0
