<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRHRK,D,19951023,000000,14.761,14.761,14.761,14.761,0,0
INRHRK,D,19951024,000000,14.779,14.779,14.779,14.779,0,0
INRHRK,D,19951025,000000,14.43,14.43,14.43,14.43,0,0
INRHRK,D,19951026,000000,14.477,14.477,14.477,14.477,0,0
INRHRK,D,19951027,000000,14.518,14.518,14.518,14.518,0,0
INRHRK,D,19951030,000000,14.778,14.778,14.778,14.778,0,0
INRHRK,D,19951031,000000,15.039,15.039,15.039,15.039,0,0
INRHRK,D,19951102,000000,15.132,15.132,15.132,15.132,0,0
INRHRK,D,19951103,000000,15.133,15.133,15.133,15.133,0,0
INRHRK,D,19951106,000000,15.101,15.101,15.101,15.101,0,0
INRHRK,D,19951107,000000,15.105,15.105,15.105,15.105,0,0
INRHRK,D,19951108,000000,15.218,15.218,15.218,15.218,0,0
INRHRK,D,19951109,000000,15.234,15.234,15.234,15.234,0,0
INRHRK,D,19951110,000000,15.224,15.224,15.224,15.224,0,0
INRHRK,D,19951113,000000,15.213,15.213,15.213,15.213,0,0
INRHRK,D,19951114,000000,15.207,15.207,15.207,15.207,0,0
INRHRK,D,19951115,000000,15.211,15.211,15.211,15.211,0,0
INRHRK,D,19951116,000000,15.111,15.111,15.111,15.111,0,0
INRHRK,D,19951117,000000,15.156,15.156,15.156,15.156,0,0
INRHRK,D,19951120,000000,15.105,15.105,15.105,15.105,0,0
INRHRK,D,19951121,000000,15.107,15.107,15.107,15.107,0,0
INRHRK,D,19951122,000000,15.1,15.1,15.1,15.1,0,0
INRHRK,D,19951123,000000,15.109,15.109,15.109,15.109,0,0
INRHRK,D,19951124,000000,15.083,15.083,15.083,15.083,0,0
INRHRK,D,19951127,000000,15.062,15.062,15.062,15.062,0,0
INRHRK,D,19951128,000000,15.075,15.075,15.075,15.075,0,0
INRHRK,D,19951129,000000,15.078,15.078,15.078,15.078,0,0
INRHRK,D,19951130,000000,15.19,15.19,15.19,15.19,0,0
INRHRK,D,19951201,000000,15.181,15.181,15.181,15.181,0,0
INRHRK,D,19951204,000000,15.344,15.344,15.344,15.344,0,0
INRHRK,D,19951205,000000,15.231,15.231,15.231,15.231,0,0
INRHRK,D,19951206,000000,15.246,15.246,15.246,15.246,0,0
INRHRK,D,19951207,000000,15.243,15.243,15.243,15.243,0,0
INRHRK,D,19951208,000000,15.202,15.202,15.202,15.202,0,0
INRHRK,D,19951211,000000,15.361,15.361,15.361,15.361,0,0
INRHRK,D,19951212,000000,15.34,15.34,15.34,15.34,0,0
INRHRK,D,19951213,000000,15.305,15.305,15.305,15.305,0,0
INRHRK,D,19951214,000000,15.3,15.3,15.3,15.3,0,0
INRHRK,D,19951215,000000,15.344,15.344,15.344,15.344,0,0
INRHRK,D,19951218,000000,15.335,15.335,15.335,15.335,0,0
INRHRK,D,19951219,000000,15.34,15.34,15.34,15.34,0,0
INRHRK,D,19951220,000000,15.342,15.342,15.342,15.342,0,0
INRHRK,D,19951221,000000,15.321,15.321,15.321,15.321,0,0
INRHRK,D,19951222,000000,15.337,15.337,15.337,15.337,0,0
INRHRK,D,19951227,000000,15.304,15.304,15.304,15.304,0,0
INRHRK,D,19951228,000000,15.077,15.077,15.077,15.077,0,0
INRHRK,D,19951229,000000,15.066,15.066,15.066,15.066,0,0
