<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRIDR,D,19931025,000000,66.913,66.913,66.913,66.913,0,0
INRIDR,D,19931026,000000,66.851,66.851,66.851,66.851,0,0
INRIDR,D,19931027,000000,66.809,66.809,66.809,66.809,0,0
INRIDR,D,19931028,000000,66.862,66.862,66.862,66.862,0,0
INRIDR,D,19931029,000000,66.882,66.882,66.882,66.882,0,0
INRIDR,D,19931102,000000,66.864,66.864,66.864,66.864,0,0
INRIDR,D,19931103,000000,66.811,66.811,66.811,66.811,0,0
INRIDR,D,19931104,000000,66.798,66.798,66.798,66.798,0,0
INRIDR,D,19931105,000000,66.797,66.797,66.797,66.797,0,0
INRIDR,D,19931108,000000,66.73,66.73,66.73,66.73,0,0
INRIDR,D,19931109,000000,66.671,66.671,66.671,66.671,0,0
INRIDR,D,19931110,000000,66.635,66.635,66.635,66.635,0,0
INRIDR,D,19931112,000000,66.597,66.597,66.597,66.597,0,0
INRIDR,D,19931115,000000,66.394,66.394,66.394,66.394,0,0
INRIDR,D,19931116,000000,66.533,66.533,66.533,66.533,0,0
INRIDR,D,19931117,000000,66.609,66.609,66.609,66.609,0,0
INRIDR,D,19931118,000000,66.688,66.688,66.688,66.688,0,0
INRIDR,D,19931119,000000,66.802,66.802,66.802,66.802,0,0
INRIDR,D,19931122,000000,66.988,66.988,66.988,66.988,0,0
INRIDR,D,19931123,000000,66.945,66.945,66.945,66.945,0,0
INRIDR,D,19931124,000000,66.82,66.82,66.82,66.82,0,0
INRIDR,D,19931125,000000,66.589,66.589,66.589,66.589,0,0
INRIDR,D,19931126,000000,66.772,66.772,66.772,66.772,0,0
INRIDR,D,19931129,000000,66.843,66.843,66.843,66.843,0,0
INRIDR,D,19931130,000000,66.918,66.918,66.918,66.918,0,0
INRIDR,D,19931201,000000,66.915,66.915,66.915,66.915,0,0
INRIDR,D,19931202,000000,66.953,66.953,66.953,66.953,0,0
INRIDR,D,19931203,000000,66.956,66.956,66.956,66.956,0,0
INRIDR,D,19931206,000000,66.936,66.936,66.936,66.936,0,0
INRIDR,D,19931207,000000,66.862,66.862,66.862,66.862,0,0
INRIDR,D,19931208,000000,66.878,66.878,66.878,66.878,0,0
INRIDR,D,19931209,000000,66.915,66.915,66.915,66.915,0,0
INRIDR,D,19931210,000000,66.919,66.919,66.919,66.919,0,0
INRIDR,D,19931213,000000,66.869,66.869,66.869,66.869,0,0
INRIDR,D,19931214,000000,66.919,66.919,66.919,66.919,0,0
INRIDR,D,19931215,000000,66.912,66.912,66.912,66.912,0,0
INRIDR,D,19931216,000000,66.921,66.921,66.921,66.921,0,0
INRIDR,D,19931217,000000,66.907,66.907,66.907,66.907,0,0
INRIDR,D,19931220,000000,66.857,66.857,66.857,66.857,0,0
INRIDR,D,19931221,000000,66.907,66.907,66.907,66.907,0,0
INRIDR,D,19931222,000000,66.915,66.915,66.915,66.915,0,0
INRIDR,D,19931223,000000,66.917,66.917,66.917,66.917,0,0
INRIDR,D,19931224,000000,66.9,66.9,66.9,66.9,0,0
INRIDR,D,19931227,000000,66.919,66.919,66.919,66.919,0,0
