<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRXDR,D,19910102,000000,3.0891,3.0891,3.0891,3.0891,0,0
INRXDR,D,19910103,000000,3.0911,3.0911,3.0911,3.0911,0,0
INRXDR,D,19910104,000000,3.11,3.11,3.11,3.11,0,0
INRXDR,D,19910107,000000,3.1306,3.1306,3.1306,3.1306,0,0
INRXDR,D,19910108,000000,3.1285,3.1285,3.1285,3.1285,0,0
INRXDR,D,19910109,000000,3.0899,3.0899,3.0899,3.0899,0,0
INRXDR,D,19910110,000000,3.1074,3.1074,3.1074,3.1074,0,0
INRXDR,D,19910111,000000,3.1061,3.1061,3.1061,3.1061,0,0
INRXDR,D,19910114,000000,3.1091,3.1091,3.1091,3.1091,0,0
INRXDR,D,19910115,000000,3.0983,3.0983,3.0983,3.0983,0,0
INRXDR,D,19910116,000000,3.0946,3.0946,3.0946,3.0946,0,0
INRXDR,D,19910117,000000,3.0646,3.0646,3.0646,3.0646,0,0
INRXDR,D,19910118,000000,3.0529,3.0529,3.0529,3.0529,0,0
INRXDR,D,19910121,000000,3.0351,3.0351,3.0351,3.0351,0,0
INRXDR,D,19910122,000000,3.0353,3.0353,3.0353,3.0353,0,0
INRXDR,D,19910123,000000,3.0314,3.0314,3.0314,3.0314,0,0
INRXDR,D,19910124,000000,3.0219,3.0219,3.0219,3.0219,0,0
INRXDR,D,19910125,000000,3.0327,3.0327,3.0327,3.0327,0,0
INRXDR,D,19910128,000000,3.03,3.03,3.03,3.03,0,0
INRXDR,D,19910129,000000,3.0187,3.0187,3.0187,3.0187,0,0
INRXDR,D,19910130,000000,3.0235,3.0235,3.0235,3.0235,0,0
INRXDR,D,19910131,000000,2.9914,2.9914,2.9914,2.9914,0,0
INRXDR,D,19910201,000000,2.9757,2.9757,2.9757,2.9757,0,0
INRXDR,D,19910204,000000,2.9718,2.9718,2.9718,2.9718,0,0
INRXDR,D,19910205,000000,2.972,2.972,2.972,2.972,0,0
INRXDR,D,19910206,000000,2.9561,2.9561,2.9561,2.9561,0,0
INRXDR,D,19910207,000000,2.9555,2.9555,2.9555,2.9555,0,0
INRXDR,D,19910208,000000,2.9529,2.9529,2.9529,2.9529,0,0
INRXDR,D,19910211,000000,2.9292,2.9292,2.9292,2.9292,0,0
INRXDR,D,19910212,000000,2.9368,2.9368,2.9368,2.9368,0,0
INRXDR,D,19910213,000000,2.9428,2.9428,2.9428,2.9428,0,0
INRXDR,D,19910214,000000,2.9532,2.9532,2.9532,2.9532,0,0
INRXDR,D,19910215,000000,2.9499,2.9499,2.9499,2.9499,0,0
INRXDR,D,19910218,000000,2.941,2.941,2.941,2.941,0,0
INRXDR,D,19910219,000000,2.9384,2.9384,2.9384,2.9384,0,0
INRXDR,D,19910220,000000,2.9337,2.9337,2.9337,2.9337,0,0
INRXDR,D,19910221,000000,2.9201,2.9201,2.9201,2.9201,0,0
INRXDR,D,19910222,000000,2.9422,2.9422,2.9422,2.9422,0,0
INRXDR,D,19910225,000000,2.9601,2.9601,2.9601,2.9601,0,0
INRXDR,D,19910226,000000,2.9569,2.9569,2.9569,2.9569,0,0
INRXDR,D,19910227,000000,2.9569,2.9569,2.9569,2.9569,0,0
INRXDR,D,19910228,000000,2.9634,2.9634,2.9634,2.9634,0,0
INRXDR,D,19910301,000000,2.9787,2.9787,2.9787,2.9787,0,0
INRXDR,D,19910304,000000,2.982,2.982,2.982,2.982,0,0
INRXDR,D,19910305,000000,2.9792,2.9792,2.9792,2.9792,0,0
INRXDR,D,19910306,000000,2.9894,2.9894,2.9894,2.9894,0,0
INRXDR,D,19910307,000000,2.9989,2.9989,2.9989,2.9989,0,0
INRXDR,D,19910308,000000,3.0053,3.0053,3.0053,3.0053,0,0
INRXDR,D,19910311,000000,3.0254,3.0254,3.0254,3.0254,0,0
INRXDR,D,19910312,000000,3.0065,3.0065,3.0065,3.0065,0,0
INRXDR,D,19910313,000000,3.0096,3.0096,3.0096,3.0096,0,0
INRXDR,D,19910314,000000,3.0088,3.0088,3.0088,3.0088,0,0
