<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRXPT,D,19840109,000000,252.98,252.98,252.98,252.98,0,0
INRXPT,D,19840116,000000,251.64,251.64,251.64,251.64,0,0
INRXPT,D,19840123,000000,252.62,252.62,252.62,252.62,0,0
INRXPT,D,19840130,000000,243.53,243.53,243.53,243.53,0,0
INRXPT,D,19840206,000000,241.41,241.41,241.41,241.41,0,0
INRXPT,D,19840213,000000,244.26,244.26,244.26,244.26,0,0
INRXPT,D,19840220,000000,246.37,246.37,246.37,246.37,0,0
INRXPT,D,19840301,000000,233.62,233.62,233.62,233.62,0,0
INRXPT,D,19840305,000000,228.93,228.93,228.93,228.93,0,0
INRXPT,D,19840312,000000,237.31,237.31,237.31,237.31,0,0
INRXPT,D,19840319,000000,237.57,237.57,237.57,237.57,0,0
INRXPT,D,19840326,000000,234.48,234.48,234.48,234.48,0,0
INRXPT,D,19840402,000000,239.62,239.62,239.62,239.62,0,0
INRXPT,D,19840409,000000,235.92,235.92,235.92,235.92,0,0
INRXPT,D,19840416,000000,237.13,237.13,237.13,237.13,0,0
INRXPT,D,19840424,000000,227.67,227.67,227.67,227.67,0,0
INRXPT,D,19840502,000000,237.4,237.4,237.4,237.4,0,0
INRXPT,D,19840507,000000,238.83,238.83,238.83,238.83,0,0
INRXPT,D,19840514,000000,236.34,236.34,236.34,236.34,0,0
INRXPT,D,19840521,000000,230.95,230.95,230.95,230.95,0,0
INRXPT,D,19840528,000000,230.72,230.72,230.72,230.72,0,0
INRXPT,D,19840604,000000,228.24,228.24,228.24,228.24,0,0
INRXPT,D,19840611,000000,241.8,241.8,241.8,241.8,0,0
INRXPT,D,19840618,000000,235.59,235.59,235.59,235.59,0,0
INRXPT,D,19840625,000000,240.59,240.59,240.59,240.59,0,0
INRXPT,D,19840702,000000,238.97,238.97,238.97,238.97,0,0
INRXPT,D,19840709,000000,249.95,249.95,249.95,249.95,0,0
INRXPT,D,19840716,000000,253.47,253.47,253.47,253.47,0,0
INRXPT,D,19840723,000000,263.39,263.39,263.39,263.39,0,0
INRXPT,D,19840730,000000,264.04,264.04,264.04,264.04,0,0
INRXPT,D,19840806,000000,258.64,258.64,258.64,258.64,0,0
INRXPT,D,19840813,000000,258.64,258.64,258.64,258.64,0,0
INRXPT,D,19840820,000000,258.19,258.19,258.19,258.19,0,0
INRXPT,D,19840827,000000,255.08,255.08,255.08,255.08,0,0
INRXPT,D,19840901,000000,255.43,255.43,255.43,255.43,0,0
INRXPT,D,19840910,000000,263.41,263.41,263.41,263.41,0,0
INRXPT,D,19840917,000000,269.64,269.64,269.64,269.64,0,0
INRXPT,D,19840924,000000,257.76,257.76,257.76,257.76,0,0
INRXPT,D,19841001,000000,258.2,258.2,258.2,258.2,0,0
INRXPT,D,19841008,000000,261.05,261.05,261.05,261.05,0,0
INRXPT,D,19841015,000000,253.61,253.61,253.61,253.61,0,0
INRXPT,D,19841022,000000,254.62,254.62,254.62,254.62,0,0
INRXPT,D,19841029,000000,261.38,261.38,261.38,261.38,0,0
INRXPT,D,19841105,000000,246.33,246.33,246.33,246.33,0,0
INRXPT,D,19841112,000000,250.5,250.5,250.5,250.5,0,0
INRXPT,D,19841119,000000,260.14,260.14,260.14,260.14,0,0
INRXPT,D,19841126,000000,262.61,262.61,262.61,262.61,0,0
INRXPT,D,19841201,000000,260.27,260.27,260.27,260.27,0,0
INRXPT,D,19841210,000000,261.84,261.84,261.84,261.84,0,0
INRXPT,D,19841217,000000,275.24,275.24,275.24,275.24,0,0
INRXPT,D,19841224,000000,275.51,275.51,275.51,275.51,0,0
