<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKAUD,D,19951023,000000,2.0873,2.0873,2.0873,2.0873,0,0
ISKAUD,D,19951024,000000,2.087,2.087,2.087,2.087,0,0
ISKAUD,D,19951025,000000,2.0795,2.0795,2.0795,2.0795,0,0
ISKAUD,D,19951026,000000,2.0601,2.0601,2.0601,2.0601,0,0
ISKAUD,D,19951027,000000,2.0707,2.0707,2.0707,2.0707,0,0
ISKAUD,D,19951030,000000,2.0407,2.0407,2.0407,2.0407,0,0
ISKAUD,D,19951031,000000,2.04,2.04,2.04,2.04,0,0
ISKAUD,D,19951102,000000,2.0372,2.0372,2.0372,2.0372,0,0
ISKAUD,D,19951103,000000,2.0385,2.0385,2.0385,2.0385,0,0
ISKAUD,D,19951106,000000,2.051,2.051,2.051,2.051,0,0
ISKAUD,D,19951107,000000,2.0642,2.0642,2.0642,2.0642,0,0
ISKAUD,D,19951108,000000,2.0641,2.0641,2.0641,2.0641,0,0
ISKAUD,D,19951109,000000,2.0936,2.0936,2.0936,2.0936,0,0
ISKAUD,D,19951110,000000,2.099,2.099,2.099,2.099,0,0
ISKAUD,D,19951113,000000,2.1038,2.1038,2.1038,2.1038,0,0
ISKAUD,D,19951114,000000,2.083,2.083,2.083,2.083,0,0
ISKAUD,D,19951115,000000,2.1072,2.1072,2.1072,2.1072,0,0
ISKAUD,D,19951116,000000,2.1014,2.1014,2.1014,2.1014,0,0
ISKAUD,D,19951117,000000,2.1001,2.1001,2.1001,2.1001,0,0
ISKAUD,D,19951120,000000,2.078,2.078,2.078,2.078,0,0
ISKAUD,D,19951121,000000,2.0822,2.0822,2.0822,2.0822,0,0
ISKAUD,D,19951122,000000,2.0932,2.0932,2.0932,2.0932,0,0
ISKAUD,D,19951123,000000,2.1038,2.1038,2.1038,2.1038,0,0
ISKAUD,D,19951124,000000,2.099,2.099,2.099,2.099,0,0
ISKAUD,D,19951127,000000,2.0898,2.0898,2.0898,2.0898,0,0
ISKAUD,D,19951128,000000,2.0495,2.0495,2.0495,2.0495,0,0
ISKAUD,D,19951129,000000,2.045,2.045,2.045,2.045,0,0
ISKAUD,D,19951130,000000,2.0618,2.0618,2.0618,2.0618,0,0
ISKAUD,D,19951201,000000,2.0579,2.0579,2.0579,2.0579,0,0
ISKAUD,D,19951204,000000,2.063,2.063,2.063,2.063,0,0
ISKAUD,D,19951205,000000,2.0792,2.0792,2.0792,2.0792,0,0
