<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKCLP,D,19951023,000000,6.3881,6.3881,6.3881,6.3881,0,0
ISKCLP,D,19951024,000000,6.3452,6.3452,6.3452,6.3452,0,0
ISKCLP,D,19951025,000000,6.4013,6.4013,6.4013,6.4013,0,0
ISKCLP,D,19951026,000000,6.4655,6.4655,6.4655,6.4655,0,0
ISKCLP,D,19951027,000000,6.4846,6.4846,6.4846,6.4846,0,0
ISKCLP,D,19951030,000000,6.4439,6.4439,6.4439,6.4439,0,0
ISKCLP,D,19951031,000000,6.4407,6.4407,6.4407,6.4407,0,0
ISKCLP,D,19951102,000000,6.4281,6.4281,6.4281,6.4281,0,0
ISKCLP,D,19951103,000000,6.446,6.446,6.446,6.446,0,0
ISKCLP,D,19951106,000000,6.4573,6.4573,6.4573,6.4573,0,0
ISKCLP,D,19951107,000000,6.4048,6.4048,6.4048,6.4048,0,0
ISKCLP,D,19951108,000000,6.3887,6.3887,6.3887,6.3887,0,0
ISKCLP,D,19951109,000000,6.3683,6.3683,6.3683,6.3683,0,0
ISKCLP,D,19951110,000000,6.4159,6.4159,6.4159,6.4159,0,0
ISKCLP,D,19951113,000000,6.3373,6.3373,6.3373,6.3373,0,0
ISKCLP,D,19951114,000000,6.2622,6.2622,6.2622,6.2622,0,0
ISKCLP,D,19951115,000000,6.2957,6.2957,6.2957,6.2957,0,0
ISKCLP,D,19951116,000000,6.2881,6.2881,6.2881,6.2881,0,0
ISKCLP,D,19951117,000000,6.3303,6.3303,6.3303,6.3303,0,0
ISKCLP,D,19951120,000000,6.3394,6.3394,6.3394,6.3394,0,0
ISKCLP,D,19951121,000000,6.3452,6.3452,6.3452,6.3452,0,0
ISKCLP,D,19951122,000000,6.3708,6.3708,6.3708,6.3708,0,0
ISKCLP,D,19951123,000000,6.3908,6.3908,6.3908,6.3908,0,0
ISKCLP,D,19951124,000000,6.4483,6.4483,6.4483,6.4483,0,0
ISKCLP,D,19951127,000000,6.409,6.409,6.409,6.409,0,0
ISKCLP,D,19951128,000000,6.3585,6.3585,6.3585,6.3585,0,0
ISKCLP,D,19951129,000000,6.3255,6.3255,6.3255,6.3255,0,0
ISKCLP,D,19951130,000000,6.3568,6.3568,6.3568,6.3568,0,0
ISKCLP,D,19951201,000000,6.3071,6.3071,6.3071,6.3071,0,0
ISKCLP,D,19951204,000000,6.3071,6.3071,6.3071,6.3071,0,0
ISKCLP,D,19951205,000000,6.3043,6.3043,6.3043,6.3043,0,0
ISKCLP,D,19951206,000000,6.2767,6.2767,6.2767,6.2767,0,0
ISKCLP,D,19951207,000000,6.295,6.295,6.295,6.295,0,0
ISKCLP,D,19951208,000000,6.2809,6.2809,6.2809,6.2809,0,0
ISKCLP,D,19951211,000000,6.2805,6.2805,6.2805,6.2805,0,0
ISKCLP,D,19951212,000000,6.2726,6.2726,6.2726,6.2726,0,0
