<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKHKD,D,19951023,000000,12.084,12.084,12.084,12.084,0,0
ISKHKD,D,19951024,000000,12.09,12.09,12.09,12.09,0,0
ISKHKD,D,19951025,000000,12.068,12.068,12.068,12.068,0,0
ISKHKD,D,19951026,000000,12.062,12.062,12.062,12.062,0,0
ISKHKD,D,19951027,000000,12.076,12.076,12.076,12.076,0,0
ISKHKD,D,19951030,000000,11.986,11.986,11.986,11.986,0,0
ISKHKD,D,19951031,000000,12,12,12,12,0,0
ISKHKD,D,19951102,000000,11.952,11.952,11.952,11.952,0,0
ISKHKD,D,19951103,000000,11.936,11.936,11.936,11.936,0,0
ISKHKD,D,19951106,000000,11.997,11.997,11.997,11.997,0,0
ISKHKD,D,19951107,000000,11.983,11.983,11.983,11.983,0,0
ISKHKD,D,19951108,000000,11.986,11.986,11.986,11.986,0,0
ISKHKD,D,19951109,000000,11.956,11.956,11.956,11.956,0,0
ISKHKD,D,19951110,000000,12.019,12.019,12.019,12.019,0,0
ISKHKD,D,19951113,000000,12.015,12.015,12.015,12.015,0,0
ISKHKD,D,19951114,000000,11.955,11.955,11.955,11.955,0,0
ISKHKD,D,19951115,000000,12.027,12.027,12.027,12.027,0,0
ISKHKD,D,19951116,000000,11.997,11.997,11.997,11.997,0,0
ISKHKD,D,19951117,000000,12.003,12.003,12.003,12.003,0,0
ISKHKD,D,19951120,000000,11.953,11.953,11.953,11.953,0,0
ISKHKD,D,19951121,000000,11.989,11.989,11.989,11.989,0,0
ISKHKD,D,19951122,000000,12.002,12.002,12.002,12.002,0,0
ISKHKD,D,19951123,000000,12.005,12.005,12.005,12.005,0,0
ISKHKD,D,19951124,000000,11.995,11.995,11.995,11.995,0,0
ISKHKD,D,19951127,000000,11.951,11.951,11.951,11.951,0,0
ISKHKD,D,19951128,000000,11.877,11.877,11.877,11.877,0,0
ISKHKD,D,19951129,000000,11.862,11.862,11.862,11.862,0,0
ISKHKD,D,19951130,000000,11.869,11.869,11.869,11.869,0,0
ISKHKD,D,19951201,000000,11.795,11.795,11.795,11.795,0,0
ISKHKD,D,19951204,000000,11.797,11.797,11.797,11.797,0,0
ISKHKD,D,19951205,000000,11.85,11.85,11.85,11.85,0,0
ISKHKD,D,19951206,000000,11.858,11.858,11.858,11.858,0,0
ISKHKD,D,19951207,000000,11.826,11.826,11.826,11.826,0,0
ISKHKD,D,19951208,000000,11.804,11.804,11.804,11.804,0,0
ISKHKD,D,19951211,000000,11.806,11.806,11.806,11.806,0,0
ISKHKD,D,19951212,000000,11.791,11.791,11.791,11.791,0,0
ISKHKD,D,19951213,000000,11.769,11.769,11.769,11.769,0,0
ISKHKD,D,19951214,000000,11.773,11.773,11.773,11.773,0,0
ISKHKD,D,19951215,000000,11.813,11.813,11.813,11.813,0,0
ISKHKD,D,19951218,000000,11.827,11.827,11.827,11.827,0,0
ISKHKD,D,19951219,000000,11.838,11.838,11.838,11.838,0,0
ISKHKD,D,19951220,000000,11.834,11.834,11.834,11.834,0,0
ISKHKD,D,19951221,000000,11.839,11.839,11.839,11.839,0,0
ISKHKD,D,19951222,000000,11.835,11.835,11.835,11.835,0,0
ISKHKD,D,19951227,000000,11.861,11.861,11.861,11.861,0,0
ISKHKD,D,19951228,000000,11.871,11.871,11.871,11.871,0,0
ISKHKD,D,19951229,000000,11.858,11.858,11.858,11.858,0,0
ISKHKD,D,19960102,000000,11.851,11.851,11.851,11.851,0,0
ISKHKD,D,19960103,000000,11.852,11.852,11.852,11.852,0,0
ISKHKD,D,19960104,000000,11.857,11.857,11.857,11.857,0,0
ISKHKD,D,19960105,000000,11.79,11.79,11.79,11.79,0,0
ISKHKD,D,19960108,000000,11.819,11.819,11.819,11.819,0,0
ISKHKD,D,19960109,000000,11.8,11.8,11.8,11.8,0,0
ISKHKD,D,19960110,000000,11.813,11.813,11.813,11.813,0,0
ISKHKD,D,19960111,000000,11.816,11.816,11.816,11.816,0,0
ISKHKD,D,19960112,000000,11.794,11.794,11.794,11.794,0,0
ISKHKD,D,19960115,000000,11.791,11.791,11.791,11.791,0,0
ISKHKD,D,19960116,000000,11.732,11.732,11.732,11.732,0,0
ISKHKD,D,19960117,000000,11.73,11.73,11.73,11.73,0,0
ISKHKD,D,19960118,000000,11.673,11.673,11.673,11.673,0,0
ISKHKD,D,19960119,000000,11.62,11.62,11.62,11.62,0,0
ISKHKD,D,19960122,000000,11.594,11.594,11.594,11.594,0,0
ISKHKD,D,19960123,000000,11.594,11.594,11.594,11.594,0,0
ISKHKD,D,19960124,000000,11.574,11.574,11.574,11.574,0,0
ISKHKD,D,19960125,000000,11.6,11.6,11.6,11.6,0,0
ISKHKD,D,19960126,000000,11.545,11.545,11.545,11.545,0,0
ISKHKD,D,19960129,000000,11.523,11.523,11.523,11.523,0,0
ISKHKD,D,19960130,000000,11.551,11.551,11.551,11.551,0,0
ISKHKD,D,19960131,000000,11.525,11.525,11.525,11.525,0,0
ISKHKD,D,19960201,000000,11.538,11.538,11.538,11.538,0,0
ISKHKD,D,19960202,000000,11.551,11.551,11.551,11.551,0,0
ISKHKD,D,19960205,000000,11.617,11.617,11.617,11.617,0,0
ISKHKD,D,19960206,000000,11.66,11.66,11.66,11.66,0,0
ISKHKD,D,19960207,000000,11.629,11.629,11.629,11.629,0,0
ISKHKD,D,19960208,000000,11.598,11.598,11.598,11.598,0,0
ISKHKD,D,19960209,000000,11.612,11.612,11.612,11.612,0,0
ISKHKD,D,19960212,000000,11.624,11.624,11.624,11.624,0,0
ISKHKD,D,19960213,000000,11.618,11.618,11.618,11.618,0,0
ISKHKD,D,19960214,000000,11.639,11.639,11.639,11.639,0,0
ISKHKD,D,19960215,000000,11.661,11.661,11.661,11.661,0,0
ISKHKD,D,19960216,000000,11.663,11.663,11.663,11.663,0,0
ISKHKD,D,19960219,000000,11.669,11.669,11.669,11.669,0,0
ISKHKD,D,19960220,000000,11.718,11.718,11.718,11.718,0,0
ISKHKD,D,19960221,000000,11.734,11.734,11.734,11.734,0,0
ISKHKD,D,19960222,000000,11.742,11.742,11.742,11.742,0,0
ISKHKD,D,19960223,000000,11.73,11.73,11.73,11.73,0,0
ISKHKD,D,19960226,000000,11.786,11.786,11.786,11.786,0,0
ISKHKD,D,19960227,000000,11.766,11.766,11.766,11.766,0,0
ISKHKD,D,19960228,000000,11.749,11.749,11.749,11.749,0,0
ISKHKD,D,19960229,000000,11.696,11.696,11.696,11.696,0,0
ISKHKD,D,19960301,000000,11.635,11.635,11.635,11.635,0,0
ISKHKD,D,19960304,000000,11.656,11.656,11.656,11.656,0,0
ISKHKD,D,19960305,000000,11.64,11.64,11.64,11.64,0,0
ISKHKD,D,19960306,000000,11.647,11.647,11.647,11.647,0,0
ISKHKD,D,19960307,000000,11.619,11.619,11.619,11.619,0,0
ISKHKD,D,19960308,000000,11.647,11.647,11.647,11.647,0,0
ISKHKD,D,19960311,000000,11.624,11.624,11.624,11.624,0,0
ISKHKD,D,19960312,000000,11.617,11.617,11.617,11.617,0,0
ISKHKD,D,19960313,000000,11.663,11.663,11.663,11.663,0,0
ISKHKD,D,19960314,000000,11.668,11.668,11.668,11.668,0,0
ISKHKD,D,19960315,000000,11.667,11.667,11.667,11.667,0,0
ISKHKD,D,19960318,000000,11.677,11.677,11.677,11.677,0,0
ISKHKD,D,19960319,000000,11.664,11.664,11.664,11.664,0,0
ISKHKD,D,19960320,000000,11.695,11.695,11.695,11.695,0,0
ISKHKD,D,19960321,000000,11.689,11.689,11.689,11.689,0,0
ISKHKD,D,19960322,000000,11.663,11.663,11.663,11.663,0,0
ISKHKD,D,19960325,000000,11.674,11.674,11.674,11.674,0,0
ISKHKD,D,19960326,000000,11.685,11.685,11.685,11.685,0,0
ISKHKD,D,19960327,000000,11.644,11.644,11.644,11.644,0,0
ISKHKD,D,19960328,000000,11.633,11.633,11.633,11.633,0,0
ISKHKD,D,19960329,000000,11.678,11.678,11.678,11.678,0,0
ISKHKD,D,19960401,000000,11.656,11.656,11.656,11.656,0,0
