<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKMXN,D,19951023,000000,10.428,10.428,10.428,10.428,0,0
ISKMXN,D,19951024,000000,10.569,10.569,10.569,10.569,0,0
ISKMXN,D,19951025,000000,10.587,10.587,10.587,10.587,0,0
ISKMXN,D,19951026,000000,10.83,10.83,10.83,10.83,0,0
ISKMXN,D,19951027,000000,11.08,11.08,11.08,11.08,0,0
ISKMXN,D,19951030,000000,10.704,10.704,10.704,10.704,0,0
ISKMXN,D,19951031,000000,11.068,11.068,11.068,11.068,0,0
ISKMXN,D,19951102,000000,11.307,11.307,11.307,11.307,0,0
ISKMXN,D,19951103,000000,11.8,11.8,11.8,11.8,0,0
ISKMXN,D,19951106,000000,11.379,11.379,11.379,11.379,0,0
ISKMXN,D,19951107,000000,11.62,11.62,11.62,11.62,0,0
ISKMXN,D,19951108,000000,12.201,12.201,12.201,12.201,0,0
ISKMXN,D,19951109,000000,12.491,12.491,12.491,12.491,0,0
ISKMXN,D,19951110,000000,11.89,11.89,11.89,11.89,0,0
ISKMXN,D,19951113,000000,11.885,11.885,11.885,11.885,0,0
ISKMXN,D,19951114,000000,12.314,12.314,12.314,12.314,0,0
ISKMXN,D,19951115,000000,12.287,12.287,12.287,12.287,0,0
ISKMXN,D,19951116,000000,12.052,12.052,12.052,12.052,0,0
ISKMXN,D,19951117,000000,12.044,12.044,12.044,12.044,0,0
ISKMXN,D,19951120,000000,11.897,11.897,11.897,11.897,0,0
ISKMXN,D,19951121,000000,11.921,11.921,11.921,11.921,0,0
ISKMXN,D,19951122,000000,12.001,12.001,12.001,12.001,0,0
ISKMXN,D,19951123,000000,11.836,11.836,11.836,11.836,0,0
ISKMXN,D,19951124,000000,11.9,11.9,11.9,11.9,0,0
ISKMXN,D,19951127,000000,11.843,11.843,11.843,11.843,0,0
ISKMXN,D,19951128,000000,11.763,11.763,11.763,11.763,0,0
ISKMXN,D,19951129,000000,11.451,11.451,11.451,11.451,0,0
ISKMXN,D,19951130,000000,11.553,11.553,11.553,11.553,0,0
ISKMXN,D,19951201,000000,11.566,11.566,11.566,11.566,0,0
ISKMXN,D,19951204,000000,11.581,11.581,11.581,11.581,0,0
ISKMXN,D,19951205,000000,11.737,11.737,11.737,11.737,0,0
ISKMXN,D,19951206,000000,11.745,11.745,11.745,11.745,0,0
ISKMXN,D,19951207,000000,11.787,11.787,11.787,11.787,0,0
ISKMXN,D,19951208,000000,11.85,11.85,11.85,11.85,0,0
ISKMXN,D,19951211,000000,11.846,11.846,11.846,11.846,0,0
ISKMXN,D,19951212,000000,11.811,11.811,11.811,11.811,0,0
ISKMXN,D,19951213,000000,11.849,11.849,11.849,11.849,0,0
ISKMXN,D,19951214,000000,11.887,11.887,11.887,11.887,0,0
ISKMXN,D,19951215,000000,11.866,11.866,11.866,11.866,0,0
ISKMXN,D,19951218,000000,11.86,11.86,11.86,11.86,0,0
ISKMXN,D,19951219,000000,11.739,11.739,11.739,11.739,0,0
ISKMXN,D,19951220,000000,11.534,11.534,11.534,11.534,0,0
ISKMXN,D,19951221,000000,11.603,11.603,11.603,11.603,0,0
ISKMXN,D,19951222,000000,11.566,11.566,11.566,11.566,0,0
ISKMXN,D,19951227,000000,11.701,11.701,11.701,11.701,0,0
ISKMXN,D,19951228,000000,11.778,11.778,11.778,11.778,0,0
ISKMXN,D,19951229,000000,11.844,11.844,11.844,11.844,0,0
ISKMXN,D,19960102,000000,11.791,11.791,11.791,11.791,0,0
ISKMXN,D,19960103,000000,11.575,11.575,11.575,11.575,0,0
ISKMXN,D,19960104,000000,11.592,11.592,11.592,11.592,0,0
ISKMXN,D,19960105,000000,11.533,11.533,11.533,11.533,0,0
ISKMXN,D,19960108,000000,11.505,11.505,11.505,11.505,0,0
ISKMXN,D,19960109,000000,11.41,11.41,11.41,11.41,0,0
ISKMXN,D,19960110,000000,11.488,11.488,11.488,11.488,0,0
ISKMXN,D,19960111,000000,11.491,11.491,11.491,11.491,0,0
ISKMXN,D,19960112,000000,11.381,11.381,11.381,11.381,0,0
ISKMXN,D,19960115,000000,11.459,11.459,11.459,11.459,0,0
ISKMXN,D,19960116,000000,11.416,11.416,11.416,11.416,0,0
ISKMXN,D,19960117,000000,11.321,11.321,11.321,11.321,0,0
ISKMXN,D,19960118,000000,11.265,11.265,11.265,11.265,0,0
ISKMXN,D,19960119,000000,11.165,11.165,11.165,11.165,0,0
ISKMXN,D,19960122,000000,10.95,10.95,10.95,10.95,0,0
ISKMXN,D,19960123,000000,11.039,11.039,11.039,11.039,0,0
ISKMXN,D,19960124,000000,11.103,11.103,11.103,11.103,0,0
ISKMXN,D,19960125,000000,11.077,11.077,11.077,11.077,0,0
ISKMXN,D,19960126,000000,11.073,11.073,11.073,11.073,0,0
ISKMXN,D,19960129,000000,10.987,10.987,10.987,10.987,0,0
ISKMXN,D,19960130,000000,10.983,10.983,10.983,10.983,0,0
ISKMXN,D,19960131,000000,11.065,11.065,11.065,11.065,0,0
ISKMXN,D,19960201,000000,11.054,11.054,11.054,11.054,0,0
ISKMXN,D,19960202,000000,11.073,11.073,11.073,11.073,0,0
ISKMXN,D,19960205,000000,11.128,11.128,11.128,11.128,0,0
ISKMXN,D,19960206,000000,11.268,11.268,11.268,11.268,0,0
ISKMXN,D,19960207,000000,11.234,11.234,11.234,11.234,0,0
ISKMXN,D,19960208,000000,11.216,11.216,11.216,11.216,0,0
ISKMXN,D,19960209,000000,11.221,11.221,11.221,11.221,0,0
ISKMXN,D,19960212,000000,11.297,11.297,11.297,11.297,0,0
ISKMXN,D,19960213,000000,11.298,11.298,11.298,11.298,0,0
ISKMXN,D,19960214,000000,11.309,11.309,11.309,11.309,0,0
ISKMXN,D,19960215,000000,11.305,11.305,11.305,11.305,0,0
ISKMXN,D,19960216,000000,11.378,11.378,11.378,11.378,0,0
ISKMXN,D,19960219,000000,11.372,11.372,11.372,11.372,0,0
ISKMXN,D,19960220,000000,11.479,11.479,11.479,11.479,0,0
ISKMXN,D,19960221,000000,11.425,11.425,11.425,11.425,0,0
ISKMXN,D,19960222,000000,11.451,11.451,11.451,11.451,0,0
ISKMXN,D,19960223,000000,11.439,11.439,11.439,11.439,0,0
ISKMXN,D,19960226,000000,11.489,11.489,11.489,11.489,0,0
ISKMXN,D,19960227,000000,11.469,11.469,11.469,11.469,0,0
ISKMXN,D,19960228,000000,11.445,11.445,11.445,11.445,0,0
ISKMXN,D,19960229,000000,11.451,11.451,11.451,11.451,0,0
ISKMXN,D,19960301,000000,11.416,11.416,11.416,11.416,0,0
ISKMXN,D,19960304,000000,11.406,11.406,11.406,11.406,0,0
ISKMXN,D,19960305,000000,11.402,11.402,11.402,11.402,0,0
ISKMXN,D,19960306,000000,11.427,11.427,11.427,11.427,0,0
ISKMXN,D,19960307,000000,11.383,11.383,11.383,11.383,0,0
ISKMXN,D,19960308,000000,11.435,11.435,11.435,11.435,0,0
ISKMXN,D,19960311,000000,11.409,11.409,11.409,11.409,0,0
ISKMXN,D,19960312,000000,11.418,11.418,11.418,11.418,0,0
ISKMXN,D,19960313,000000,11.442,11.442,11.442,11.442,0,0
ISKMXN,D,19960314,000000,11.404,11.404,11.404,11.404,0,0
ISKMXN,D,19960315,000000,11.408,11.408,11.408,11.408,0,0
ISKMXN,D,19960318,000000,11.424,11.424,11.424,11.424,0,0
ISKMXN,D,19960319,000000,11.322,11.322,11.322,11.322,0,0
ISKMXN,D,19960320,000000,11.372,11.372,11.372,11.372,0,0
ISKMXN,D,19960321,000000,11.403,11.403,11.403,11.403,0,0
ISKMXN,D,19960322,000000,11.391,11.391,11.391,11.391,0,0
ISKMXN,D,19960325,000000,11.385,11.385,11.385,11.385,0,0
ISKMXN,D,19960326,000000,11.383,11.383,11.383,11.383,0,0
