<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKMYR,D,19951023,000000,3.9292,3.9292,3.9292,3.9292,0,0
ISKMYR,D,19951024,000000,3.9433,3.9433,3.9433,3.9433,0,0
ISKMYR,D,19951025,000000,3.9508,3.9508,3.9508,3.9508,0,0
ISKMYR,D,19951026,000000,3.9604,3.9604,3.9604,3.9604,0,0
ISKMYR,D,19951027,000000,3.9513,3.9513,3.9513,3.9513,0,0
ISKMYR,D,19951030,000000,3.9408,3.9408,3.9408,3.9408,0,0
ISKMYR,D,19951031,000000,3.9412,3.9412,3.9412,3.9412,0,0
ISKMYR,D,19951102,000000,3.9321,3.9321,3.9321,3.9321,0,0
ISKMYR,D,19951103,000000,3.9269,3.9269,3.9269,3.9269,0,0
ISKMYR,D,19951106,000000,3.9405,3.9405,3.9405,3.9405,0,0
ISKMYR,D,19951107,000000,3.9382,3.9382,3.9382,3.9382,0,0
ISKMYR,D,19951108,000000,3.9281,3.9281,3.9281,3.9281,0,0
ISKMYR,D,19951109,000000,3.9136,3.9136,3.9136,3.9136,0,0
ISKMYR,D,19951110,000000,3.9366,3.9366,3.9366,3.9366,0,0
ISKMYR,D,19951113,000000,3.9431,3.9431,3.9431,3.9431,0,0
ISKMYR,D,19951114,000000,3.9139,3.9139,3.9139,3.9139,0,0
ISKMYR,D,19951115,000000,3.939,3.939,3.939,3.939,0,0
ISKMYR,D,19951116,000000,3.9291,3.9291,3.9291,3.9291,0,0
ISKMYR,D,19951117,000000,3.9285,3.9285,3.9285,3.9285,0,0
ISKMYR,D,19951120,000000,3.9212,3.9212,3.9212,3.9212,0,0
ISKMYR,D,19951121,000000,3.9388,3.9388,3.9388,3.9388,0,0
ISKMYR,D,19951122,000000,3.9422,3.9422,3.9422,3.9422,0,0
ISKMYR,D,19951123,000000,3.9391,3.9391,3.9391,3.9391,0,0
ISKMYR,D,19951124,000000,3.9411,3.9411,3.9411,3.9411,0,0
ISKMYR,D,19951127,000000,3.9284,3.9284,3.9284,3.9284,0,0
ISKMYR,D,19951128,000000,3.9027,3.9027,3.9027,3.9027,0,0
ISKMYR,D,19951129,000000,3.9015,3.9015,3.9015,3.9015,0,0
ISKMYR,D,19951130,000000,3.8916,3.8916,3.8916,3.8916,0,0
ISKMYR,D,19951201,000000,3.8594,3.8594,3.8594,3.8594,0,0
ISKMYR,D,19951204,000000,3.8634,3.8634,3.8634,3.8634,0,0
ISKMYR,D,19951205,000000,3.8938,3.8938,3.8938,3.8938,0,0
ISKMYR,D,19951206,000000,3.8922,3.8922,3.8922,3.8922,0,0
ISKMYR,D,19951207,000000,3.8803,3.8803,3.8803,3.8803,0,0
ISKMYR,D,19951208,000000,3.8745,3.8745,3.8745,3.8745,0,0
ISKMYR,D,19951211,000000,3.8736,3.8736,3.8736,3.8736,0,0
ISKMYR,D,19951212,000000,3.8747,3.8747,3.8747,3.8747,0,0
ISKMYR,D,19951213,000000,3.8692,3.8692,3.8692,3.8692,0,0
ISKMYR,D,19951214,000000,3.8677,3.8677,3.8677,3.8677,0,0
ISKMYR,D,19951215,000000,3.8852,3.8852,3.8852,3.8852,0,0
ISKMYR,D,19951218,000000,3.8898,3.8898,3.8898,3.8898,0,0
ISKMYR,D,19951219,000000,3.8905,3.8905,3.8905,3.8905,0,0
ISKMYR,D,19951220,000000,3.8923,3.8923,3.8923,3.8923,0,0
ISKMYR,D,19951221,000000,3.8808,3.8808,3.8808,3.8808,0,0
ISKMYR,D,19951222,000000,3.8841,3.8841,3.8841,3.8841,0,0
ISKMYR,D,19951227,000000,3.8962,3.8962,3.8962,3.8962,0,0
ISKMYR,D,19951228,000000,3.9,3.9,3.9,3.9,0,0
ISKMYR,D,19951229,000000,3.893,3.893,3.893,3.893,0,0
ISKMYR,D,19960102,000000,3.893,3.893,3.893,3.893,0,0
