<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKRUB,D,19951023,000000,0.0704,0.0704,0.0704,0.0704,0,0
ISKRUB,D,19951024,000000,0.07044,0.07044,0.07044,0.07044,0,0
ISKRUB,D,19951025,000000,0.07032,0.07032,0.07032,0.07032,0,0
ISKRUB,D,19951026,000000,0.07033,0.07033,0.07033,0.07033,0,0
ISKRUB,D,19951027,000000,0.07045,0.07045,0.07045,0.07045,0,0
ISKRUB,D,19951030,000000,0.06988,0.06988,0.06988,0.06988,0,0
ISKRUB,D,19951031,000000,0.06995,0.06995,0.06995,0.06995,0,0
ISKRUB,D,19951102,000000,0.06992,0.06992,0.06992,0.06992,0,0
ISKRUB,D,19951103,000000,0.06981,0.06981,0.06981,0.06981,0,0
ISKRUB,D,19951106,000000,0.0702,0.0702,0.0702,0.0702,0,0
ISKRUB,D,19951107,000000,0.07014,0.07014,0.07014,0.07014,0,0
ISKRUB,D,19951108,000000,0.07006,0.07006,0.07006,0.07006,0,0
ISKRUB,D,19951109,000000,0.06987,0.06987,0.06987,0.06987,0,0
ISKRUB,D,19951110,000000,0.07025,0.07025,0.07025,0.07025,0,0
ISKRUB,D,19951113,000000,0.0704,0.0704,0.0704,0.0704,0,0
ISKRUB,D,19951114,000000,0.07018,0.07018,0.07018,0.07018,0,0
ISKRUB,D,19951115,000000,0.07057,0.07057,0.07057,0.07057,0,0
ISKRUB,D,19951116,000000,0.07024,0.07024,0.07024,0.07024,0,0
ISKRUB,D,19951117,000000,0.07071,0.07071,0.07071,0.07071,0,0
ISKRUB,D,19951120,000000,0.07058,0.07058,0.07058,0.07058,0,0
ISKRUB,D,19951121,000000,0.07066,0.07066,0.07066,0.07066,0,0
ISKRUB,D,19951122,000000,0.07095,0.07095,0.07095,0.07095,0,0
ISKRUB,D,19951123,000000,0.07101,0.07101,0.07101,0.07101,0,0
ISKRUB,D,19951124,000000,0.07095,0.07095,0.07095,0.07095,0,0
ISKRUB,D,19951127,000000,0.07082,0.07082,0.07082,0.07082,0,0
ISKRUB,D,19951128,000000,0.07037,0.07037,0.07037,0.07037,0,0
ISKRUB,D,19951129,000000,0.07024,0.07024,0.07024,0.07024,0,0
ISKRUB,D,19951130,000000,0.07024,0.07024,0.07024,0.07024,0,0
ISKRUB,D,19951201,000000,0.06999,0.06999,0.06999,0.06999,0,0
ISKRUB,D,19951204,000000,0.06999,0.06999,0.06999,0.06999,0,0
ISKRUB,D,19951205,000000,0.0704,0.0704,0.0704,0.0704,0,0
ISKRUB,D,19951206,000000,0.07032,0.07032,0.07032,0.07032,0,0
ISKRUB,D,19951207,000000,0.07029,0.07029,0.07029,0.07029,0,0
ISKRUB,D,19951208,000000,0.06993,0.06993,0.06993,0.06993,0,0
ISKRUB,D,19951211,000000,0.06993,0.06993,0.06993,0.06993,0,0
ISKRUB,D,19951212,000000,0.06985,0.06985,0.06985,0.06985,0,0
ISKRUB,D,19951213,000000,0.07035,0.07035,0.07035,0.07035,0,0
ISKRUB,D,19951214,000000,0.0705,0.0705,0.0705,0.0705,0,0
ISKRUB,D,19951215,000000,0.07074,0.07074,0.07074,0.07074,0,0
ISKRUB,D,19951218,000000,0.0709,0.0709,0.0709,0.0709,0,0
