<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKSEK,D,19951023,000000,10.471,10.471,10.471,10.471,0,0
ISKSEK,D,19951024,000000,10.447,10.447,10.447,10.447,0,0
ISKSEK,D,19951025,000000,10.304,10.304,10.304,10.304,0,0
ISKSEK,D,19951026,000000,10.349,10.349,10.349,10.349,0,0
ISKSEK,D,19951027,000000,10.251,10.251,10.251,10.251,0,0
ISKSEK,D,19951030,000000,10.267,10.267,10.267,10.267,0,0
ISKSEK,D,19951031,000000,10.355,10.355,10.355,10.355,0,0
ISKSEK,D,19951102,000000,10.28,10.28,10.28,10.28,0,0
ISKSEK,D,19951103,000000,10.306,10.306,10.306,10.306,0,0
ISKSEK,D,19951106,000000,10.362,10.362,10.362,10.362,0,0
ISKSEK,D,19951107,000000,10.364,10.364,10.364,10.364,0,0
ISKSEK,D,19951108,000000,10.311,10.311,10.311,10.311,0,0
ISKSEK,D,19951109,000000,10.336,10.336,10.336,10.336,0,0
ISKSEK,D,19951110,000000,10.339,10.339,10.339,10.339,0,0
ISKSEK,D,19951113,000000,10.331,10.331,10.331,10.331,0,0
ISKSEK,D,19951114,000000,10.317,10.317,10.317,10.317,0,0
ISKSEK,D,19951115,000000,10.296,10.296,10.296,10.296,0,0
ISKSEK,D,19951116,000000,10.266,10.266,10.266,10.266,0,0
ISKSEK,D,19951117,000000,10.18,10.18,10.18,10.18,0,0
ISKSEK,D,19951120,000000,10.148,10.148,10.148,10.148,0,0
ISKSEK,D,19951121,000000,10.161,10.161,10.161,10.161,0,0
ISKSEK,D,19951122,000000,10.101,10.101,10.101,10.101,0,0
ISKSEK,D,19951123,000000,10.115,10.115,10.115,10.115,0,0
ISKSEK,D,19951124,000000,10.101,10.101,10.101,10.101,0,0
ISKSEK,D,19951127,000000,10.012,10.012,10.012,10.012,0,0
ISKSEK,D,19951128,000000,10.029,10.029,10.029,10.029,0,0
ISKSEK,D,19951129,000000,9.956,9.956,9.956,9.956,0,0
ISKSEK,D,19951130,000000,10.021,10.021,10.021,10.021,0,0
ISKSEK,D,19951201,000000,10.006,10.006,10.006,10.006,0,0
ISKSEK,D,19951204,000000,9.98,9.98,9.98,9.98,0,0
ISKSEK,D,19951205,000000,10.006,10.006,10.006,10.006,0,0
ISKSEK,D,19951206,000000,10.066,10.066,10.066,10.066,0,0
ISKSEK,D,19951207,000000,10.095,10.095,10.095,10.095,0,0
ISKSEK,D,19951208,000000,10.168,10.168,10.168,10.168,0,0
ISKSEK,D,19951211,000000,10.252,10.252,10.252,10.252,0,0
ISKSEK,D,19951212,000000,10.218,10.218,10.218,10.218,0,0
ISKSEK,D,19951213,000000,10.226,10.226,10.226,10.226,0,0
ISKSEK,D,19951214,000000,10.143,10.143,10.143,10.143,0,0
ISKSEK,D,19951215,000000,10.152,10.152,10.152,10.152,0,0
ISKSEK,D,19951218,000000,10.077,10.077,10.077,10.077,0,0
ISKSEK,D,19951219,000000,10.116,10.116,10.116,10.116,0,0
ISKSEK,D,19951220,000000,10.197,10.197,10.197,10.197,0,0
ISKSEK,D,19951221,000000,10.166,10.166,10.166,10.166,0,0
ISKSEK,D,19951222,000000,10.18,10.18,10.18,10.18,0,0
ISKSEK,D,19951227,000000,10.202,10.202,10.202,10.202,0,0
ISKSEK,D,19951228,000000,10.205,10.205,10.205,10.205,0,0
ISKSEK,D,19951229,000000,10.144,10.144,10.144,10.144,0,0
ISKSEK,D,19960102,000000,10.112,10.112,10.112,10.112,0,0
ISKSEK,D,19960103,000000,10.112,10.112,10.112,10.112,0,0
ISKSEK,D,19960104,000000,10.149,10.149,10.149,10.149,0,0
ISKSEK,D,19960105,000000,10.067,10.067,10.067,10.067,0,0
ISKSEK,D,19960108,000000,10.114,10.114,10.114,10.114,0,0
ISKSEK,D,19960109,000000,10.09,10.09,10.09,10.09,0,0
ISKSEK,D,19960110,000000,10.048,10.048,10.048,10.048,0,0
ISKSEK,D,19960111,000000,10.034,10.034,10.034,10.034,0,0
ISKSEK,D,19960112,000000,10.072,10.072,10.072,10.072,0,0
ISKSEK,D,19960115,000000,10.032,10.032,10.032,10.032,0,0
ISKSEK,D,19960116,000000,10.051,10.051,10.051,10.051,0,0
ISKSEK,D,19960117,000000,10.101,10.101,10.101,10.101,0,0
ISKSEK,D,19960118,000000,10.106,10.106,10.106,10.106,0,0
ISKSEK,D,19960119,000000,10.066,10.066,10.066,10.066,0,0
ISKSEK,D,19960122,000000,10.205,10.205,10.205,10.205,0,0
ISKSEK,D,19960123,000000,10.275,10.275,10.275,10.275,0,0
ISKSEK,D,19960124,000000,10.29,10.29,10.29,10.29,0,0
ISKSEK,D,19960125,000000,10.374,10.374,10.374,10.374,0,0
ISKSEK,D,19960126,000000,10.374,10.374,10.374,10.374,0,0
ISKSEK,D,19960129,000000,10.473,10.473,10.473,10.473,0,0
ISKSEK,D,19960130,000000,10.403,10.403,10.403,10.403,0,0
ISKSEK,D,19960131,000000,10.345,10.345,10.345,10.345,0,0
ISKSEK,D,19960201,000000,10.351,10.351,10.351,10.351,0,0
ISKSEK,D,19960202,000000,10.409,10.409,10.409,10.409,0,0
ISKSEK,D,19960205,000000,10.46,10.46,10.46,10.46,0,0
ISKSEK,D,19960206,000000,10.551,10.551,10.551,10.551,0,0
ISKSEK,D,19960207,000000,10.579,10.579,10.579,10.579,0,0
ISKSEK,D,19960208,000000,10.548,10.548,10.548,10.548,0,0
ISKSEK,D,19960209,000000,10.426,10.426,10.426,10.426,0,0
ISKSEK,D,19960212,000000,10.465,10.465,10.465,10.465,0,0
ISKSEK,D,19960213,000000,10.415,10.415,10.415,10.415,0,0
ISKSEK,D,19960214,000000,10.496,10.496,10.496,10.496,0,0
ISKSEK,D,19960215,000000,10.465,10.465,10.465,10.465,0,0
ISKSEK,D,19960216,000000,10.433,10.433,10.433,10.433,0,0
ISKSEK,D,19960219,000000,10.368,10.368,10.368,10.368,0,0
ISKSEK,D,19960220,000000,10.468,10.468,10.468,10.468,0,0
ISKSEK,D,19960221,000000,10.278,10.278,10.278,10.278,0,0
ISKSEK,D,19960222,000000,10.257,10.257,10.257,10.257,0,0
ISKSEK,D,19960223,000000,10.249,10.249,10.249,10.249,0,0
ISKSEK,D,19960226,000000,10.273,10.273,10.273,10.273,0,0
ISKSEK,D,19960227,000000,10.19,10.19,10.19,10.19,0,0
ISKSEK,D,19960228,000000,10.155,10.155,10.155,10.155,0,0
ISKSEK,D,19960229,000000,10.217,10.217,10.217,10.217,0,0
ISKSEK,D,19960301,000000,10.164,10.164,10.164,10.164,0,0
ISKSEK,D,19960304,000000,10.225,10.225,10.225,10.225,0,0
ISKSEK,D,19960305,000000,10.3,10.3,10.3,10.3,0,0
ISKSEK,D,19960306,000000,10.313,10.313,10.313,10.313,0,0
ISKSEK,D,19960307,000000,10.243,10.243,10.243,10.243,0,0
ISKSEK,D,19960308,000000,10.24,10.24,10.24,10.24,0,0
ISKSEK,D,19960311,000000,10.301,10.301,10.301,10.301,0,0
ISKSEK,D,19960312,000000,10.248,10.248,10.248,10.248,0,0
ISKSEK,D,19960313,000000,10.222,10.222,10.222,10.222,0,0
ISKSEK,D,19960314,000000,10.233,10.233,10.233,10.233,0,0
ISKSEK,D,19960315,000000,10.219,10.219,10.219,10.219,0,0
ISKSEK,D,19960318,000000,10.146,10.146,10.146,10.146,0,0
ISKSEK,D,19960319,000000,10.139,10.139,10.139,10.139,0,0
ISKSEK,D,19960320,000000,9.992,9.992,9.992,9.992,0,0
ISKSEK,D,19960321,000000,10.049,10.049,10.049,10.049,0,0
ISKSEK,D,19960322,000000,9.997,9.997,9.997,9.997,0,0
ISKSEK,D,19960325,000000,9.997,9.997,9.997,9.997,0,0
ISKSEK,D,19960326,000000,10.021,10.021,10.021,10.021,0,0
ISKSEK,D,19960327,000000,10.035,10.035,10.035,10.035,0,0
ISKSEK,D,19960328,000000,10.025,10.025,10.025,10.025,0,0
ISKSEK,D,19960329,000000,10.049,10.049,10.049,10.049,0,0
ISKSEK,D,19960401,000000,10.037,10.037,10.037,10.037,0,0
ISKSEK,D,19960402,000000,10.037,10.037,10.037,10.037,0,0
ISKSEK,D,19960403,000000,10.011,10.011,10.011,10.011,0,0
ISKSEK,D,19960404,000000,10.052,10.052,10.052,10.052,0,0
ISKSEK,D,19960405,000000,10.008,10.008,10.008,10.008,0,0
ISKSEK,D,19960409,000000,10.083,10.083,10.083,10.083,0,0
ISKSEK,D,19960410,000000,10.048,10.048,10.048,10.048,0,0
ISKSEK,D,19960411,000000,10.053,10.053,10.053,10.053,0,0
ISKSEK,D,19960412,000000,10.036,10.036,10.036,10.036,0,0
ISKSEK,D,19960415,000000,10.054,10.054,10.054,10.054,0,0
ISKSEK,D,19960416,000000,10.063,10.063,10.063,10.063,0,0
ISKSEK,D,19960417,000000,10.075,10.075,10.075,10.075,0,0
ISKSEK,D,19960418,000000,10.085,10.085,10.085,10.085,0,0
ISKSEK,D,19960419,000000,9.84,9.84,9.84,9.84,0,0
ISKSEK,D,19960422,000000,10.005,10.005,10.005,10.005,0,0
ISKSEK,D,19960423,000000,10.029,10.029,10.029,10.029,0,0
ISKSEK,D,19960424,000000,10.06,10.06,10.06,10.06,0,0
ISKSEK,D,19960425,000000,10.11,10.11,10.11,10.11,0,0
ISKSEK,D,19960426,000000,10.108,10.108,10.108,10.108,0,0
ISKSEK,D,19960429,000000,10.061,10.061,10.061,10.061,0,0
ISKSEK,D,19960430,000000,10.086,10.086,10.086,10.086,0,0
ISKSEK,D,19960506,000000,10.185,10.185,10.185,10.185,0,0
ISKSEK,D,19960507,000000,10.17,10.17,10.17,10.17,0,0
ISKSEK,D,19960508,000000,10.174,10.174,10.174,10.174,0,0
ISKSEK,D,19960509,000000,10.162,10.162,10.162,10.162,0,0
ISKSEK,D,19960510,000000,10.086,10.086,10.086,10.086,0,0
ISKSEK,D,19960513,000000,10.111,10.111,10.111,10.111,0,0
ISKSEK,D,19960514,000000,10.053,10.053,10.053,10.053,0,0
ISKSEK,D,19960515,000000,10.046,10.046,10.046,10.046,0,0
ISKSEK,D,19960516,000000,10.047,10.047,10.047,10.047,0,0
ISKSEK,D,19960517,000000,10.043,10.043,10.043,10.043,0,0
ISKSEK,D,19960520,000000,10.051,10.051,10.051,10.051,0,0
ISKSEK,D,19960521,000000,10.054,10.054,10.054,10.054,0,0
ISKSEK,D,19960522,000000,10.079,10.079,10.079,10.079,0,0
ISKSEK,D,19960523,000000,10.106,10.106,10.106,10.106,0,0
ISKSEK,D,19960524,000000,10.087,10.087,10.087,10.087,0,0
ISKSEK,D,19960527,000000,10.101,10.101,10.101,10.101,0,0
ISKSEK,D,19960528,000000,10.065,10.065,10.065,10.065,0,0
ISKSEK,D,19960529,000000,10.064,10.064,10.064,10.064,0,0
ISKSEK,D,19960530,000000,10.061,10.061,10.061,10.061,0,0
ISKSEK,D,19960531,000000,10.024,10.024,10.024,10.024,0,0
ISKSEK,D,19960603,000000,10.017,10.017,10.017,10.017,0,0
ISKSEK,D,19960604,000000,9.957,9.957,9.957,9.957,0,0
ISKSEK,D,19960605,000000,10.017,10.017,10.017,10.017,0,0
ISKSEK,D,19960607,000000,10.033,10.033,10.033,10.033,0,0
ISKSEK,D,19960610,000000,10.04,10.04,10.04,10.04,0,0
ISKSEK,D,19960611,000000,10.019,10.019,10.019,10.019,0,0
ISKSEK,D,19960612,000000,9.972,9.972,9.972,9.972,0,0
ISKSEK,D,19960613,000000,10,10,10,10,0,0
ISKSEK,D,19960614,000000,9.994,9.994,9.994,9.994,0,0
ISKSEK,D,19960617,000000,9.993,9.993,9.993,9.993,0,0
ISKSEK,D,19960618,000000,9.978,9.978,9.978,9.978,0,0
ISKSEK,D,19960619,000000,9.943,9.943,9.943,9.943,0,0
ISKSEK,D,19960620,000000,9.894,9.894,9.894,9.894,0,0
ISKSEK,D,19960621,000000,9.91,9.91,9.91,9.91,0,0
ISKSEK,D,19960624,000000,9.9,9.9,9.9,9.9,0,0
ISKSEK,D,19960625,000000,9.876,9.876,9.876,9.876,0,0
ISKSEK,D,19960626,000000,9.861,9.861,9.861,9.861,0,0
ISKSEK,D,19960627,000000,9.916,9.916,9.916,9.916,0,0
ISKSEK,D,19960628,000000,9.934,9.934,9.934,9.934,0,0
ISKSEK,D,19960701,000000,9.928,9.928,9.928,9.928,0,0
ISKSEK,D,19960702,000000,9.968,9.968,9.968,9.968,0,0
ISKSEK,D,19960703,000000,9.973,9.973,9.973,9.973,0,0
ISKSEK,D,19960704,000000,9.919,9.919,9.919,9.919,0,0
ISKSEK,D,19960705,000000,9.93,9.93,9.93,9.93,0,0
ISKSEK,D,19960708,000000,9.97,9.97,9.97,9.97,0,0
ISKSEK,D,19960709,000000,9.97,9.97,9.97,9.97,0,0
ISKSEK,D,19960710,000000,9.954,9.954,9.954,9.954,0,0
ISKSEK,D,19960711,000000,9.955,9.955,9.955,9.955,0,0
ISKSEK,D,19960712,000000,10.008,10.008,10.008,10.008,0,0
ISKSEK,D,19960715,000000,10.031,10.031,10.031,10.031,0,0
ISKSEK,D,19960716,000000,10.056,10.056,10.056,10.056,0,0
ISKSEK,D,19960717,000000,10.057,10.057,10.057,10.057,0,0
ISKSEK,D,19960718,000000,10.022,10.022,10.022,10.022,0,0
