<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYBRL,D,19950103,000000,0.8435,0.8435,0.8435,0.8435,0,0
JPYBRL,D,19950104,000000,0.8433,0.8433,0.8433,0.8433,0,0
JPYBRL,D,19950105,000000,0.8324,0.8324,0.8324,0.8324,0,0
JPYBRL,D,19950106,000000,0.8319,0.8319,0.8319,0.8319,0,0
JPYBRL,D,19950109,000000,0.8354,0.8354,0.8354,0.8354,0,0
JPYBRL,D,19950110,000000,0.8399,0.8399,0.8399,0.8399,0,0
JPYBRL,D,19950111,000000,0.8479,0.8479,0.8479,0.8479,0,0
JPYBRL,D,19950112,000000,0.8458,0.8458,0.8458,0.8458,0,0
JPYBRL,D,19950113,000000,0.8491,0.8491,0.8491,0.8491,0,0
JPYBRL,D,19950116,000000,0.8592,0.8592,0.8592,0.8592,0,0
JPYBRL,D,19950117,000000,0.8576,0.8576,0.8576,0.8576,0,0
JPYBRL,D,19950118,000000,0.8571,0.8571,0.8571,0.8571,0,0
JPYBRL,D,19950119,000000,0.8552,0.8552,0.8552,0.8552,0,0
JPYBRL,D,19950120,000000,0.8499,0.8499,0.8499,0.8499,0,0
JPYBRL,D,19950123,000000,0.8558,0.8558,0.8558,0.8558,0,0
JPYBRL,D,19950124,000000,0.8497,0.8497,0.8497,0.8497,0,0
JPYBRL,D,19950125,000000,0.8569,0.8569,0.8569,0.8569,0,0
JPYBRL,D,19950126,000000,0.8501,0.8501,0.8501,0.8501,0,0
JPYBRL,D,19950127,000000,0.8484,0.8484,0.8484,0.8484,0,0
JPYBRL,D,19950130,000000,0.8512,0.8512,0.8512,0.8512,0,0
JPYBRL,D,19950131,000000,0.8502,0.8502,0.8502,0.8502,0,0
JPYBRL,D,19950201,000000,0.8527,0.8527,0.8527,0.8527,0,0
JPYBRL,D,19950202,000000,0.8432,0.8432,0.8432,0.8432,0,0
JPYBRL,D,19950203,000000,0.8408,0.8408,0.8408,0.8408,0,0
JPYBRL,D,19950206,000000,0.8406,0.8406,0.8406,0.8406,0,0
JPYBRL,D,19950207,000000,0.8409,0.8409,0.8409,0.8409,0,0
JPYBRL,D,19950208,000000,0.8412,0.8412,0.8412,0.8412,0,0
JPYBRL,D,19950209,000000,0.8402,0.8402,0.8402,0.8402,0,0
JPYBRL,D,19950210,000000,0.843,0.843,0.843,0.843,0,0
JPYBRL,D,19950213,000000,0.8382,0.8382,0.8382,0.8382,0,0
JPYBRL,D,19950214,000000,0.845,0.845,0.845,0.845,0,0
JPYBRL,D,19950215,000000,0.8454,0.8454,0.8454,0.8454,0,0
JPYBRL,D,19950216,000000,0.8575,0.8575,0.8575,0.8575,0,0
JPYBRL,D,19950217,000000,0.8678,0.8678,0.8678,0.8678,0,0
JPYBRL,D,19950220,000000,0.8639,0.8639,0.8639,0.8639,0,0
JPYBRL,D,19950221,000000,0.8665,0.8665,0.8665,0.8665,0,0
JPYBRL,D,19950222,000000,0.8724,0.8724,0.8724,0.8724,0,0
JPYBRL,D,19950223,000000,0.8719,0.8719,0.8719,0.8719,0,0
JPYBRL,D,19950224,000000,0.8799,0.8799,0.8799,0.8799,0,0
JPYBRL,D,19950227,000000,0.8784,0.8784,0.8784,0.8784,0,0
JPYBRL,D,19950228,000000,0.8802,0.8802,0.8802,0.8802,0,0
JPYBRL,D,19950301,000000,0.8803,0.8803,0.8803,0.8803,0,0
JPYBRL,D,19950302,000000,0.8809,0.8809,0.8809,0.8809,0,0
JPYBRL,D,19950303,000000,0.8906,0.8906,0.8906,0.8906,0,0
JPYBRL,D,19950306,000000,0.913,0.913,0.913,0.913,0,0
JPYBRL,D,19950307,000000,0.9534,0.9534,0.9534,0.9534,0,0
JPYBRL,D,19950308,000000,0.9672,0.9672,0.9672,0.9672,0,0
JPYBRL,D,19950309,000000,0.9879,0.9879,0.9879,0.9879,0,0
JPYBRL,D,19950310,000000,0.9673,0.9673,0.9673,0.9673,0,0
JPYBRL,D,19950313,000000,0.9625,0.9625,0.9625,0.9625,0,0
JPYBRL,D,19950314,000000,0.9759,0.9759,0.9759,0.9759,0,0
JPYBRL,D,19950315,000000,0.9708,0.9708,0.9708,0.9708,0,0
JPYBRL,D,19950316,000000,0.995,0.995,0.995,0.995,0,0
JPYBRL,D,19950317,000000,0.9954,0.9954,0.9954,0.9954,0,0
JPYBRL,D,19950320,000000,1.0178,1.0178,1.0178,1.0178,0,0
JPYBRL,D,19950321,000000,1.0032,1.0032,1.0032,1.0032,0,0
JPYBRL,D,19950322,000000,1.02,1.02,1.02,1.02,0,0
JPYBRL,D,19950323,000000,1.0197,1.0197,1.0197,1.0197,0,0
JPYBRL,D,19950324,000000,1.0303,1.0303,1.0303,1.0303,0,0
JPYBRL,D,19950327,000000,1.029,1.029,1.029,1.029,0,0
JPYBRL,D,19950328,000000,1.0174,1.0174,1.0174,1.0174,0,0
JPYBRL,D,19950329,000000,1.0153,1.0153,1.0153,1.0153,0,0
JPYBRL,D,19950330,000000,1.0219,1.0219,1.0219,1.0219,0,0
JPYBRL,D,19950331,000000,1.0078,1.0078,1.0078,1.0078,0,0
JPYBRL,D,19950403,000000,1.0367,1.0367,1.0367,1.0367,0,0
JPYBRL,D,19950404,000000,1.0385,1.0385,1.0385,1.0385,0,0
JPYBRL,D,19950405,000000,1.0402,1.0402,1.0402,1.0402,0,0
JPYBRL,D,19950406,000000,1.042,1.042,1.042,1.042,0,0
JPYBRL,D,19950407,000000,1.0481,1.0481,1.0481,1.0481,0,0
JPYBRL,D,19950410,000000,1.0704,1.0704,1.0704,1.0704,0,0
JPYBRL,D,19950411,000000,1.0874,1.0874,1.0874,1.0874,0,0
JPYBRL,D,19950412,000000,1.0762,1.0762,1.0762,1.0762,0,0
JPYBRL,D,19950413,000000,1.0798,1.0798,1.0798,1.0798,0,0
JPYBRL,D,19950414,000000,1.0869,1.0869,1.0869,1.0869,0,0
JPYBRL,D,19950418,000000,1.0837,1.0837,1.0837,1.0837,0,0
JPYBRL,D,19950419,000000,1.1242,1.1242,1.1242,1.1242,0,0
JPYBRL,D,19950420,000000,1.1285,1.1285,1.1285,1.1285,0,0
JPYBRL,D,19950421,000000,1.0895,1.0895,1.0895,1.0895,0,0
JPYBRL,D,19950424,000000,1.094,1.094,1.094,1.094,0,0
JPYBRL,D,19950425,000000,1.1076,1.1076,1.1076,1.1076,0,0
JPYBRL,D,19950426,000000,1.1156,1.1156,1.1156,1.1156,0,0
JPYBRL,D,19950427,000000,1.0973,1.0973,1.0973,1.0973,0,0
JPYBRL,D,19950428,000000,1.0969,1.0969,1.0969,1.0969,0,0
JPYBRL,D,19950504,000000,1.086,1.086,1.086,1.086,0,0
