<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYCLP,D,19931025,000000,3.8141,3.8141,3.8141,3.8141,0,0
JPYCLP,D,19931026,000000,3.7917,3.7917,3.7917,3.7917,0,0
JPYCLP,D,19931027,000000,3.8077,3.8077,3.8077,3.8077,0,0
JPYCLP,D,19931028,000000,3.8017,3.8017,3.8017,3.8017,0,0
JPYCLP,D,19931029,000000,3.7997,3.7997,3.7997,3.7997,0,0
JPYCLP,D,19931102,000000,3.7989,3.7989,3.7989,3.7989,0,0
JPYCLP,D,19931103,000000,3.7977,3.7977,3.7977,3.7977,0,0
JPYCLP,D,19931104,000000,3.8231,3.8231,3.8231,3.8231,0,0
JPYCLP,D,19931105,000000,3.8082,3.8082,3.8082,3.8082,0,0
JPYCLP,D,19931108,000000,3.7985,3.7985,3.7985,3.7985,0,0
JPYCLP,D,19931109,000000,3.7899,3.7899,3.7899,3.7899,0,0
JPYCLP,D,19931110,000000,3.7948,3.7948,3.7948,3.7948,0,0
JPYCLP,D,19931112,000000,3.8406,3.8406,3.8406,3.8406,0,0
JPYCLP,D,19931115,000000,3.8603,3.8603,3.8603,3.8603,0,0
JPYCLP,D,19931116,000000,3.8823,3.8823,3.8823,3.8823,0,0
JPYCLP,D,19931117,000000,3.8439,3.8439,3.8439,3.8439,0,0
JPYCLP,D,19931118,000000,3.8274,3.8274,3.8274,3.8274,0,0
JPYCLP,D,19931119,000000,3.8778,3.8778,3.8778,3.8778,0,0
JPYCLP,D,19931122,000000,3.8179,3.8179,3.8179,3.8179,0,0
JPYCLP,D,19931123,000000,3.8127,3.8127,3.8127,3.8127,0,0
JPYCLP,D,19931124,000000,3.8063,3.8063,3.8063,3.8063,0,0
JPYCLP,D,19931125,000000,3.8311,3.8311,3.8311,3.8311,0,0
JPYCLP,D,19931126,000000,3.8443,3.8443,3.8443,3.8443,0,0
JPYCLP,D,19931129,000000,3.8648,3.8648,3.8648,3.8648,0,0
JPYCLP,D,19931130,000000,3.8363,3.8363,3.8363,3.8363,0,0
JPYCLP,D,19931201,000000,3.8434,3.8434,3.8434,3.8434,0,0
JPYCLP,D,19931202,000000,3.8735,3.8735,3.8735,3.8735,0,0
JPYCLP,D,19931203,000000,3.8981,3.8981,3.8981,3.8981,0,0
JPYCLP,D,19931206,000000,3.9143,3.9143,3.9143,3.9143,0,0
JPYCLP,D,19931207,000000,3.9592,3.9592,3.9592,3.9592,0,0
JPYCLP,D,19931208,000000,3.9763,3.9763,3.9763,3.9763,0,0
JPYCLP,D,19931209,000000,3.9144,3.9144,3.9144,3.9144,0,0
JPYCLP,D,19931210,000000,3.8784,3.8784,3.8784,3.8784,0,0
JPYCLP,D,19931213,000000,3.8822,3.8822,3.8822,3.8822,0,0
JPYCLP,D,19931214,000000,3.9098,3.9098,3.9098,3.9098,0,0
