<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYIDR,D,19931025,000000,19.451,19.451,19.451,19.451,0,0
JPYIDR,D,19931026,000000,19.331,19.331,19.331,19.331,0,0
JPYIDR,D,19931027,000000,19.41,19.41,19.41,19.41,0,0
JPYIDR,D,19931028,000000,19.401,19.401,19.401,19.401,0,0
JPYIDR,D,19931029,000000,19.375,19.375,19.375,19.375,0,0
JPYIDR,D,19931102,000000,19.379,19.379,19.379,19.379,0,0
JPYIDR,D,19931103,000000,19.376,19.376,19.376,19.376,0,0
JPYIDR,D,19931104,000000,19.52,19.52,19.52,19.52,0,0
JPYIDR,D,19931105,000000,19.434,19.434,19.434,19.434,0,0
JPYIDR,D,19931108,000000,19.381,19.381,19.381,19.381,0,0
JPYIDR,D,19931109,000000,19.342,19.342,19.342,19.342,0,0
JPYIDR,D,19931110,000000,19.36,19.36,19.36,19.36,0,0
JPYIDR,D,19931112,000000,19.514,19.514,19.514,19.514,0,0
JPYIDR,D,19931115,000000,19.604,19.604,19.604,19.604,0,0
JPYIDR,D,19931116,000000,19.791,19.791,19.791,19.791,0,0
JPYIDR,D,19931117,000000,19.606,19.606,19.606,19.606,0,0
JPYIDR,D,19931118,000000,19.533,19.533,19.533,19.533,0,0
JPYIDR,D,19931119,000000,19.715,19.715,19.715,19.715,0,0
JPYIDR,D,19931122,000000,19.49,19.49,19.49,19.49,0,0
JPYIDR,D,19931123,000000,19.438,19.438,19.438,19.438,0,0
JPYIDR,D,19931124,000000,19.31,19.31,19.31,19.31,0,0
JPYIDR,D,19931125,000000,19.387,19.387,19.387,19.387,0,0
JPYIDR,D,19931126,000000,19.367,19.367,19.367,19.367,0,0
JPYIDR,D,19931129,000000,19.299,19.299,19.299,19.299,0,0
JPYIDR,D,19931130,000000,19.258,19.258,19.258,19.258,0,0
JPYIDR,D,19931201,000000,19.288,19.288,19.288,19.288,0,0
JPYIDR,D,19931202,000000,19.359,19.359,19.359,19.359,0,0
JPYIDR,D,19931203,000000,19.349,19.349,19.349,19.349,0,0
JPYIDR,D,19931206,000000,19.319,19.319,19.319,19.319,0,0
JPYIDR,D,19931207,000000,19.403,19.403,19.403,19.403,0,0
JPYIDR,D,19931208,000000,19.533,19.533,19.533,19.533,0,0
JPYIDR,D,19931209,000000,19.359,19.359,19.359,19.359,0,0
JPYIDR,D,19931210,000000,19.3,19.3,19.3,19.3,0,0
JPYIDR,D,19931213,000000,19.273,19.273,19.273,19.273,0,0
JPYIDR,D,19931214,000000,19.296,19.296,19.296,19.296,0,0
JPYIDR,D,19931215,000000,19.272,19.272,19.272,19.272,0,0
JPYIDR,D,19931216,000000,19.18,19.18,19.18,19.18,0,0
JPYIDR,D,19931217,000000,19.108,19.108,19.108,19.108,0,0
JPYIDR,D,19931220,000000,19.142,19.142,19.142,19.142,0,0
JPYIDR,D,19931221,000000,19.041,19.041,19.041,19.041,0,0
JPYIDR,D,19931222,000000,18.982,18.982,18.982,18.982,0,0
JPYIDR,D,19931223,000000,18.876,18.876,18.876,18.876,0,0
JPYIDR,D,19931224,000000,19.001,19.001,19.001,19.001,0,0
JPYIDR,D,19931227,000000,18.998,18.998,18.998,18.998,0,0
JPYIDR,D,19931228,000000,18.896,18.896,18.896,18.896,0,0
JPYIDR,D,19931229,000000,18.922,18.922,18.922,18.922,0,0
JPYIDR,D,19931230,000000,18.893,18.893,18.893,18.893,0,0
JPYIDR,D,19931231,000000,18.92,18.92,18.92,18.92,0,0
JPYIDR,D,19940103,000000,18.863,18.863,18.863,18.863,0,0
JPYIDR,D,19940104,000000,18.777,18.777,18.777,18.777,0,0
JPYIDR,D,19940105,000000,18.596,18.596,18.596,18.596,0,0
JPYIDR,D,19940106,000000,18.647,18.647,18.647,18.647,0,0
JPYIDR,D,19940107,000000,18.657,18.657,18.657,18.657,0,0
JPYIDR,D,19940110,000000,18.696,18.696,18.696,18.696,0,0
JPYIDR,D,19940111,000000,18.722,18.722,18.722,18.722,0,0
JPYIDR,D,19940112,000000,18.659,18.659,18.659,18.659,0,0
JPYIDR,D,19940113,000000,18.721,18.721,18.721,18.721,0,0
JPYIDR,D,19940114,000000,18.883,18.883,18.883,18.883,0,0
JPYIDR,D,19940117,000000,19.072,19.072,19.072,19.072,0,0
JPYIDR,D,19940118,000000,19.005,19.005,19.005,19.005,0,0
JPYIDR,D,19940119,000000,19.027,19.027,19.027,19.027,0,0
JPYIDR,D,19940120,000000,19.17,19.17,19.17,19.17,0,0
JPYIDR,D,19940121,000000,18.909,18.909,18.909,18.909,0,0
JPYIDR,D,19940124,000000,19.252,19.252,19.252,19.252,0,0
JPYIDR,D,19940125,000000,18.857,18.857,18.857,18.857,0,0
JPYIDR,D,19940126,000000,19.017,19.017,19.017,19.017,0,0
JPYIDR,D,19940127,000000,19.137,19.137,19.137,19.137,0,0
JPYIDR,D,19940128,000000,19.27,19.27,19.27,19.27,0,0
JPYIDR,D,19940131,000000,19.296,19.296,19.296,19.296,0,0
JPYIDR,D,19940201,000000,19.391,19.391,19.391,19.391,0,0
JPYIDR,D,19940202,000000,19.544,19.544,19.544,19.544,0,0
JPYIDR,D,19940203,000000,19.584,19.584,19.584,19.584,0,0
JPYIDR,D,19940204,000000,19.534,19.534,19.534,19.534,0,0
JPYIDR,D,19940207,000000,19.495,19.495,19.495,19.495,0,0
JPYIDR,D,19940208,000000,19.406,19.406,19.406,19.406,0,0
JPYIDR,D,19940209,000000,19.477,19.477,19.477,19.477,0,0
JPYIDR,D,19940210,000000,19.651,19.651,19.651,19.651,0,0
JPYIDR,D,19940211,000000,19.546,19.546,19.546,19.546,0,0
JPYIDR,D,19940214,000000,19.606,19.606,19.606,19.606,0,0
JPYIDR,D,19940215,000000,20.334,20.334,20.334,20.334,0,0
JPYIDR,D,19940216,000000,20.51,20.51,20.51,20.51,0,0
JPYIDR,D,19940217,000000,20.434,20.434,20.434,20.434,0,0
JPYIDR,D,19940218,000000,20.472,20.472,20.472,20.472,0,0
JPYIDR,D,19940221,000000,20.354,20.354,20.354,20.354,0,0
JPYIDR,D,19940222,000000,20.182,20.182,20.182,20.182,0,0
JPYIDR,D,19940223,000000,20.268,20.268,20.268,20.268,0,0
JPYIDR,D,19940224,000000,20.259,20.259,20.259,20.259,0,0
JPYIDR,D,19940225,000000,20.278,20.278,20.278,20.278,0,0
JPYIDR,D,19940228,000000,20.404,20.404,20.404,20.404,0,0
JPYIDR,D,19940301,000000,20.551,20.551,20.551,20.551,0,0
JPYIDR,D,19940302,000000,20.568,20.568,20.568,20.568,0,0
JPYIDR,D,19940303,000000,20.824,20.824,20.824,20.824,0,0
JPYIDR,D,19940304,000000,20.607,20.607,20.607,20.607,0,0
JPYIDR,D,19940307,000000,20.396,20.396,20.396,20.396,0,0
JPYIDR,D,19940308,000000,20.34,20.34,20.34,20.34,0,0
JPYIDR,D,19940309,000000,20.418,20.418,20.418,20.418,0,0
JPYIDR,D,19940310,000000,20.419,20.419,20.419,20.419,0,0
JPYIDR,D,19940311,000000,20.337,20.337,20.337,20.337,0,0
JPYIDR,D,19940314,000000,20.429,20.429,20.429,20.429,0,0
JPYIDR,D,19940315,000000,20.331,20.331,20.331,20.331,0,0
JPYIDR,D,19940316,000000,20.195,20.195,20.195,20.195,0,0
JPYIDR,D,19940317,000000,20.252,20.252,20.252,20.252,0,0
JPYIDR,D,19940318,000000,20.249,20.249,20.249,20.249,0,0
JPYIDR,D,19940321,000000,20.269,20.269,20.269,20.269,0,0
JPYIDR,D,19940322,000000,20.228,20.228,20.228,20.228,0,0
JPYIDR,D,19940323,000000,20.28,20.28,20.28,20.28,0,0
JPYIDR,D,19940324,000000,20.229,20.229,20.229,20.229,0,0
JPYIDR,D,19940325,000000,20.178,20.178,20.178,20.178,0,0
JPYIDR,D,19940328,000000,20.522,20.522,20.522,20.522,0,0
JPYIDR,D,19940329,000000,20.512,20.512,20.512,20.512,0,0
JPYIDR,D,19940330,000000,20.827,20.827,20.827,20.827,0,0
JPYIDR,D,19940331,000000,20.904,20.904,20.904,20.904,0,0
JPYIDR,D,19940401,000000,20.924,20.924,20.924,20.924,0,0
JPYIDR,D,19940405,000000,20.91,20.91,20.91,20.91,0,0
JPYIDR,D,19940406,000000,20.904,20.904,20.904,20.904,0,0
JPYIDR,D,19940407,000000,20.624,20.624,20.624,20.624,0,0
JPYIDR,D,19940408,000000,20.7,20.7,20.7,20.7,0,0
JPYIDR,D,19940411,000000,20.506,20.506,20.506,20.506,0,0
JPYIDR,D,19940412,000000,20.902,20.902,20.902,20.902,0,0
JPYIDR,D,19940413,000000,20.816,20.816,20.816,20.816,0,0
JPYIDR,D,19940414,000000,20.807,20.807,20.807,20.807,0,0
JPYIDR,D,19940415,000000,20.693,20.693,20.693,20.693,0,0
JPYIDR,D,19940418,000000,20.789,20.789,20.789,20.789,0,0
JPYIDR,D,19940419,000000,20.834,20.834,20.834,20.834,0,0
JPYIDR,D,19940420,000000,20.964,20.964,20.964,20.964,0,0
JPYIDR,D,19940421,000000,20.87,20.87,20.87,20.87,0,0
JPYIDR,D,19940422,000000,21.061,21.061,21.061,21.061,0,0
JPYIDR,D,19940425,000000,20.774,20.774,20.774,20.774,0,0
JPYIDR,D,19940426,000000,20.965,20.965,20.965,20.965,0,0
JPYIDR,D,19940427,000000,20.973,20.973,20.973,20.973,0,0
JPYIDR,D,19940428,000000,21.021,21.021,21.021,21.021,0,0
JPYIDR,D,19940429,000000,21.13,21.13,21.13,21.13,0,0
JPYIDR,D,19940504,000000,21.324,21.324,21.324,21.324,0,0
JPYIDR,D,19940505,000000,21.056,21.056,21.056,21.056,0,0
JPYIDR,D,19940506,000000,20.979,20.979,20.979,20.979,0,0
JPYIDR,D,19940509,000000,20.974,20.974,20.974,20.974,0,0
JPYIDR,D,19940510,000000,21.046,21.046,21.046,21.046,0,0
JPYIDR,D,19940511,000000,20.887,20.887,20.887,20.887,0,0
JPYIDR,D,19940512,000000,20.752,20.752,20.752,20.752,0,0
JPYIDR,D,19940513,000000,20.663,20.663,20.663,20.663,0,0
JPYIDR,D,19940516,000000,20.61,20.61,20.61,20.61,0,0
JPYIDR,D,19940517,000000,20.712,20.712,20.712,20.712,0,0
JPYIDR,D,19940518,000000,20.627,20.627,20.627,20.627,0,0
JPYIDR,D,19940519,000000,20.83,20.83,20.83,20.83,0,0
JPYIDR,D,19940520,000000,20.884,20.884,20.884,20.884,0,0
JPYIDR,D,19940523,000000,20.69,20.69,20.69,20.69,0,0
JPYIDR,D,19940524,000000,20.735,20.735,20.735,20.735,0,0
JPYIDR,D,19940525,000000,20.766,20.766,20.766,20.766,0,0
JPYIDR,D,19940526,000000,20.676,20.676,20.676,20.676,0,0
JPYIDR,D,19940527,000000,20.747,20.747,20.747,20.747,0,0
JPYIDR,D,19940530,000000,20.681,20.681,20.681,20.681,0,0
JPYIDR,D,19940531,000000,20.733,20.733,20.733,20.733,0,0
JPYIDR,D,19940601,000000,20.679,20.679,20.679,20.679,0,0
JPYIDR,D,19940603,000000,20.713,20.713,20.713,20.713,0,0
JPYIDR,D,19940606,000000,20.58,20.58,20.58,20.58,0,0
JPYIDR,D,19940607,000000,20.609,20.609,20.609,20.609,0,0
JPYIDR,D,19940608,000000,20.588,20.588,20.588,20.588,0,0
JPYIDR,D,19940609,000000,20.799,20.799,20.799,20.799,0,0
JPYIDR,D,19940610,000000,20.819,20.819,20.819,20.819,0,0
JPYIDR,D,19940613,000000,20.84,20.84,20.84,20.84,0,0
JPYIDR,D,19940614,000000,20.942,20.942,20.942,20.942,0,0
JPYIDR,D,19940615,000000,21.057,21.057,21.057,21.057,0,0
JPYIDR,D,19940616,000000,21.061,21.061,21.061,21.061,0,0
JPYIDR,D,19940617,000000,20.983,20.983,20.983,20.983,0,0
JPYIDR,D,19940620,000000,20.943,20.943,20.943,20.943,0,0
JPYIDR,D,19940621,000000,21.18,21.18,21.18,21.18,0,0
JPYIDR,D,19940622,000000,21.259,21.259,21.259,21.259,0,0
JPYIDR,D,19940623,000000,21.538,21.538,21.538,21.538,0,0
JPYIDR,D,19940624,000000,21.392,21.392,21.392,21.392,0,0
JPYIDR,D,19940627,000000,21.569,21.569,21.569,21.569,0,0
JPYIDR,D,19940628,000000,21.692,21.692,21.692,21.692,0,0
JPYIDR,D,19940629,000000,21.572,21.572,21.572,21.572,0,0
JPYIDR,D,19940630,000000,21.865,21.865,21.865,21.865,0,0
JPYIDR,D,19940701,000000,21.909,21.909,21.909,21.909,0,0
JPYIDR,D,19940704,000000,21.79,21.79,21.79,21.79,0,0
JPYIDR,D,19940705,000000,21.866,21.866,21.866,21.866,0,0
JPYIDR,D,19940706,000000,21.95,21.95,21.95,21.95,0,0
JPYIDR,D,19940707,000000,22.111,22.111,22.111,22.111,0,0
JPYIDR,D,19940708,000000,21.893,21.893,21.893,21.893,0,0
JPYIDR,D,19940711,000000,21.98,21.98,21.98,21.98,0,0
JPYIDR,D,19940712,000000,22.127,22.127,22.127,22.127,0,0
JPYIDR,D,19940713,000000,22.237,22.237,22.237,22.237,0,0
JPYIDR,D,19940714,000000,22.191,22.191,22.191,22.191,0,0
JPYIDR,D,19940715,000000,22.024,22.024,22.024,22.024,0,0
JPYIDR,D,19940718,000000,22.064,22.064,22.064,22.064,0,0
JPYIDR,D,19940719,000000,21.989,21.989,21.989,21.989,0,0
JPYIDR,D,19940720,000000,22.015,22.015,22.015,22.015,0,0
JPYIDR,D,19940721,000000,21.751,21.751,21.751,21.751,0,0
JPYIDR,D,19940722,000000,22.045,22.045,22.045,22.045,0,0
JPYIDR,D,19940725,000000,21.958,21.958,21.958,21.958,0,0
JPYIDR,D,19940726,000000,21.956,21.956,21.956,21.956,0,0
JPYIDR,D,19940727,000000,21.965,21.965,21.965,21.965,0,0
JPYIDR,D,19940728,000000,22.058,22.058,22.058,22.058,0,0
JPYIDR,D,19940729,000000,21.95,21.95,21.95,21.95,0,0
JPYIDR,D,19940801,000000,21.514,21.514,21.514,21.514,0,0
JPYIDR,D,19940802,000000,21.939,21.939,21.939,21.939,0,0
JPYIDR,D,19940803,000000,21.677,21.677,21.677,21.677,0,0
JPYIDR,D,19940804,000000,21.463,21.463,21.463,21.463,0,0
JPYIDR,D,19940805,000000,21.644,21.644,21.644,21.644,0,0
JPYIDR,D,19940808,000000,21.468,21.468,21.468,21.468,0,0
JPYIDR,D,19940809,000000,21.385,21.385,21.385,21.385,0,0
JPYIDR,D,19940810,000000,21.325,21.325,21.325,21.325,0,0
JPYIDR,D,19940811,000000,21.358,21.358,21.358,21.358,0,0
JPYIDR,D,19940812,000000,21.398,21.398,21.398,21.398,0,0
JPYIDR,D,19940816,000000,21.608,21.608,21.608,21.608,0,0
JPYIDR,D,19940817,000000,21.475,21.475,21.475,21.475,0,0
JPYIDR,D,19940818,000000,21.55,21.55,21.55,21.55,0,0
JPYIDR,D,19940819,000000,21.637,21.637,21.637,21.637,0,0
JPYIDR,D,19940822,000000,21.994,21.994,21.994,21.994,0,0
JPYIDR,D,19940823,000000,22.099,22.099,22.099,22.099,0,0
JPYIDR,D,19940824,000000,22.003,22.003,22.003,22.003,0,0
JPYIDR,D,19940825,000000,22.068,22.068,22.068,22.068,0,0
JPYIDR,D,19940826,000000,21.866,21.866,21.866,21.866,0,0
JPYIDR,D,19940829,000000,21.848,21.848,21.848,21.848,0,0
JPYIDR,D,19940830,000000,21.633,21.633,21.633,21.633,0,0
JPYIDR,D,19940831,000000,21.771,21.771,21.771,21.771,0,0
JPYIDR,D,19940901,000000,21.702,21.702,21.702,21.702,0,0
JPYIDR,D,19940902,000000,21.746,21.746,21.746,21.746,0,0
JPYIDR,D,19940905,000000,21.825,21.825,21.825,21.825,0,0
JPYIDR,D,19940906,000000,21.974,21.974,21.974,21.974,0,0
JPYIDR,D,19940907,000000,22.048,22.048,22.048,22.048,0,0
JPYIDR,D,19940908,000000,22.051,22.051,22.051,22.051,0,0
JPYIDR,D,19940909,000000,21.934,21.934,21.934,21.934,0,0
JPYIDR,D,19940912,000000,21.867,21.867,21.867,21.867,0,0
JPYIDR,D,19940913,000000,21.975,21.975,21.975,21.975,0,0
JPYIDR,D,19940914,000000,21.942,21.942,21.942,21.942,0,0
JPYIDR,D,19940915,000000,22.08,22.08,22.08,22.08,0,0
JPYIDR,D,19940916,000000,21.926,21.926,21.926,21.926,0,0
JPYIDR,D,19940919,000000,21.927,21.927,21.927,21.927,0,0
JPYIDR,D,19940920,000000,22.046,22.046,22.046,22.046,0,0
JPYIDR,D,19940921,000000,22.076,22.076,22.076,22.076,0,0
JPYIDR,D,19940922,000000,22.193,22.193,22.193,22.193,0,0
JPYIDR,D,19940923,000000,22.184,22.184,22.184,22.184,0,0
JPYIDR,D,19940926,000000,22.215,22.215,22.215,22.215,0,0
JPYIDR,D,19940927,000000,22.099,22.099,22.099,22.099,0,0
JPYIDR,D,19940928,000000,22.108,22.108,22.108,22.108,0,0
JPYIDR,D,19940929,000000,22.005,22.005,22.005,22.005,0,0
JPYIDR,D,19940930,000000,22.088,22.088,22.088,22.088,0,0
JPYIDR,D,19941003,000000,22.085,22.085,22.085,22.085,0,0
JPYIDR,D,19941004,000000,21.771,21.771,21.771,21.771,0,0
JPYIDR,D,19941005,000000,21.823,21.823,21.823,21.823,0,0
JPYIDR,D,19941006,000000,21.833,21.833,21.833,21.833,0,0
JPYIDR,D,19941007,000000,21.791,21.791,21.791,21.791,0,0
JPYIDR,D,19941010,000000,21.646,21.646,21.646,21.646,0,0
JPYIDR,D,19941011,000000,21.56,21.56,21.56,21.56,0,0
JPYIDR,D,19941012,000000,21.644,21.644,21.644,21.644,0,0
JPYIDR,D,19941013,000000,21.783,21.783,21.783,21.783,0,0
JPYIDR,D,19941014,000000,21.779,21.779,21.779,21.779,0,0
JPYIDR,D,19941017,000000,22.057,22.057,22.057,22.057,0,0
JPYIDR,D,19941018,000000,22.16,22.16,22.16,22.16,0,0
JPYIDR,D,19941019,000000,22.192,22.192,22.192,22.192,0,0
JPYIDR,D,19941020,000000,22.362,22.362,22.362,22.362,0,0
JPYIDR,D,19941021,000000,22.305,22.305,22.305,22.305,0,0
JPYIDR,D,19941024,000000,22.403,22.403,22.403,22.403,0,0
JPYIDR,D,19941025,000000,22.318,22.318,22.318,22.318,0,0
JPYIDR,D,19941026,000000,22.506,22.506,22.506,22.506,0,0
JPYIDR,D,19941027,000000,22.384,22.384,22.384,22.384,0,0
JPYIDR,D,19941028,000000,22.479,22.479,22.479,22.479,0,0
JPYIDR,D,19941102,000000,22.387,22.387,22.387,22.387,0,0
JPYIDR,D,19941103,000000,22.505,22.505,22.505,22.505,0,0
JPYIDR,D,19941104,000000,22.223,22.223,22.223,22.223,0,0
JPYIDR,D,19941107,000000,22.177,22.177,22.177,22.177,0,0
JPYIDR,D,19941108,000000,22.324,22.324,22.324,22.324,0,0
JPYIDR,D,19941109,000000,22.404,22.404,22.404,22.404,0,0
JPYIDR,D,19941110,000000,22.21,22.21,22.21,22.21,0,0
JPYIDR,D,19941114,000000,22.307,22.307,22.307,22.307,0,0
JPYIDR,D,19941115,000000,22.153,22.153,22.153,22.153,0,0
JPYIDR,D,19941116,000000,22.174,22.174,22.174,22.174,0,0
