<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYNZD,D,19840109,000000,0.6567,0.6567,0.6567,0.6567,0,0
JPYNZD,D,19840116,000000,0.6597,0.6597,0.6597,0.6597,0,0
JPYNZD,D,19840123,000000,0.6579,0.6579,0.6579,0.6579,0,0
JPYNZD,D,19840130,000000,0.6582,0.6582,0.6582,0.6582,0,0
JPYNZD,D,19840206,000000,0.6509,0.6509,0.6509,0.6509,0,0
JPYNZD,D,19840213,000000,0.6506,0.6506,0.6506,0.6506,0,0
JPYNZD,D,19840220,000000,0.6538,0.6538,0.6538,0.6538,0,0
JPYNZD,D,19840301,000000,0.6449,0.6449,0.6449,0.6449,0,0
JPYNZD,D,19840305,000000,0.6481,0.6481,0.6481,0.6481,0,0
JPYNZD,D,19840312,000000,0.6737,0.6737,0.6737,0.6737,0,0
JPYNZD,D,19840319,000000,0.6715,0.6715,0.6715,0.6715,0,0
JPYNZD,D,19840326,000000,0.6685,0.6685,0.6685,0.6685,0,0
JPYNZD,D,19840402,000000,0.6717,0.6717,0.6717,0.6717,0,0
JPYNZD,D,19840409,000000,0.6762,0.6762,0.6762,0.6762,0,0
JPYNZD,D,19840416,000000,0.6777,0.6777,0.6777,0.6777,0,0
JPYNZD,D,19840424,000000,0.6762,0.6762,0.6762,0.6762,0,0
JPYNZD,D,19840502,000000,0.6782,0.6782,0.6782,0.6782,0,0
JPYNZD,D,19840507,000000,0.6769,0.6769,0.6769,0.6769,0,0
JPYNZD,D,19840514,000000,0.6779,0.6779,0.6779,0.6779,0,0
JPYNZD,D,19840521,000000,0.6702,0.6702,0.6702,0.6702,0,0
JPYNZD,D,19840528,000000,0.6634,0.6634,0.6634,0.6634,0,0
JPYNZD,D,19840604,000000,0.6618,0.6618,0.6618,0.6618,0,0
JPYNZD,D,19840611,000000,0.6754,0.6754,0.6754,0.6754,0,0
JPYNZD,D,19840618,000000,0.6705,0.6705,0.6705,0.6705,0,0
JPYNZD,D,19840625,000000,0.6806,0.6806,0.6806,0.6806,0,0
JPYNZD,D,19840702,000000,0.6654,0.6654,0.6654,0.6654,0,0
JPYNZD,D,19840709,000000,0.6738,0.6738,0.6738,0.6738,0,0
JPYNZD,D,19840716,000000,0.6708,0.6708,0.6708,0.6708,0,0
JPYNZD,D,19840723,000000,0.8339,0.8339,0.8339,0.8339,0,0
JPYNZD,D,19840730,000000,0.8197,0.8197,0.8197,0.8197,0,0
JPYNZD,D,19840806,000000,0.819,0.819,0.819,0.819,0,0
JPYNZD,D,19840813,000000,0.8269,0.8269,0.8269,0.8269,0,0
JPYNZD,D,19840820,000000,0.824,0.824,0.824,0.824,0,0
JPYNZD,D,19840827,000000,0.8265,0.8265,0.8265,0.8265,0,0
JPYNZD,D,19840901,000000,0.8291,0.8291,0.8291,0.8291,0,0
JPYNZD,D,19840910,000000,0.8353,0.8353,0.8353,0.8353,0,0
JPYNZD,D,19840917,000000,0.8363,0.8363,0.8363,0.8363,0,0
JPYNZD,D,19840924,000000,0.8274,0.8274,0.8274,0.8274,0,0
JPYNZD,D,19841001,000000,0.8327,0.8327,0.8327,0.8327,0,0
JPYNZD,D,19841008,000000,0.8374,0.8374,0.8374,0.8374,0,0
JPYNZD,D,19841015,000000,0.8365,0.8365,0.8365,0.8365,0,0
JPYNZD,D,19841022,000000,0.8292,0.8292,0.8292,0.8292,0,0
JPYNZD,D,19841029,000000,0.8382,0.8382,0.8382,0.8382,0,0
JPYNZD,D,19841105,000000,0.8202,0.8202,0.8202,0.8202,0,0
JPYNZD,D,19841112,000000,0.8329,0.8329,0.8329,0.8329,0,0
JPYNZD,D,19841119,000000,0.8428,0.8428,0.8428,0.8428,0,0
JPYNZD,D,19841126,000000,0.8407,0.8407,0.8407,0.8407,0,0
JPYNZD,D,19841201,000000,0.8323,0.8323,0.8323,0.8323,0,0
JPYNZD,D,19841210,000000,0.8352,0.8352,0.8352,0.8352,0,0
JPYNZD,D,19841217,000000,0.8394,0.8394,0.8394,0.8394,0,0
JPYNZD,D,19841224,000000,0.8446,0.8446,0.8446,0.8446,0,0
JPYNZD,D,19850101,000000,0.8414,0.8414,0.8414,0.8414,0,0
JPYNZD,D,19850107,000000,0.8446,0.8446,0.8446,0.8446,0,0
JPYNZD,D,19850114,000000,0.8439,0.8439,0.8439,0.8439,0,0
JPYNZD,D,19850121,000000,0.8379,0.8379,0.8379,0.8379,0,0
JPYNZD,D,19850128,000000,0.8413,0.8413,0.8413,0.8413,0,0
JPYNZD,D,19850204,000000,0.8485,0.8485,0.8485,0.8485,0,0
JPYNZD,D,19850211,000000,0.8436,0.8436,0.8436,0.8436,0,0
JPYNZD,D,19850218,000000,0.835,0.835,0.835,0.835,0,0
JPYNZD,D,19850225,000000,0.8713,0.8713,0.8713,0.8713,0,0
JPYNZD,D,19850304,000000,0.8946,0.8946,0.8946,0.8946,0,0
JPYNZD,D,19850311,000000,0.8038,0.8038,0.8038,0.8038,0,0
JPYNZD,D,19850318,000000,0.8633,0.8633,0.8633,0.8633,0,0
JPYNZD,D,19850325,000000,0.8498,0.8498,0.8498,0.8498,0,0
JPYNZD,D,19850329,000000,0.8542,0.8542,0.8542,0.8542,0,0
JPYNZD,D,19850401,000000,0.859,0.859,0.859,0.859,0,0
JPYNZD,D,19850409,000000,0.8794,0.8794,0.8794,0.8794,0,0
JPYNZD,D,19850415,000000,0.8584,0.8584,0.8584,0.8584,0,0
JPYNZD,D,19850422,000000,0.8782,0.8782,0.8782,0.8782,0,0
JPYNZD,D,19850429,000000,0.8866,0.8866,0.8866,0.8866,0,0
JPYNZD,D,19850506,000000,0.8768,0.8768,0.8768,0.8768,0,0
JPYNZD,D,19850513,000000,0.8674,0.8674,0.8674,0.8674,0,0
JPYNZD,D,19850520,000000,0.885,0.885,0.885,0.885,0,0
JPYNZD,D,19850527,000000,0.8859,0.8859,0.8859,0.8859,0,0
JPYNZD,D,19850601,000000,0.8805,0.8805,0.8805,0.8805,0,0
JPYNZD,D,19850610,000000,0.8911,0.8911,0.8911,0.8911,0,0
JPYNZD,D,19850617,000000,0.875,0.875,0.875,0.875,0,0
JPYNZD,D,19850624,000000,0.8605,0.8605,0.8605,0.8605,0,0
JPYNZD,D,19850701,000000,0.8266,0.8266,0.8266,0.8266,0,0
JPYNZD,D,19850708,000000,0.8507,0.8507,0.8507,0.8507,0,0
JPYNZD,D,19850715,000000,0.8254,0.8254,0.8254,0.8254,0,0
JPYNZD,D,19850723,000000,0.8153,0.8153,0.8153,0.8153,0,0
JPYNZD,D,19850729,000000,0.8056,0.8056,0.8056,0.8056,0,0
JPYNZD,D,19850805,000000,0.7929,0.7929,0.7929,0.7929,0,0
JPYNZD,D,19850812,000000,0.7673,0.7673,0.7673,0.7673,0,0
JPYNZD,D,19850819,000000,0.8057,0.8057,0.8057,0.8057,0,0
JPYNZD,D,19850826,000000,0.7901,0.7901,0.7901,0.7901,0,0
JPYNZD,D,19850902,000000,0.7922,0.7922,0.7922,0.7922,0,0
JPYNZD,D,19850909,000000,0.7882,0.7882,0.7882,0.7882,0,0
JPYNZD,D,19850916,000000,0.7845,0.7845,0.7845,0.7845,0,0
JPYNZD,D,19850923,000000,0.7613,0.7613,0.7613,0.7613,0,0
JPYNZD,D,19850930,000000,0.7921,0.7921,0.7921,0.7921,0,0
JPYNZD,D,19851007,000000,0.8165,0.8165,0.8165,0.8165,0,0
JPYNZD,D,19851014,000000,0.8218,0.8218,0.8218,0.8218,0,0
JPYNZD,D,19851021,000000,0.7956,0.7956,0.7956,0.7956,0,0
JPYNZD,D,19851028,000000,0.8278,0.8278,0.8278,0.8278,0,0
JPYNZD,D,19851104,000000,0.8073,0.8073,0.8073,0.8073,0,0
JPYNZD,D,19851111,000000,0.823,0.823,0.823,0.823,0,0
JPYNZD,D,19851118,000000,0.877,0.877,0.877,0.877,0,0
JPYNZD,D,19851125,000000,0.8563,0.8563,0.8563,0.8563,0,0
JPYNZD,D,19851202,000000,0.8661,0.8661,0.8661,0.8661,0,0
JPYNZD,D,19851209,000000,0.8627,0.8627,0.8627,0.8627,0,0
JPYNZD,D,19851216,000000,1.0263,1.0263,1.0263,1.0263,0,0
JPYNZD,D,19851223,000000,0.99,0.99,0.99,0.99,0,0
JPYNZD,D,19860101,000000,0.9873,0.9873,0.9873,0.9873,0,0
JPYNZD,D,19860106,000000,0.9501,0.9501,0.9501,0.9501,0,0
JPYNZD,D,19860113,000000,0.9855,0.9855,0.9855,0.9855,0,0
JPYNZD,D,19860120,000000,0.9823,0.9823,0.9823,0.9823,0,0
JPYNZD,D,19860127,000000,0.9302,0.9302,0.9302,0.9302,0,0
JPYNZD,D,19860201,000000,0.96,0.96,0.96,0.96,0,0
JPYNZD,D,19860210,000000,0.9627,0.9627,0.9627,0.9627,0,0
JPYNZD,D,19860217,000000,0.9858,0.9858,0.9858,0.9858,0,0
JPYNZD,D,19860224,000000,1.0432,1.0432,1.0432,1.0432,0,0
JPYNZD,D,19860301,000000,1.0508,1.0508,1.0508,1.0508,0,0
JPYNZD,D,19860303,000000,1.0568,1.0568,1.0568,1.0568,0,0
JPYNZD,D,19860310,000000,1.0704,1.0704,1.0704,1.0704,0,0
JPYNZD,D,19860317,000000,1.043,1.043,1.043,1.043,0,0
JPYNZD,D,19860318,000000,1.0477,1.0477,1.0477,1.0477,0,0
JPYNZD,D,19860324,000000,1.0706,1.0706,1.0706,1.0706,0,0
JPYNZD,D,19860401,000000,1.029,1.029,1.029,1.029,0,0
JPYNZD,D,19860407,000000,1.0142,1.0142,1.0142,1.0142,0,0
JPYNZD,D,19860409,000000,1.0175,1.0175,1.0175,1.0175,0,0
JPYNZD,D,19860414,000000,0.9983,0.9983,0.9983,0.9983,0,0
JPYNZD,D,19860421,000000,0.9719,0.9719,0.9719,0.9719,0,0
JPYNZD,D,19860428,000000,1.0069,1.0069,1.0069,1.0069,0,0
JPYNZD,D,19860505,000000,1.0296,1.0296,1.0296,1.0296,0,0
JPYNZD,D,19860512,000000,1.0155,1.0155,1.0155,1.0155,0,0
JPYNZD,D,19860519,000000,1.1128,1.1128,1.1128,1.1128,0,0
JPYNZD,D,19860526,000000,1.0776,1.0776,1.0776,1.0776,0,0
JPYNZD,D,19860602,000000,1.0499,1.0499,1.0499,1.0499,0,0
JPYNZD,D,19860609,000000,1.0417,1.0417,1.0417,1.0417,0,0
JPYNZD,D,19860616,000000,1.1127,1.1127,1.1127,1.1127,0,0
JPYNZD,D,19860623,000000,1.1288,1.1288,1.1288,1.1288,0,0
JPYNZD,D,19860630,000000,1.0923,1.0923,1.0923,1.0923,0,0
JPYNZD,D,19860707,000000,1.1448,1.1448,1.1448,1.1448,0,0
JPYNZD,D,19860714,000000,1.1645,1.1645,1.1645,1.1645,0,0
JPYNZD,D,19860721,000000,1.1559,1.1559,1.1559,1.1559,0,0
JPYNZD,D,19860728,000000,1.2175,1.2175,1.2175,1.2175,0,0
JPYNZD,D,19860804,000000,1.2409,1.2409,1.2409,1.2409,0,0
JPYNZD,D,19860811,000000,1.3046,1.3046,1.3046,1.3046,0,0
JPYNZD,D,19860818,000000,1.3004,1.3004,1.3004,1.3004,0,0
JPYNZD,D,19860825,000000,1.3367,1.3367,1.3367,1.3367,0,0
JPYNZD,D,19860901,000000,1.3375,1.3375,1.3375,1.3375,0,0
JPYNZD,D,19860908,000000,1.3591,1.3591,1.3591,1.3591,0,0
JPYNZD,D,19860915,000000,1.3464,1.3464,1.3464,1.3464,0,0
JPYNZD,D,19860922,000000,1.3544,1.3544,1.3544,1.3544,0,0
JPYNZD,D,19860929,000000,1.3194,1.3194,1.3194,1.3194,0,0
JPYNZD,D,19861006,000000,1.2836,1.2836,1.2836,1.2836,0,0
JPYNZD,D,19861013,000000,1.2809,1.2809,1.2809,1.2809,0,0
JPYNZD,D,19861020,000000,1.2904,1.2904,1.2904,1.2904,0,0
JPYNZD,D,19861027,000000,1.2757,1.2757,1.2757,1.2757,0,0
JPYNZD,D,19861101,000000,1.2372,1.2372,1.2372,1.2372,0,0
JPYNZD,D,19861110,000000,1.1767,1.1767,1.1767,1.1767,0,0
JPYNZD,D,19861117,000000,1.1996,1.1996,1.1996,1.1996,0,0
JPYNZD,D,19861124,000000,1.1826,1.1826,1.1826,1.1826,0,0
JPYNZD,D,19861201,000000,1.2276,1.2276,1.2276,1.2276,0,0
JPYNZD,D,19861208,000000,1.2304,1.2304,1.2304,1.2304,0,0
JPYNZD,D,19861215,000000,1.1936,1.1936,1.1936,1.1936,0,0
JPYNZD,D,19861222,000000,1.1546,1.1546,1.1546,1.1546,0,0
JPYNZD,D,19861231,000000,1.1796,1.1796,1.1796,1.1796,0,0
JPYNZD,D,19870112,000000,1.1676,1.1676,1.1676,1.1676,0,0
JPYNZD,D,19870119,000000,1.1924,1.1924,1.1924,1.1924,0,0
JPYNZD,D,19870126,000000,1.2043,1.2043,1.2043,1.2043,0,0
JPYNZD,D,19870201,000000,1.2074,1.2074,1.2074,1.2074,0,0
JPYNZD,D,19870209,000000,1.2096,1.2096,1.2096,1.2096,0,0
JPYNZD,D,19870216,000000,1.2035,1.2035,1.2035,1.2035,0,0
JPYNZD,D,19870223,000000,1.1864,1.1864,1.1864,1.1864,0,0
JPYNZD,D,19870302,000000,1.1521,1.1521,1.1521,1.1521,0,0
JPYNZD,D,19870309,000000,1.1571,1.1571,1.1571,1.1571,0,0
JPYNZD,D,19870316,000000,1.1545,1.1545,1.1545,1.1545,0,0
JPYNZD,D,19870323,000000,1.1852,1.1852,1.1852,1.1852,0,0
JPYNZD,D,19870330,000000,1.1902,1.1902,1.1902,1.1902,0,0
JPYNZD,D,19870406,000000,1.1974,1.1974,1.1974,1.1974,0,0
JPYNZD,D,19870413,000000,1.1874,1.1874,1.1874,1.1874,0,0
JPYNZD,D,19870421,000000,1.2365,1.2365,1.2365,1.2365,0,0
JPYNZD,D,19870427,000000,1.2025,1.2025,1.2025,1.2025,0,0
JPYNZD,D,19870504,000000,1.24,1.24,1.24,1.24,0,0
JPYNZD,D,19870511,000000,1.255,1.255,1.255,1.255,0,0
JPYNZD,D,19870518,000000,1.2343,1.2343,1.2343,1.2343,0,0
JPYNZD,D,19870525,000000,1.2288,1.2288,1.2288,1.2288,0,0
JPYNZD,D,19870601,000000,1.219,1.219,1.219,1.219,0,0
JPYNZD,D,19870608,000000,1.1888,1.1888,1.1888,1.1888,0,0
JPYNZD,D,19870615,000000,1.1836,1.1836,1.1836,1.1836,0,0
JPYNZD,D,19870622,000000,1.1698,1.1698,1.1698,1.1698,0,0
JPYNZD,D,19870629,000000,1.1549,1.1549,1.1549,1.1549,0,0
JPYNZD,D,19870706,000000,1.1438,1.1438,1.1438,1.1438,0,0
JPYNZD,D,19870713,000000,1.1076,1.1076,1.1076,1.1076,0,0
JPYNZD,D,19870720,000000,1.0974,1.0974,1.0974,1.0974,0,0
JPYNZD,D,19870727,000000,1.094,1.094,1.094,1.094,0,0
JPYNZD,D,19870803,000000,1.1492,1.1492,1.1492,1.1492,0,0
JPYNZD,D,19870810,000000,1.1565,1.1565,1.1565,1.1565,0,0
JPYNZD,D,19870817,000000,1.1201,1.1201,1.1201,1.1201,0,0
JPYNZD,D,19870824,000000,1.1166,1.1166,1.1166,1.1166,0,0
JPYNZD,D,19870831,000000,1.1523,1.1523,1.1523,1.1523,0,0
JPYNZD,D,19870907,000000,1.1633,1.1633,1.1633,1.1633,0,0
JPYNZD,D,19870914,000000,1.1132,1.1132,1.1132,1.1132,0,0
JPYNZD,D,19870921,000000,1.0724,1.0724,1.0724,1.0724,0,0
JPYNZD,D,19870928,000000,1.0685,1.0685,1.0685,1.0685,0,0
JPYNZD,D,19871005,000000,1.0572,1.0572,1.0572,1.0572,0,0
JPYNZD,D,19871012,000000,1.0522,1.0522,1.0522,1.0522,0,0
JPYNZD,D,19871019,000000,1.0665,1.0665,1.0665,1.0665,0,0
JPYNZD,D,19871026,000000,1.0948,1.0948,1.0948,1.0948,0,0
JPYNZD,D,19871102,000000,1.1739,1.1739,1.1739,1.1739,0,0
JPYNZD,D,19871109,000000,1.1708,1.1708,1.1708,1.1708,0,0
JPYNZD,D,19871116,000000,1.2255,1.2255,1.2255,1.2255,0,0
JPYNZD,D,19871123,000000,1.2009,1.2009,1.2009,1.2009,0,0
JPYNZD,D,19871130,000000,1.1423,1.1423,1.1423,1.1423,0,0
JPYNZD,D,19871207,000000,1.1768,1.1768,1.1768,1.1768,0,0
JPYNZD,D,19871214,000000,1.1663,1.1663,1.1663,1.1663,0,0
JPYNZD,D,19871221,000000,1.2087,1.2087,1.2087,1.2087,0,0
JPYNZD,D,19871228,000000,1.1991,1.1991,1.1991,1.1991,0,0
JPYNZD,D,19880104,000000,1.231,1.231,1.231,1.231,0,0
JPYNZD,D,19880111,000000,1.2279,1.2279,1.2279,1.2279,0,0
JPYNZD,D,19880118,000000,1.2012,1.2012,1.2012,1.2012,0,0
JPYNZD,D,19880125,000000,1.153,1.153,1.153,1.153,0,0
JPYNZD,D,19880201,000000,1.1836,1.1836,1.1836,1.1836,0,0
JPYNZD,D,19880208,000000,1.1714,1.1714,1.1714,1.1714,0,0
JPYNZD,D,19880215,000000,1.1689,1.1689,1.1689,1.1689,0,0
JPYNZD,D,19880222,000000,1.1572,1.1572,1.1572,1.1572,0,0
JPYNZD,D,19880229,000000,1.1697,1.1697,1.1697,1.1697,0,0
JPYNZD,D,19880307,000000,1.1688,1.1688,1.1688,1.1688,0,0
JPYNZD,D,19880314,000000,1.1679,1.1679,1.1679,1.1679,0,0
JPYNZD,D,19880321,000000,1.1861,1.1861,1.1861,1.1861,0,0
JPYNZD,D,19880328,000000,1.2175,1.2175,1.2175,1.2175,0,0
JPYNZD,D,19880405,000000,1.2268,1.2268,1.2268,1.2268,0,0
JPYNZD,D,19880411,000000,1.2179,1.2179,1.2179,1.2179,0,0
JPYNZD,D,19880418,000000,1.2029,1.2029,1.2029,1.2029,0,0
JPYNZD,D,19880425,000000,1.1975,1.1975,1.1975,1.1975,0,0
JPYNZD,D,19880502,000000,1.1926,1.1926,1.1926,1.1926,0,0
JPYNZD,D,19880509,000000,1.1657,1.1657,1.1657,1.1657,0,0
JPYNZD,D,19880516,000000,1.1633,1.1633,1.1633,1.1633,0,0
JPYNZD,D,19880523,000000,1.1509,1.1509,1.1509,1.1509,0,0
JPYNZD,D,19880530,000000,1.1571,1.1571,1.1571,1.1571,0,0
JPYNZD,D,19880606,000000,1.1569,1.1569,1.1569,1.1569,0,0
JPYNZD,D,19880613,000000,1.1289,1.1289,1.1289,1.1289,0,0
JPYNZD,D,19880620,000000,1.1044,1.1044,1.1044,1.1044,0,0
JPYNZD,D,19880627,000000,1.1449,1.1449,1.1449,1.1449,0,0
JPYNZD,D,19880704,000000,1.1108,1.1108,1.1108,1.1108,0,0
JPYNZD,D,19880711,000000,1.1165,1.1165,1.1165,1.1165,0,0
JPYNZD,D,19880718,000000,1.1565,1.1565,1.1565,1.1565,0,0
JPYNZD,D,19880725,000000,1.1033,1.1033,1.1033,1.1033,0,0
JPYNZD,D,19880801,000000,1.1423,1.1423,1.1423,1.1423,0,0
JPYNZD,D,19880808,000000,1.133,1.133,1.133,1.133,0,0
JPYNZD,D,19880815,000000,1.1361,1.1361,1.1361,1.1361,0,0
JPYNZD,D,19880822,000000,1.1736,1.1736,1.1736,1.1736,0,0
JPYNZD,D,19880829,000000,1.2513,1.2513,1.2513,1.2513,0,0
JPYNZD,D,19880905,000000,1.2458,1.2458,1.2458,1.2458,0,0
JPYNZD,D,19880912,000000,1.1902,1.1902,1.1902,1.1902,0,0
JPYNZD,D,19880919,000000,1.2393,1.2393,1.2393,1.2393,0,0
JPYNZD,D,19880926,000000,1.2152,1.2152,1.2152,1.2152,0,0
JPYNZD,D,19881003,000000,1.2152,1.2152,1.2152,1.2152,0,0
JPYNZD,D,19881010,000000,1.2281,1.2281,1.2281,1.2281,0,0
JPYNZD,D,19881017,000000,1.2188,1.2188,1.2188,1.2188,0,0
JPYNZD,D,19881024,000000,1.2661,1.2661,1.2661,1.2661,0,0
JPYNZD,D,19881031,000000,1.2571,1.2571,1.2571,1.2571,0,0
JPYNZD,D,19881107,000000,1.2862,1.2862,1.2862,1.2862,0,0
JPYNZD,D,19881114,000000,1.2449,1.2449,1.2449,1.2449,0,0
JPYNZD,D,19881121,000000,1.2539,1.2539,1.2539,1.2539,0,0
JPYNZD,D,19881128,000000,1.2573,1.2573,1.2573,1.2573,0,0
JPYNZD,D,19881205,000000,1.2525,1.2525,1.2525,1.2525,0,0
JPYNZD,D,19881212,000000,1.2869,1.2869,1.2869,1.2869,0,0
JPYNZD,D,19881219,000000,1.301,1.301,1.301,1.301,0,0
JPYNZD,D,19881227,000000,1.2603,1.2603,1.2603,1.2603,0,0
JPYNZD,D,19890102,000000,1.2627,1.2627,1.2627,1.2627,0,0
