<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYUAH,D,19960902,000000,1.614,1.614,1.614,1.614,0,0
JPYUAH,D,19960903,000000,1.6088,1.6088,1.6088,1.6088,0,0
JPYUAH,D,19960904,000000,1.6152,1.6152,1.6152,1.6152,0,0
JPYUAH,D,19960905,000000,1.6143,1.6143,1.6143,1.6143,0,0
JPYUAH,D,19960906,000000,1.6125,1.6125,1.6125,1.6125,0,0
JPYUAH,D,19960909,000000,1.6155,1.6155,1.6155,1.6155,0,0
JPYUAH,D,19960910,000000,1.6092,1.6092,1.6092,1.6092,0,0
JPYUAH,D,19960911,000000,1.5971,1.5971,1.5971,1.5971,0,0
JPYUAH,D,19960912,000000,1.5994,1.5994,1.5994,1.5994,0,0
JPYUAH,D,19960913,000000,1.5942,1.5942,1.5942,1.5942,0,0
JPYUAH,D,19960916,000000,1.5933,1.5933,1.5933,1.5933,0,0
JPYUAH,D,19960917,000000,1.5971,1.5971,1.5971,1.5971,0,0
JPYUAH,D,19960918,000000,1.5988,1.5988,1.5988,1.5988,0,0
JPYUAH,D,19960919,000000,1.6093,1.6093,1.6093,1.6093,0,0
JPYUAH,D,19960920,000000,1.6023,1.6023,1.6023,1.6023,0,0
JPYUAH,D,19960923,000000,1.6021,1.6021,1.6021,1.6021,0,0
JPYUAH,D,19960924,000000,1.6031,1.6031,1.6031,1.6031,0,0
JPYUAH,D,19960925,000000,1.5978,1.5978,1.5978,1.5978,0,0
JPYUAH,D,19960926,000000,1.5915,1.5915,1.5915,1.5915,0,0
JPYUAH,D,19960927,000000,1.5875,1.5875,1.5875,1.5875,0,0
JPYUAH,D,19960930,000000,1.5769,1.5769,1.5769,1.5769,0,0
JPYUAH,D,19961001,000000,1.5816,1.5816,1.5816,1.5816,0,0
JPYUAH,D,19961002,000000,1.5746,1.5746,1.5746,1.5746,0,0
JPYUAH,D,19961003,000000,1.5796,1.5796,1.5796,1.5796,0,0
JPYUAH,D,19961004,000000,1.5775,1.5775,1.5775,1.5775,0,0
JPYUAH,D,19961007,000000,1.5785,1.5785,1.5785,1.5785,0,0
JPYUAH,D,19961008,000000,1.5918,1.5918,1.5918,1.5918,0,0
JPYUAH,D,19961009,000000,1.5851,1.5851,1.5851,1.5851,0,0
JPYUAH,D,19961010,000000,1.588,1.588,1.588,1.588,0,0
JPYUAH,D,19961011,000000,1.5875,1.5875,1.5875,1.5875,0,0
JPYUAH,D,19961014,000000,1.585,1.585,1.585,1.585,0,0
JPYUAH,D,19961015,000000,1.5767,1.5767,1.5767,1.5767,0,0
JPYUAH,D,19961016,000000,1.5823,1.5823,1.5823,1.5823,0,0
JPYUAH,D,19961017,000000,1.5804,1.5804,1.5804,1.5804,0,0
JPYUAH,D,19961018,000000,1.5801,1.5801,1.5801,1.5801,0,0
JPYUAH,D,19961021,000000,1.575,1.575,1.575,1.575,0,0
JPYUAH,D,19961022,000000,1.5775,1.5775,1.5775,1.5775,0,0
JPYUAH,D,19961023,000000,1.5791,1.5791,1.5791,1.5791,0,0
JPYUAH,D,19961024,000000,1.5798,1.5798,1.5798,1.5798,0,0
JPYUAH,D,19961025,000000,1.5756,1.5756,1.5756,1.5756,0,0
JPYUAH,D,19961028,000000,1.5612,1.5612,1.5612,1.5612,0,0
JPYUAH,D,19961029,000000,1.5759,1.5759,1.5759,1.5759,0,0
JPYUAH,D,19961030,000000,1.5731,1.5731,1.5731,1.5731,0,0
JPYUAH,D,19961031,000000,1.5928,1.5928,1.5928,1.5928,0,0
JPYUAH,D,19961104,000000,1.5998,1.5998,1.5998,1.5998,0,0
JPYUAH,D,19961105,000000,1.6087,1.6087,1.6087,1.6087,0,0
JPYUAH,D,19961106,000000,1.6185,1.6185,1.6185,1.6185,0,0
JPYUAH,D,19961107,000000,1.6583,1.6583,1.6583,1.6583,0,0
JPYUAH,D,19961108,000000,1.6576,1.6576,1.6576,1.6576,0,0
JPYUAH,D,19961112,000000,1.6712,1.6712,1.6712,1.6712,0,0
JPYUAH,D,19961113,000000,1.6791,1.6791,1.6791,1.6791,0,0
JPYUAH,D,19961114,000000,1.6753,1.6753,1.6753,1.6753,0,0
JPYUAH,D,19961115,000000,1.6865,1.6865,1.6865,1.6865,0,0
JPYUAH,D,19961118,000000,1.6772,1.6772,1.6772,1.6772,0,0
JPYUAH,D,19961119,000000,1.6786,1.6786,1.6786,1.6786,0,0
JPYUAH,D,19961120,000000,1.6812,1.6812,1.6812,1.6812,0,0
JPYUAH,D,19961121,000000,1.6727,1.6727,1.6727,1.6727,0,0
JPYUAH,D,19961122,000000,1.681,1.681,1.681,1.681,0,0
JPYUAH,D,19961125,000000,1.6619,1.6619,1.6619,1.6619,0,0
JPYUAH,D,19961126,000000,1.6612,1.6612,1.6612,1.6612,0,0
JPYUAH,D,19961127,000000,1.6543,1.6543,1.6543,1.6543,0,0
JPYUAH,D,19961128,000000,1.65,1.65,1.65,1.65,0,0
JPYUAH,D,19961129,000000,1.648,1.648,1.648,1.648,0,0
JPYUAH,D,19961202,000000,1.6469,1.6469,1.6469,1.6469,0,0
JPYUAH,D,19961203,000000,1.6465,1.6465,1.6465,1.6465,0,0
