<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYXDR,D,19910102,000000,0.5166,0.5166,0.5166,0.5166,0,0
JPYXDR,D,19910103,000000,0.5198,0.5198,0.5198,0.5198,0,0
JPYXDR,D,19910104,000000,0.5289,0.5289,0.5289,0.5289,0,0
JPYXDR,D,19910107,000000,0.5323,0.5323,0.5323,0.5323,0,0
JPYXDR,D,19910108,000000,0.5186,0.5186,0.5186,0.5186,0,0
JPYXDR,D,19910109,000000,0.5159,0.5159,0.5159,0.5159,0,0
JPYXDR,D,19910110,000000,0.5221,0.5221,0.5221,0.5221,0,0
JPYXDR,D,19910111,000000,0.5232,0.5232,0.5232,0.5232,0,0
JPYXDR,D,19910114,000000,0.5295,0.5295,0.5295,0.5295,0,0
JPYXDR,D,19910115,000000,0.5244,0.5244,0.5244,0.5244,0,0
JPYXDR,D,19910116,000000,0.5255,0.5255,0.5255,0.5255,0,0
JPYXDR,D,19910117,000000,0.5145,0.5145,0.5145,0.5145,0,0
JPYXDR,D,19910118,000000,0.5238,0.5238,0.5238,0.5238,0,0
JPYXDR,D,19910121,000000,0.523,0.523,0.523,0.523,0,0
JPYXDR,D,19910122,000000,0.5268,0.5268,0.5268,0.5268,0,0
JPYXDR,D,19910123,000000,0.5316,0.5316,0.5316,0.5316,0,0
JPYXDR,D,19910124,000000,0.5261,0.5261,0.5261,0.5261,0,0
JPYXDR,D,19910125,000000,0.5291,0.5291,0.5291,0.5291,0,0
JPYXDR,D,19910128,000000,0.529,0.529,0.529,0.529,0,0
JPYXDR,D,19910129,000000,0.526,0.526,0.526,0.526,0,0
JPYXDR,D,19910130,000000,0.5316,0.5316,0.5316,0.5316,0,0
JPYXDR,D,19910131,000000,0.5276,0.5276,0.5276,0.5276,0,0
JPYXDR,D,19910201,000000,0.5181,0.5181,0.5181,0.5181,0,0
JPYXDR,D,19910204,000000,0.5241,0.5241,0.5241,0.5241,0,0
JPYXDR,D,19910205,000000,0.5272,0.5272,0.5272,0.5272,0,0
JPYXDR,D,19910206,000000,0.528,0.528,0.528,0.528,0,0
JPYXDR,D,19910207,000000,0.5338,0.5338,0.5338,0.5338,0,0
JPYXDR,D,19910208,000000,0.5347,0.5347,0.5347,0.5347,0,0
JPYXDR,D,19910211,000000,0.536,0.536,0.536,0.536,0,0
JPYXDR,D,19910212,000000,0.5391,0.5391,0.5391,0.5391,0,0
JPYXDR,D,19910213,000000,0.538,0.538,0.538,0.538,0,0
JPYXDR,D,19910214,000000,0.5362,0.5362,0.5362,0.5362,0,0
JPYXDR,D,19910215,000000,0.536,0.536,0.536,0.536,0,0
JPYXDR,D,19910218,000000,0.5406,0.5406,0.5406,0.5406,0,0
JPYXDR,D,19910219,000000,0.5362,0.5362,0.5362,0.5362,0,0
JPYXDR,D,19910220,000000,0.5328,0.5328,0.5328,0.5328,0,0
JPYXDR,D,19910221,000000,0.5309,0.5309,0.5309,0.5309,0,0
JPYXDR,D,19910222,000000,0.5349,0.5349,0.5349,0.5349,0,0
JPYXDR,D,19910225,000000,0.5374,0.5374,0.5374,0.5374,0,0
JPYXDR,D,19910226,000000,0.5311,0.5311,0.5311,0.5311,0,0
JPYXDR,D,19910227,000000,0.5287,0.5287,0.5287,0.5287,0,0
JPYXDR,D,19910228,000000,0.5327,0.5327,0.5327,0.5327,0,0
JPYXDR,D,19910301,000000,0.5353,0.5353,0.5353,0.5353,0,0
JPYXDR,D,19910304,000000,0.5284,0.5284,0.5284,0.5284,0,0
JPYXDR,D,19910305,000000,0.5241,0.5241,0.5241,0.5241,0,0
JPYXDR,D,19910306,000000,0.5269,0.5269,0.5269,0.5269,0,0
JPYXDR,D,19910307,000000,0.5224,0.5224,0.5224,0.5224,0,0
JPYXDR,D,19910308,000000,0.5264,0.5264,0.5264,0.5264,0,0
JPYXDR,D,19910311,000000,0.5296,0.5296,0.5296,0.5296,0,0
JPYXDR,D,19910312,000000,0.5223,0.5223,0.5223,0.5223,0,0
JPYXDR,D,19910313,000000,0.5279,0.5279,0.5279,0.5279,0,0
JPYXDR,D,19910314,000000,0.5261,0.5261,0.5261,0.5261,0,0
JPYXDR,D,19910315,000000,0.5329,0.5329,0.5329,0.5329,0,0
JPYXDR,D,19910318,000000,0.5357,0.5357,0.5357,0.5357,0,0
JPYXDR,D,19910319,000000,0.5329,0.5329,0.5329,0.5329,0,0
JPYXDR,D,19910320,000000,0.5364,0.5364,0.5364,0.5364,0,0
JPYXDR,D,19910321,000000,0.5249,0.5249,0.5249,0.5249,0,0
JPYXDR,D,19910322,000000,0.5312,0.5312,0.5312,0.5312,0,0
JPYXDR,D,19910325,000000,0.5366,0.5366,0.5366,0.5366,0,0
JPYXDR,D,19910326,000000,0.5351,0.5351,0.5351,0.5351,0,0
JPYXDR,D,19910327,000000,0.5344,0.5344,0.5344,0.5344,0,0
JPYXDR,D,19910328,000000,0.5406,0.5406,0.5406,0.5406,0,0
JPYXDR,D,19910329,000000,0.529,0.529,0.529,0.529,0,0
JPYXDR,D,19910402,000000,0.5213,0.5213,0.5213,0.5213,0,0
JPYXDR,D,19910403,000000,0.5275,0.5275,0.5275,0.5275,0,0
JPYXDR,D,19910404,000000,0.5319,0.5319,0.5319,0.5319,0,0
JPYXDR,D,19910405,000000,0.5379,0.5379,0.5379,0.5379,0,0
JPYXDR,D,19910408,000000,0.5415,0.5415,0.5415,0.5415,0,0
JPYXDR,D,19910409,000000,0.5349,0.5349,0.5349,0.5349,0,0
JPYXDR,D,19910410,000000,0.5368,0.5368,0.5368,0.5368,0,0
JPYXDR,D,19910411,000000,0.5412,0.5412,0.5412,0.5412,0,0
JPYXDR,D,19910412,000000,0.5384,0.5384,0.5384,0.5384,0,0
JPYXDR,D,19910415,000000,0.5399,0.5399,0.5399,0.5399,0,0
JPYXDR,D,19910416,000000,0.5415,0.5415,0.5415,0.5415,0,0
JPYXDR,D,19910417,000000,0.5435,0.5435,0.5435,0.5435,0,0
JPYXDR,D,19910418,000000,0.5441,0.5441,0.5441,0.5441,0,0
JPYXDR,D,19910419,000000,0.5464,0.5464,0.5464,0.5464,0,0
JPYXDR,D,19910422,000000,0.5468,0.5468,0.5468,0.5468,0,0
JPYXDR,D,19910423,000000,0.5408,0.5408,0.5408,0.5408,0,0
JPYXDR,D,19910424,000000,0.5423,0.5423,0.5423,0.5423,0,0
JPYXDR,D,19910425,000000,0.5445,0.5445,0.5445,0.5445,0,0
JPYXDR,D,19910426,000000,0.5448,0.5448,0.5448,0.5448,0,0
JPYXDR,D,19910429,000000,0.5442,0.5442,0.5442,0.5442,0,0
JPYXDR,D,19910430,000000,0.5364,0.5364,0.5364,0.5364,0,0
JPYXDR,D,19910501,000000,0.5403,0.5403,0.5403,0.5403,0,0
JPYXDR,D,19910506,000000,0.5438,0.5438,0.5438,0.5438,0,0
JPYXDR,D,19910507,000000,0.5405,0.5405,0.5405,0.5405,0,0
JPYXDR,D,19910508,000000,0.5388,0.5388,0.5388,0.5388,0,0
JPYXDR,D,19910509,000000,0.5434,0.5434,0.5434,0.5434,0,0
JPYXDR,D,19910510,000000,0.538,0.538,0.538,0.538,0,0
JPYXDR,D,19910513,000000,0.5359,0.5359,0.5359,0.5359,0,0
JPYXDR,D,19910514,000000,0.5329,0.5329,0.5329,0.5329,0,0
JPYXDR,D,19910515,000000,0.5324,0.5324,0.5324,0.5324,0,0
JPYXDR,D,19910516,000000,0.5356,0.5356,0.5356,0.5356,0,0
JPYXDR,D,19910517,000000,0.5426,0.5426,0.5426,0.5426,0,0
JPYXDR,D,19910520,000000,0.5418,0.5418,0.5418,0.5418,0,0
JPYXDR,D,19910521,000000,0.5361,0.5361,0.5361,0.5361,0,0
JPYXDR,D,19910522,000000,0.5412,0.5412,0.5412,0.5412,0,0
JPYXDR,D,19910523,000000,0.5396,0.5396,0.5396,0.5396,0,0
JPYXDR,D,19910524,000000,0.5389,0.5389,0.5389,0.5389,0,0
JPYXDR,D,19910527,000000,0.5367,0.5367,0.5367,0.5367,0,0
JPYXDR,D,19910528,000000,0.5364,0.5364,0.5364,0.5364,0,0
JPYXDR,D,19910529,000000,0.5396,0.5396,0.5396,0.5396,0,0
JPYXDR,D,19910531,000000,0.5451,0.5451,0.5451,0.5451,0,0
JPYXDR,D,19910603,000000,0.5433,0.5433,0.5433,0.5433,0,0
JPYXDR,D,19910604,000000,0.5393,0.5393,0.5393,0.5393,0,0
JPYXDR,D,19910605,000000,0.5402,0.5402,0.5402,0.5402,0,0
JPYXDR,D,19910606,000000,0.5395,0.5395,0.5395,0.5395,0,0
JPYXDR,D,19910607,000000,0.543,0.543,0.543,0.543,0,0
JPYXDR,D,19910610,000000,0.5421,0.5421,0.5421,0.5421,0,0
JPYXDR,D,19910611,000000,0.5361,0.5361,0.5361,0.5361,0,0
JPYXDR,D,19910612,000000,0.5379,0.5379,0.5379,0.5379,0,0
JPYXDR,D,19910613,000000,0.5393,0.5393,0.5393,0.5393,0,0
JPYXDR,D,19910614,000000,0.5355,0.5355,0.5355,0.5355,0,0
JPYXDR,D,19910617,000000,0.54,0.54,0.54,0.54,0,0
JPYXDR,D,19910618,000000,0.5415,0.5415,0.5415,0.5415,0,0
JPYXDR,D,19910619,000000,0.5373,0.5373,0.5373,0.5373,0,0
JPYXDR,D,19910620,000000,0.5393,0.5393,0.5393,0.5393,0,0
JPYXDR,D,19910621,000000,0.5488,0.5488,0.5488,0.5488,0,0
JPYXDR,D,19910624,000000,0.5462,0.5462,0.5462,0.5462,0,0
JPYXDR,D,19910625,000000,0.5447,0.5447,0.5447,0.5447,0,0
JPYXDR,D,19910626,000000,0.5457,0.5457,0.5457,0.5457,0,0
JPYXDR,D,19910627,000000,0.5479,0.5479,0.5479,0.5479,0,0
JPYXDR,D,19910628,000000,0.5515,0.5515,0.5515,0.5515,0,0
JPYXDR,D,19910701,000000,0.5531,0.5531,0.5531,0.5531,0,0
JPYXDR,D,19910702,000000,0.5574,0.5574,0.5574,0.5574,0,0
JPYXDR,D,19910703,000000,0.552,0.552,0.552,0.552,0,0
JPYXDR,D,19910704,000000,0.5505,0.5505,0.5505,0.5505,0,0
JPYXDR,D,19910705,000000,0.549,0.549,0.549,0.549,0,0
JPYXDR,D,19910708,000000,0.5493,0.5493,0.5493,0.5493,0,0
JPYXDR,D,19910709,000000,0.5497,0.5497,0.5497,0.5497,0,0
JPYXDR,D,19910710,000000,0.5492,0.5492,0.5492,0.5492,0,0
JPYXDR,D,19910711,000000,0.5516,0.5516,0.5516,0.5516,0,0
JPYXDR,D,19910712,000000,0.5464,0.5464,0.5464,0.5464,0,0
