<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWBRL,D,19950103,000000,0.10672,0.10672,0.10672,0.10672,0,0
KRWBRL,D,19950104,000000,0.10677,0.10677,0.10677,0.10677,0,0
KRWBRL,D,19950105,000000,0.10641,0.10641,0.10641,0.10641,0,0
KRWBRL,D,19950106,000000,0.10601,0.10601,0.10601,0.10601,0,0
KRWBRL,D,19950109,000000,0.10639,0.10639,0.10639,0.10639,0,0
KRWBRL,D,19950110,000000,0.10665,0.10665,0.10665,0.10665,0,0
KRWBRL,D,19950111,000000,0.10714,0.10714,0.10714,0.10714,0,0
KRWBRL,D,19950112,000000,0.10656,0.10656,0.10656,0.10656,0,0
KRWBRL,D,19950113,000000,0.10684,0.10684,0.10684,0.10684,0,0
KRWBRL,D,19950116,000000,0.10663,0.10663,0.10663,0.10663,0,0
KRWBRL,D,19950117,000000,0.10633,0.10633,0.10633,0.10633,0,0
KRWBRL,D,19950118,000000,0.10642,0.10642,0.10642,0.10642,0,0
KRWBRL,D,19950119,000000,0.10666,0.10666,0.10666,0.10666,0,0
KRWBRL,D,19950120,000000,0.10662,0.10662,0.10662,0.10662,0,0
KRWBRL,D,19950123,000000,0.10685,0.10685,0.10685,0.10685,0,0
KRWBRL,D,19950124,000000,0.10702,0.10702,0.10702,0.10702,0,0
KRWBRL,D,19950125,000000,0.1073,0.1073,0.1073,0.1073,0,0
KRWBRL,D,19950126,000000,0.10689,0.10689,0.10689,0.10689,0,0
KRWBRL,D,19950127,000000,0.10707,0.10707,0.10707,0.10707,0,0
KRWBRL,D,19950130,000000,0.10712,0.10712,0.10712,0.10712,0,0
KRWBRL,D,19950131,000000,0.10653,0.10653,0.10653,0.10653,0,0
KRWBRL,D,19950201,000000,0.10664,0.10664,0.10664,0.10664,0,0
KRWBRL,D,19950202,000000,0.10624,0.10624,0.10624,0.10624,0,0
KRWBRL,D,19950203,000000,0.10596,0.10596,0.10596,0.10596,0,0
KRWBRL,D,19950206,000000,0.10522,0.10522,0.10522,0.10522,0,0
KRWBRL,D,19950207,000000,0.10515,0.10515,0.10515,0.10515,0,0
KRWBRL,D,19950208,000000,0.10531,0.10531,0.10531,0.10531,0,0
KRWBRL,D,19950209,000000,0.10502,0.10502,0.10502,0.10502,0,0
KRWBRL,D,19950210,000000,0.10507,0.10507,0.10507,0.10507,0,0
KRWBRL,D,19950213,000000,0.10447,0.10447,0.10447,0.10447,0,0
KRWBRL,D,19950214,000000,0.10474,0.10474,0.10474,0.10474,0,0
KRWBRL,D,19950215,000000,0.1053,0.1053,0.1053,0.1053,0,0
KRWBRL,D,19950216,000000,0.10626,0.10626,0.10626,0.10626,0,0
KRWBRL,D,19950217,000000,0.10657,0.10657,0.10657,0.10657,0,0
KRWBRL,D,19950220,000000,0.10523,0.10523,0.10523,0.10523,0,0
KRWBRL,D,19950221,000000,0.1058,0.1058,0.1058,0.1058,0,0
KRWBRL,D,19950222,000000,0.10712,0.10712,0.10712,0.10712,0,0
KRWBRL,D,19950223,000000,0.107,0.107,0.107,0.107,0,0
KRWBRL,D,19950224,000000,0.10782,0.10782,0.10782,0.10782,0,0
KRWBRL,D,19950227,000000,0.1077,0.1077,0.1077,0.1077,0,0
KRWBRL,D,19950228,000000,0.10786,0.10786,0.10786,0.10786,0,0
KRWBRL,D,19950301,000000,0.10798,0.10798,0.10798,0.10798,0,0
KRWBRL,D,19950302,000000,0.10774,0.10774,0.10774,0.10774,0,0
KRWBRL,D,19950303,000000,0.10839,0.10839,0.10839,0.10839,0,0
KRWBRL,D,19950306,000000,0.10911,0.10911,0.10911,0.10911,0,0
KRWBRL,D,19950307,000000,0.11221,0.11221,0.11221,0.11221,0,0
KRWBRL,D,19950308,000000,0.11273,0.11273,0.11273,0.11273,0,0
KRWBRL,D,19950309,000000,0.11284,0.11284,0.11284,0.11284,0,0
KRWBRL,D,19950310,000000,0.1121,0.1121,0.1121,0.1121,0,0
