<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWCZK,D,19951023,000000,3.3872,3.3872,3.3872,3.3872,0,0
KRWCZK,D,19951024,000000,3.3815,3.3815,3.3815,3.3815,0,0
KRWCZK,D,19951025,000000,3.3949,3.3949,3.3949,3.3949,0,0
KRWCZK,D,19951026,000000,3.3917,3.3917,3.3917,3.3917,0,0
KRWCZK,D,19951027,000000,3.3926,3.3926,3.3926,3.3926,0,0
KRWCZK,D,19951030,000000,3.4227,3.4227,3.4227,3.4227,0,0
KRWCZK,D,19951031,000000,3.425,3.425,3.425,3.425,0,0
KRWCZK,D,19951102,000000,3.4152,3.4152,3.4152,3.4152,0,0
KRWCZK,D,19951103,000000,3.4026,3.4026,3.4026,3.4026,0,0
KRWCZK,D,19951106,000000,3.3984,3.3984,3.3984,3.3984,0,0
KRWCZK,D,19951107,000000,3.3992,3.3992,3.3992,3.3992,0,0
KRWCZK,D,19951108,000000,3.4089,3.4089,3.4089,3.4089,0,0
KRWCZK,D,19951109,000000,3.4248,3.4248,3.4248,3.4248,0,0
KRWCZK,D,19951110,000000,3.4065,3.4065,3.4065,3.4065,0,0
KRWCZK,D,19951113,000000,3.4057,3.4057,3.4057,3.4057,0,0
KRWCZK,D,19951114,000000,3.4162,3.4162,3.4162,3.4162,0,0
KRWCZK,D,19951115,000000,3.3962,3.3962,3.3962,3.3962,0,0
KRWCZK,D,19951116,000000,3.4023,3.4023,3.4023,3.4023,0,0
KRWCZK,D,19951117,000000,3.3911,3.3911,3.3911,3.3911,0,0
KRWCZK,D,19951120,000000,3.3921,3.3921,3.3921,3.3921,0,0
KRWCZK,D,19951121,000000,3.4024,3.4024,3.4024,3.4024,0,0
KRWCZK,D,19951122,000000,3.4047,3.4047,3.4047,3.4047,0,0
KRWCZK,D,19951123,000000,3.4077,3.4077,3.4077,3.4077,0,0
KRWCZK,D,19951124,000000,3.4104,3.4104,3.4104,3.4104,0,0
KRWCZK,D,19951127,000000,3.4478,3.4478,3.4478,3.4478,0,0
KRWCZK,D,19951128,000000,3.4506,3.4506,3.4506,3.4506,0,0
KRWCZK,D,19951129,000000,3.445,3.445,3.445,3.445,0,0
