<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRWIDR,D,19931025,000000,2.5891,2.5891,2.5891,2.5891,0,0
KRWIDR,D,19931026,000000,2.587,2.587,2.587,2.587,0,0
KRWIDR,D,19931027,000000,2.5842,2.5842,2.5842,2.5842,0,0
KRWIDR,D,19931028,000000,2.5861,2.5861,2.5861,2.5861,0,0
KRWIDR,D,19931029,000000,2.5885,2.5885,2.5885,2.5885,0,0
KRWIDR,D,19931102,000000,2.5919,2.5919,2.5919,2.5919,0,0
KRWIDR,D,19931103,000000,2.5908,2.5908,2.5908,2.5908,0,0
KRWIDR,D,19931104,000000,2.5904,2.5904,2.5904,2.5904,0,0
KRWIDR,D,19931105,000000,2.5909,2.5909,2.5909,2.5909,0,0
KRWIDR,D,19931108,000000,2.588,2.588,2.588,2.588,0,0
KRWIDR,D,19931109,000000,2.6047,2.6047,2.6047,2.6047,0,0
KRWIDR,D,19931110,000000,2.6033,2.6033,2.6033,2.6033,0,0
KRWIDR,D,19931112,000000,2.5885,2.5885,2.5885,2.5885,0,0
KRWIDR,D,19931115,000000,2.5792,2.5792,2.5792,2.5792,0,0
KRWIDR,D,19931116,000000,2.5813,2.5813,2.5813,2.5813,0,0
KRWIDR,D,19931117,000000,2.5821,2.5821,2.5821,2.5821,0,0
KRWIDR,D,19931118,000000,2.5835,2.5835,2.5835,2.5835,0,0
KRWIDR,D,19931119,000000,2.5906,2.5906,2.5906,2.5906,0,0
KRWIDR,D,19931122,000000,2.6017,2.6017,2.6017,2.6017,0,0
KRWIDR,D,19931123,000000,2.5992,2.5992,2.5992,2.5992,0,0
KRWIDR,D,19931124,000000,2.5926,2.5926,2.5926,2.5926,0,0
KRWIDR,D,19931125,000000,2.5863,2.5863,2.5863,2.5863,0,0
KRWIDR,D,19931126,000000,2.5888,2.5888,2.5888,2.5888,0,0
KRWIDR,D,19931129,000000,2.5913,2.5913,2.5913,2.5913,0,0
KRWIDR,D,19931130,000000,2.5949,2.5949,2.5949,2.5949,0,0
KRWIDR,D,19931201,000000,2.5941,2.5941,2.5941,2.5941,0,0
KRWIDR,D,19931202,000000,2.5942,2.5942,2.5942,2.5942,0,0
KRWIDR,D,19931203,000000,2.5925,2.5925,2.5925,2.5925,0,0
KRWIDR,D,19931206,000000,2.5901,2.5901,2.5901,2.5901,0,0
KRWIDR,D,19931207,000000,2.5876,2.5876,2.5876,2.5876,0,0
KRWIDR,D,19931208,000000,2.5876,2.5876,2.5876,2.5876,0,0
KRWIDR,D,19931209,000000,2.589,2.589,2.589,2.589,0,0
KRWIDR,D,19931210,000000,2.5895,2.5895,2.5895,2.5895,0,0
KRWIDR,D,19931213,000000,2.5878,2.5878,2.5878,2.5878,0,0
KRWIDR,D,19931214,000000,2.5875,2.5875,2.5875,2.5875,0,0
KRWIDR,D,19931215,000000,2.5844,2.5844,2.5844,2.5844,0,0
KRWIDR,D,19931216,000000,2.5851,2.5851,2.5851,2.5851,0,0
KRWIDR,D,19931217,000000,2.5855,2.5855,2.5855,2.5855,0,0
KRWIDR,D,19931220,000000,2.5837,2.5837,2.5837,2.5837,0,0
KRWIDR,D,19931221,000000,2.5816,2.5816,2.5816,2.5816,0,0
KRWIDR,D,19931222,000000,2.5816,2.5816,2.5816,2.5816,0,0
KRWIDR,D,19931223,000000,2.5854,2.5854,2.5854,2.5854,0,0
KRWIDR,D,19931224,000000,2.5919,2.5919,2.5919,2.5919,0,0
KRWIDR,D,19931227,000000,2.5943,2.5943,2.5943,2.5943,0,0
KRWIDR,D,19931228,000000,2.5935,2.5935,2.5935,2.5935,0,0
KRWIDR,D,19931229,000000,2.5938,2.5938,2.5938,2.5938,0,0
KRWIDR,D,19931230,000000,2.5994,2.5994,2.5994,2.5994,0,0
KRWIDR,D,19931231,000000,2.6043,2.6043,2.6043,2.6043,0,0
KRWIDR,D,19940103,000000,2.5989,2.5989,2.5989,2.5989,0,0
KRWIDR,D,19940104,000000,2.5952,2.5952,2.5952,2.5952,0,0
KRWIDR,D,19940105,000000,2.5905,2.5905,2.5905,2.5905,0,0
KRWIDR,D,19940106,000000,2.5821,2.5821,2.5821,2.5821,0,0
KRWIDR,D,19940107,000000,2.5727,2.5727,2.5727,2.5727,0,0
KRWIDR,D,19940110,000000,2.5729,2.5729,2.5729,2.5729,0,0
KRWIDR,D,19940111,000000,2.5752,2.5752,2.5752,2.5752,0,0
KRWIDR,D,19940112,000000,2.5797,2.5797,2.5797,2.5797,0,0
KRWIDR,D,19940113,000000,2.5895,2.5895,2.5895,2.5895,0,0
KRWIDR,D,19940114,000000,2.6026,2.6026,2.6026,2.6026,0,0
KRWIDR,D,19940117,000000,2.594,2.594,2.594,2.594,0,0
KRWIDR,D,19940118,000000,2.5912,2.5912,2.5912,2.5912,0,0
KRWIDR,D,19940119,000000,2.5864,2.5864,2.5864,2.5864,0,0
KRWIDR,D,19940120,000000,2.5988,2.5988,2.5988,2.5988,0,0
KRWIDR,D,19940121,000000,2.5998,2.5998,2.5998,2.5998,0,0
KRWIDR,D,19940124,000000,2.6023,2.6023,2.6023,2.6023,0,0
KRWIDR,D,19940125,000000,2.607,2.607,2.607,2.607,0,0
KRWIDR,D,19940126,000000,2.6041,2.6041,2.6041,2.6041,0,0
KRWIDR,D,19940127,000000,2.6027,2.6027,2.6027,2.6027,0,0
KRWIDR,D,19940128,000000,2.6024,2.6024,2.6024,2.6024,0,0
KRWIDR,D,19940131,000000,2.606,2.606,2.606,2.606,0,0
KRWIDR,D,19940201,000000,2.6041,2.6041,2.6041,2.6041,0,0
KRWIDR,D,19940202,000000,2.6043,2.6043,2.6043,2.6043,0,0
KRWIDR,D,19940203,000000,2.6069,2.6069,2.6069,2.6069,0,0
KRWIDR,D,19940204,000000,2.6074,2.6074,2.6074,2.6074,0,0
KRWIDR,D,19940207,000000,2.6122,2.6122,2.6122,2.6122,0,0
KRWIDR,D,19940208,000000,2.6037,2.6037,2.6037,2.6037,0,0
KRWIDR,D,19940209,000000,2.6076,2.6076,2.6076,2.6076,0,0
KRWIDR,D,19940210,000000,2.6084,2.6084,2.6084,2.6084,0,0
KRWIDR,D,19940211,000000,2.61,2.61,2.61,2.61,0,0
KRWIDR,D,19940214,000000,2.602,2.602,2.602,2.602,0,0
KRWIDR,D,19940215,000000,2.5963,2.5963,2.5963,2.5963,0,0
KRWIDR,D,19940216,000000,2.6028,2.6028,2.6028,2.6028,0,0
KRWIDR,D,19940217,000000,2.6056,2.6056,2.6056,2.6056,0,0
KRWIDR,D,19940218,000000,2.6137,2.6137,2.6137,2.6137,0,0
KRWIDR,D,19940221,000000,2.6155,2.6155,2.6155,2.6155,0,0
KRWIDR,D,19940222,000000,2.6368,2.6368,2.6368,2.6368,0,0
KRWIDR,D,19940223,000000,2.6394,2.6394,2.6394,2.6394,0,0
KRWIDR,D,19940224,000000,2.6379,2.6379,2.6379,2.6379,0,0
KRWIDR,D,19940225,000000,2.6408,2.6408,2.6408,2.6408,0,0
KRWIDR,D,19940228,000000,2.6438,2.6438,2.6438,2.6438,0,0
KRWIDR,D,19940301,000000,2.6434,2.6434,2.6434,2.6434,0,0
KRWIDR,D,19940302,000000,2.6453,2.6453,2.6453,2.6453,0,0
KRWIDR,D,19940303,000000,2.6499,2.6499,2.6499,2.6499,0,0
KRWIDR,D,19940304,000000,2.6478,2.6478,2.6478,2.6478,0,0
KRWIDR,D,19940307,000000,2.6487,2.6487,2.6487,2.6487,0,0
KRWIDR,D,19940308,000000,2.6534,2.6534,2.6534,2.6534,0,0
KRWIDR,D,19940309,000000,2.6463,2.6463,2.6463,2.6463,0,0
KRWIDR,D,19940310,000000,2.6486,2.6486,2.6486,2.6486,0,0
KRWIDR,D,19940311,000000,2.6518,2.6518,2.6518,2.6518,0,0
KRWIDR,D,19940314,000000,2.6562,2.6562,2.6562,2.6562,0,0
KRWIDR,D,19940315,000000,2.6526,2.6526,2.6526,2.6526,0,0
KRWIDR,D,19940316,000000,2.6491,2.6491,2.6491,2.6491,0,0
KRWIDR,D,19940317,000000,2.6542,2.6542,2.6542,2.6542,0,0
KRWIDR,D,19940318,000000,2.6549,2.6549,2.6549,2.6549,0,0
KRWIDR,D,19940321,000000,2.6533,2.6533,2.6533,2.6533,0,0
KRWIDR,D,19940322,000000,2.6515,2.6515,2.6515,2.6515,0,0
KRWIDR,D,19940323,000000,2.6506,2.6506,2.6506,2.6506,0,0
KRWIDR,D,19940324,000000,2.6501,2.6501,2.6501,2.6501,0,0
KRWIDR,D,19940325,000000,2.6516,2.6516,2.6516,2.6516,0,0
KRWIDR,D,19940328,000000,2.6473,2.6473,2.6473,2.6473,0,0
KRWIDR,D,19940329,000000,2.6504,2.6504,2.6504,2.6504,0,0
KRWIDR,D,19940330,000000,2.6561,2.6561,2.6561,2.6561,0,0
KRWIDR,D,19940331,000000,2.6602,2.6602,2.6602,2.6602,0,0
KRWIDR,D,19940401,000000,2.6578,2.6578,2.6578,2.6578,0,0
KRWIDR,D,19940405,000000,2.6564,2.6564,2.6564,2.6564,0,0
KRWIDR,D,19940406,000000,2.6523,2.6523,2.6523,2.6523,0,0
KRWIDR,D,19940407,000000,2.656,2.656,2.656,2.656,0,0
KRWIDR,D,19940408,000000,2.6557,2.6557,2.6557,2.6557,0,0
KRWIDR,D,19940411,000000,2.6499,2.6499,2.6499,2.6499,0,0
KRWIDR,D,19940412,000000,2.6522,2.6522,2.6522,2.6522,0,0
KRWIDR,D,19940413,000000,2.652,2.652,2.652,2.652,0,0
KRWIDR,D,19940414,000000,2.6537,2.6537,2.6537,2.6537,0,0
KRWIDR,D,19940415,000000,2.6553,2.6553,2.6553,2.6553,0,0
KRWIDR,D,19940418,000000,2.658,2.658,2.658,2.658,0,0
KRWIDR,D,19940419,000000,2.6582,2.6582,2.6582,2.6582,0,0
KRWIDR,D,19940420,000000,2.6584,2.6584,2.6584,2.6584,0,0
KRWIDR,D,19940421,000000,2.6639,2.6639,2.6639,2.6639,0,0
KRWIDR,D,19940422,000000,2.6642,2.6642,2.6642,2.6642,0,0
KRWIDR,D,19940425,000000,2.666,2.666,2.666,2.666,0,0
KRWIDR,D,19940426,000000,2.6651,2.6651,2.6651,2.6651,0,0
KRWIDR,D,19940427,000000,2.6659,2.6659,2.6659,2.6659,0,0
KRWIDR,D,19940428,000000,2.6643,2.6643,2.6643,2.6643,0,0
KRWIDR,D,19940429,000000,2.6613,2.6613,2.6613,2.6613,0,0
KRWIDR,D,19940504,000000,2.6586,2.6586,2.6586,2.6586,0,0
KRWIDR,D,19940505,000000,2.6601,2.6601,2.6601,2.6601,0,0
KRWIDR,D,19940506,000000,2.6665,2.6665,2.6665,2.6665,0,0
KRWIDR,D,19940509,000000,2.6668,2.6668,2.6668,2.6668,0,0
KRWIDR,D,19940510,000000,2.6616,2.6616,2.6616,2.6616,0,0
KRWIDR,D,19940511,000000,2.6693,2.6693,2.6693,2.6693,0,0
KRWIDR,D,19940512,000000,2.6711,2.6711,2.6711,2.6711,0,0
KRWIDR,D,19940513,000000,2.6719,2.6719,2.6719,2.6719,0,0
KRWIDR,D,19940516,000000,2.6729,2.6729,2.6729,2.6729,0,0
KRWIDR,D,19940517,000000,2.6722,2.6722,2.6722,2.6722,0,0
KRWIDR,D,19940518,000000,2.6725,2.6725,2.6725,2.6725,0,0
KRWIDR,D,19940519,000000,2.6709,2.6709,2.6709,2.6709,0,0
KRWIDR,D,19940520,000000,2.6719,2.6719,2.6719,2.6719,0,0
KRWIDR,D,19940523,000000,2.6717,2.6717,2.6717,2.6717,0,0
KRWIDR,D,19940524,000000,2.6742,2.6742,2.6742,2.6742,0,0
KRWIDR,D,19940525,000000,2.6734,2.6734,2.6734,2.6734,0,0
KRWIDR,D,19940526,000000,2.674,2.674,2.674,2.674,0,0
KRWIDR,D,19940527,000000,2.6727,2.6727,2.6727,2.6727,0,0
KRWIDR,D,19940530,000000,2.6661,2.6661,2.6661,2.6661,0,0
KRWIDR,D,19940531,000000,2.6738,2.6738,2.6738,2.6738,0,0
KRWIDR,D,19940601,000000,2.6752,2.6752,2.6752,2.6752,0,0
KRWIDR,D,19940603,000000,2.6757,2.6757,2.6757,2.6757,0,0
KRWIDR,D,19940606,000000,2.6769,2.6769,2.6769,2.6769,0,0
KRWIDR,D,19940607,000000,2.6773,2.6773,2.6773,2.6773,0,0
KRWIDR,D,19940608,000000,2.6771,2.6771,2.6771,2.6771,0,0
KRWIDR,D,19940609,000000,2.6778,2.6778,2.6778,2.6778,0,0
KRWIDR,D,19940610,000000,2.6779,2.6779,2.6779,2.6779,0,0
KRWIDR,D,19940613,000000,2.6784,2.6784,2.6784,2.6784,0,0
KRWIDR,D,19940614,000000,2.676,2.676,2.676,2.676,0,0
KRWIDR,D,19940615,000000,2.6711,2.6711,2.6711,2.6711,0,0
KRWIDR,D,19940616,000000,2.6758,2.6758,2.6758,2.6758,0,0
KRWIDR,D,19940617,000000,2.6779,2.6779,2.6779,2.6779,0,0
KRWIDR,D,19940620,000000,2.6762,2.6762,2.6762,2.6762,0,0
KRWIDR,D,19940621,000000,2.6524,2.6524,2.6524,2.6524,0,0
KRWIDR,D,19940622,000000,2.6693,2.6693,2.6693,2.6693,0,0
KRWIDR,D,19940623,000000,2.6764,2.6764,2.6764,2.6764,0,0
KRWIDR,D,19940624,000000,2.6797,2.6797,2.6797,2.6797,0,0
KRWIDR,D,19940627,000000,2.6787,2.6787,2.6787,2.6787,0,0
KRWIDR,D,19940628,000000,2.6759,2.6759,2.6759,2.6759,0,0
KRWIDR,D,19940629,000000,2.6788,2.6788,2.6788,2.6788,0,0
KRWIDR,D,19940630,000000,2.683,2.683,2.683,2.683,0,0
KRWIDR,D,19940701,000000,2.6847,2.6847,2.6847,2.6847,0,0
KRWIDR,D,19940704,000000,2.6795,2.6795,2.6795,2.6795,0,0
KRWIDR,D,19940705,000000,2.6815,2.6815,2.6815,2.6815,0,0
KRWIDR,D,19940706,000000,2.6808,2.6808,2.6808,2.6808,0,0
KRWIDR,D,19940707,000000,2.6836,2.6836,2.6836,2.6836,0,0
KRWIDR,D,19940708,000000,2.6821,2.6821,2.6821,2.6821,0,0
KRWIDR,D,19940711,000000,2.6823,2.6823,2.6823,2.6823,0,0
KRWIDR,D,19940712,000000,2.6788,2.6788,2.6788,2.6788,0,0
KRWIDR,D,19940713,000000,2.6766,2.6766,2.6766,2.6766,0,0
KRWIDR,D,19940714,000000,2.6785,2.6785,2.6785,2.6785,0,0
KRWIDR,D,19940715,000000,2.6781,2.6781,2.6781,2.6781,0,0
KRWIDR,D,19940718,000000,2.673,2.673,2.673,2.673,0,0
KRWIDR,D,19940719,000000,2.6698,2.6698,2.6698,2.6698,0,0
KRWIDR,D,19940720,000000,2.674,2.674,2.674,2.674,0,0
KRWIDR,D,19940721,000000,2.6773,2.6773,2.6773,2.6773,0,0
KRWIDR,D,19940722,000000,2.6817,2.6817,2.6817,2.6817,0,0
KRWIDR,D,19940725,000000,2.6865,2.6865,2.6865,2.6865,0,0
KRWIDR,D,19940726,000000,2.69,2.69,2.69,2.69,0,0
KRWIDR,D,19940727,000000,2.6896,2.6896,2.6896,2.6896,0,0
KRWIDR,D,19940728,000000,2.6904,2.6904,2.6904,2.6904,0,0
KRWIDR,D,19940729,000000,2.6883,2.6883,2.6883,2.6883,0,0
KRWIDR,D,19940801,000000,2.6852,2.6852,2.6852,2.6852,0,0
KRWIDR,D,19940802,000000,2.6841,2.6841,2.6841,2.6841,0,0
KRWIDR,D,19940803,000000,2.6822,2.6822,2.6822,2.6822,0,0
KRWIDR,D,19940804,000000,2.6839,2.6839,2.6839,2.6839,0,0
KRWIDR,D,19940805,000000,2.6844,2.6844,2.6844,2.6844,0,0
KRWIDR,D,19940808,000000,2.6821,2.6821,2.6821,2.6821,0,0
KRWIDR,D,19940809,000000,2.6787,2.6787,2.6787,2.6787,0,0
KRWIDR,D,19940810,000000,2.675,2.675,2.675,2.675,0,0
KRWIDR,D,19940811,000000,2.6766,2.6766,2.6766,2.6766,0,0
KRWIDR,D,19940812,000000,2.6758,2.6758,2.6758,2.6758,0,0
KRWIDR,D,19940816,000000,2.6716,2.6716,2.6716,2.6716,0,0
KRWIDR,D,19940817,000000,2.6694,2.6694,2.6694,2.6694,0,0
KRWIDR,D,19940818,000000,2.6765,2.6765,2.6765,2.6765,0,0
KRWIDR,D,19940819,000000,2.6795,2.6795,2.6795,2.6795,0,0
KRWIDR,D,19940822,000000,2.6772,2.6772,2.6772,2.6772,0,0
KRWIDR,D,19940823,000000,2.6829,2.6829,2.6829,2.6829,0,0
KRWIDR,D,19940824,000000,2.6872,2.6872,2.6872,2.6872,0,0
KRWIDR,D,19940825,000000,2.6996,2.6996,2.6996,2.6996,0,0
KRWIDR,D,19940826,000000,2.7047,2.7047,2.7047,2.7047,0,0
KRWIDR,D,19940829,000000,2.6965,2.6965,2.6965,2.6965,0,0
KRWIDR,D,19940830,000000,2.6959,2.6959,2.6959,2.6959,0,0
KRWIDR,D,19940831,000000,2.692,2.692,2.692,2.692,0,0
KRWIDR,D,19940901,000000,2.7093,2.7093,2.7093,2.7093,0,0
KRWIDR,D,19940902,000000,2.7071,2.7071,2.7071,2.7071,0,0
KRWIDR,D,19940905,000000,2.7096,2.7096,2.7096,2.7096,0,0
KRWIDR,D,19940906,000000,2.7091,2.7091,2.7091,2.7091,0,0
KRWIDR,D,19940907,000000,2.7099,2.7099,2.7099,2.7099,0,0
KRWIDR,D,19940908,000000,2.7095,2.7095,2.7095,2.7095,0,0
KRWIDR,D,19940909,000000,2.7091,2.7091,2.7091,2.7091,0,0
KRWIDR,D,19940912,000000,2.7084,2.7084,2.7084,2.7084,0,0
KRWIDR,D,19940913,000000,2.7076,2.7076,2.7076,2.7076,0,0
KRWIDR,D,19940914,000000,2.7074,2.7074,2.7074,2.7074,0,0
KRWIDR,D,19940915,000000,2.7083,2.7083,2.7083,2.7083,0,0
KRWIDR,D,19940916,000000,2.7105,2.7105,2.7105,2.7105,0,0
KRWIDR,D,19940919,000000,2.7105,2.7105,2.7105,2.7105,0,0
KRWIDR,D,19940920,000000,2.7089,2.7089,2.7089,2.7089,0,0
KRWIDR,D,19940921,000000,2.7075,2.7075,2.7075,2.7075,0,0
KRWIDR,D,19940922,000000,2.7087,2.7087,2.7087,2.7087,0,0
KRWIDR,D,19940923,000000,2.7061,2.7061,2.7061,2.7061,0,0
KRWIDR,D,19940926,000000,2.6989,2.6989,2.6989,2.6989,0,0
KRWIDR,D,19940927,000000,2.696,2.696,2.696,2.696,0,0
KRWIDR,D,19940928,000000,2.7036,2.7036,2.7036,2.7036,0,0
KRWIDR,D,19940929,000000,2.7117,2.7117,2.7117,2.7117,0,0
KRWIDR,D,19940930,000000,2.7129,2.7129,2.7129,2.7129,0,0
KRWIDR,D,19941003,000000,2.7139,2.7139,2.7139,2.7139,0,0
KRWIDR,D,19941004,000000,2.7122,2.7122,2.7122,2.7122,0,0
KRWIDR,D,19941005,000000,2.7043,2.7043,2.7043,2.7043,0,0
KRWIDR,D,19941006,000000,2.7051,2.7051,2.7051,2.7051,0,0
KRWIDR,D,19941007,000000,2.7101,2.7101,2.7101,2.7101,0,0
KRWIDR,D,19941010,000000,2.7104,2.7104,2.7104,2.7104,0,0
KRWIDR,D,19941011,000000,2.709,2.709,2.709,2.709,0,0
KRWIDR,D,19941012,000000,2.7076,2.7076,2.7076,2.7076,0,0
KRWIDR,D,19941013,000000,2.7062,2.7062,2.7062,2.7062,0,0
KRWIDR,D,19941014,000000,2.7103,2.7103,2.7103,2.7103,0,0
KRWIDR,D,19941017,000000,2.7103,2.7103,2.7103,2.7103,0,0
KRWIDR,D,19941018,000000,2.7046,2.7046,2.7046,2.7046,0,0
KRWIDR,D,19941019,000000,2.7056,2.7056,2.7056,2.7056,0,0
KRWIDR,D,19941020,000000,2.7091,2.7091,2.7091,2.7091,0,0
KRWIDR,D,19941021,000000,2.7083,2.7083,2.7083,2.7083,0,0
KRWIDR,D,19941024,000000,2.7103,2.7103,2.7103,2.7103,0,0
KRWIDR,D,19941025,000000,2.714,2.714,2.714,2.714,0,0
KRWIDR,D,19941026,000000,2.7116,2.7116,2.7116,2.7116,0,0
KRWIDR,D,19941027,000000,2.7129,2.7129,2.7129,2.7129,0,0
KRWIDR,D,19941028,000000,2.7139,2.7139,2.7139,2.7139,0,0
KRWIDR,D,19941102,000000,2.7131,2.7131,2.7131,2.7131,0,0
KRWIDR,D,19941103,000000,2.7136,2.7136,2.7136,2.7136,0,0
KRWIDR,D,19941104,000000,2.7143,2.7143,2.7143,2.7143,0,0
KRWIDR,D,19941107,000000,2.7141,2.7141,2.7141,2.7141,0,0
KRWIDR,D,19941108,000000,2.7156,2.7156,2.7156,2.7156,0,0
KRWIDR,D,19941109,000000,2.7154,2.7154,2.7154,2.7154,0,0
KRWIDR,D,19941110,000000,2.7187,2.7187,2.7187,2.7187,0,0
KRWIDR,D,19941114,000000,2.7222,2.7222,2.7222,2.7222,0,0
KRWIDR,D,19941115,000000,2.7224,2.7224,2.7224,2.7224,0,0
KRWIDR,D,19941116,000000,2.7216,2.7216,2.7216,2.7216,0,0
KRWIDR,D,19941117,000000,2.7224,2.7224,2.7224,2.7224,0,0
KRWIDR,D,19941118,000000,2.723,2.723,2.723,2.723,0,0
KRWIDR,D,19941121,000000,2.7234,2.7234,2.7234,2.7234,0,0
KRWIDR,D,19941122,000000,2.7253,2.7253,2.7253,2.7253,0,0
KRWIDR,D,19941123,000000,2.7249,2.7249,2.7249,2.7249,0,0
KRWIDR,D,19941124,000000,2.7207,2.7207,2.7207,2.7207,0,0
KRWIDR,D,19941125,000000,2.7281,2.7281,2.7281,2.7281,0,0
KRWIDR,D,19941128,000000,2.7284,2.7284,2.7284,2.7284,0,0
KRWIDR,D,19941129,000000,2.7308,2.7308,2.7308,2.7308,0,0
KRWIDR,D,19941130,000000,2.7318,2.7318,2.7318,2.7318,0,0
KRWIDR,D,19941201,000000,2.7326,2.7326,2.7326,2.7326,0,0
KRWIDR,D,19941202,000000,2.7345,2.7345,2.7345,2.7345,0,0
KRWIDR,D,19941205,000000,2.741,2.741,2.741,2.741,0,0
KRWIDR,D,19941206,000000,2.7479,2.7479,2.7479,2.7479,0,0
KRWIDR,D,19941207,000000,2.7571,2.7571,2.7571,2.7571,0,0
KRWIDR,D,19941208,000000,2.7581,2.7581,2.7581,2.7581,0,0
KRWIDR,D,19941209,000000,2.7565,2.7565,2.7565,2.7565,0,0
KRWIDR,D,19941212,000000,2.755,2.755,2.755,2.755,0,0
KRWIDR,D,19941213,000000,2.7507,2.7507,2.7507,2.7507,0,0
KRWIDR,D,19941214,000000,2.7497,2.7497,2.7497,2.7497,0,0
KRWIDR,D,19941215,000000,2.7491,2.7491,2.7491,2.7491,0,0
KRWIDR,D,19941216,000000,2.7476,2.7476,2.7476,2.7476,0,0
KRWIDR,D,19941219,000000,2.7666,2.7666,2.7666,2.7666,0,0
KRWIDR,D,19941220,000000,2.7467,2.7467,2.7467,2.7467,0,0
KRWIDR,D,19941221,000000,2.75,2.75,2.75,2.75,0,0
KRWIDR,D,19941222,000000,2.7567,2.7567,2.7567,2.7567,0,0
KRWIDR,D,19941223,000000,2.758,2.758,2.758,2.758,0,0
KRWIDR,D,19941227,000000,2.7624,2.7624,2.7624,2.7624,0,0
KRWIDR,D,19941228,000000,2.7686,2.7686,2.7686,2.7686,0,0
KRWIDR,D,19941229,000000,2.7706,2.7706,2.7706,2.7706,0,0
KRWIDR,D,19941230,000000,2.7719,2.7719,2.7719,2.7719,0,0
KRWIDR,D,19950101,000000,2.772,2.772,2.772,2.772,0,0
KRWIDR,D,19950103,000000,2.7712,2.7712,2.7712,2.7712,0,0
KRWIDR,D,19950104,000000,2.7749,2.7749,2.7749,2.7749,0,0
KRWIDR,D,19950105,000000,2.7756,2.7756,2.7756,2.7756,0,0
KRWIDR,D,19950106,000000,2.774,2.774,2.774,2.774,0,0
KRWIDR,D,19950109,000000,2.7733,2.7733,2.7733,2.7733,0,0
KRWIDR,D,19950110,000000,2.7739,2.7739,2.7739,2.7739,0,0
KRWIDR,D,19950111,000000,2.7805,2.7805,2.7805,2.7805,0,0
KRWIDR,D,19950112,000000,2.7881,2.7881,2.7881,2.7881,0,0
KRWIDR,D,19950113,000000,2.7966,2.7966,2.7966,2.7966,0,0
KRWIDR,D,19950116,000000,2.7847,2.7847,2.7847,2.7847,0,0
KRWIDR,D,19950117,000000,2.7774,2.7774,2.7774,2.7774,0,0
KRWIDR,D,19950118,000000,2.7799,2.7799,2.7799,2.7799,0,0
KRWIDR,D,19950119,000000,2.7851,2.7851,2.7851,2.7851,0,0
KRWIDR,D,19950120,000000,2.7866,2.7866,2.7866,2.7866,0,0
KRWIDR,D,19950123,000000,2.7855,2.7855,2.7855,2.7855,0,0
KRWIDR,D,19950124,000000,2.7887,2.7887,2.7887,2.7887,0,0
KRWIDR,D,19950125,000000,2.7979,2.7979,2.7979,2.7979,0,0
KRWIDR,D,19950126,000000,2.8077,2.8077,2.8077,2.8077,0,0
KRWIDR,D,19950127,000000,2.8144,2.8144,2.8144,2.8144,0,0
KRWIDR,D,19950130,000000,2.8038,2.8038,2.8038,2.8038,0,0
KRWIDR,D,19950131,000000,2.8081,2.8081,2.8081,2.8081,0,0
KRWIDR,D,19950201,000000,2.8079,2.8079,2.8079,2.8079,0,0
KRWIDR,D,19950202,000000,2.8101,2.8101,2.8101,2.8101,0,0
KRWIDR,D,19950203,000000,2.8024,2.8024,2.8024,2.8024,0,0
