<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNCNY,D,19900108,000000,2.6285,2.6285,2.6285,2.6285,0,0
MXNCNY,D,19900115,000000,2.6203,2.6203,2.6203,2.6203,0,0
MXNCNY,D,19900122,000000,2.6241,2.6241,2.6241,2.6241,0,0
MXNCNY,D,19900129,000000,2.6047,2.6047,2.6047,2.6047,0,0
MXNCNY,D,19900205,000000,2.601,2.601,2.601,2.601,0,0
MXNCNY,D,19900212,000000,2.5972,2.5972,2.5972,2.5972,0,0
MXNCNY,D,19900219,000000,2.5972,2.5972,2.5972,2.5972,0,0
MXNCNY,D,19900226,000000,2.5794,2.5794,2.5794,2.5794,0,0
MXNCNY,D,19900305,000000,2.5719,2.5719,2.5719,2.5719,0,0
MXNCNY,D,19900312,000000,2.5682,2.5682,2.5682,2.5682,0,0
MXNCNY,D,19900319,000000,2.5592,2.5592,2.5592,2.5592,0,0
MXNCNY,D,19900326,000000,2.554,2.554,2.554,2.554,0,0
MXNCNY,D,19900402,000000,2.5518,2.5518,2.5518,2.5518,0,0
MXNCNY,D,19900409,000000,2.5399,2.5399,2.5399,2.5399,0,0
MXNCNY,D,19900417,000000,2.5339,2.5339,2.5339,2.5339,0,0
MXNCNY,D,19900423,000000,2.5279,2.5279,2.5279,2.5279,0,0
MXNCNY,D,19900430,000000,2.522,2.522,2.522,2.522,0,0
MXNCNY,D,19900507,000000,2.5153,2.5153,2.5153,2.5153,0,0
MXNCNY,D,19900514,000000,2.5101,2.5101,2.5101,2.5101,0,0
MXNCNY,D,19900521,000000,2.5019,2.5019,2.5019,2.5019,0,0
MXNCNY,D,19900528,000000,2.5041,2.5041,2.5041,2.5041,0,0
MXNCNY,D,19900604,000000,2.4967,2.4967,2.4967,2.4967,0,0
MXNCNY,D,19900611,000000,2.4922,2.4922,2.4922,2.4922,0,0
MXNCNY,D,19900618,000000,2.487,2.487,2.487,2.487,0,0
MXNCNY,D,19900625,000000,2.481,2.481,2.481,2.481,0,0
MXNCNY,D,19900702,000000,2.4743,2.4743,2.4743,2.4743,0,0
MXNCNY,D,19900709,000000,2.4713,2.4713,2.4713,2.4713,0,0
MXNCNY,D,19900716,000000,2.4669,2.4669,2.4669,2.4669,0,0
MXNCNY,D,19900723,000000,2.4654,2.4654,2.4654,2.4654,0,0
MXNCNY,D,19900730,000000,2.4646,2.4646,2.4646,2.4646,0,0
MXNCNY,D,19900806,000000,2.4639,2.4639,2.4639,2.4639,0,0
MXNCNY,D,19900813,000000,2.4624,2.4624,2.4624,2.4624,0,0
MXNCNY,D,19900820,000000,2.4601,2.4601,2.4601,2.4601,0,0
MXNCNY,D,19900827,000000,2.4534,2.4534,2.4534,2.4534,0,0
MXNCNY,D,19900903,000000,2.4519,2.4519,2.4519,2.4519,0,0
MXNCNY,D,19900910,000000,2.4519,2.4519,2.4519,2.4519,0,0
MXNCNY,D,19900917,000000,2.4505,2.4505,2.4505,2.4505,0,0
MXNCNY,D,19900924,000000,2.4467,2.4467,2.4467,2.4467,0,0
MXNCNY,D,19901001,000000,2.443,2.443,2.443,2.443,0,0
MXNCNY,D,19901008,000000,2.446,2.446,2.446,2.446,0,0
MXNCNY,D,19901010,000000,2.44,2.44,2.44,2.44,0,0
MXNCNY,D,19901015,000000,2.4333,2.4333,2.4333,2.4333,0,0
MXNCNY,D,19901022,000000,2.4281,2.4281,2.4281,2.4281,0,0
MXNCNY,D,19901029,000000,2.4259,2.4259,2.4259,2.4259,0,0
MXNCNY,D,19901105,000000,2.4199,2.4199,2.4199,2.4199,0,0
MXNCNY,D,19901112,000000,2.4266,2.4266,2.4266,2.4266,0,0
MXNCNY,D,19901119,000000,2.671,2.671,2.671,2.671,0,0
MXNCNY,D,19901126,000000,2.6668,2.6668,2.6668,2.6668,0,0
MXNCNY,D,19901203,000000,2.6652,2.6652,2.6652,2.6652,0,0
MXNCNY,D,19901210,000000,2.6627,2.6627,2.6627,2.6627,0,0
MXNCNY,D,19901217,000000,2.6611,2.6611,2.6611,2.6611,0,0
MXNCNY,D,19901224,000000,2.6561,2.6561,2.6561,2.6561,0,0
MXNCNY,D,19910102,000000,2.6528,2.6528,2.6528,2.6528,0,0
MXNCNY,D,19910103,000000,2.6545,2.6545,2.6545,2.6545,0,0
MXNCNY,D,19910104,000000,2.6561,2.6561,2.6561,2.6561,0,0
MXNCNY,D,19910107,000000,2.6561,2.6561,2.6561,2.6561,0,0
MXNCNY,D,19910108,000000,2.657,2.657,2.657,2.657,0,0
MXNCNY,D,19910109,000000,2.6561,2.6561,2.6561,2.6561,0,0
MXNCNY,D,19910110,000000,2.6537,2.6537,2.6537,2.6537,0,0
MXNCNY,D,19910111,000000,2.6512,2.6512,2.6512,2.6512,0,0
MXNCNY,D,19910114,000000,2.6495,2.6495,2.6495,2.6495,0,0
MXNCNY,D,19910115,000000,2.6487,2.6487,2.6487,2.6487,0,0
MXNCNY,D,19910116,000000,2.6479,2.6479,2.6479,2.6479,0,0
MXNCNY,D,19910117,000000,2.6479,2.6479,2.6479,2.6479,0,0
MXNCNY,D,19910118,000000,2.6487,2.6487,2.6487,2.6487,0,0
MXNCNY,D,19910121,000000,2.6471,2.6471,2.6471,2.6471,0,0
MXNCNY,D,19910122,000000,2.6462,2.6462,2.6462,2.6462,0,0
MXNCNY,D,19910123,000000,2.6462,2.6462,2.6462,2.6462,0,0
MXNCNY,D,19910124,000000,2.6454,2.6454,2.6454,2.6454,0,0
MXNCNY,D,19910125,000000,2.6446,2.6446,2.6446,2.6446,0,0
MXNCNY,D,19910128,000000,2.6438,2.6438,2.6438,2.6438,0,0
MXNCNY,D,19910129,000000,2.6429,2.6429,2.6429,2.6429,0,0
MXNCNY,D,19910130,000000,2.6421,2.6421,2.6421,2.6421,0,0
MXNCNY,D,19910131,000000,2.6421,2.6421,2.6421,2.6421,0,0
MXNCNY,D,19910201,000000,2.6421,2.6421,2.6421,2.6421,0,0
MXNCNY,D,19910204,000000,2.6438,2.6438,2.6438,2.6438,0,0
MXNCNY,D,19910205,000000,2.6438,2.6438,2.6438,2.6438,0,0
MXNCNY,D,19910206,000000,2.6421,2.6421,2.6421,2.6421,0,0
MXNCNY,D,19910207,000000,2.6421,2.6421,2.6421,2.6421,0,0
MXNCNY,D,19910208,000000,2.6421,2.6421,2.6421,2.6421,0,0
MXNCNY,D,19910211,000000,2.6405,2.6405,2.6405,2.6405,0,0
MXNCNY,D,19910212,000000,2.6405,2.6405,2.6405,2.6405,0,0
MXNCNY,D,19910213,000000,2.6405,2.6405,2.6405,2.6405,0,0
MXNCNY,D,19910214,000000,2.6413,2.6413,2.6413,2.6413,0,0
