<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNGBP,D,19900108,000000,23.036,23.036,23.036,23.036,0,0
MXNGBP,D,19900115,000000,22.384,22.384,22.384,22.384,0,0
MXNGBP,D,19900122,000000,22.317,22.317,22.317,22.317,0,0
MXNGBP,D,19900129,000000,22.447,22.447,22.447,22.447,0,0
MXNGBP,D,19900205,000000,21.845,21.845,21.845,21.845,0,0
MXNGBP,D,19900212,000000,21.585,21.585,21.585,21.585,0,0
MXNGBP,D,19900219,000000,21.705,21.705,21.705,21.705,0,0
MXNGBP,D,19900226,000000,21.388,21.388,21.388,21.388,0,0
MXNGBP,D,19900305,000000,21.438,21.438,21.438,21.438,0,0
MXNGBP,D,19900312,000000,21.998,21.998,21.998,21.998,0,0
MXNGBP,D,19900319,000000,22.46,22.46,22.46,22.46,0,0
MXNGBP,D,19900326,000000,22.389,22.389,22.389,22.389,0,0
MXNGBP,D,19900402,000000,22.347,22.347,22.347,22.347,0,0
MXNGBP,D,19900409,000000,21.931,21.931,21.931,21.931,0,0
MXNGBP,D,19900417,000000,21.833,21.833,21.833,21.833,0,0
MXNGBP,D,19900423,000000,21.982,21.982,21.982,21.982,0,0
MXNGBP,D,19900430,000000,21.778,21.778,21.778,21.778,0,0
MXNGBP,D,19900507,000000,21.734,21.734,21.734,21.734,0,0
MXNGBP,D,19900514,000000,21.195,21.195,21.195,21.195,0,0
MXNGBP,D,19900521,000000,21.022,21.022,21.022,21.022,0,0
MXNGBP,D,19900528,000000,20.911,20.911,20.911,20.911,0,0
MXNGBP,D,19900604,000000,20.815,20.815,20.815,20.815,0,0
MXNGBP,D,19900611,000000,20.891,20.891,20.891,20.891,0,0
MXNGBP,D,19900618,000000,20.847,20.847,20.847,20.847,0,0
MXNGBP,D,19900625,000000,20.515,20.515,20.515,20.515,0,0
MXNGBP,D,19900702,000000,20.189,20.189,20.189,20.189,0,0
MXNGBP,D,19900709,000000,19.818,19.818,19.818,19.818,0,0
MXNGBP,D,19900716,000000,19.318,19.318,19.318,19.318,0,0
MXNGBP,D,19900723,000000,19.314,19.314,19.314,19.314,0,0
MXNGBP,D,19900730,000000,19.077,19.077,19.077,19.077,0,0
MXNGBP,D,19900806,000000,18.712,18.712,18.712,18.712,0,0
MXNGBP,D,19900813,000000,18.515,18.515,18.515,18.515,0,0
