<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNHUF,D,19951023,000000,19.48,19.48,19.48,19.48,0,0
MXNHUF,D,19951024,000000,19.254,19.254,19.254,19.254,0,0
MXNHUF,D,19951025,000000,19.225,19.225,19.225,19.225,0,0
MXNHUF,D,19951026,000000,18.835,18.835,18.835,18.835,0,0
MXNHUF,D,19951027,000000,18.435,18.435,18.435,18.435,0,0
MXNHUF,D,19951030,000000,19.004,19.004,19.004,19.004,0,0
MXNHUF,D,19951031,000000,18.425,18.425,18.425,18.425,0,0
MXNHUF,D,19951102,000000,18.07,18.07,18.07,18.07,0,0
MXNHUF,D,19951103,000000,17.313,17.313,17.313,17.313,0,0
MXNHUF,D,19951106,000000,18.03,18.03,18.03,18.03,0,0
MXNHUF,D,19951107,000000,17.635,17.635,17.635,17.635,0,0
MXNHUF,D,19951108,000000,16.806,16.806,16.806,16.806,0,0
MXNHUF,D,19951109,000000,16.418,16.418,16.418,16.418,0,0
MXNHUF,D,19951110,000000,17.305,17.305,17.305,17.305,0,0
MXNHUF,D,19951113,000000,17.344,17.344,17.344,17.344,0,0
MXNHUF,D,19951114,000000,16.686,16.686,16.686,16.686,0,0
MXNHUF,D,19951115,000000,16.721,16.721,16.721,16.721,0,0
MXNHUF,D,19951116,000000,17.058,17.058,17.058,17.058,0,0
MXNHUF,D,19951117,000000,17.063,17.063,17.063,17.063,0,0
MXNHUF,D,19951120,000000,17.292,17.292,17.292,17.292,0,0
MXNHUF,D,19951121,000000,17.297,17.297,17.297,17.297,0,0
MXNHUF,D,19951122,000000,17.148,17.148,17.148,17.148,0,0
MXNHUF,D,19951123,000000,17.42,17.42,17.42,17.42,0,0
MXNHUF,D,19951124,000000,17.345,17.345,17.345,17.345,0,0
MXNHUF,D,19951127,000000,17.413,17.413,17.413,17.413,0,0
MXNHUF,D,19951128,000000,17.473,17.473,17.473,17.473,0,0
MXNHUF,D,19951129,000000,17.968,17.968,17.968,17.968,0,0
MXNHUF,D,19951130,000000,18.004,18.004,18.004,18.004,0,0
MXNHUF,D,19951201,000000,17.882,17.882,17.882,17.882,0,0
MXNHUF,D,19951204,000000,17.868,17.868,17.868,17.868,0,0
MXNHUF,D,19951205,000000,17.604,17.604,17.604,17.604,0,0
MXNHUF,D,19951206,000000,17.626,17.626,17.626,17.626,0,0
MXNHUF,D,19951207,000000,17.537,17.537,17.537,17.537,0,0
MXNHUF,D,19951208,000000,17.51,17.51,17.51,17.51,0,0
MXNHUF,D,19951211,000000,17.465,17.465,17.465,17.465,0,0
MXNHUF,D,19951212,000000,17.586,17.586,17.586,17.586,0,0
MXNHUF,D,19951213,000000,17.564,17.564,17.564,17.564,0,0
MXNHUF,D,19951214,000000,17.477,17.477,17.477,17.477,0,0
MXNHUF,D,19951215,000000,17.549,17.549,17.549,17.549,0,0
MXNHUF,D,19951218,000000,17.495,17.495,17.495,17.495,0,0
MXNHUF,D,19951219,000000,17.719,17.719,17.719,17.719,0,0
MXNHUF,D,19951220,000000,18.044,18.044,18.044,18.044,0,0
MXNHUF,D,19951221,000000,17.946,17.946,17.946,17.946,0,0
MXNHUF,D,19951222,000000,18.011,18.011,18.011,18.011,0,0
MXNHUF,D,19951227,000000,17.999,17.999,17.999,17.999,0,0
MXNHUF,D,19951228,000000,17.906,17.906,17.906,17.906,0,0
MXNHUF,D,19951229,000000,17.848,17.848,17.848,17.848,0,0
