<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNMYR,D,19900108,000000,1.0031,1.0031,1.0031,1.0031,0,0
MXNMYR,D,19900115,000000,0.9985,0.9985,0.9985,0.9985,0,0
MXNMYR,D,19900122,000000,1.0026,1.0026,1.0026,1.0026,0,0
MXNMYR,D,19900129,000000,0.9941,0.9941,0.9941,0.9941,0,0
MXNMYR,D,19900205,000000,0.9919,0.9919,0.9919,0.9919,0,0
MXNMYR,D,19900212,000000,0.9923,0.9923,0.9923,0.9923,0,0
MXNMYR,D,19900219,000000,0.9917,0.9917,0.9917,0.9917,0,0
MXNMYR,D,19900226,000000,0.9856,0.9856,0.9856,0.9856,0,0
MXNMYR,D,19900305,000000,0.9838,0.9838,0.9838,0.9838,0,0
MXNMYR,D,19900312,000000,0.9819,0.9819,0.9819,0.9819,0,0
MXNMYR,D,19900319,000000,0.9843,0.9843,0.9843,0.9843,0,0
MXNMYR,D,19900326,000000,0.9843,0.9843,0.9843,0.9843,0,0
MXNMYR,D,19900402,000000,0.9849,0.9849,0.9849,0.9849,0,0
MXNMYR,D,19900409,000000,0.979,0.979,0.979,0.979,0,0
MXNMYR,D,19900417,000000,0.9785,0.9785,0.9785,0.9785,0,0
MXNMYR,D,19900423,000000,0.9705,0.9705,0.9705,0.9705,0,0
MXNMYR,D,19900430,000000,0.9679,0.9679,0.9679,0.9679,0,0
MXNMYR,D,19900507,000000,0.9615,0.9615,0.9615,0.9615,0,0
MXNMYR,D,19900514,000000,0.9557,0.9557,0.9557,0.9557,0,0
MXNMYR,D,19900521,000000,0.9553,0.9553,0.9553,0.9553,0,0
MXNMYR,D,19900528,000000,0.9539,0.9539,0.9539,0.9539,0,0
MXNMYR,D,19900604,000000,0.9557,0.9557,0.9557,0.9557,0,0
MXNMYR,D,19900611,000000,0.954,0.954,0.954,0.954,0,0
MXNMYR,D,19900618,000000,0.9525,0.9525,0.9525,0.9525,0,0
MXNMYR,D,19900625,000000,0.9502,0.9502,0.9502,0.9502,0,0
MXNMYR,D,19900702,000000,0.9463,0.9463,0.9463,0.9463,0,0
MXNMYR,D,19900709,000000,0.9445,0.9445,0.9445,0.9445,0,0
MXNMYR,D,19900716,000000,0.943,0.943,0.943,0.943,0,0
MXNMYR,D,19900723,000000,0.9419,0.9419,0.9419,0.9419,0,0
MXNMYR,D,19900730,000000,0.9408,0.9408,0.9408,0.9408,0,0
MXNMYR,D,19900806,000000,0.9394,0.9394,0.9394,0.9394,0,0
MXNMYR,D,19900813,000000,0.9381,0.9381,0.9381,0.9381,0,0
