<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXNTRY,D,19900108,000000,0.00086,0.00086,0.00086,0.00086,0,0
MXNTRY,D,19900115,000000,0.00086,0.00086,0.00086,0.00086,0,0
MXNTRY,D,19900122,000000,0.00086,0.00086,0.00086,0.00086,0,0
MXNTRY,D,19900129,000000,0.00087,0.00087,0.00087,0.00087,0,0
MXNTRY,D,19900205,000000,0.00086,0.00086,0.00086,0.00086,0,0
MXNTRY,D,19900212,000000,0.00087,0.00087,0.00087,0.00087,0,0
MXNTRY,D,19900219,000000,0.00087,0.00087,0.00087,0.00087,0,0
MXNTRY,D,19900226,000000,0.00087,0.00087,0.00087,0.00087,0,0
MXNTRY,D,19900305,000000,0.00088,0.00088,0.00088,0.00088,0,0
MXNTRY,D,19900312,000000,0.00088,0.00088,0.00088,0.00088,0,0
MXNTRY,D,19900319,000000,0.00089,0.00089,0.00089,0.00089,0,0
MXNTRY,D,19900326,000000,0.00088,0.00088,0.00088,0.00088,0,0
MXNTRY,D,19900402,000000,0.00089,0.00089,0.00089,0.00089,0,0
MXNTRY,D,19900409,000000,0.00089,0.00089,0.00089,0.00089,0,0
MXNTRY,D,19900417,000000,0.00089,0.00089,0.00089,0.00089,0,0
MXNTRY,D,19900423,000000,0.0009,0.0009,0.0009,0.0009,0,0
MXNTRY,D,19900430,000000,0.0009,0.0009,0.0009,0.0009,0,0
MXNTRY,D,19900507,000000,0.0009,0.0009,0.0009,0.0009,0,0
MXNTRY,D,19900514,000000,0.0009,0.0009,0.0009,0.0009,0,0
MXNTRY,D,19900521,000000,0.0009,0.0009,0.0009,0.0009,0,0
MXNTRY,D,19900528,000000,0.00091,0.00091,0.00091,0.00091,0,0
MXNTRY,D,19900604,000000,0.00091,0.00091,0.00091,0.00091,0,0
MXNTRY,D,19900611,000000,0.00092,0.00092,0.00092,0.00092,0,0
MXNTRY,D,19900618,000000,0.00092,0.00092,0.00092,0.00092,0,0
MXNTRY,D,19900625,000000,0.00092,0.00092,0.00092,0.00092,0,0
MXNTRY,D,19900702,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900709,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900716,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900723,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900730,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900806,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900813,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900820,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900827,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900903,000000,0.00093,0.00093,0.00093,0.00093,0,0
MXNTRY,D,19900910,000000,0.00094,0.00094,0.00094,0.00094,0,0
MXNTRY,D,19900917,000000,0.00094,0.00094,0.00094,0.00094,0,0
MXNTRY,D,19900924,000000,0.00094,0.00094,0.00094,0.00094,0,0
MXNTRY,D,19901001,000000,0.00094,0.00094,0.00094,0.00094,0,0
MXNTRY,D,19901008,000000,0.00095,0.00095,0.00095,0.00095,0,0
MXNTRY,D,19901010,000000,0.00094,0.00094,0.00094,0.00094,0,0
MXNTRY,D,19901015,000000,0.00094,0.00094,0.00094,0.00094,0,0
MXNTRY,D,19901022,000000,0.00094,0.00094,0.00094,0.00094,0,0
MXNTRY,D,19901029,000000,0.00094,0.00094,0.00094,0.00094,0,0
MXNTRY,D,19901105,000000,0.00095,0.00095,0.00095,0.00095,0,0
MXNTRY,D,19901112,000000,0.00095,0.00095,0.00095,0.00095,0,0
MXNTRY,D,19901119,000000,0.00094,0.00094,0.00094,0.00094,0,0
MXNTRY,D,19901126,000000,0.00095,0.00095,0.00095,0.00095,0,0
MXNTRY,D,19901203,000000,0.00096,0.00096,0.00096,0.00096,0,0
MXNTRY,D,19901210,000000,0.00097,0.00097,0.00097,0.00097,0,0
MXNTRY,D,19901217,000000,0.00096,0.00096,0.00096,0.00096,0,0
MXNTRY,D,19901224,000000,0.00097,0.00097,0.00097,0.00097,0,0
MXNTRY,D,19910102,000000,0.00099,0.00099,0.00099,0.00099,0,0
MXNTRY,D,19910103,000000,0.00099,0.00099,0.00099,0.00099,0,0
MXNTRY,D,19910104,000000,0.00099,0.00099,0.00099,0.00099,0,0
MXNTRY,D,19910107,000000,0.00099,0.00099,0.00099,0.00099,0,0
MXNTRY,D,19910108,000000,0.001,0.001,0.001,0.001,0,0
MXNTRY,D,19910109,000000,0.00101,0.00101,0.00101,0.00101,0,0
MXNTRY,D,19910110,000000,0.00101,0.00101,0.00101,0.00101,0,0
MXNTRY,D,19910111,000000,0.00101,0.00101,0.00101,0.00101,0,0
MXNTRY,D,19910114,000000,0.00101,0.00101,0.00101,0.00101,0,0
MXNTRY,D,19910115,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910116,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910117,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910118,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910121,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910122,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910123,000000,0.00101,0.00101,0.00101,0.00101,0,0
MXNTRY,D,19910124,000000,0.00101,0.00101,0.00101,0.00101,0,0
MXNTRY,D,19910125,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910128,000000,0.00101,0.00101,0.00101,0.00101,0,0
MXNTRY,D,19910129,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910130,000000,0.00101,0.00101,0.00101,0.00101,0,0
MXNTRY,D,19910131,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910201,000000,0.00103,0.00103,0.00103,0.00103,0,0
MXNTRY,D,19910204,000000,0.00103,0.00103,0.00103,0.00103,0,0
MXNTRY,D,19910205,000000,0.00103,0.00103,0.00103,0.00103,0,0
MXNTRY,D,19910206,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910207,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910208,000000,0.00102,0.00102,0.00102,0.00102,0,0
MXNTRY,D,19910211,000000,0.00103,0.00103,0.00103,0.00103,0,0
MXNTRY,D,19910212,000000,0.00103,0.00103,0.00103,0.00103,0,0
MXNTRY,D,19910213,000000,0.00103,0.00103,0.00103,0.00103,0,0
MXNTRY,D,19910214,000000,0.00104,0.00104,0.00104,0.00104,0,0
MXNTRY,D,19910215,000000,0.00104,0.00104,0.00104,0.00104,0,0
MXNTRY,D,19910218,000000,0.00105,0.00105,0.00105,0.00105,0,0
MXNTRY,D,19910219,000000,0.00106,0.00106,0.00106,0.00106,0,0
MXNTRY,D,19910220,000000,0.00107,0.00107,0.00107,0.00107,0,0
MXNTRY,D,19910221,000000,0.00108,0.00108,0.00108,0.00108,0,0
MXNTRY,D,19910222,000000,0.00108,0.00108,0.00108,0.00108,0,0
MXNTRY,D,19910225,000000,0.00109,0.00109,0.00109,0.00109,0,0
MXNTRY,D,19910226,000000,0.00109,0.00109,0.00109,0.00109,0,0
MXNTRY,D,19910227,000000,0.00111,0.00111,0.00111,0.00111,0,0
MXNTRY,D,19910228,000000,0.00112,0.00112,0.00112,0.00112,0,0
MXNTRY,D,19910301,000000,0.00112,0.00112,0.00112,0.00112,0,0
MXNTRY,D,19910304,000000,0.00112,0.00112,0.00112,0.00112,0,0
MXNTRY,D,19910305,000000,0.00113,0.00113,0.00113,0.00113,0,0
MXNTRY,D,19910306,000000,0.00113,0.00113,0.00113,0.00113,0,0
MXNTRY,D,19910307,000000,0.00113,0.00113,0.00113,0.00113,0,0
MXNTRY,D,19910308,000000,0.00114,0.00114,0.00114,0.00114,0,0
MXNTRY,D,19910311,000000,0.00115,0.00115,0.00115,0.00115,0,0
MXNTRY,D,19910312,000000,0.00115,0.00115,0.00115,0.00115,0,0
MXNTRY,D,19910313,000000,0.00116,0.00116,0.00116,0.00116,0,0
MXNTRY,D,19910314,000000,0.00116,0.00116,0.00116,0.00116,0,0
MXNTRY,D,19910315,000000,0.00117,0.00117,0.00117,0.00117,0,0
MXNTRY,D,19910318,000000,0.00117,0.00117,0.00117,0.00117,0,0
MXNTRY,D,19910319,000000,0.00118,0.00118,0.00118,0.00118,0,0
MXNTRY,D,19910320,000000,0.0012,0.0012,0.0012,0.0012,0,0
MXNTRY,D,19910321,000000,0.00124,0.00124,0.00124,0.00124,0,0
MXNTRY,D,19910322,000000,0.00128,0.00128,0.00128,0.00128,0,0
MXNTRY,D,19910325,000000,0.00134,0.00134,0.00134,0.00134,0,0
MXNTRY,D,19910326,000000,0.00119,0.00119,0.00119,0.00119,0,0
MXNTRY,D,19910327,000000,0.00121,0.00121,0.00121,0.00121,0,0
MXNTRY,D,19910328,000000,0.00122,0.00122,0.00122,0.00122,0,0
MXNTRY,D,19910329,000000,0.00124,0.00124,0.00124,0.00124,0,0
MXNTRY,D,19910402,000000,0.00125,0.00125,0.00125,0.00125,0,0
MXNTRY,D,19910403,000000,0.00124,0.00124,0.00124,0.00124,0,0
MXNTRY,D,19910404,000000,0.00125,0.00125,0.00125,0.00125,0,0
MXNTRY,D,19910405,000000,0.00124,0.00124,0.00124,0.00124,0,0
MXNTRY,D,19910408,000000,0.00125,0.00125,0.00125,0.00125,0,0
MXNTRY,D,19910409,000000,0.00124,0.00124,0.00124,0.00124,0,0
MXNTRY,D,19910410,000000,0.00125,0.00125,0.00125,0.00125,0,0
MXNTRY,D,19910411,000000,0.00125,0.00125,0.00125,0.00125,0,0
MXNTRY,D,19910412,000000,0.00125,0.00125,0.00125,0.00125,0,0
MXNTRY,D,19910415,000000,0.00126,0.00126,0.00126,0.00126,0,0
