<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYRBRL,D,19950103,000000,0.3314,0.3314,0.3314,0.3314,0,0
MYRBRL,D,19950104,000000,0.33107,0.33107,0.33107,0.33107,0,0
MYRBRL,D,19950105,000000,0.3306,0.3306,0.3306,0.3306,0,0
MYRBRL,D,19950106,000000,0.32926,0.32926,0.32926,0.32926,0,0
MYRBRL,D,19950109,000000,0.33076,0.33076,0.33076,0.33076,0,0
MYRBRL,D,19950110,000000,0.33145,0.33145,0.33145,0.33145,0,0
MYRBRL,D,19950111,000000,0.33314,0.33314,0.33314,0.33314,0,0
MYRBRL,D,19950112,000000,0.33013,0.33013,0.33013,0.33013,0,0
MYRBRL,D,19950113,000000,0.33094,0.33094,0.33094,0.33094,0,0
MYRBRL,D,19950116,000000,0.33094,0.33094,0.33094,0.33094,0,0
MYRBRL,D,19950117,000000,0.33183,0.33183,0.33183,0.33183,0,0
MYRBRL,D,19950118,000000,0.3313,0.3313,0.3313,0.3313,0,0
MYRBRL,D,19950119,000000,0.3323,0.3323,0.3323,0.3323,0,0
MYRBRL,D,19950120,000000,0.33235,0.33235,0.33235,0.33235,0,0
MYRBRL,D,19950123,000000,0.33245,0.33245,0.33245,0.33245,0,0
MYRBRL,D,19950124,000000,0.33232,0.33232,0.33232,0.33232,0,0
MYRBRL,D,19950125,000000,0.33222,0.33222,0.33222,0.33222,0,0
MYRBRL,D,19950126,000000,0.33014,0.33014,0.33014,0.33014,0,0
MYRBRL,D,19950127,000000,0.33009,0.33009,0.33009,0.33009,0,0
MYRBRL,D,19950130,000000,0.3306,0.3306,0.3306,0.3306,0,0
MYRBRL,D,19950131,000000,0.32891,0.32891,0.32891,0.32891,0,0
MYRBRL,D,19950201,000000,0.32976,0.32976,0.32976,0.32976,0,0
MYRBRL,D,19950202,000000,0.32843,0.32843,0.32843,0.32843,0,0
