<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYRCAD,D,19900108,000000,0.43019,0.43019,0.43019,0.43019,0,0
MYRCAD,D,19900115,000000,0.43045,0.43045,0.43045,0.43045,0,0
MYRCAD,D,19900122,000000,0.42989,0.42989,0.42989,0.42989,0,0
MYRCAD,D,19900129,000000,0.43779,0.43779,0.43779,0.43779,0,0
MYRCAD,D,19900205,000000,0.44108,0.44108,0.44108,0.44108,0,0
MYRCAD,D,19900212,000000,0.43914,0.43914,0.43914,0.43914,0,0
MYRCAD,D,19900219,000000,0.44402,0.44402,0.44402,0.44402,0,0
MYRCAD,D,19900226,000000,0.44408,0.44408,0.44408,0.44408,0,0
MYRCAD,D,19900305,000000,0.44161,0.44161,0.44161,0.44161,0,0
MYRCAD,D,19900312,000000,0.4384,0.4384,0.4384,0.4384,0,0
MYRCAD,D,19900319,000000,0.43323,0.43323,0.43323,0.43323,0,0
MYRCAD,D,19900326,000000,0.43385,0.43385,0.43385,0.43385,0,0
MYRCAD,D,19900402,000000,0.43017,0.43017,0.43017,0.43017,0,0
MYRCAD,D,19900409,000000,0.42734,0.42734,0.42734,0.42734,0,0
MYRCAD,D,19900417,000000,0.42509,0.42509,0.42509,0.42509,0,0
MYRCAD,D,19900423,000000,0.42963,0.42963,0.42963,0.42963,0,0
MYRCAD,D,19900430,000000,0.4274,0.4274,0.4274,0.4274,0,0
MYRCAD,D,19900507,000000,0.42981,0.42981,0.42981,0.42981,0,0
MYRCAD,D,19900514,000000,0.43151,0.43151,0.43151,0.43151,0,0
MYRCAD,D,19900521,000000,0.43497,0.43497,0.43497,0.43497,0,0
MYRCAD,D,19900528,000000,0.43691,0.43691,0.43691,0.43691,0,0
MYRCAD,D,19900604,000000,0.43572,0.43572,0.43572,0.43572,0,0
MYRCAD,D,19900611,000000,0.43461,0.43461,0.43461,0.43461,0,0
MYRCAD,D,19900618,000000,0.43142,0.43142,0.43142,0.43142,0,0
MYRCAD,D,19900625,000000,0.4323,0.4323,0.4323,0.4323,0,0
MYRCAD,D,19900702,000000,0.43573,0.43573,0.43573,0.43573,0,0
MYRCAD,D,19900709,000000,0.42976,0.42976,0.42976,0.42976,0,0
MYRCAD,D,19900716,000000,0.42802,0.42802,0.42802,0.42802,0,0
MYRCAD,D,19900723,000000,0.42824,0.42824,0.42824,0.42824,0,0
MYRCAD,D,19900730,000000,0.42783,0.42783,0.42783,0.42783,0,0
MYRCAD,D,19900806,000000,0.42761,0.42761,0.42761,0.42761,0,0
