<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYRCHF,D,19900108,000000,0.5829,0.5829,0.5829,0.5829,0,0
MYRCHF,D,19900115,000000,0.5658,0.5658,0.5658,0.5658,0,0
MYRCHF,D,19900122,000000,0.5583,0.5583,0.5583,0.5583,0,0
MYRCHF,D,19900129,000000,0.5674,0.5674,0.5674,0.5674,0,0
MYRCHF,D,19900205,000000,0.5514,0.5514,0.5514,0.5514,0,0
MYRCHF,D,19900212,000000,0.5468,0.5468,0.5468,0.5468,0,0
MYRCHF,D,19900219,000000,0.5538,0.5538,0.5538,0.5538,0,0
MYRCHF,D,19900226,000000,0.549,0.549,0.549,0.549,0,0
MYRCHF,D,19900305,000000,0.5479,0.5479,0.5479,0.5479,0,0
MYRCHF,D,19900312,000000,0.5543,0.5543,0.5543,0.5543,0,0
MYRCHF,D,19900319,000000,0.5588,0.5588,0.5588,0.5588,0,0
MYRCHF,D,19900326,000000,0.5528,0.5528,0.5528,0.5528,0,0
MYRCHF,D,19900402,000000,0.5598,0.5598,0.5598,0.5598,0,0
MYRCHF,D,19900409,000000,0.5507,0.5507,0.5507,0.5507,0,0
MYRCHF,D,19900417,000000,0.5472,0.5472,0.5472,0.5472,0,0
MYRCHF,D,19900423,000000,0.5489,0.5489,0.5489,0.5489,0,0
MYRCHF,D,19900430,000000,0.5491,0.5491,0.5491,0.5491,0,0
MYRCHF,D,19900507,000000,0.5384,0.5384,0.5384,0.5384,0,0
MYRCHF,D,19900514,000000,0.5314,0.5314,0.5314,0.5314,0,0
MYRCHF,D,19900521,000000,0.5162,0.5162,0.5162,0.5162,0,0
MYRCHF,D,19900528,000000,0.5266,0.5266,0.5266,0.5266,0,0
MYRCHF,D,19900604,000000,0.5197,0.5197,0.5197,0.5197,0,0
MYRCHF,D,19900611,000000,0.5306,0.5306,0.5306,0.5306,0,0
MYRCHF,D,19900618,000000,0.5314,0.5314,0.5314,0.5314,0,0
MYRCHF,D,19900625,000000,0.5267,0.5267,0.5267,0.5267,0,0
MYRCHF,D,19900702,000000,0.5207,0.5207,0.5207,0.5207,0,0
MYRCHF,D,19900709,000000,0.5183,0.5183,0.5183,0.5183,0,0
MYRCHF,D,19900716,000000,0.5156,0.5156,0.5156,0.5156,0,0
MYRCHF,D,19900723,000000,0.5226,0.5226,0.5226,0.5226,0,0
MYRCHF,D,19900730,000000,0.5096,0.5096,0.5096,0.5096,0,0
MYRCHF,D,19900806,000000,0.49987,0.49987,0.49987,0.49987,0,0
MYRCHF,D,19900813,000000,0.49178,0.49178,0.49178,0.49178,0,0
MYRCHF,D,19900820,000000,0.48841,0.48841,0.48841,0.48841,0,0
MYRCHF,D,19900827,000000,0.47959,0.47959,0.47959,0.47959,0,0
MYRCHF,D,19900903,000000,0.47554,0.47554,0.47554,0.47554,0,0
MYRCHF,D,19900910,000000,0.48956,0.48956,0.48956,0.48956,0,0
MYRCHF,D,19900917,000000,0.49251,0.49251,0.49251,0.49251,0,0
MYRCHF,D,19900924,000000,0.47561,0.47561,0.47561,0.47561,0,0
MYRCHF,D,19901001,000000,0.48117,0.48117,0.48117,0.48117,0,0
MYRCHF,D,19901008,000000,0.48064,0.48064,0.48064,0.48064,0,0
MYRCHF,D,19901010,000000,0.47743,0.47743,0.47743,0.47743,0,0
MYRCHF,D,19901015,000000,0.47243,0.47243,0.47243,0.47243,0,0
MYRCHF,D,19901022,000000,0.47449,0.47449,0.47449,0.47449,0,0
MYRCHF,D,19901029,000000,0.47506,0.47506,0.47506,0.47506,0,0
MYRCHF,D,19901105,000000,0.47534,0.47534,0.47534,0.47534,0,0
MYRCHF,D,19901112,000000,0.46232,0.46232,0.46232,0.46232,0,0
MYRCHF,D,19901119,000000,0.46297,0.46297,0.46297,0.46297,0,0
MYRCHF,D,19901126,000000,0.46472,0.46472,0.46472,0.46472,0,0
MYRCHF,D,19901203,000000,0.46678,0.46678,0.46678,0.46678,0,0
MYRCHF,D,19901210,000000,0.47635,0.47635,0.47635,0.47635,0,0
MYRCHF,D,19901217,000000,0.46773,0.46773,0.46773,0.46773,0,0
MYRCHF,D,19901224,000000,0.46911,0.46911,0.46911,0.46911,0,0
MYRCHF,D,19910102,000000,0.47048,0.47048,0.47048,0.47048,0,0
MYRCHF,D,19910103,000000,0.46763,0.46763,0.46763,0.46763,0,0
MYRCHF,D,19910104,000000,0.46699,0.46699,0.46699,0.46699,0,0
MYRCHF,D,19910107,000000,0.46514,0.46514,0.46514,0.46514,0,0
MYRCHF,D,19910108,000000,0.47661,0.47661,0.47661,0.47661,0,0
MYRCHF,D,19910109,000000,0.47466,0.47466,0.47466,0.47466,0,0
MYRCHF,D,19910110,000000,0.47203,0.47203,0.47203,0.47203,0,0
MYRCHF,D,19910111,000000,0.47107,0.47107,0.47107,0.47107,0,0
MYRCHF,D,19910114,000000,0.47224,0.47224,0.47224,0.47224,0,0
MYRCHF,D,19910115,000000,0.47229,0.47229,0.47229,0.47229,0,0
MYRCHF,D,19910116,000000,0.47176,0.47176,0.47176,0.47176,0,0
MYRCHF,D,19910117,000000,0.47232,0.47232,0.47232,0.47232,0,0
MYRCHF,D,19910118,000000,0.46992,0.46992,0.46992,0.46992,0,0
MYRCHF,D,19910121,000000,0.4686,0.4686,0.4686,0.4686,0,0
MYRCHF,D,19910122,000000,0.46391,0.46391,0.46391,0.46391,0,0
MYRCHF,D,19910123,000000,0.46082,0.46082,0.46082,0.46082,0,0
MYRCHF,D,19910124,000000,0.46657,0.46657,0.46657,0.46657,0,0
MYRCHF,D,19910125,000000,0.46339,0.46339,0.46339,0.46339,0,0
MYRCHF,D,19910128,000000,0.46511,0.46511,0.46511,0.46511,0,0
MYRCHF,D,19910129,000000,0.46777,0.46777,0.46777,0.46777,0,0
MYRCHF,D,19910130,000000,0.46563,0.46563,0.46563,0.46563,0,0
MYRCHF,D,19910131,000000,0.46885,0.46885,0.46885,0.46885,0,0
MYRCHF,D,19910201,000000,0.46954,0.46954,0.46954,0.46954,0,0
MYRCHF,D,19910204,000000,0.4671,0.4671,0.4671,0.4671,0,0
MYRCHF,D,19910205,000000,0.46498,0.46498,0.46498,0.46498,0,0
MYRCHF,D,19910206,000000,0.46407,0.46407,0.46407,0.46407,0,0
MYRCHF,D,19910207,000000,0.4613,0.4613,0.4613,0.4613,0,0
MYRCHF,D,19910208,000000,0.45932,0.45932,0.45932,0.45932,0,0
MYRCHF,D,19910211,000000,0.46341,0.46341,0.46341,0.46341,0,0
MYRCHF,D,19910212,000000,0.46215,0.46215,0.46215,0.46215,0,0
MYRCHF,D,19910213,000000,0.46263,0.46263,0.46263,0.46263,0,0
MYRCHF,D,19910214,000000,0.464,0.464,0.464,0.464,0,0
MYRCHF,D,19910215,000000,0.46649,0.46649,0.46649,0.46649,0,0
MYRCHF,D,19910218,000000,0.46931,0.46931,0.46931,0.46931,0,0
MYRCHF,D,19910219,000000,0.47158,0.47158,0.47158,0.47158,0,0
MYRCHF,D,19910220,000000,0.47408,0.47408,0.47408,0.47408,0,0
MYRCHF,D,19910221,000000,0.47217,0.47217,0.47217,0.47217,0,0
MYRCHF,D,19910222,000000,0.47172,0.47172,0.47172,0.47172,0,0
MYRCHF,D,19910225,000000,0.4703,0.4703,0.4703,0.4703,0,0
MYRCHF,D,19910226,000000,0.47785,0.47785,0.47785,0.47785,0,0
MYRCHF,D,19910227,000000,0.48001,0.48001,0.48001,0.48001,0,0
MYRCHF,D,19910228,000000,0.48343,0.48343,0.48343,0.48343,0,0
MYRCHF,D,19910301,000000,0.48342,0.48342,0.48342,0.48342,0,0
MYRCHF,D,19910304,000000,0.48853,0.48853,0.48853,0.48853,0,0
MYRCHF,D,19910305,000000,0.48943,0.48943,0.48943,0.48943,0,0
MYRCHF,D,19910306,000000,0.48624,0.48624,0.48624,0.48624,0,0
MYRCHF,D,19910307,000000,0.49215,0.49215,0.49215,0.49215,0,0
MYRCHF,D,19910308,000000,0.49383,0.49383,0.49383,0.49383,0,0
MYRCHF,D,19910311,000000,0.49576,0.49576,0.49576,0.49576,0,0
MYRCHF,D,19910312,000000,0.5002,0.5002,0.5002,0.5002,0,0
MYRCHF,D,19910313,000000,0.49752,0.49752,0.49752,0.49752,0,0
MYRCHF,D,19910314,000000,0.49994,0.49994,0.49994,0.49994,0,0
MYRCHF,D,19910315,000000,0.49951,0.49951,0.49951,0.49951,0,0
MYRCHF,D,19910318,000000,0.5016,0.5016,0.5016,0.5016,0,0
MYRCHF,D,19910319,000000,0.5091,0.5091,0.5091,0.5091,0,0
MYRCHF,D,19910320,000000,0.5087,0.5087,0.5087,0.5087,0,0
MYRCHF,D,19910321,000000,0.5216,0.5216,0.5216,0.5216,0,0
MYRCHF,D,19910322,000000,0.5139,0.5139,0.5139,0.5139,0,0
MYRCHF,D,19910325,000000,0.5141,0.5141,0.5141,0.5141,0,0
MYRCHF,D,19910326,000000,0.5181,0.5181,0.5181,0.5181,0,0
MYRCHF,D,19910327,000000,0.5219,0.5219,0.5219,0.5219,0,0
MYRCHF,D,19910328,000000,0.5181,0.5181,0.5181,0.5181,0,0
MYRCHF,D,19910329,000000,0.5283,0.5283,0.5283,0.5283,0,0
MYRCHF,D,19910402,000000,0.5282,0.5282,0.5282,0.5282,0,0
MYRCHF,D,19910403,000000,0.5247,0.5247,0.5247,0.5247,0,0
MYRCHF,D,19910404,000000,0.5153,0.5153,0.5153,0.5153,0,0
MYRCHF,D,19910405,000000,0.5175,0.5175,0.5175,0.5175,0,0
MYRCHF,D,19910408,000000,0.5109,0.5109,0.5109,0.5109,0,0
MYRCHF,D,19910409,000000,0.521,0.521,0.521,0.521,0,0
MYRCHF,D,19910410,000000,0.5216,0.5216,0.5216,0.5216,0,0
MYRCHF,D,19910411,000000,0.5162,0.5162,0.5162,0.5162,0,0
MYRCHF,D,19910412,000000,0.5208,0.5208,0.5208,0.5208,0,0
MYRCHF,D,19910415,000000,0.5166,0.5166,0.5166,0.5166,0,0
MYRCHF,D,19910416,000000,0.5199,0.5199,0.5199,0.5199,0,0
MYRCHF,D,19910417,000000,0.5186,0.5186,0.5186,0.5186,0,0
MYRCHF,D,19910418,000000,0.5207,0.5207,0.5207,0.5207,0,0
MYRCHF,D,19910419,000000,0.5225,0.5225,0.5225,0.5225,0,0
MYRCHF,D,19910422,000000,0.5278,0.5278,0.5278,0.5278,0,0
MYRCHF,D,19910423,000000,0.5329,0.5329,0.5329,0.5329,0,0
MYRCHF,D,19910424,000000,0.5346,0.5346,0.5346,0.5346,0,0
MYRCHF,D,19910425,000000,0.5269,0.5269,0.5269,0.5269,0,0
MYRCHF,D,19910426,000000,0.5342,0.5342,0.5342,0.5342,0,0
MYRCHF,D,19910429,000000,0.5334,0.5334,0.5334,0.5334,0,0
MYRCHF,D,19910430,000000,0.5403,0.5403,0.5403,0.5403,0,0
MYRCHF,D,19910501,000000,0.5332,0.5332,0.5332,0.5332,0,0
MYRCHF,D,19910506,000000,0.5286,0.5286,0.5286,0.5286,0,0
