<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYRDKK,D,19900108,000000,2.4665,2.4665,2.4665,2.4665,0,0
MYRDKK,D,19900115,000000,2.4176,2.4176,2.4176,2.4176,0,0
MYRDKK,D,19900122,000000,2.4212,2.4212,2.4212,2.4212,0,0
MYRDKK,D,19900129,000000,2.4717,2.4717,2.4717,2.4717,0,0
MYRDKK,D,19900205,000000,2.3993,2.3993,2.3993,2.3993,0,0
MYRDKK,D,19900212,000000,2.3705,2.3705,2.3705,2.3705,0,0
MYRDKK,D,19900219,000000,2.4028,2.4028,2.4028,2.4028,0,0
MYRDKK,D,19900226,000000,2.3864,2.3864,2.3864,2.3864,0,0
MYRDKK,D,19900305,000000,2.3952,2.3952,2.3952,2.3952,0,0
MYRDKK,D,19900312,000000,2.4112,2.4112,2.4112,2.4112,0,0
MYRDKK,D,19900319,000000,2.402,2.402,2.402,2.402,0,0
MYRDKK,D,19900326,000000,2.361,2.361,2.361,2.361,0,0
MYRDKK,D,19900402,000000,2.3903,2.3903,2.3903,2.3903,0,0
MYRDKK,D,19900409,000000,2.38,2.38,2.38,2.38,0,0
MYRDKK,D,19900417,000000,2.363,2.363,2.363,2.363,0,0
MYRDKK,D,19900423,000000,2.3557,2.3557,2.3557,2.3557,0,0
MYRDKK,D,19900430,000000,2.376,2.376,2.376,2.376,0,0
MYRDKK,D,19900507,000000,2.3612,2.3612,2.3612,2.3612,0,0
MYRDKK,D,19900514,000000,2.3329,2.3329,2.3329,2.3329,0,0
MYRDKK,D,19900521,000000,2.3204,2.3204,2.3204,2.3204,0,0
MYRDKK,D,19900528,000000,2.3507,2.3507,2.3507,2.3507,0,0
MYRDKK,D,19900604,000000,2.3484,2.3484,2.3484,2.3484,0,0
MYRDKK,D,19900611,000000,2.3788,2.3788,2.3788,2.3788,0,0
MYRDKK,D,19900618,000000,2.3759,2.3759,2.3759,2.3759,0,0
MYRDKK,D,19900625,000000,2.3613,2.3613,2.3613,2.3613,0,0
MYRDKK,D,19900702,000000,2.3537,2.3537,2.3537,2.3537,0,0
MYRDKK,D,19900709,000000,2.3289,2.3289,2.3289,2.3289,0,0
MYRDKK,D,19900716,000000,2.3178,2.3178,2.3178,2.3178,0,0
MYRDKK,D,19900723,000000,2.3252,2.3252,2.3252,2.3252,0,0
MYRDKK,D,19900730,000000,2.2875,2.2875,2.2875,2.2875,0,0
MYRDKK,D,19900806,000000,2.2507,2.2507,2.2507,2.2507,0,0
MYRDKK,D,19900813,000000,2.2256,2.2256,2.2256,2.2256,0,0
MYRDKK,D,19900820,000000,2.2297,2.2297,2.2297,2.2297,0,0
MYRDKK,D,19900827,000000,2.217,2.217,2.217,2.217,0,0
MYRDKK,D,19900903,000000,2.2075,2.2075,2.2075,2.2075,0,0
MYRDKK,D,19900910,000000,2.2553,2.2553,2.2553,2.2553,0,0
MYRDKK,D,19900917,000000,2.2563,2.2563,2.2563,2.2563,0,0
MYRDKK,D,19900924,000000,2.1948,2.1948,2.1948,2.1948,0,0
MYRDKK,D,19901001,000000,2.2088,2.2088,2.2088,2.2088,0,0
MYRDKK,D,19901008,000000,2.2073,2.2073,2.2073,2.2073,0,0
MYRDKK,D,19901010,000000,2.1819,2.1819,2.1819,2.1819,0,0
MYRDKK,D,19901015,000000,2.1551,2.1551,2.1551,2.1551,0,0
MYRDKK,D,19901022,000000,2.1522,2.1522,2.1522,2.1522,0,0
MYRDKK,D,19901029,000000,2.1443,2.1443,2.1443,2.1443,0,0
MYRDKK,D,19901105,000000,2.1363,2.1363,2.1363,2.1363,0,0
MYRDKK,D,19901112,000000,2.1073,2.1073,2.1073,2.1073,0,0
MYRDKK,D,19901119,000000,2.1027,2.1027,2.1027,2.1027,0,0
MYRDKK,D,19901126,000000,2.1116,2.1116,2.1116,2.1116,0,0
MYRDKK,D,19901203,000000,2.1087,2.1087,2.1087,2.1087,0,0
MYRDKK,D,19901210,000000,2.1413,2.1413,2.1413,2.1413,0,0
MYRDKK,D,19901217,000000,2.1022,2.1022,2.1022,2.1022,0,0
MYRDKK,D,19901224,000000,2.1168,2.1168,2.1168,2.1168,0,0
MYRDKK,D,19910102,000000,2.1329,2.1329,2.1329,2.1329,0,0
MYRDKK,D,19910103,000000,2.1268,2.1268,2.1268,2.1268,0,0
MYRDKK,D,19910104,000000,2.1218,2.1218,2.1218,2.1218,0,0
MYRDKK,D,19910107,000000,2.1141,2.1141,2.1141,2.1141,0,0
MYRDKK,D,19910108,000000,2.1671,2.1671,2.1671,2.1671,0,0
MYRDKK,D,19910109,000000,2.1733,2.1733,2.1733,2.1733,0,0
MYRDKK,D,19910110,000000,2.1631,2.1631,2.1631,2.1631,0,0
MYRDKK,D,19910111,000000,2.1593,2.1593,2.1593,2.1593,0,0
MYRDKK,D,19910114,000000,2.1665,2.1665,2.1665,2.1665,0,0
MYRDKK,D,19910115,000000,2.1848,2.1848,2.1848,2.1848,0,0
MYRDKK,D,19910116,000000,2.1784,2.1784,2.1784,2.1784,0,0
MYRDKK,D,19910117,000000,2.183,2.183,2.183,2.183,0,0
MYRDKK,D,19910118,000000,2.1487,2.1487,2.1487,2.1487,0,0
MYRDKK,D,19910121,000000,2.1461,2.1461,2.1461,2.1461,0,0
MYRDKK,D,19910122,000000,2.1288,2.1288,2.1288,2.1288,0,0
MYRDKK,D,19910123,000000,2.11,2.11,2.11,2.11,0,0
MYRDKK,D,19910124,000000,2.1319,2.1319,2.1319,2.1319,0,0
MYRDKK,D,19910125,000000,2.1156,2.1156,2.1156,2.1156,0,0
MYRDKK,D,19910128,000000,2.1203,2.1203,2.1203,2.1203,0,0
MYRDKK,D,19910129,000000,2.1253,2.1253,2.1253,2.1253,0,0
MYRDKK,D,19910130,000000,2.1161,2.1161,2.1161,2.1161,0,0
MYRDKK,D,19910131,000000,2.1288,2.1288,2.1288,2.1288,0,0
MYRDKK,D,19910201,000000,2.1272,2.1272,2.1272,2.1272,0,0
MYRDKK,D,19910204,000000,2.1137,2.1137,2.1137,2.1137,0,0
MYRDKK,D,19910205,000000,2.0957,2.0957,2.0957,2.0957,0,0
MYRDKK,D,19910206,000000,2.0934,2.0934,2.0934,2.0934,0,0
MYRDKK,D,19910207,000000,2.0854,2.0854,2.0854,2.0854,0,0
MYRDKK,D,19910208,000000,2.081,2.081,2.081,2.081,0,0
MYRDKK,D,19910211,000000,2.0893,2.0893,2.0893,2.0893,0,0
MYRDKK,D,19910212,000000,2.0835,2.0835,2.0835,2.0835,0,0
MYRDKK,D,19910213,000000,2.0799,2.0799,2.0799,2.0799,0,0
MYRDKK,D,19910214,000000,2.0855,2.0855,2.0855,2.0855,0,0
MYRDKK,D,19910215,000000,2.0957,2.0957,2.0957,2.0957,0,0
MYRDKK,D,19910218,000000,2.1052,2.1052,2.1052,2.1052,0,0
MYRDKK,D,19910219,000000,2.116,2.116,2.116,2.116,0,0
MYRDKK,D,19910220,000000,2.1252,2.1252,2.1252,2.1252,0,0
MYRDKK,D,19910221,000000,2.1249,2.1249,2.1249,2.1249,0,0
MYRDKK,D,19910222,000000,2.1223,2.1223,2.1223,2.1223,0,0
MYRDKK,D,19910225,000000,2.1159,2.1159,2.1159,2.1159,0,0
MYRDKK,D,19910226,000000,2.148,2.148,2.148,2.148,0,0
MYRDKK,D,19910227,000000,2.1538,2.1538,2.1538,2.1538,0,0
MYRDKK,D,19910228,000000,2.1547,2.1547,2.1547,2.1547,0,0
MYRDKK,D,19910301,000000,2.1445,2.1445,2.1445,2.1445,0,0
