<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NADAUD,D,19840109,000000,90.142,90.142,90.142,90.142,0,0
NADAUD,D,19840116,000000,89.269,89.269,89.269,89.269,0,0
NADAUD,D,19840123,000000,90.272,90.272,90.272,90.272,0,0
NADAUD,D,19840130,000000,88.139,88.139,88.139,88.139,0,0
NADAUD,D,19840206,000000,89.405,89.405,89.405,89.405,0,0
NADAUD,D,19840213,000000,89.405,89.405,89.405,89.405,0,0
NADAUD,D,19840220,000000,87.328,87.328,87.328,87.328,0,0
NADAUD,D,19840301,000000,88.986,88.986,88.986,88.986,0,0
NADAUD,D,19840305,000000,89.85,89.85,89.85,89.85,0,0
NADAUD,D,19840312,000000,87.03,87.03,87.03,87.03,0,0
NADAUD,D,19840319,000000,84.264,84.264,84.264,84.264,0,0
NADAUD,D,19840326,000000,85.233,85.233,85.233,85.233,0,0
NADAUD,D,19840402,000000,86.888,86.888,86.888,86.888,0,0
NADAUD,D,19840409,000000,85.901,85.901,85.901,85.901,0,0
NADAUD,D,19840416,000000,89.495,89.495,89.495,89.495,0,0
NADAUD,D,19840424,000000,88.609,88.609,88.609,88.609,0,0
NADAUD,D,19840502,000000,88.609,88.609,88.609,88.609,0,0
NADAUD,D,19840507,000000,86.888,86.888,86.888,86.888,0,0
NADAUD,D,19840514,000000,85.746,85.746,85.746,85.746,0,0
NADAUD,D,19840521,000000,88.478,88.478,88.478,88.478,0,0
NADAUD,D,19840528,000000,88.478,88.478,88.478,88.478,0,0
NADAUD,D,19840604,000000,89.495,89.495,89.495,89.495,0,0
NADAUD,D,19840611,000000,87.317,87.317,87.317,87.317,0,0
NADAUD,D,19840618,000000,87.317,87.317,87.317,87.317,0,0
NADAUD,D,19840625,000000,85.095,85.095,85.095,85.095,0,0
NADAUD,D,19840702,000000,85.972,85.972,85.972,85.972,0,0
NADAUD,D,19840709,000000,80.511,80.511,80.511,80.511,0,0
NADAUD,D,19840716,000000,83.108,83.108,83.108,83.108,0,0
NADAUD,D,19840723,000000,78.979,78.979,78.979,78.979,0,0
NADAUD,D,19840730,000000,75.454,75.454,75.454,75.454,0,0
NADAUD,D,19840806,000000,77.897,77.897,77.897,77.897,0,0
NADAUD,D,19840813,000000,74.936,74.936,74.936,74.936,0,0
NADAUD,D,19840820,000000,78.147,78.147,78.147,78.147,0,0
NADAUD,D,19840827,000000,76.536,76.536,76.536,76.536,0,0
NADAUD,D,19840901,000000,76.516,76.516,76.516,76.516,0,0
NADAUD,D,19840910,000000,73.34,73.34,73.34,73.34,0,0
NADAUD,D,19840917,000000,72.362,72.362,72.362,72.362,0,0
NADAUD,D,19840924,000000,74.318,74.318,74.318,74.318,0,0
NADAUD,D,19841001,000000,73.34,73.34,73.34,73.34,0,0
NADAUD,D,19841008,000000,72.362,72.362,72.362,72.362,0,0
NADAUD,D,19841015,000000,68.768,68.768,68.768,68.768,0,0
NADAUD,D,19841022,000000,68.768,68.768,68.768,68.768,0,0
NADAUD,D,19841029,000000,62.956,62.956,62.956,62.956,0,0
NADAUD,D,19841105,000000,67.159,67.159,67.159,67.159,0,0
NADAUD,D,19841112,000000,65.581,65.581,65.581,65.581,0,0
NADAUD,D,19841119,000000,65.581,65.581,65.581,65.581,0,0
NADAUD,D,19841126,000000,65.581,65.581,65.581,65.581,0,0
NADAUD,D,19841201,000000,65.581,65.581,65.581,65.581,0,0
NADAUD,D,19841210,000000,64.974,64.974,64.974,64.974,0,0
NADAUD,D,19841217,000000,63.322,63.322,63.322,63.322,0,0
NADAUD,D,19841224,000000,61.988,61.988,61.988,61.988,0,0
NADAUD,D,19850101,000000,61.903,61.903,61.903,61.903,0,0
NADAUD,D,19850107,000000,58.878,58.878,58.878,58.878,0,0
NADAUD,D,19850114,000000,54.899,54.899,54.899,54.899,0,0
NADAUD,D,19850121,000000,55.31,55.31,55.31,55.31,0,0
NADAUD,D,19850128,000000,58.499,58.499,58.499,58.499,0,0
