<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NADXAG,D,19840109,000000,10.041,10.041,10.041,10.041,0,0
NADXAG,D,19840116,000000,9.919,9.919,9.919,9.919,0,0
NADXAG,D,19840123,000000,10.043,10.043,10.043,10.043,0,0
NADXAG,D,19840130,000000,9.557,9.557,9.557,9.557,0,0
NADXAG,D,19840206,000000,9.3517,9.3517,9.3517,9.3517,0,0
NADXAG,D,19840213,000000,9.4605,9.4605,9.4605,9.4605,0,0
NADXAG,D,19840220,000000,9.3419,9.3419,9.3419,9.3419,0,0
NADXAG,D,19840301,000000,8.5694,8.5694,8.5694,8.5694,0,0
NADXAG,D,19840305,000000,8.3378,8.3378,8.3378,8.3378,0,0
NADXAG,D,19840312,000000,8.5387,8.5387,8.5387,8.5387,0,0
NADXAG,D,19840319,000000,8.4267,8.4267,8.4267,8.4267,0,0
NADXAG,D,19840326,000000,8.5229,8.5229,8.5229,8.5229,0,0
NADXAG,D,19840402,000000,8.7735,8.7735,8.7735,8.7735,0,0
NADXAG,D,19840409,000000,8.6745,8.6745,8.6745,8.6745,0,0
NADXAG,D,19840416,000000,8.949,8.949,8.949,8.949,0,0
NADXAG,D,19840424,000000,8.7735,8.7735,8.7735,8.7735,0,0
NADXAG,D,19840502,000000,8.8604,8.8604,8.8604,8.8604,0,0
NADXAG,D,19840507,000000,9.2258,9.2258,9.2258,9.2258,0,0
NADXAG,D,19840514,000000,8.746,8.746,8.746,8.746,0,0
NADXAG,D,19840521,000000,8.6745,8.6745,8.6745,8.6745,0,0
NADXAG,D,19840528,000000,8.6745,8.6745,8.6745,8.6745,0,0
NADXAG,D,19840604,000000,8.5229,8.5229,8.5229,8.5229,0,0
NADXAG,D,19840611,000000,9.0042,9.0042,9.0042,9.0042,0,0
NADXAG,D,19840618,000000,9.0042,9.0042,9.0042,9.0042,0,0
NADXAG,D,19840625,000000,8.9667,8.9667,8.9667,8.9667,0,0
NADXAG,D,19840702,000000,8.7779,8.7779,8.7779,8.7779,0,0
NADXAG,D,19840709,000000,8.8839,8.8839,8.8839,8.8839,0,0
NADXAG,D,19840716,000000,9.0929,9.0929,9.0929,9.0929,0,0
NADXAG,D,19840723,000000,9.0537,9.0537,9.0537,9.0537,0,0
NADXAG,D,19840730,000000,8.663,8.663,8.663,8.663,0,0
NADXAG,D,19840806,000000,8.514,8.514,8.514,8.514,0,0
NADXAG,D,19840813,000000,7.9989,7.9989,7.9989,7.9989,0,0
NADXAG,D,19840820,000000,8.7341,8.7341,8.7341,8.7341,0,0
NADXAG,D,19840827,000000,8.6326,8.6326,8.6326,8.6326,0,0
NADXAG,D,19840901,000000,8.5468,8.5468,8.5468,8.5468,0,0
NADXAG,D,19840910,000000,8.2902,8.2902,8.2902,8.2902,0,0
