<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKCHF,D,19840102,000000,28.209,28.209,28.209,28.209,0,0
NOKCHF,D,19840109,000000,28.51,28.51,28.51,28.51,0,0
NOKCHF,D,19840116,000000,28.377,28.377,28.377,28.377,0,0
NOKCHF,D,19840123,000000,28.433,28.433,28.433,28.433,0,0
NOKCHF,D,19840130,000000,28.491,28.491,28.491,28.491,0,0
NOKCHF,D,19840206,000000,28.529,28.529,28.529,28.529,0,0
NOKCHF,D,19840213,000000,28.559,28.559,28.559,28.559,0,0
NOKCHF,D,19840220,000000,28.829,28.829,28.829,28.829,0,0
NOKCHF,D,19840301,000000,28.706,28.706,28.706,28.706,0,0
NOKCHF,D,19840305,000000,28.787,28.787,28.787,28.787,0,0
NOKCHF,D,19840312,000000,28.41,28.41,28.41,28.41,0,0
NOKCHF,D,19840319,000000,28.516,28.516,28.516,28.516,0,0
NOKCHF,D,19840326,000000,28.538,28.538,28.538,28.538,0,0
NOKCHF,D,19840402,000000,28.724,28.724,28.724,28.724,0,0
NOKCHF,D,19840409,000000,28.651,28.651,28.651,28.651,0,0
NOKCHF,D,19840416,000000,28.759,28.759,28.759,28.759,0,0
NOKCHF,D,19840424,000000,28.834,28.834,28.834,28.834,0,0
NOKCHF,D,19840502,000000,28.936,28.936,28.936,28.936,0,0
NOKCHF,D,19840507,000000,28.924,28.924,28.924,28.924,0,0
NOKCHF,D,19840514,000000,29.139,29.139,29.139,29.139,0,0
NOKCHF,D,19840521,000000,29.008,29.008,29.008,29.008,0,0
NOKCHF,D,19840528,000000,29.056,29.056,29.056,29.056,0,0
NOKCHF,D,19840604,000000,28.92,28.92,28.92,28.92,0,0
NOKCHF,D,19840611,000000,28.978,28.978,28.978,28.978,0,0
NOKCHF,D,19840618,000000,29.18,29.18,29.18,29.18,0,0
NOKCHF,D,19840625,000000,29.259,29.259,29.259,29.259,0,0
NOKCHF,D,19840702,000000,29.097,29.097,29.097,29.097,0,0
NOKCHF,D,19840709,000000,29.232,29.232,29.232,29.232,0,0
NOKCHF,D,19840716,000000,29.214,29.214,29.214,29.214,0,0
NOKCHF,D,19840723,000000,29.261,29.261,29.261,29.261,0,0
NOKCHF,D,19840730,000000,29.538,29.538,29.538,29.538,0,0
NOKCHF,D,19840806,000000,29.559,29.559,29.559,29.559,0,0
NOKCHF,D,19840813,000000,29.299,29.299,29.299,29.299,0,0
NOKCHF,D,19840820,000000,29.352,29.352,29.352,29.352,0,0
NOKCHF,D,19840827,000000,29.071,29.071,29.071,29.071,0,0
NOKCHF,D,19840901,000000,28.949,28.949,28.949,28.949,0,0
NOKCHF,D,19840910,000000,29.16,29.16,29.16,29.16,0,0
NOKCHF,D,19840917,000000,29.288,29.288,29.288,29.288,0,0
NOKCHF,D,19840924,000000,29.248,29.248,29.248,29.248,0,0
