<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKHRK,D,19951023,000000,0.8534,0.8534,0.8534,0.8534,0,0
NOKHRK,D,19951024,000000,0.8527,0.8527,0.8527,0.8527,0,0
NOKHRK,D,19951025,000000,0.8308,0.8308,0.8308,0.8308,0,0
NOKHRK,D,19951026,000000,0.8296,0.8296,0.8296,0.8296,0,0
NOKHRK,D,19951027,000000,0.8352,0.8352,0.8352,0.8352,0,0
NOKHRK,D,19951030,000000,0.8277,0.8277,0.8277,0.8277,0,0
NOKHRK,D,19951031,000000,0.8262,0.8262,0.8262,0.8262,0,0
NOKHRK,D,19951102,000000,0.833,0.833,0.833,0.833,0,0
NOKHRK,D,19951103,000000,0.8383,0.8383,0.8383,0.8383,0,0
NOKHRK,D,19951106,000000,0.8419,0.8419,0.8419,0.8419,0,0
NOKHRK,D,19951107,000000,0.8361,0.8361,0.8361,0.8361,0,0
NOKHRK,D,19951108,000000,0.8378,0.8378,0.8378,0.8378,0,0
NOKHRK,D,19951109,000000,0.8398,0.8398,0.8398,0.8398,0,0
NOKHRK,D,19951110,000000,0.8434,0.8434,0.8434,0.8434,0,0
NOKHRK,D,19951113,000000,0.8451,0.8451,0.8451,0.8451,0,0
NOKHRK,D,19951114,000000,0.8401,0.8401,0.8401,0.8401,0,0
NOKHRK,D,19951115,000000,0.8486,0.8486,0.8486,0.8486,0,0
NOKHRK,D,19951116,000000,0.8477,0.8477,0.8477,0.8477,0,0
NOKHRK,D,19951117,000000,0.8491,0.8491,0.8491,0.8491,0,0
NOKHRK,D,19951120,000000,0.843,0.843,0.843,0.843,0,0
NOKHRK,D,19951121,000000,0.8446,0.8446,0.8446,0.8446,0,0
NOKHRK,D,19951122,000000,0.8454,0.8454,0.8454,0.8454,0,0
NOKHRK,D,19951123,000000,0.8446,0.8446,0.8446,0.8446,0,0
NOKHRK,D,19951124,000000,0.8429,0.8429,0.8429,0.8429,0,0
NOKHRK,D,19951127,000000,0.8358,0.8358,0.8358,0.8358,0,0
NOKHRK,D,19951128,000000,0.8334,0.8334,0.8334,0.8334,0,0
NOKHRK,D,19951129,000000,0.8313,0.8313,0.8313,0.8313,0,0
NOKHRK,D,19951130,000000,0.8358,0.8358,0.8358,0.8358,0,0
NOKHRK,D,19951201,000000,0.8307,0.8307,0.8307,0.8307,0,0
NOKHRK,D,19951204,000000,0.8468,0.8468,0.8468,0.8468,0,0
NOKHRK,D,19951205,000000,0.8398,0.8398,0.8398,0.8398,0,0
NOKHRK,D,19951206,000000,0.8365,0.8365,0.8365,0.8365,0,0
NOKHRK,D,19951207,000000,0.839,0.839,0.839,0.839,0,0
NOKHRK,D,19951208,000000,0.8341,0.8341,0.8341,0.8341,0,0
NOKHRK,D,19951211,000000,0.8396,0.8396,0.8396,0.8396,0,0
NOKHRK,D,19951212,000000,0.8383,0.8383,0.8383,0.8383,0,0
NOKHRK,D,19951213,000000,0.8341,0.8341,0.8341,0.8341,0,0
NOKHRK,D,19951214,000000,0.8363,0.8363,0.8363,0.8363,0,0
NOKHRK,D,19951215,000000,0.8417,0.8417,0.8417,0.8417,0,0
NOKHRK,D,19951218,000000,0.8449,0.8449,0.8449,0.8449,0,0
NOKHRK,D,19951219,000000,0.8454,0.8454,0.8454,0.8454,0,0
NOKHRK,D,19951220,000000,0.8418,0.8418,0.8418,0.8418,0,0
NOKHRK,D,19951221,000000,0.8426,0.8426,0.8426,0.8426,0,0
NOKHRK,D,19951222,000000,0.8424,0.8424,0.8424,0.8424,0,0
NOKHRK,D,19951227,000000,0.8465,0.8465,0.8465,0.8465,0,0
NOKHRK,D,19951228,000000,0.8377,0.8377,0.8377,0.8377,0,0
NOKHRK,D,19951229,000000,0.838,0.838,0.838,0.838,0,0
NOKHRK,D,19960102,000000,0.8419,0.8419,0.8419,0.8419,0,0
NOKHRK,D,19960103,000000,0.8367,0.8367,0.8367,0.8367,0,0
NOKHRK,D,19960104,000000,0.8327,0.8327,0.8327,0.8327,0,0
NOKHRK,D,19960105,000000,0.8404,0.8404,0.8404,0.8404,0,0
NOKHRK,D,19960108,000000,0.8411,0.8411,0.8411,0.8411,0,0
