<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKJPY,D,19840102,000000,30.143,30.143,30.143,30.143,0,0
NOKJPY,D,19840109,000000,29.91,29.91,29.91,29.91,0,0
NOKJPY,D,19840116,000000,29.467,29.467,29.467,29.467,0,0
NOKJPY,D,19840123,000000,29.901,29.901,29.901,29.901,0,0
NOKJPY,D,19840130,000000,29.702,29.702,29.702,29.702,0,0
NOKJPY,D,19840206,000000,29.848,29.848,29.848,29.848,0,0
NOKJPY,D,19840213,000000,29.886,29.886,29.886,29.886,0,0
NOKJPY,D,19840220,000000,30.184,30.184,30.184,30.184,0,0
NOKJPY,D,19840301,000000,30.484,30.484,30.484,30.484,0,0
NOKJPY,D,19840305,000000,31.032,31.032,31.032,31.032,0,0
NOKJPY,D,19840312,000000,30.101,30.101,30.101,30.101,0,0
NOKJPY,D,19840319,000000,30.238,30.238,30.238,30.238,0,0
NOKJPY,D,19840326,000000,29.837,29.837,29.837,29.837,0,0
NOKJPY,D,19840402,000000,29.94,29.94,29.94,29.94,0,0
NOKJPY,D,19840409,000000,29.825,29.825,29.825,29.825,0,0
NOKJPY,D,19840416,000000,29.759,29.759,29.759,29.759,0,0
NOKJPY,D,19840424,000000,29.619,29.619,29.619,29.619,0,0
NOKJPY,D,19840502,000000,29.427,29.427,29.427,29.427,0,0
NOKJPY,D,19840507,000000,29.22,29.22,29.22,29.22,0,0
NOKJPY,D,19840514,000000,29.217,29.217,29.217,29.217,0,0
NOKJPY,D,19840521,000000,29.406,29.406,29.406,29.406,0,0
NOKJPY,D,19840528,000000,29.855,29.855,29.855,29.855,0,0
NOKJPY,D,19840604,000000,29.718,29.718,29.718,29.718,0,0
NOKJPY,D,19840611,000000,29.84,29.84,29.84,29.84,0,0
NOKJPY,D,19840618,000000,29.87,29.87,29.87,29.87,0,0
NOKJPY,D,19840625,000000,29.805,29.805,29.805,29.805,0,0
NOKJPY,D,19840702,000000,29.739,29.739,29.739,29.739,0,0
NOKJPY,D,19840709,000000,29.726,29.726,29.726,29.726,0,0
NOKJPY,D,19840716,000000,29.603,29.603,29.603,29.603,0,0
NOKJPY,D,19840723,000000,29.443,29.443,29.443,29.443,0,0
NOKJPY,D,19840730,000000,29.725,29.725,29.725,29.725,0,0
NOKJPY,D,19840806,000000,29.444,29.444,29.444,29.444,0,0
NOKJPY,D,19840813,000000,29.223,29.223,29.223,29.223,0,0
NOKJPY,D,19840820,000000,29.245,29.245,29.245,29.245,0,0
NOKJPY,D,19840827,000000,29.158,29.158,29.158,29.158,0,0
NOKJPY,D,19840901,000000,29.137,29.137,29.137,29.137,0,0
NOKJPY,D,19840910,000000,29.074,29.074,29.074,29.074,0,0
NOKJPY,D,19840917,000000,28.765,28.765,28.765,28.765,0,0
NOKJPY,D,19840924,000000,28.423,28.423,28.423,28.423,0,0
NOKJPY,D,19841001,000000,27.87,27.87,27.87,27.87,0,0
NOKJPY,D,19841008,000000,27.941,27.941,27.941,27.941,0,0
NOKJPY,D,19841015,000000,27.939,27.939,27.939,27.939,0,0
NOKJPY,D,19841022,000000,27.657,27.657,27.657,27.657,0,0
NOKJPY,D,19841029,000000,27.602,27.602,27.602,27.602,0,0
NOKJPY,D,19841105,000000,27.784,27.784,27.784,27.784,0,0
NOKJPY,D,19841112,000000,28.275,28.275,28.275,28.275,0,0
NOKJPY,D,19841119,000000,28.034,28.034,28.034,28.034,0,0
NOKJPY,D,19841126,000000,28.027,28.027,28.027,28.027,0,0
NOKJPY,D,19841201,000000,27.789,27.789,27.789,27.789,0,0
