<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKSEK,D,19840102,000000,1.0394,1.0394,1.0394,1.0394,0,0
NOKSEK,D,19840109,000000,1.0404,1.0404,1.0404,1.0404,0,0
NOKSEK,D,19840116,000000,1.0339,1.0339,1.0339,1.0339,0,0
NOKSEK,D,19840123,000000,1.0412,1.0412,1.0412,1.0412,0,0
NOKSEK,D,19840130,000000,1.0363,1.0363,1.0363,1.0363,0,0
NOKSEK,D,19840206,000000,1.0388,1.0388,1.0388,1.0388,0,0
NOKSEK,D,19840213,000000,1.0405,1.0405,1.0405,1.0405,0,0
NOKSEK,D,19840220,000000,1.0437,1.0437,1.0437,1.0437,0,0
NOKSEK,D,19840301,000000,1.0383,1.0383,1.0383,1.0383,0,0
NOKSEK,D,19840305,000000,1.0364,1.0364,1.0364,1.0364,0,0
NOKSEK,D,19840312,000000,1.0361,1.0361,1.0361,1.0361,0,0
NOKSEK,D,19840319,000000,1.031,1.031,1.031,1.031,0,0
NOKSEK,D,19840326,000000,1.0306,1.0306,1.0306,1.0306,0,0
NOKSEK,D,19840402,000000,1.0275,1.0275,1.0275,1.0275,0,0
NOKSEK,D,19840409,000000,1.0277,1.0277,1.0277,1.0277,0,0
NOKSEK,D,19840416,000000,1.0314,1.0314,1.0314,1.0314,0,0
NOKSEK,D,19840424,000000,1.0321,1.0321,1.0321,1.0321,0,0
NOKSEK,D,19840502,000000,1.0345,1.0345,1.0345,1.0345,0,0
NOKSEK,D,19840507,000000,1.0333,1.0333,1.0333,1.0333,0,0
NOKSEK,D,19840514,000000,1.0364,1.0364,1.0364,1.0364,0,0
NOKSEK,D,19840521,000000,1.0329,1.0329,1.0329,1.0329,0,0
NOKSEK,D,19840528,000000,1.0342,1.0342,1.0342,1.0342,0,0
NOKSEK,D,19840604,000000,1.0349,1.0349,1.0349,1.0349,0,0
NOKSEK,D,19840611,000000,1.0384,1.0384,1.0384,1.0384,0,0
NOKSEK,D,19840618,000000,1.0386,1.0386,1.0386,1.0386,0,0
NOKSEK,D,19840625,000000,1.0387,1.0387,1.0387,1.0387,0,0
NOKSEK,D,19840702,000000,1.0294,1.0294,1.0294,1.0294,0,0
NOKSEK,D,19840709,000000,1.0206,1.0206,1.0206,1.0206,0,0
NOKSEK,D,19840716,000000,1.0132,1.0132,1.0132,1.0132,0,0
NOKSEK,D,19840723,000000,1.0096,1.0096,1.0096,1.0096,0,0
NOKSEK,D,19840730,000000,1.0059,1.0059,1.0059,1.0059,0,0
NOKSEK,D,19840806,000000,1.0074,1.0074,1.0074,1.0074,0,0
NOKSEK,D,19840813,000000,1.0067,1.0067,1.0067,1.0067,0,0
NOKSEK,D,19840820,000000,1.0096,1.0096,1.0096,1.0096,0,0
NOKSEK,D,19840827,000000,1.0089,1.0089,1.0089,1.0089,0,0
NOKSEK,D,19840901,000000,1.0047,1.0047,1.0047,1.0047,0,0
NOKSEK,D,19840910,000000,1.0034,1.0034,1.0034,1.0034,0,0
NOKSEK,D,19840917,000000,1.0021,1.0021,1.0021,1.0021,0,0
NOKSEK,D,19840924,000000,0.9986,0.9986,0.9986,0.9986,0,0
NOKSEK,D,19841001,000000,0.9828,0.9828,0.9828,0.9828,0,0
NOKSEK,D,19841008,000000,0.978,0.978,0.978,0.978,0,0
NOKSEK,D,19841015,000000,0.98,0.98,0.98,0.98,0,0
NOKSEK,D,19841022,000000,0.9778,0.9778,0.9778,0.9778,0,0
NOKSEK,D,19841029,000000,0.9772,0.9772,0.9772,0.9772,0,0
NOKSEK,D,19841105,000000,0.9814,0.9814,0.9814,0.9814,0,0
NOKSEK,D,19841112,000000,0.985,0.985,0.985,0.985,0,0
NOKSEK,D,19841119,000000,0.9864,0.9864,0.9864,0.9864,0,0
NOKSEK,D,19841126,000000,0.9869,0.9869,0.9869,0.9869,0,0
NOKSEK,D,19841201,000000,0.9841,0.9841,0.9841,0.9841,0,0
NOKSEK,D,19841210,000000,0.9854,0.9854,0.9854,0.9854,0,0
NOKSEK,D,19841217,000000,0.9875,0.9875,0.9875,0.9875,0,0
NOKSEK,D,19841224,000000,0.9881,0.9881,0.9881,0.9881,0,0
NOKSEK,D,19850101,000000,0.9884,0.9884,0.9884,0.9884,0,0
NOKSEK,D,19850107,000000,0.9883,0.9883,0.9883,0.9883,0,0
NOKSEK,D,19850114,000000,0.9903,0.9903,0.9903,0.9903,0,0
NOKSEK,D,19850121,000000,0.9902,0.9902,0.9902,0.9902,0,0
NOKSEK,D,19850128,000000,0.9902,0.9902,0.9902,0.9902,0,0
NOKSEK,D,19850204,000000,0.9864,0.9864,0.9864,0.9864,0,0
NOKSEK,D,19850211,000000,0.9869,0.9869,0.9869,0.9869,0,0
NOKSEK,D,19850218,000000,0.9862,0.9862,0.9862,0.9862,0,0
NOKSEK,D,19850225,000000,0.9855,0.9855,0.9855,0.9855,0,0
NOKSEK,D,19850304,000000,0.9987,0.9987,0.9987,0.9987,0,0
NOKSEK,D,19850311,000000,0.9891,0.9891,0.9891,0.9891,0,0
NOKSEK,D,19850318,000000,0.9966,0.9966,0.9966,0.9966,0,0
NOKSEK,D,19850325,000000,0.9953,0.9953,0.9953,0.9953,0,0
NOKSEK,D,19850329,000000,1.0013,1.0013,1.0013,1.0013,0,0
NOKSEK,D,19850401,000000,1.0033,1.0033,1.0033,1.0033,0,0
NOKSEK,D,19850409,000000,1.0039,1.0039,1.0039,1.0039,0,0
NOKSEK,D,19850415,000000,1.0046,1.0046,1.0046,1.0046,0,0
NOKSEK,D,19850422,000000,1.0104,1.0104,1.0104,1.0104,0,0
NOKSEK,D,19850429,000000,1.0065,1.0065,1.0065,1.0065,0,0
NOKSEK,D,19850506,000000,1.0079,1.0079,1.0079,1.0079,0,0
NOKSEK,D,19850513,000000,1.0027,1.0027,1.0027,1.0027,0,0
NOKSEK,D,19850520,000000,1.0026,1.0026,1.0026,1.0026,0,0
NOKSEK,D,19850527,000000,1.0078,1.0078,1.0078,1.0078,0,0
NOKSEK,D,19850601,000000,1.0045,1.0045,1.0045,1.0045,0,0
NOKSEK,D,19850610,000000,1.0073,1.0073,1.0073,1.0073,0,0
NOKSEK,D,19850617,000000,1.0051,1.0051,1.0051,1.0051,0,0
NOKSEK,D,19850624,000000,1.0056,1.0056,1.0056,1.0056,0,0
NOKSEK,D,19850701,000000,1.0011,1.0011,1.0011,1.0011,0,0
NOKSEK,D,19850708,000000,1,1,1,1,0,0
NOKSEK,D,19850715,000000,1.0011,1.0011,1.0011,1.0011,0,0
NOKSEK,D,19850723,000000,1.006,1.006,1.006,1.006,0,0
NOKSEK,D,19850729,000000,1.0076,1.0076,1.0076,1.0076,0,0
NOKSEK,D,19850805,000000,1.0081,1.0081,1.0081,1.0081,0,0
NOKSEK,D,19850812,000000,1.006,1.006,1.006,1.006,0,0
NOKSEK,D,19850819,000000,1.0081,1.0081,1.0081,1.0081,0,0
NOKSEK,D,19850826,000000,1.0097,1.0097,1.0097,1.0097,0,0
NOKSEK,D,19850902,000000,1.0065,1.0065,1.0065,1.0065,0,0
NOKSEK,D,19850909,000000,1.0076,1.0076,1.0076,1.0076,0,0
NOKSEK,D,19850916,000000,1.0055,1.0055,1.0055,1.0055,0,0
NOKSEK,D,19850923,000000,1.0077,1.0077,1.0077,1.0077,0,0
NOKSEK,D,19850930,000000,1.0097,1.0097,1.0097,1.0097,0,0
NOKSEK,D,19851007,000000,1.0117,1.0117,1.0117,1.0117,0,0
NOKSEK,D,19851014,000000,1.0117,1.0117,1.0117,1.0117,0,0
NOKSEK,D,19851021,000000,1.0085,1.0085,1.0085,1.0085,0,0
NOKSEK,D,19851028,000000,1.0042,1.0042,1.0042,1.0042,0,0
NOKSEK,D,19851104,000000,1.0005,1.0005,1.0005,1.0005,0,0
