<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKXPT,D,19840109,000000,3.4379,3.4379,3.4379,3.4379,0,0
NOKXPT,D,19840116,000000,3.3914,3.3914,3.3914,3.3914,0,0
NOKXPT,D,19840123,000000,3.4527,3.4527,3.4527,3.4527,0,0
NOKXPT,D,19840130,000000,3.3117,3.3117,3.3117,3.3117,0,0
NOKXPT,D,19840206,000000,3.2997,3.2997,3.2997,3.2997,0,0
NOKXPT,D,19840213,000000,3.3581,3.3581,3.3581,3.3581,0,0
NOKXPT,D,19840220,000000,3.4059,3.4059,3.4059,3.4059,0,0
NOKXPT,D,19840301,000000,3.2716,3.2716,3.2716,3.2716,0,0
NOKXPT,D,19840305,000000,3.2602,3.2602,3.2602,3.2602,0,0
NOKXPT,D,19840312,000000,3.4124,3.4124,3.4124,3.4124,0,0
NOKXPT,D,19840319,000000,3.4254,3.4254,3.4254,3.4254,0,0
NOKXPT,D,19840326,000000,3.3353,3.3353,3.3353,3.3353,0,0
NOKXPT,D,19840402,000000,3.4339,3.4339,3.4339,3.4339,0,0
NOKXPT,D,19840409,000000,3.3657,3.3657,3.3657,3.3657,0,0
NOKXPT,D,19840416,000000,3.3782,3.3782,3.3782,3.3782,0,0
NOKXPT,D,19840424,000000,3.2466,3.2466,3.2466,3.2466,0,0
NOKXPT,D,19840502,000000,3.369,3.369,3.369,3.369,0,0
NOKXPT,D,19840507,000000,3.3634,3.3634,3.3634,3.3634,0,0
NOKXPT,D,19840514,000000,3.3111,3.3111,3.3111,3.3111,0,0
NOKXPT,D,19840521,000000,3.2421,3.2421,3.2421,3.2421,0,0
NOKXPT,D,19840528,000000,3.2581,3.2581,3.2581,3.2581,0,0
NOKXPT,D,19840604,000000,3.2359,3.2359,3.2359,3.2359,0,0
NOKXPT,D,19840611,000000,3.4594,3.4594,3.4594,3.4594,0,0
NOKXPT,D,19840618,000000,3.3395,3.3395,3.3395,3.3395,0,0
NOKXPT,D,19840625,000000,3.4008,3.4008,3.4008,3.4008,0,0
NOKXPT,D,19840702,000000,3.3446,3.3446,3.3446,3.3446,0,0
NOKXPT,D,19840709,000000,3.4813,3.4813,3.4813,3.4813,0,0
NOKXPT,D,19840716,000000,3.5033,3.5033,3.5033,3.5033,0,0
NOKXPT,D,19840723,000000,3.6375,3.6375,3.6375,3.6375,0,0
NOKXPT,D,19840730,000000,3.6436,3.6436,3.6436,3.6436,0,0
NOKXPT,D,19840806,000000,3.582,3.582,3.582,3.582,0,0
NOKXPT,D,19840813,000000,3.5767,3.5767,3.5767,3.5767,0,0
NOKXPT,D,19840820,000000,3.5936,3.5936,3.5936,3.5936,0,0
NOKXPT,D,19840827,000000,3.5576,3.5576,3.5576,3.5576,0,0
NOKXPT,D,19840901,000000,3.5655,3.5655,3.5655,3.5655,0,0
NOKXPT,D,19840910,000000,3.6893,3.6893,3.6893,3.6893,0,0
NOKXPT,D,19840917,000000,3.7301,3.7301,3.7301,3.7301,0,0
NOKXPT,D,19840924,000000,3.5185,3.5185,3.5185,3.5185,0,0
NOKXPT,D,19841001,000000,3.4809,3.4809,3.4809,3.4809,0,0
NOKXPT,D,19841008,000000,3.5327,3.5327,3.5327,3.5327,0,0
NOKXPT,D,19841015,000000,3.4289,3.4289,3.4289,3.4289,0,0
NOKXPT,D,19841022,000000,3.4176,3.4176,3.4176,3.4176,0,0
