<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDARS,D,19960806,000000,0.6543,0.6543,0.6543,0.6543,0,0
NZDARS,D,19960807,000000,0.6541,0.6541,0.6541,0.6541,0,0
NZDARS,D,19960808,000000,0.654,0.654,0.654,0.654,0,0
NZDARS,D,19960809,000000,0.655,0.655,0.655,0.655,0,0
NZDARS,D,19960812,000000,0.6526,0.6526,0.6526,0.6526,0,0
NZDARS,D,19960813,000000,0.651,0.651,0.651,0.651,0,0
NZDARS,D,19960814,000000,0.6523,0.6523,0.6523,0.6523,0,0
NZDARS,D,19960815,000000,0.6541,0.6541,0.6541,0.6541,0,0
NZDARS,D,19960816,000000,0.6557,0.6557,0.6557,0.6557,0,0
NZDARS,D,19960819,000000,0.6559,0.6559,0.6559,0.6559,0,0
NZDARS,D,19960820,000000,0.6566,0.6566,0.6566,0.6566,0,0
NZDARS,D,19960821,000000,0.6587,0.6587,0.6587,0.6587,0,0
NZDARS,D,19960822,000000,0.6581,0.6581,0.6581,0.6581,0,0
NZDARS,D,19960823,000000,0.6608,0.6608,0.6608,0.6608,0,0
NZDARS,D,19960826,000000,0.661,0.661,0.661,0.661,0,0
NZDARS,D,19960827,000000,0.6587,0.6587,0.6587,0.6587,0,0
NZDARS,D,19960828,000000,0.6587,0.6587,0.6587,0.6587,0,0
NZDARS,D,19960829,000000,0.6598,0.6598,0.6598,0.6598,0,0
NZDARS,D,19960830,000000,0.657,0.657,0.657,0.657,0,0
NZDARS,D,19960902,000000,0.657,0.657,0.657,0.657,0,0
NZDARS,D,19960903,000000,0.6589,0.6589,0.6589,0.6589,0,0
NZDARS,D,19960904,000000,0.6594,0.6594,0.6594,0.6594,0,0
NZDARS,D,19960905,000000,0.6606,0.6606,0.6606,0.6606,0,0
NZDARS,D,19960906,000000,0.6602,0.6602,0.6602,0.6602,0,0
NZDARS,D,19960909,000000,0.6613,0.6613,0.6613,0.6613,0,0
NZDARS,D,19960910,000000,0.6609,0.6609,0.6609,0.6609,0,0
NZDARS,D,19960911,000000,0.663,0.663,0.663,0.663,0,0
NZDARS,D,19960912,000000,0.6613,0.6613,0.6613,0.6613,0,0
NZDARS,D,19960913,000000,0.6618,0.6618,0.6618,0.6618,0,0
NZDARS,D,19960916,000000,0.6611,0.6611,0.6611,0.6611,0,0
NZDARS,D,19960917,000000,0.6659,0.6659,0.6659,0.6659,0,0
NZDARS,D,19960918,000000,0.6681,0.6681,0.6681,0.6681,0,0
NZDARS,D,19960919,000000,0.6659,0.6659,0.6659,0.6659,0,0
NZDARS,D,19960920,000000,0.6662,0.6662,0.6662,0.6662,0,0
NZDARS,D,19960923,000000,0.6644,0.6644,0.6644,0.6644,0,0
NZDARS,D,19960924,000000,0.6644,0.6644,0.6644,0.6644,0,0
NZDARS,D,19960925,000000,0.6649,0.6649,0.6649,0.6649,0,0
NZDARS,D,19960926,000000,0.6663,0.6663,0.6663,0.6663,0,0
NZDARS,D,19960927,000000,0.6658,0.6658,0.6658,0.6658,0,0
NZDARS,D,19960930,000000,0.6651,0.6651,0.6651,0.6651,0,0
NZDARS,D,19961001,000000,0.6658,0.6658,0.6658,0.6658,0,0
NZDARS,D,19961002,000000,0.6653,0.6653,0.6653,0.6653,0,0
NZDARS,D,19961003,000000,0.6658,0.6658,0.6658,0.6658,0,0
NZDARS,D,19961004,000000,0.6659,0.6659,0.6659,0.6659,0,0
NZDARS,D,19961007,000000,0.6593,0.6593,0.6593,0.6593,0,0
NZDARS,D,19961008,000000,0.6587,0.6587,0.6587,0.6587,0,0
NZDARS,D,19961009,000000,0.6557,0.6557,0.6557,0.6557,0,0
NZDARS,D,19961010,000000,0.6592,0.6592,0.6592,0.6592,0,0
NZDARS,D,19961011,000000,0.6591,0.6591,0.6591,0.6591,0,0
NZDARS,D,19961014,000000,0.6591,0.6591,0.6591,0.6591,0,0
NZDARS,D,19961015,000000,0.6629,0.6629,0.6629,0.6629,0,0
NZDARS,D,19961016,000000,0.6621,0.6621,0.6621,0.6621,0,0
NZDARS,D,19961017,000000,0.6668,0.6668,0.6668,0.6668,0,0
NZDARS,D,19961018,000000,0.6722,0.6722,0.6722,0.6722,0,0
NZDARS,D,19961021,000000,0.679,0.679,0.679,0.679,0,0
NZDARS,D,19961022,000000,0.6757,0.6757,0.6757,0.6757,0,0
NZDARS,D,19961023,000000,0.6761,0.6761,0.6761,0.6761,0,0
NZDARS,D,19961024,000000,0.6675,0.6675,0.6675,0.6675,0,0
NZDARS,D,19961025,000000,0.6695,0.6695,0.6695,0.6695,0,0
NZDARS,D,19961028,000000,0.6718,0.6718,0.6718,0.6718,0,0
NZDARS,D,19961029,000000,0.6716,0.6716,0.6716,0.6716,0,0
NZDARS,D,19961030,000000,0.6723,0.6723,0.6723,0.6723,0,0
NZDARS,D,19961031,000000,0.6731,0.6731,0.6731,0.6731,0,0
NZDARS,D,19961101,000000,0.6741,0.6741,0.6741,0.6741,0,0
NZDARS,D,19961104,000000,0.6744,0.6744,0.6744,0.6744,0,0
NZDARS,D,19961105,000000,0.6765,0.6765,0.6765,0.6765,0,0
NZDARS,D,19961106,000000,0.6776,0.6776,0.6776,0.6776,0,0
NZDARS,D,19961107,000000,0.6724,0.6724,0.6724,0.6724,0,0
NZDARS,D,19961108,000000,0.6752,0.6752,0.6752,0.6752,0,0
NZDARS,D,19961112,000000,0.675,0.675,0.675,0.675,0,0
NZDARS,D,19961113,000000,0.6761,0.6761,0.6761,0.6761,0,0
NZDARS,D,19961114,000000,0.6779,0.6779,0.6779,0.6779,0,0
NZDARS,D,19961115,000000,0.6716,0.6716,0.6716,0.6716,0,0
NZDARS,D,19961118,000000,0.6746,0.6746,0.6746,0.6746,0,0
NZDARS,D,19961119,000000,0.6776,0.6776,0.6776,0.6776,0,0
NZDARS,D,19961120,000000,0.6762,0.6762,0.6762,0.6762,0,0
NZDARS,D,19961121,000000,0.6779,0.6779,0.6779,0.6779,0,0
NZDARS,D,19961122,000000,0.6804,0.6804,0.6804,0.6804,0,0
NZDARS,D,19961125,000000,0.6788,0.6788,0.6788,0.6788,0,0
NZDARS,D,19961126,000000,0.6744,0.6744,0.6744,0.6744,0,0
NZDARS,D,19961127,000000,0.6734,0.6734,0.6734,0.6734,0,0
NZDARS,D,19961128,000000,0.6751,0.6751,0.6751,0.6751,0,0
NZDARS,D,19961129,000000,0.6769,0.6769,0.6769,0.6769,0,0
NZDARS,D,19961202,000000,0.677,0.677,0.677,0.677,0,0
NZDARS,D,19961203,000000,0.6718,0.6718,0.6718,0.6718,0,0
NZDARS,D,19961204,000000,0.6772,0.6772,0.6772,0.6772,0,0
NZDARS,D,19961205,000000,0.6697,0.6697,0.6697,0.6697,0,0
NZDARS,D,19961206,000000,0.6698,0.6698,0.6698,0.6698,0,0
NZDARS,D,19961209,000000,0.6729,0.6729,0.6729,0.6729,0,0
NZDARS,D,19961210,000000,0.6652,0.6652,0.6652,0.6652,0,0
NZDARS,D,19961211,000000,0.6614,0.6614,0.6614,0.6614,0,0
NZDARS,D,19961212,000000,0.667,0.667,0.667,0.667,0,0
NZDARS,D,19961213,000000,0.6676,0.6676,0.6676,0.6676,0,0
NZDARS,D,19961216,000000,0.6652,0.6652,0.6652,0.6652,0,0
NZDARS,D,19961217,000000,0.6736,0.6736,0.6736,0.6736,0,0
NZDARS,D,19961218,000000,0.6745,0.6745,0.6745,0.6745,0,0
NZDARS,D,19961219,000000,0.6736,0.6736,0.6736,0.6736,0,0
NZDARS,D,19961220,000000,0.6746,0.6746,0.6746,0.6746,0,0
NZDARS,D,19961223,000000,0.6736,0.6736,0.6736,0.6736,0,0
NZDARS,D,19961224,000000,0.6731,0.6731,0.6731,0.6731,0,0
NZDARS,D,19961227,000000,0.6728,0.6728,0.6728,0.6728,0,0
NZDARS,D,19961230,000000,0.6724,0.6724,0.6724,0.6724,0,0
NZDARS,D,19961231,000000,0.673,0.673,0.673,0.673,0,0
NZDARS,D,19970102,000000,0.6736,0.6736,0.6736,0.6736,0,0
NZDARS,D,19970103,000000,0.6735,0.6735,0.6735,0.6735,0,0
NZDARS,D,19970106,000000,0.6739,0.6739,0.6739,0.6739,0,0
NZDARS,D,19970107,000000,0.6754,0.6754,0.6754,0.6754,0,0
NZDARS,D,19970108,000000,0.6726,0.6726,0.6726,0.6726,0,0
NZDARS,D,19970109,000000,0.6728,0.6728,0.6728,0.6728,0,0
NZDARS,D,19970110,000000,0.6716,0.6716,0.6716,0.6716,0,0
NZDARS,D,19970113,000000,0.6698,0.6698,0.6698,0.6698,0,0
NZDARS,D,19970114,000000,0.669,0.669,0.669,0.669,0,0
NZDARS,D,19970115,000000,0.67,0.67,0.67,0.67,0,0
NZDARS,D,19970116,000000,0.6722,0.6722,0.6722,0.6722,0,0
NZDARS,D,19970117,000000,0.6744,0.6744,0.6744,0.6744,0,0
NZDARS,D,19970120,000000,0.6719,0.6719,0.6719,0.6719,0,0
NZDARS,D,19970121,000000,0.6698,0.6698,0.6698,0.6698,0,0
