<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDGBP,D,19840109,000000,0.45831,0.45831,0.45831,0.45831,0,0
NZDGBP,D,19840116,000000,0.46386,0.46386,0.46386,0.46386,0,0
NZDGBP,D,19840123,000000,0.45684,0.45684,0.45684,0.45684,0,0
NZDGBP,D,19840130,000000,0.46372,0.46372,0.46372,0.46372,0,0
NZDGBP,D,19840206,000000,0.46555,0.46555,0.46555,0.46555,0,0
NZDGBP,D,19840213,000000,0.46565,0.46565,0.46565,0.46565,0,0
NZDGBP,D,19840220,000000,0.46308,0.46308,0.46308,0.46308,0,0
NZDGBP,D,19840301,000000,0.45776,0.45776,0.45776,0.45776,0,0
NZDGBP,D,19840305,000000,0.44546,0.44546,0.44546,0.44546,0,0
NZDGBP,D,19840312,000000,0.44797,0.44797,0.44797,0.44797,0,0
NZDGBP,D,19840319,000000,0.45034,0.45034,0.45034,0.45034,0,0
NZDGBP,D,19840326,000000,0.46057,0.46057,0.46057,0.46057,0,0
NZDGBP,D,19840402,000000,0.45872,0.45872,0.45872,0.45872,0,0
NZDGBP,D,19840409,000000,0.45984,0.45984,0.45984,0.45984,0,0
NZDGBP,D,19840416,000000,0.45859,0.45859,0.45859,0.45859,0,0
NZDGBP,D,19840424,000000,0.46321,0.46321,0.46321,0.46321,0,0
NZDGBP,D,19840502,000000,0.46411,0.46411,0.46411,0.46411,0,0
NZDGBP,D,19840507,000000,0.46611,0.46611,0.46611,0.46611,0,0
NZDGBP,D,19840514,000000,0.46385,0.46385,0.46385,0.46385,0,0
NZDGBP,D,19840521,000000,0.46584,0.46584,0.46584,0.46584,0,0
NZDGBP,D,19840528,000000,0.46433,0.46433,0.46433,0.46433,0,0
NZDGBP,D,19840604,000000,0.47116,0.47116,0.47116,0.47116,0,0
NZDGBP,D,19840611,000000,0.46183,0.46183,0.46183,0.46183,0,0
NZDGBP,D,19840618,000000,0.46442,0.46442,0.46442,0.46442,0,0
NZDGBP,D,19840625,000000,0.45742,0.45742,0.45742,0.45742,0,0
NZDGBP,D,19840702,000000,0.46841,0.46841,0.46841,0.46841,0,0
NZDGBP,D,19840709,000000,0.46242,0.46242,0.46242,0.46242,0,0
NZDGBP,D,19840716,000000,0.47166,0.47166,0.47166,0.47166,0,0
NZDGBP,D,19840723,000000,0.37435,0.37435,0.37435,0.37435,0,0
NZDGBP,D,19840730,000000,0.37482,0.37482,0.37482,0.37482,0,0
NZDGBP,D,19840806,000000,0.38111,0.38111,0.38111,0.38111,0,0
NZDGBP,D,19840813,000000,0.37784,0.37784,0.37784,0.37784,0,0
NZDGBP,D,19840820,000000,0.38022,0.38022,0.38022,0.38022,0,0
NZDGBP,D,19840827,000000,0.38071,0.38071,0.38071,0.38071,0,0
NZDGBP,D,19840901,000000,0.38375,0.38375,0.38375,0.38375,0,0
NZDGBP,D,19840910,000000,0.38003,0.38003,0.38003,0.38003,0,0
NZDGBP,D,19840917,000000,0.38263,0.38263,0.38263,0.38263,0,0
NZDGBP,D,19840924,000000,0.39845,0.39845,0.39845,0.39845,0,0
NZDGBP,D,19841001,000000,0.39442,0.39442,0.39442,0.39442,0,0
NZDGBP,D,19841008,000000,0.39149,0.39149,0.39149,0.39149,0,0
NZDGBP,D,19841015,000000,0.39223,0.39223,0.39223,0.39223,0,0
NZDGBP,D,19841022,000000,0.40302,0.40302,0.40302,0.40302,0,0
NZDGBP,D,19841029,000000,0.40404,0.40404,0.40404,0.40404,0,0
NZDGBP,D,19841105,000000,0.41063,0.41063,0.41063,0.41063,0,0
NZDGBP,D,19841112,000000,0.39009,0.39009,0.39009,0.39009,0,0
NZDGBP,D,19841119,000000,0.38754,0.38754,0.38754,0.38754,0,0
NZDGBP,D,19841126,000000,0.39071,0.39071,0.39071,0.39071,0,0
NZDGBP,D,19841201,000000,0.40574,0.40574,0.40574,0.40574,0,0
NZDGBP,D,19841210,000000,0.40343,0.40343,0.40343,0.40343,0,0
NZDGBP,D,19841217,000000,0.40124,0.40124,0.40124,0.40124,0,0
NZDGBP,D,19841224,000000,0.4039,0.4039,0.4039,0.4039,0,0
NZDGBP,D,19850101,000000,0.41026,0.41026,0.41026,0.41026,0,0
NZDGBP,D,19850107,000000,0.40856,0.40856,0.40856,0.40856,0,0
NZDGBP,D,19850114,000000,0.40422,0.40422,0.40422,0.40422,0,0
NZDGBP,D,19850121,000000,0.41832,0.41832,0.41832,0.41832,0,0
NZDGBP,D,19850128,000000,0.41822,0.41822,0.41822,0.41822,0,0
NZDGBP,D,19850204,000000,0.41546,0.41546,0.41546,0.41546,0,0
NZDGBP,D,19850211,000000,0.40984,0.40984,0.40984,0.40984,0,0
NZDGBP,D,19850218,000000,0.41688,0.41688,0.41688,0.41688,0,0
NZDGBP,D,19850225,000000,0.40285,0.40285,0.40285,0.40285,0,0
NZDGBP,D,19850304,000000,0.40184,0.40184,0.40184,0.40184,0,0
NZDGBP,D,19850311,000000,0.451,0.451,0.451,0.451,0,0
NZDGBP,D,19850318,000000,0.41349,0.41349,0.41349,0.41349,0,0
NZDGBP,D,19850325,000000,0.40572,0.40572,0.40572,0.40572,0,0
NZDGBP,D,19850329,000000,0.38309,0.38309,0.38309,0.38309,0,0
NZDGBP,D,19850401,000000,0.37841,0.37841,0.37841,0.37841,0,0
NZDGBP,D,19850409,000000,0.36615,0.36615,0.36615,0.36615,0,0
NZDGBP,D,19850415,000000,0.37799,0.37799,0.37799,0.37799,0,0
NZDGBP,D,19850422,000000,0.3564,0.3564,0.3564,0.3564,0,0
NZDGBP,D,19850429,000000,0.35613,0.35613,0.35613,0.35613,0,0
NZDGBP,D,19850506,000000,0.36458,0.36458,0.36458,0.36458,0,0
NZDGBP,D,19850513,000000,0.38072,0.38072,0.38072,0.38072,0,0
NZDGBP,D,19850520,000000,0.35663,0.35663,0.35663,0.35663,0,0
NZDGBP,D,19850527,000000,0.35308,0.35308,0.35308,0.35308,0,0
NZDGBP,D,19850601,000000,0.35918,0.35918,0.35918,0.35918,0,0
