<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDNAD,D,19840109,000000,0.8069,0.8069,0.8069,0.8069,0,0
NZDNAD,D,19840116,000000,0.7966,0.7966,0.7966,0.7966,0,0
NZDNAD,D,19840123,000000,0.7966,0.7966,0.7966,0.7966,0,0
NZDNAD,D,19840130,000000,0.8069,0.8069,0.8069,0.8069,0,0
NZDNAD,D,19840206,000000,0.7989,0.7989,0.7989,0.7989,0,0
NZDNAD,D,19840213,000000,0.7989,0.7989,0.7989,0.7989,0,0
NZDNAD,D,19840220,000000,0.7966,0.7966,0.7966,0.7966,0,0
NZDNAD,D,19840301,000000,0.7888,0.7888,0.7888,0.7888,0,0
NZDNAD,D,19840305,000000,0.778,0.778,0.778,0.778,0,0
NZDNAD,D,19840312,000000,0.7955,0.7955,0.7955,0.7955,0,0
NZDNAD,D,19840319,000000,0.8137,0.8137,0.8137,0.8137,0,0
NZDNAD,D,19840326,000000,0.8157,0.8157,0.8157,0.8157,0,0
NZDNAD,D,19840402,000000,0.8046,0.8046,0.8046,0.8046,0,0
NZDNAD,D,19840409,000000,0.8137,0.8137,0.8137,0.8137,0,0
NZDNAD,D,19840416,000000,0.8046,0.8046,0.8046,0.8046,0,0
NZDNAD,D,19840424,000000,0.8046,0.8046,0.8046,0.8046,0,0
NZDNAD,D,19840502,000000,0.8046,0.8046,0.8046,0.8046,0,0
NZDNAD,D,19840507,000000,0.8046,0.8046,0.8046,0.8046,0,0
NZDNAD,D,19840514,000000,0.8232,0.8232,0.8232,0.8232,0,0
NZDNAD,D,19840521,000000,0.8137,0.8137,0.8137,0.8137,0,0
NZDNAD,D,19840528,000000,0.8137,0.8137,0.8137,0.8137,0,0
NZDNAD,D,19840604,000000,0.8046,0.8046,0.8046,0.8046,0,0
NZDNAD,D,19840611,000000,0.8214,0.8214,0.8214,0.8214,0,0
NZDNAD,D,19840618,000000,0.8214,0.8214,0.8214,0.8214,0,0
NZDNAD,D,19840625,000000,0.8394,0.8394,0.8394,0.8394,0,0
NZDNAD,D,19840702,000000,0.8514,0.8514,0.8514,0.8514,0,0
NZDNAD,D,19840709,000000,0.8927,0.8927,0.8927,0.8927,0,0
NZDNAD,D,19840716,000000,0.8927,0.8927,0.8927,0.8927,0,0
NZDNAD,D,19840723,000000,0.7543,0.7543,0.7543,0.7543,0,0
NZDNAD,D,19840730,000000,0.7981,0.7981,0.7981,0.7981,0,0
NZDNAD,D,19840806,000000,0.7648,0.7648,0.7648,0.7648,0,0
NZDNAD,D,19840813,000000,0.7866,0.7866,0.7866,0.7866,0,0
NZDNAD,D,19840820,000000,0.7678,0.7678,0.7678,0.7678,0,0
NZDNAD,D,19840827,000000,0.7678,0.7678,0.7678,0.7678,0,0
NZDNAD,D,19840901,000000,0.7717,0.7717,0.7717,0.7717,0,0
NZDNAD,D,19840910,000000,0.7998,0.7998,0.7998,0.7998,0,0
NZDNAD,D,19840917,000000,0.8105,0.8105,0.8105,0.8105,0,0
NZDNAD,D,19840924,000000,0.8022,0.8022,0.8022,0.8022,0,0
NZDNAD,D,19841001,000000,0.7998,0.7998,0.7998,0.7998,0,0
NZDNAD,D,19841008,000000,0.8105,0.8105,0.8105,0.8105,0,0
NZDNAD,D,19841015,000000,0.8448,0.8448,0.8448,0.8448,0,0
NZDNAD,D,19841022,000000,0.8448,0.8448,0.8448,0.8448,0,0
NZDNAD,D,19841029,000000,0.9228,0.9228,0.9228,0.9228,0,0
NZDNAD,D,19841105,000000,0.8709,0.8709,0.8709,0.8709,0,0
NZDNAD,D,19841112,000000,0.8693,0.8693,0.8693,0.8693,0,0
NZDNAD,D,19841119,000000,0.8693,0.8693,0.8693,0.8693,0,0
NZDNAD,D,19841126,000000,0.8693,0.8693,0.8693,0.8693,0,0
NZDNAD,D,19841201,000000,0.8693,0.8693,0.8693,0.8693,0,0
