<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDUAH,D,19960902,000000,1.2163,1.2163,1.2163,1.2163,0,0
NZDUAH,D,19960903,000000,1.219,1.219,1.219,1.219,0,0
NZDUAH,D,19960904,000000,1.22,1.22,1.22,1.22,0,0
NZDUAH,D,19960905,000000,1.2223,1.2223,1.2223,1.2223,0,0
NZDUAH,D,19960906,000000,1.2216,1.2216,1.2216,1.2216,0,0
NZDUAH,D,19960909,000000,1.2236,1.2236,1.2236,1.2236,0,0
NZDUAH,D,19960910,000000,1.2228,1.2228,1.2228,1.2228,0,0
NZDUAH,D,19960911,000000,1.2267,1.2267,1.2267,1.2267,0,0
NZDUAH,D,19960912,000000,1.2236,1.2236,1.2236,1.2236,0,0
NZDUAH,D,19960913,000000,1.2244,1.2244,1.2244,1.2244,0,0
NZDUAH,D,19960916,000000,1.2232,1.2232,1.2232,1.2232,0,0
NZDUAH,D,19960917,000000,1.232,1.232,1.232,1.232,0,0
NZDUAH,D,19960918,000000,1.236,1.236,1.236,1.236,0,0
NZDUAH,D,19960919,000000,1.232,1.232,1.232,1.232,0,0
NZDUAH,D,19960920,000000,1.2325,1.2325,1.2325,1.2325,0,0
NZDUAH,D,19960923,000000,1.2292,1.2292,1.2292,1.2292,0,0
NZDUAH,D,19960924,000000,1.2292,1.2292,1.2292,1.2292,0,0
NZDUAH,D,19960925,000000,1.2303,1.2303,1.2303,1.2303,0,0
NZDUAH,D,19960926,000000,1.2327,1.2327,1.2327,1.2327,0,0
NZDUAH,D,19960927,000000,1.2318,1.2318,1.2318,1.2318,0,0
NZDUAH,D,19960930,000000,1.2306,1.2306,1.2306,1.2306,0,0
NZDUAH,D,19961001,000000,1.2318,1.2318,1.2318,1.2318,0,0
NZDUAH,D,19961002,000000,1.2309,1.2309,1.2309,1.2309,0,0
NZDUAH,D,19961003,000000,1.2318,1.2318,1.2318,1.2318,0,0
NZDUAH,D,19961004,000000,1.232,1.232,1.232,1.232,0,0
NZDUAH,D,19961007,000000,1.2199,1.2199,1.2199,1.2199,0,0
NZDUAH,D,19961008,000000,1.2251,1.2251,1.2251,1.2251,0,0
NZDUAH,D,19961009,000000,1.2194,1.2194,1.2194,1.2194,0,0
NZDUAH,D,19961010,000000,1.2252,1.2252,1.2252,1.2252,0,0
NZDUAH,D,19961011,000000,1.2264,1.2264,1.2264,1.2264,0,0
NZDUAH,D,19961014,000000,1.2264,1.2264,1.2264,1.2264,0,0
NZDUAH,D,19961015,000000,1.2334,1.2334,1.2334,1.2334,0,0
NZDUAH,D,19961016,000000,1.2347,1.2347,1.2347,1.2347,0,0
NZDUAH,D,19961017,000000,1.2422,1.2422,1.2422,1.2422,0,0
NZDUAH,D,19961018,000000,1.2557,1.2557,1.2557,1.2557,0,0
NZDUAH,D,19961021,000000,1.2685,1.2685,1.2685,1.2685,0,0
NZDUAH,D,19961022,000000,1.2643,1.2643,1.2643,1.2643,0,0
NZDUAH,D,19961023,000000,1.265,1.265,1.265,1.265,0,0
NZDUAH,D,19961024,000000,1.2506,1.2506,1.2506,1.2506,0,0
NZDUAH,D,19961025,000000,1.2563,1.2563,1.2563,1.2563,0,0
NZDUAH,D,19961028,000000,1.2606,1.2606,1.2606,1.2606,0,0
NZDUAH,D,19961029,000000,1.2659,1.2659,1.2659,1.2659,0,0
NZDUAH,D,19961030,000000,1.2723,1.2723,1.2723,1.2723,0,0
NZDUAH,D,19961031,000000,1.2808,1.2808,1.2808,1.2808,0,0
NZDUAH,D,19961104,000000,1.2833,1.2833,1.2833,1.2833,0,0
NZDUAH,D,19961105,000000,1.3043,1.3043,1.3043,1.3043,0,0
NZDUAH,D,19961106,000000,1.3137,1.3137,1.3137,1.3137,0,0
NZDUAH,D,19961107,000000,1.3106,1.3106,1.3106,1.3106,0,0
NZDUAH,D,19961108,000000,1.316,1.316,1.316,1.316,0,0
NZDUAH,D,19961112,000000,1.3199,1.3199,1.3199,1.3199,0,0
NZDUAH,D,19961113,000000,1.3292,1.3292,1.3292,1.3292,0,0
NZDUAH,D,19961114,000000,1.3328,1.3328,1.3328,1.3328,0,0
NZDUAH,D,19961115,000000,1.3204,1.3204,1.3204,1.3204,0,0
NZDUAH,D,19961118,000000,1.3262,1.3262,1.3262,1.3262,0,0
NZDUAH,D,19961119,000000,1.3315,1.3315,1.3315,1.3315,0,0
NZDUAH,D,19961120,000000,1.3286,1.3286,1.3286,1.3286,0,0
NZDUAH,D,19961121,000000,1.3326,1.3326,1.3326,1.3326,0,0
NZDUAH,D,19961122,000000,1.3382,1.3382,1.3382,1.3382,0,0
NZDUAH,D,19961125,000000,1.3351,1.3351,1.3351,1.3351,0,0
NZDUAH,D,19961126,000000,1.3273,1.3273,1.3273,1.3273,0,0
NZDUAH,D,19961127,000000,1.3252,1.3252,1.3252,1.3252,0,0
NZDUAH,D,19961128,000000,1.3298,1.3298,1.3298,1.3298,0,0
NZDUAH,D,19961129,000000,1.3333,1.3333,1.3333,1.3333,0,0
NZDUAH,D,19961202,000000,1.3337,1.3337,1.3337,1.3337,0,0
NZDUAH,D,19961203,000000,1.3277,1.3277,1.3277,1.3277,0,0
NZDUAH,D,19961204,000000,1.3391,1.3391,1.3391,1.3391,0,0
NZDUAH,D,19961205,000000,1.325,1.325,1.325,1.325,0,0
NZDUAH,D,19961206,000000,1.3251,1.3251,1.3251,1.3251,0,0
NZDUAH,D,19961209,000000,1.3314,1.3314,1.3314,1.3314,0,0
NZDUAH,D,19961210,000000,1.3175,1.3175,1.3175,1.3175,0,0
NZDUAH,D,19961211,000000,1.3107,1.3107,1.3107,1.3107,0,0
NZDUAH,D,19961212,000000,1.3218,1.3218,1.3218,1.3218,0,0
NZDUAH,D,19961213,000000,1.3231,1.3231,1.3231,1.3231,0,0
NZDUAH,D,19961216,000000,1.3182,1.3182,1.3182,1.3182,0,0
NZDUAH,D,19961217,000000,1.3348,1.3348,1.3348,1.3348,0,0
NZDUAH,D,19961218,000000,1.3365,1.3365,1.3365,1.3365,0,0
NZDUAH,D,19961219,000000,1.3348,1.3348,1.3348,1.3348,0,0
NZDUAH,D,19961220,000000,1.3369,1.3369,1.3369,1.3369,0,0
NZDUAH,D,19961223,000000,1.3348,1.3348,1.3348,1.3348,0,0
NZDUAH,D,19961224,000000,1.3346,1.3346,1.3346,1.3346,0,0
NZDUAH,D,19961230,000000,1.3331,1.3331,1.3331,1.3331,0,0
NZDUAH,D,19961231,000000,1.3365,1.3365,1.3365,1.3365,0,0
NZDUAH,D,19970102,000000,1.3376,1.3376,1.3376,1.3376,0,0
NZDUAH,D,19970103,000000,1.3376,1.3376,1.3376,1.3376,0,0
NZDUAH,D,19970106,000000,1.3382,1.3382,1.3382,1.3382,0,0
NZDUAH,D,19970107,000000,1.3412,1.3412,1.3412,1.3412,0,0
NZDUAH,D,19970108,000000,1.3357,1.3357,1.3357,1.3357,0,0
NZDUAH,D,19970109,000000,1.3361,1.3361,1.3361,1.3361,0,0
NZDUAH,D,19970110,000000,1.3365,1.3365,1.3365,1.3365,0,0
NZDUAH,D,19970113,000000,1.3328,1.3328,1.3328,1.3328,0,0
NZDUAH,D,19970114,000000,1.3313,1.3313,1.3313,1.3313,0,0
NZDUAH,D,19970115,000000,1.3334,1.3334,1.3334,1.3334,0,0
NZDUAH,D,19970116,000000,1.3364,1.3364,1.3364,1.3364,0,0
NZDUAH,D,19970117,000000,1.341,1.341,1.341,1.341,0,0
NZDUAH,D,19970120,000000,1.3361,1.3361,1.3361,1.3361,0,0
NZDUAH,D,19970121,000000,1.3316,1.3316,1.3316,1.3316,0,0
NZDUAH,D,19970122,000000,1.335,1.335,1.335,1.335,0,0
NZDUAH,D,19970123,000000,1.3207,1.3207,1.3207,1.3207,0,0
NZDUAH,D,19970124,000000,1.3149,1.3149,1.3149,1.3149,0,0
NZDUAH,D,19970127,000000,1.3084,1.3084,1.3084,1.3084,0,0
NZDUAH,D,19970128,000000,1.2981,1.2981,1.2981,1.2981,0,0
NZDUAH,D,19970129,000000,1.2999,1.2999,1.2999,1.2999,0,0
NZDUAH,D,19970130,000000,1.2991,1.2991,1.2991,1.2991,0,0
NZDUAH,D,19970131,000000,1.2937,1.2937,1.2937,1.2937,0,0
NZDUAH,D,19970203,000000,1.2952,1.2952,1.2952,1.2952,0,0
NZDUAH,D,19970204,000000,1.2948,1.2948,1.2948,1.2948,0,0
NZDUAH,D,19970205,000000,1.2948,1.2948,1.2948,1.2948,0,0
NZDUAH,D,19970206,000000,1.2911,1.2911,1.2911,1.2911,0,0
NZDUAH,D,19970207,000000,1.2811,1.2811,1.2811,1.2811,0,0
NZDUAH,D,19970210,000000,1.2831,1.2831,1.2831,1.2831,0,0
NZDUAH,D,19970211,000000,1.2895,1.2895,1.2895,1.2895,0,0
NZDUAH,D,19970212,000000,1.2886,1.2886,1.2886,1.2886,0,0
NZDUAH,D,19970213,000000,1.3039,1.3039,1.3039,1.3039,0,0
NZDUAH,D,19970214,000000,1.2987,1.2987,1.2987,1.2987,0,0
NZDUAH,D,19970217,000000,1.2956,1.2956,1.2956,1.2956,0,0
NZDUAH,D,19970218,000000,1.2761,1.2761,1.2761,1.2761,0,0
NZDUAH,D,19970219,000000,1.2619,1.2619,1.2619,1.2619,0,0
NZDUAH,D,19970220,000000,1.2536,1.2536,1.2536,1.2536,0,0
NZDUAH,D,19970221,000000,1.2258,1.2258,1.2258,1.2258,0,0
NZDUAH,D,19970224,000000,1.2307,1.2307,1.2307,1.2307,0,0
NZDUAH,D,19970225,000000,1.2487,1.2487,1.2487,1.2487,0,0
NZDUAH,D,19970226,000000,1.2596,1.2596,1.2596,1.2596,0,0
NZDUAH,D,19970227,000000,1.268,1.268,1.268,1.268,0,0
NZDUAH,D,19970228,000000,1.2724,1.2724,1.2724,1.2724,0,0
NZDUAH,D,19970303,000000,1.2876,1.2876,1.2876,1.2876,0,0
NZDUAH,D,19970304,000000,1.2953,1.2953,1.2953,1.2953,0,0
NZDUAH,D,19970305,000000,1.2889,1.2889,1.2889,1.2889,0,0
NZDUAH,D,19970306,000000,1.2895,1.2895,1.2895,1.2895,0,0
NZDUAH,D,19970307,000000,1.2911,1.2911,1.2911,1.2911,0,0
NZDUAH,D,19970310,000000,1.2883,1.2883,1.2883,1.2883,0,0
NZDUAH,D,19970311,000000,1.2912,1.2912,1.2912,1.2912,0,0
NZDUAH,D,19970312,000000,1.2906,1.2906,1.2906,1.2906,0,0
NZDUAH,D,19970313,000000,1.281,1.281,1.281,1.281,0,0
NZDUAH,D,19970314,000000,1.2774,1.2774,1.2774,1.2774,0,0
NZDUAH,D,19970317,000000,1.2728,1.2728,1.2728,1.2728,0,0
