<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NZDXPT,D,19840109,000000,17.503,17.503,17.503,17.503,0,0
NZDXPT,D,19840116,000000,17.446,17.446,17.446,17.446,0,0
NZDXPT,D,19840123,000000,17.55,17.55,17.55,17.55,0,0
NZDXPT,D,19840130,000000,16.94,16.94,16.94,16.94,0,0
NZDXPT,D,19840206,000000,16.984,16.984,16.984,16.984,0,0
NZDXPT,D,19840213,000000,17.27,17.27,17.27,17.27,0,0
NZDXPT,D,19840220,000000,17.258,17.258,17.258,17.258,0,0
NZDXPT,D,19840301,000000,16.643,16.643,16.643,16.643,0,0
NZDXPT,D,19840305,000000,16.211,16.211,16.211,16.211,0,0
NZDXPT,D,19840312,000000,16.829,16.829,16.829,16.829,0,0
NZDXPT,D,19840319,000000,16.869,16.869,16.869,16.869,0,0
NZDXPT,D,19840326,000000,16.722,16.722,16.722,16.722,0,0
NZDXPT,D,19840402,000000,17.075,17.075,17.075,17.075,0,0
NZDXPT,D,19840409,000000,16.689,16.689,16.689,16.689,0,0
NZDXPT,D,19840416,000000,16.751,16.751,16.751,16.751,0,0
NZDXPT,D,19840424,000000,16.211,16.211,16.211,16.211,0,0
NZDXPT,D,19840502,000000,16.88,16.88,16.88,16.88,0,0
NZDXPT,D,19840507,000000,17.005,17.005,17.005,17.005,0,0
NZDXPT,D,19840514,000000,16.719,16.719,16.719,16.719,0,0
NZDXPT,D,19840521,000000,16.451,16.451,16.451,16.451,0,0
NZDXPT,D,19840528,000000,16.451,16.451,16.451,16.451,0,0
NZDXPT,D,19840604,000000,16.452,16.452,16.452,16.452,0,0
NZDXPT,D,19840611,000000,17.165,17.165,17.165,17.165,0,0
NZDXPT,D,19840618,000000,16.674,16.674,16.674,16.674,0,0
NZDXPT,D,19840625,000000,16.765,16.765,16.765,16.765,0,0
NZDXPT,D,19840702,000000,16.902,16.902,16.902,16.902,0,0
NZDXPT,D,19840709,000000,17.381,17.381,17.381,17.381,0,0
NZDXPT,D,19840716,000000,17.644,17.644,17.644,17.644,0,0
NZDXPT,D,19840723,000000,14.816,14.816,14.816,14.816,0,0
NZDXPT,D,19840730,000000,14.954,14.954,14.954,14.954,0,0
NZDXPT,D,19840806,000000,14.855,14.855,14.855,14.855,0,0
NZDXPT,D,19840813,000000,14.802,14.802,14.802,14.802,0,0
NZDXPT,D,19840820,000000,14.912,14.912,14.912,14.912,0,0
