<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPDKK,D,19931025,000000,0.23144,0.23144,0.23144,0.23144,0,0
PHPDKK,D,19931026,000000,0.232,0.232,0.232,0.232,0,0
PHPDKK,D,19931027,000000,0.23366,0.23366,0.23366,0.23366,0,0
PHPDKK,D,19931028,000000,0.23248,0.23248,0.23248,0.23248,0,0
PHPDKK,D,19931029,000000,0.23693,0.23693,0.23693,0.23693,0,0
PHPDKK,D,19931102,000000,0.23603,0.23603,0.23603,0.23603,0,0
PHPDKK,D,19931103,000000,0.23759,0.23759,0.23759,0.23759,0,0
PHPDKK,D,19931104,000000,0.23789,0.23789,0.23789,0.23789,0,0
PHPDKK,D,19931105,000000,0.23881,0.23881,0.23881,0.23881,0,0
PHPDKK,D,19931108,000000,0.24352,0.24352,0.24352,0.24352,0,0
PHPDKK,D,19931109,000000,0.24195,0.24195,0.24195,0.24195,0,0
PHPDKK,D,19931110,000000,0.24148,0.24148,0.24148,0.24148,0,0
PHPDKK,D,19931112,000000,0.2426,0.2426,0.2426,0.2426,0,0
PHPDKK,D,19931115,000000,0.24104,0.24104,0.24104,0.24104,0,0
PHPDKK,D,19931116,000000,0.2387,0.2387,0.2387,0.2387,0,0
PHPDKK,D,19931117,000000,0.23779,0.23779,0.23779,0.23779,0,0
PHPDKK,D,19931118,000000,0.23865,0.23865,0.23865,0.23865,0,0
PHPDKK,D,19931119,000000,0.23851,0.23851,0.23851,0.23851,0,0
PHPDKK,D,19931122,000000,0.2393,0.2393,0.2393,0.2393,0,0
PHPDKK,D,19931123,000000,0.23867,0.23867,0.23867,0.23867,0,0
PHPDKK,D,19931124,000000,0.24038,0.24038,0.24038,0.24038,0,0
PHPDKK,D,19931125,000000,0.24022,0.24022,0.24022,0.24022,0,0
PHPDKK,D,19931126,000000,0.24118,0.24118,0.24118,0.24118,0,0
PHPDKK,D,19931129,000000,0.24428,0.24428,0.24428,0.24428,0,0
PHPDKK,D,19931130,000000,0.2444,0.2444,0.2444,0.2444,0,0
PHPDKK,D,19931201,000000,0.2439,0.2439,0.2439,0.2439,0,0
PHPDKK,D,19931202,000000,0.24678,0.24678,0.24678,0.24678,0,0
PHPDKK,D,19931203,000000,0.2463,0.2463,0.2463,0.2463,0,0
PHPDKK,D,19931206,000000,0.24611,0.24611,0.24611,0.24611,0,0
PHPDKK,D,19931207,000000,0.244,0.244,0.244,0.244,0,0
PHPDKK,D,19931208,000000,0.24345,0.24345,0.24345,0.24345,0,0
PHPDKK,D,19931209,000000,0.24376,0.24376,0.24376,0.24376,0,0
PHPDKK,D,19931210,000000,0.24209,0.24209,0.24209,0.24209,0,0
PHPDKK,D,19931213,000000,0.24049,0.24049,0.24049,0.24049,0,0
PHPDKK,D,19931214,000000,0.24057,0.24057,0.24057,0.24057,0,0
PHPDKK,D,19931215,000000,0.24225,0.24225,0.24225,0.24225,0,0
PHPDKK,D,19931216,000000,0.2429,0.2429,0.2429,0.2429,0,0
PHPDKK,D,19931217,000000,0.24247,0.24247,0.24247,0.24247,0,0
