<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPGBP,D,19931025,000000,2.3279,2.3279,2.3279,2.3279,0,0
PHPGBP,D,19931026,000000,2.3223,2.3223,2.3223,2.3223,0,0
PHPGBP,D,19931027,000000,2.3377,2.3377,2.3377,2.3377,0,0
PHPGBP,D,19931028,000000,2.3269,2.3269,2.3269,2.3269,0,0
PHPGBP,D,19931029,000000,2.3623,2.3623,2.3623,2.3623,0,0
PHPGBP,D,19931102,000000,2.3513,2.3513,2.3513,2.3513,0,0
PHPGBP,D,19931103,000000,2.364,2.364,2.364,2.364,0,0
PHPGBP,D,19931104,000000,2.3704,2.3704,2.3704,2.3704,0,0
PHPGBP,D,19931105,000000,2.3831,2.3831,2.3831,2.3831,0,0
PHPGBP,D,19931108,000000,2.4316,2.4316,2.4316,2.4316,0,0
PHPGBP,D,19931109,000000,2.4292,2.4292,2.4292,2.4292,0,0
PHPGBP,D,19931110,000000,2.4359,2.4359,2.4359,2.4359,0,0
PHPGBP,D,19931112,000000,2.4452,2.4452,2.4452,2.4452,0,0
PHPGBP,D,19931115,000000,2.4085,2.4085,2.4085,2.4085,0,0
PHPGBP,D,19931116,000000,2.3781,2.3781,2.3781,2.3781,0,0
PHPGBP,D,19931117,000000,2.3666,2.3666,2.3666,2.3666,0,0
PHPGBP,D,19931118,000000,2.3852,2.3852,2.3852,2.3852,0,0
PHPGBP,D,19931119,000000,2.3818,2.3818,2.3818,2.3818,0,0
PHPGBP,D,19931122,000000,2.3867,2.3867,2.3867,2.3867,0,0
PHPGBP,D,19931123,000000,2.3857,2.3857,2.3857,2.3857,0,0
PHPGBP,D,19931124,000000,2.3958,2.3958,2.3958,2.3958,0,0
PHPGBP,D,19931125,000000,2.3908,2.3908,2.3908,2.3908,0,0
PHPGBP,D,19931126,000000,2.3949,2.3949,2.3949,2.3949,0,0
PHPGBP,D,19931129,000000,2.4267,2.4267,2.4267,2.4267,0,0
PHPGBP,D,19931130,000000,2.4311,2.4311,2.4311,2.4311,0,0
PHPGBP,D,19931201,000000,2.42,2.42,2.42,2.42,0,0
PHPGBP,D,19931202,000000,2.4514,2.4514,2.4514,2.4514,0,0
PHPGBP,D,19931203,000000,2.4483,2.4483,2.4483,2.4483,0,0
PHPGBP,D,19931206,000000,2.4383,2.4383,2.4383,2.4383,0,0
PHPGBP,D,19931207,000000,2.4261,2.4261,2.4261,2.4261,0,0
PHPGBP,D,19931208,000000,2.4225,2.4225,2.4225,2.4225,0,0
PHPGBP,D,19931209,000000,2.4371,2.4371,2.4371,2.4371,0,0
PHPGBP,D,19931210,000000,2.4285,2.4285,2.4285,2.4285,0,0
PHPGBP,D,19931213,000000,2.4191,2.4191,2.4191,2.4191,0,0
PHPGBP,D,19931214,000000,2.4164,2.4164,2.4164,2.4164,0,0
PHPGBP,D,19931215,000000,2.425,2.425,2.425,2.425,0,0
PHPGBP,D,19931216,000000,2.4307,2.4307,2.4307,2.4307,0,0
PHPGBP,D,19931217,000000,2.4313,2.4313,2.4313,2.4313,0,0
PHPGBP,D,19931220,000000,2.4234,2.4234,2.4234,2.4234,0,0
PHPGBP,D,19931221,000000,2.4472,2.4472,2.4472,2.4472,0,0
