<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPILS,D,19931025,000000,9.95,9.95,9.95,9.95,0,0
PHPILS,D,19931026,000000,9.982,9.982,9.982,9.982,0,0
PHPILS,D,19931027,000000,9.99,9.99,9.99,9.99,0,0
PHPILS,D,19931028,000000,10.016,10.016,10.016,10.016,0,0
PHPILS,D,19931029,000000,10.168,10.168,10.168,10.168,0,0
PHPILS,D,19931102,000000,10.18,10.18,10.18,10.18,0,0
PHPILS,D,19931103,000000,10.215,10.215,10.215,10.215,0,0
PHPILS,D,19931104,000000,10.229,10.229,10.229,10.229,0,0
PHPILS,D,19931105,000000,10.296,10.296,10.296,10.296,0,0
PHPILS,D,19931108,000000,10.484,10.484,10.484,10.484,0,0
PHPILS,D,19931109,000000,10.49,10.49,10.49,10.49,0,0
PHPILS,D,19931110,000000,10.516,10.516,10.516,10.516,0,0
PHPILS,D,19931112,000000,10.51,10.51,10.51,10.51,0,0
PHPILS,D,19931115,000000,10.391,10.391,10.391,10.391,0,0
PHPILS,D,19931116,000000,10.343,10.343,10.343,10.343,0,0
PHPILS,D,19931117,000000,10.297,10.297,10.297,10.297,0,0
PHPILS,D,19931118,000000,10.297,10.297,10.297,10.297,0,0
PHPILS,D,19931119,000000,10.336,10.336,10.336,10.336,0,0
PHPILS,D,19931122,000000,10.349,10.349,10.349,10.349,0,0
PHPILS,D,19931123,000000,10.359,10.359,10.359,10.359,0,0
PHPILS,D,19931124,000000,10.412,10.412,10.412,10.412,0,0
PHPILS,D,19931125,000000,10.436,10.436,10.436,10.436,0,0
PHPILS,D,19931126,000000,10.458,10.458,10.458,10.458,0,0
PHPILS,D,19931129,000000,10.607,10.607,10.607,10.607,0,0
PHPILS,D,19931130,000000,10.623,10.623,10.623,10.623,0,0
PHPILS,D,19931201,000000,10.626,10.626,10.626,10.626,0,0
PHPILS,D,19931202,000000,10.7,10.7,10.7,10.7,0,0
PHPILS,D,19931203,000000,10.681,10.681,10.681,10.681,0,0
PHPILS,D,19931206,000000,10.677,10.677,10.677,10.677,0,0
PHPILS,D,19931207,000000,10.663,10.663,10.663,10.663,0,0
PHPILS,D,19931208,000000,10.698,10.698,10.698,10.698,0,0
PHPILS,D,19931209,000000,10.698,10.698,10.698,10.698,0,0
PHPILS,D,19931210,000000,10.652,10.652,10.652,10.652,0,0
PHPILS,D,19931213,000000,10.658,10.658,10.658,10.658,0,0
PHPILS,D,19931214,000000,10.641,10.641,10.641,10.641,0,0
PHPILS,D,19931215,000000,10.642,10.642,10.642,10.642,0,0
PHPILS,D,19931216,000000,10.642,10.642,10.642,10.642,0,0
PHPILS,D,19931217,000000,10.649,10.649,10.649,10.649,0,0
PHPILS,D,19931220,000000,10.665,10.665,10.665,10.665,0,0
PHPILS,D,19931221,000000,10.753,10.753,10.753,10.753,0,0
PHPILS,D,19931222,000000,10.75,10.75,10.75,10.75,0,0
PHPILS,D,19931223,000000,10.784,10.784,10.784,10.784,0,0
PHPILS,D,19931224,000000,10.783,10.783,10.783,10.783,0,0
PHPILS,D,19931227,000000,10.798,10.798,10.798,10.798,0,0
PHPILS,D,19931228,000000,10.802,10.802,10.802,10.802,0,0
PHPILS,D,19931229,000000,10.801,10.801,10.801,10.801,0,0
PHPILS,D,19931230,000000,10.846,10.846,10.846,10.846,0,0
PHPILS,D,19931231,000000,10.841,10.841,10.841,10.841,0,0
PHPILS,D,19940103,000000,10.782,10.782,10.782,10.782,0,0
PHPILS,D,19940104,000000,10.799,10.799,10.799,10.799,0,0
PHPILS,D,19940105,000000,10.786,10.786,10.786,10.786,0,0
PHPILS,D,19940106,000000,10.782,10.782,10.782,10.782,0,0
PHPILS,D,19940107,000000,10.794,10.794,10.794,10.794,0,0
PHPILS,D,19940110,000000,10.812,10.812,10.812,10.812,0,0
PHPILS,D,19940111,000000,10.818,10.818,10.818,10.818,0,0
PHPILS,D,19940112,000000,10.818,10.818,10.818,10.818,0,0
PHPILS,D,19940113,000000,10.735,10.735,10.735,10.735,0,0
PHPILS,D,19940114,000000,10.746,10.746,10.746,10.746,0,0
PHPILS,D,19940117,000000,10.735,10.735,10.735,10.735,0,0
PHPILS,D,19940118,000000,10.695,10.695,10.695,10.695,0,0
PHPILS,D,19940119,000000,10.695,10.695,10.695,10.695,0,0
PHPILS,D,19940120,000000,10.698,10.698,10.698,10.698,0,0
