<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPKRW,D,19931025,000000,27.995,27.995,27.995,27.995,0,0
PHPKRW,D,19931026,000000,28.004,28.004,28.004,28.004,0,0
PHPKRW,D,19931027,000000,28.024,28.024,28.024,28.024,0,0
PHPKRW,D,19931028,000000,28.015,28.015,28.015,28.015,0,0
PHPKRW,D,19931029,000000,28.385,28.385,28.385,28.385,0,0
PHPKRW,D,19931102,000000,28.338,28.338,28.338,28.338,0,0
PHPKRW,D,19931103,000000,28.338,28.338,28.338,28.338,0,0
PHPKRW,D,19931104,000000,28.431,28.431,28.431,28.431,0,0
PHPKRW,D,19931105,000000,28.626,28.626,28.626,28.626,0,0
PHPKRW,D,19931108,000000,29.145,29.145,29.145,29.145,0,0
PHPKRW,D,19931109,000000,28.933,28.933,28.933,28.933,0,0
PHPKRW,D,19931110,000000,28.933,28.933,28.933,28.933,0,0
PHPKRW,D,19931112,000000,29.055,29.055,29.055,29.055,0,0
PHPKRW,D,19931115,000000,28.83,28.83,28.83,28.83,0,0
PHPKRW,D,19931116,000000,28.728,28.728,28.728,28.728,0,0
PHPKRW,D,19931117,000000,28.547,28.547,28.547,28.547,0,0
PHPKRW,D,19931118,000000,28.566,28.566,28.566,28.566,0,0
PHPKRW,D,19931119,000000,28.543,28.543,28.543,28.543,0,0
PHPKRW,D,19931122,000000,28.507,28.507,28.507,28.507,0,0
PHPKRW,D,19931123,000000,28.504,28.504,28.504,28.504,0,0
PHPKRW,D,19931124,000000,28.669,28.669,28.669,28.669,0,0
PHPKRW,D,19931125,000000,28.88,28.88,28.88,28.88,0,0
PHPKRW,D,19931126,000000,28.85,28.85,28.85,28.85,0,0
PHPKRW,D,19931129,000000,29.163,29.163,29.163,29.163,0,0
PHPKRW,D,19931130,000000,29.153,29.153,29.153,29.153,0,0
PHPKRW,D,19931201,000000,29.175,29.175,29.175,29.175,0,0
PHPKRW,D,19931202,000000,29.398,29.398,29.398,29.398,0,0
PHPKRW,D,19931203,000000,29.414,29.414,29.414,29.414,0,0
PHPKRW,D,19931206,000000,29.431,29.431,29.431,29.431,0,0
PHPKRW,D,19931207,000000,29.431,29.431,29.431,29.431,0,0
PHPKRW,D,19931208,000000,29.546,29.546,29.546,29.546,0,0
PHPKRW,D,19931209,000000,29.538,29.538,29.538,29.538,0,0
PHPKRW,D,19931210,000000,29.424,29.424,29.424,29.424,0,0
PHPKRW,D,19931213,000000,29.437,29.437,29.437,29.437,0,0
PHPKRW,D,19931214,000000,29.345,29.345,29.345,29.345,0,0
PHPKRW,D,19931215,000000,29.381,29.381,29.381,29.381,0,0
PHPKRW,D,19931216,000000,29.382,29.382,29.382,29.382,0,0
PHPKRW,D,19931217,000000,29.371,29.371,29.371,29.371,0,0
PHPKRW,D,19931220,000000,29.383,29.383,29.383,29.383,0,0
PHPKRW,D,19931221,000000,29.618,29.618,29.618,29.618,0,0
PHPKRW,D,19931222,000000,29.622,29.622,29.622,29.622,0,0
PHPKRW,D,19931223,000000,29.686,29.686,29.686,29.686,0,0
PHPKRW,D,19931224,000000,29.613,29.613,29.613,29.613,0,0
PHPKRW,D,19931227,000000,29.6,29.6,29.6,29.6,0,0
PHPKRW,D,19931228,000000,29.612,29.612,29.612,29.612,0,0
PHPKRW,D,19931229,000000,29.606,29.606,29.606,29.606,0,0
PHPKRW,D,19931230,000000,29.61,29.61,29.61,29.61,0,0
PHPKRW,D,19931231,000000,29.577,29.577,29.577,29.577,0,0
PHPKRW,D,19940103,000000,29.468,29.468,29.468,29.468,0,0
PHPKRW,D,19940104,000000,29.505,29.505,29.505,29.505,0,0
PHPKRW,D,19940105,000000,29.534,29.534,29.534,29.534,0,0
PHPKRW,D,19940106,000000,29.611,29.611,29.611,29.611,0,0
PHPKRW,D,19940107,000000,29.678,29.678,29.678,29.678,0,0
PHPKRW,D,19940110,000000,29.787,29.787,29.787,29.787,0,0
PHPKRW,D,19940111,000000,29.748,29.748,29.748,29.748,0,0
PHPKRW,D,19940112,000000,29.74,29.74,29.74,29.74,0,0
PHPKRW,D,19940113,000000,29.624,29.624,29.624,29.624,0,0
PHPKRW,D,19940114,000000,29.607,29.607,29.607,29.607,0,0
PHPKRW,D,19940117,000000,29.611,29.611,29.611,29.611,0,0
PHPKRW,D,19940118,000000,29.493,29.493,29.493,29.493,0,0
PHPKRW,D,19940119,000000,29.476,29.476,29.476,29.476,0,0
PHPKRW,D,19940120,000000,29.43,29.43,29.43,29.43,0,0
PHPKRW,D,19940121,000000,29.423,29.423,29.423,29.423,0,0
PHPKRW,D,19940124,000000,29.415,29.415,29.415,29.415,0,0
PHPKRW,D,19940125,000000,29.478,29.478,29.478,29.478,0,0
PHPKRW,D,19940126,000000,29.534,29.534,29.534,29.534,0,0
PHPKRW,D,19940127,000000,29.527,29.527,29.527,29.527,0,0
PHPKRW,D,19940128,000000,29.515,29.515,29.515,29.515,0,0
PHPKRW,D,19940131,000000,29.509,29.509,29.509,29.509,0,0
PHPKRW,D,19940201,000000,29.573,29.573,29.573,29.573,0,0
PHPKRW,D,19940202,000000,29.542,29.542,29.542,29.542,0,0
PHPKRW,D,19940203,000000,29.531,29.531,29.531,29.531,0,0
PHPKRW,D,19940204,000000,29.589,29.589,29.589,29.589,0,0
PHPKRW,D,19940207,000000,29.535,29.535,29.535,29.535,0,0
PHPKRW,D,19940208,000000,29.624,29.624,29.624,29.624,0,0
