<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPSGD,D,19931025,000000,5.4124,5.4124,5.4124,5.4124,0,0
PHPSGD,D,19931026,000000,5.4098,5.4098,5.4098,5.4098,0,0
PHPSGD,D,19931027,000000,5.4373,5.4373,5.4373,5.4373,0,0
PHPSGD,D,19931028,000000,5.4748,5.4748,5.4748,5.4748,0,0
PHPSGD,D,19931029,000000,5.5435,5.5435,5.5435,5.5435,0,0
PHPSGD,D,19931102,000000,5.5555,5.5555,5.5555,5.5555,0,0
PHPSGD,D,19931103,000000,5.5505,5.5505,5.5505,5.5505,0,0
PHPSGD,D,19931104,000000,5.5843,5.5843,5.5843,5.5843,0,0
PHPSGD,D,19931105,000000,5.6323,5.6323,5.6323,5.6323,0,0
PHPSGD,D,19931108,000000,5.7292,5.7292,5.7292,5.7292,0,0
PHPSGD,D,19931109,000000,5.7319,5.7319,5.7319,5.7319,0,0
PHPSGD,D,19931110,000000,5.7271,5.7271,5.7271,5.7271,0,0
PHPSGD,D,19931112,000000,5.7204,5.7204,5.7204,5.7204,0,0
PHPSGD,D,19931115,000000,5.6809,5.6809,5.6809,5.6809,0,0
PHPSGD,D,19931116,000000,5.6428,5.6428,5.6428,5.6428,0,0
PHPSGD,D,19931117,000000,5.6137,5.6137,5.6137,5.6137,0,0
PHPSGD,D,19931118,000000,5.6175,5.6175,5.6175,5.6175,0,0
PHPSGD,D,19931119,000000,5.6295,5.6295,5.6295,5.6295,0,0
PHPSGD,D,19931122,000000,5.6256,5.6256,5.6256,5.6256,0,0
PHPSGD,D,19931123,000000,5.6305,5.6305,5.6305,5.6305,0,0
PHPSGD,D,19931124,000000,5.652,5.652,5.652,5.652,0,0
PHPSGD,D,19931125,000000,5.6824,5.6824,5.6824,5.6824,0,0
PHPSGD,D,19931126,000000,5.6972,5.6972,5.6972,5.6972,0,0
PHPSGD,D,19931129,000000,5.7607,5.7607,5.7607,5.7607,0,0
PHPSGD,D,19931130,000000,5.7547,5.7547,5.7547,5.7547,0,0
PHPSGD,D,19931201,000000,5.7502,5.7502,5.7502,5.7502,0,0
PHPSGD,D,19931202,000000,5.7959,5.7959,5.7959,5.7959,0,0
PHPSGD,D,19931203,000000,5.8048,5.8048,5.8048,5.8048,0,0
PHPSGD,D,19931206,000000,5.7947,5.7947,5.7947,5.7947,0,0
PHPSGD,D,19931207,000000,5.7882,5.7882,5.7882,5.7882,0,0
PHPSGD,D,19931208,000000,5.8088,5.8088,5.8088,5.8088,0,0
PHPSGD,D,19931209,000000,5.8087,5.8087,5.8087,5.8087,0,0
PHPSGD,D,19931210,000000,5.7864,5.7864,5.7864,5.7864,0,0
PHPSGD,D,19931213,000000,5.7797,5.7797,5.7797,5.7797,0,0
PHPSGD,D,19931214,000000,5.7552,5.7552,5.7552,5.7552,0,0
PHPSGD,D,19931215,000000,5.7555,5.7555,5.7555,5.7555,0,0
PHPSGD,D,19931216,000000,5.7516,5.7516,5.7516,5.7516,0,0
PHPSGD,D,19931217,000000,5.7497,5.7497,5.7497,5.7497,0,0
PHPSGD,D,19931220,000000,5.7543,5.7543,5.7543,5.7543,0,0
PHPSGD,D,19931221,000000,5.7897,5.7897,5.7897,5.7897,0,0
PHPSGD,D,19931222,000000,5.7923,5.7923,5.7923,5.7923,0,0
PHPSGD,D,19931223,000000,5.8084,5.8084,5.8084,5.8084,0,0
PHPSGD,D,19931224,000000,5.817,5.817,5.817,5.817,0,0
PHPSGD,D,19931227,000000,5.8437,5.8437,5.8437,5.8437,0,0
PHPSGD,D,19931228,000000,5.8366,5.8366,5.8366,5.8366,0,0
PHPSGD,D,19931229,000000,5.8453,5.8453,5.8453,5.8453,0,0
PHPSGD,D,19931230,000000,5.8592,5.8592,5.8592,5.8592,0,0
PHPSGD,D,19931231,000000,5.864,5.864,5.864,5.864,0,0
PHPSGD,D,19940103,000000,5.8544,5.8544,5.8544,5.8544,0,0
PHPSGD,D,19940104,000000,5.855,5.855,5.855,5.855,0,0
PHPSGD,D,19940105,000000,5.8184,5.8184,5.8184,5.8184,0,0
PHPSGD,D,19940106,000000,5.7802,5.7802,5.7802,5.7802,0,0
PHPSGD,D,19940107,000000,5.8175,5.8175,5.8175,5.8175,0,0
PHPSGD,D,19940110,000000,5.8365,5.8365,5.8365,5.8365,0,0
PHPSGD,D,19940111,000000,5.8749,5.8749,5.8749,5.8749,0,0
PHPSGD,D,19940112,000000,5.8758,5.8758,5.8758,5.8758,0,0
PHPSGD,D,19940113,000000,5.8557,5.8557,5.8557,5.8557,0,0
PHPSGD,D,19940114,000000,5.8542,5.8542,5.8542,5.8542,0,0
PHPSGD,D,19940117,000000,5.8432,5.8432,5.8432,5.8432,0,0
PHPSGD,D,19940118,000000,5.8227,5.8227,5.8227,5.8227,0,0
PHPSGD,D,19940119,000000,5.8217,5.8217,5.8217,5.8217,0,0
PHPSGD,D,19940120,000000,5.8222,5.8222,5.8222,5.8222,0,0
PHPSGD,D,19940121,000000,5.8215,5.8215,5.8215,5.8215,0,0
PHPSGD,D,19940124,000000,5.8224,5.8224,5.8224,5.8224,0,0
PHPSGD,D,19940125,000000,5.807,5.807,5.807,5.807,0,0
PHPSGD,D,19940126,000000,5.817,5.817,5.817,5.817,0,0
PHPSGD,D,19940127,000000,5.8192,5.8192,5.8192,5.8192,0,0
PHPSGD,D,19940128,000000,5.7822,5.7822,5.7822,5.7822,0,0
PHPSGD,D,19940131,000000,5.7833,5.7833,5.7833,5.7833,0,0
PHPSGD,D,19940201,000000,5.7546,5.7546,5.7546,5.7546,0,0
PHPSGD,D,19940202,000000,5.7913,5.7913,5.7913,5.7913,0,0
PHPSGD,D,19940203,000000,5.7907,5.7907,5.7907,5.7907,0,0
PHPSGD,D,19940204,000000,5.8027,5.8027,5.8027,5.8027,0,0
PHPSGD,D,19940207,000000,5.8019,5.8019,5.8019,5.8019,0,0
PHPSGD,D,19940208,000000,5.8012,5.8012,5.8012,5.8012,0,0
PHPSGD,D,19940209,000000,5.8115,5.8115,5.8115,5.8115,0,0
PHPSGD,D,19940210,000000,5.8136,5.8136,5.8136,5.8136,0,0
PHPSGD,D,19940211,000000,5.8121,5.8121,5.8121,5.8121,0,0
PHPSGD,D,19940214,000000,5.7765,5.7765,5.7765,5.7765,0,0
PHPSGD,D,19940215,000000,5.8128,5.8128,5.8128,5.8128,0,0
PHPSGD,D,19940216,000000,5.7817,5.7817,5.7817,5.7817,0,0
PHPSGD,D,19940217,000000,5.7804,5.7804,5.7804,5.7804,0,0
PHPSGD,D,19940218,000000,5.7805,5.7805,5.7805,5.7805,0,0
PHPSGD,D,19940221,000000,5.7699,5.7699,5.7699,5.7699,0,0
PHPSGD,D,19940222,000000,5.7733,5.7733,5.7733,5.7733,0,0
PHPSGD,D,19940223,000000,5.7703,5.7703,5.7703,5.7703,0,0
PHPSGD,D,19940224,000000,5.7699,5.7699,5.7699,5.7699,0,0
PHPSGD,D,19940225,000000,5.7337,5.7337,5.7337,5.7337,0,0
PHPSGD,D,19940228,000000,5.7242,5.7242,5.7242,5.7242,0,0
PHPSGD,D,19940301,000000,5.7261,5.7261,5.7261,5.7261,0,0
PHPSGD,D,19940302,000000,5.7229,5.7229,5.7229,5.7229,0,0
PHPSGD,D,19940303,000000,5.724,5.724,5.724,5.724,0,0
PHPSGD,D,19940304,000000,5.7447,5.7447,5.7447,5.7447,0,0
PHPSGD,D,19940307,000000,5.7922,5.7922,5.7922,5.7922,0,0
PHPSGD,D,19940308,000000,5.7546,5.7546,5.7546,5.7546,0,0
PHPSGD,D,19940309,000000,5.7544,5.7544,5.7544,5.7544,0,0
PHPSGD,D,19940310,000000,5.7921,5.7921,5.7921,5.7921,0,0
PHPSGD,D,19940311,000000,5.7661,5.7661,5.7661,5.7661,0,0
PHPSGD,D,19940314,000000,5.8014,5.8014,5.8014,5.8014,0,0
PHPSGD,D,19940315,000000,5.8025,5.8025,5.8025,5.8025,0,0
PHPSGD,D,19940316,000000,5.8034,5.8034,5.8034,5.8034,0,0
PHPSGD,D,19940317,000000,5.7665,5.7665,5.7665,5.7665,0,0
PHPSGD,D,19940318,000000,5.7654,5.7654,5.7654,5.7654,0,0
PHPSGD,D,19940321,000000,5.8019,5.8019,5.8019,5.8019,0,0
PHPSGD,D,19940322,000000,5.8019,5.8019,5.8019,5.8019,0,0
PHPSGD,D,19940323,000000,5.8032,5.8032,5.8032,5.8032,0,0
PHPSGD,D,19940324,000000,5.7667,5.7667,5.7667,5.7667,0,0
PHPSGD,D,19940325,000000,5.7648,5.7648,5.7648,5.7648,0,0
PHPSGD,D,19940328,000000,5.7292,5.7292,5.7292,5.7292,0,0
PHPSGD,D,19940329,000000,5.7283,5.7283,5.7283,5.7283,0,0
PHPSGD,D,19940330,000000,5.7292,5.7292,5.7292,5.7292,0,0
PHPSGD,D,19940331,000000,5.7302,5.7302,5.7302,5.7302,0,0
PHPSGD,D,19940401,000000,5.73,5.73,5.73,5.73,0,0
PHPSGD,D,19940405,000000,5.73,5.73,5.73,5.73,0,0
PHPSGD,D,19940406,000000,5.7296,5.7296,5.7296,5.7296,0,0
PHPSGD,D,19940407,000000,5.7282,5.7282,5.7282,5.7282,0,0
PHPSGD,D,19940408,000000,5.7302,5.7302,5.7302,5.7302,0,0
PHPSGD,D,19940411,000000,5.694,5.694,5.694,5.694,0,0
PHPSGD,D,19940412,000000,5.7291,5.7291,5.7291,5.7291,0,0
PHPSGD,D,19940413,000000,5.6919,5.6919,5.6919,5.6919,0,0
PHPSGD,D,19940414,000000,5.6924,5.6924,5.6924,5.6924,0,0
PHPSGD,D,19940415,000000,5.6932,5.6932,5.6932,5.6932,0,0
PHPSGD,D,19940418,000000,5.6925,5.6925,5.6925,5.6925,0,0
PHPSGD,D,19940419,000000,5.6941,5.6941,5.6941,5.6941,0,0
PHPSGD,D,19940420,000000,5.6959,5.6959,5.6959,5.6959,0,0
PHPSGD,D,19940421,000000,5.6953,5.6953,5.6953,5.6953,0,0
PHPSGD,D,19940422,000000,5.6958,5.6958,5.6958,5.6958,0,0
PHPSGD,D,19940425,000000,5.6955,5.6955,5.6955,5.6955,0,0
PHPSGD,D,19940426,000000,5.6595,5.6595,5.6595,5.6595,0,0
PHPSGD,D,19940427,000000,5.6955,5.6955,5.6955,5.6955,0,0
PHPSGD,D,19940428,000000,5.6592,5.6592,5.6592,5.6592,0,0
PHPSGD,D,19940429,000000,5.6953,5.6953,5.6953,5.6953,0,0
PHPSGD,D,19940504,000000,5.777,5.777,5.777,5.777,0,0
PHPSGD,D,19940505,000000,5.7659,5.7659,5.7659,5.7659,0,0
PHPSGD,D,19940506,000000,5.7663,5.7663,5.7663,5.7663,0,0
PHPSGD,D,19940509,000000,5.7289,5.7289,5.7289,5.7289,0,0
PHPSGD,D,19940510,000000,5.7299,5.7299,5.7299,5.7299,0,0
PHPSGD,D,19940511,000000,5.7392,5.7392,5.7392,5.7392,0,0
PHPSGD,D,19940512,000000,5.7394,5.7394,5.7394,5.7394,0,0
PHPSGD,D,19940513,000000,5.7399,5.7399,5.7399,5.7399,0,0
PHPSGD,D,19940516,000000,5.7407,5.7407,5.7407,5.7407,0,0
PHPSGD,D,19940517,000000,5.7397,5.7397,5.7397,5.7397,0,0
PHPSGD,D,19940518,000000,5.7131,5.7131,5.7131,5.7131,0,0
PHPSGD,D,19940519,000000,5.7148,5.7148,5.7148,5.7148,0,0
PHPSGD,D,19940520,000000,5.7126,5.7126,5.7126,5.7126,0,0
PHPSGD,D,19940523,000000,5.7141,5.7141,5.7141,5.7141,0,0
PHPSGD,D,19940524,000000,5.713,5.713,5.713,5.713,0,0
PHPSGD,D,19940525,000000,5.7144,5.7144,5.7144,5.7144,0,0
PHPSGD,D,19940526,000000,5.674,5.674,5.674,5.674,0,0
PHPSGD,D,19940527,000000,5.7467,5.7467,5.7467,5.7467,0,0
PHPSGD,D,19940530,000000,5.7679,5.7679,5.7679,5.7679,0,0
PHPSGD,D,19940531,000000,5.7314,5.7314,5.7314,5.7314,0,0
PHPSGD,D,19940601,000000,5.729,5.729,5.729,5.729,0,0
PHPSGD,D,19940603,000000,5.7558,5.7558,5.7558,5.7558,0,0
PHPSGD,D,19940606,000000,5.7182,5.7182,5.7182,5.7182,0,0
PHPSGD,D,19940607,000000,5.676,5.676,5.676,5.676,0,0
PHPSGD,D,19940608,000000,5.6651,5.6651,5.6651,5.6651,0,0
PHPSGD,D,19940609,000000,5.7035,5.7035,5.7035,5.7035,0,0
PHPSGD,D,19940610,000000,5.6872,5.6872,5.6872,5.6872,0,0
PHPSGD,D,19940613,000000,5.6858,5.6858,5.6858,5.6858,0,0
PHPSGD,D,19940614,000000,5.6855,5.6855,5.6855,5.6855,0,0
PHPSGD,D,19940615,000000,5.69,5.69,5.69,5.69,0,0
PHPSGD,D,19940616,000000,5.6848,5.6848,5.6848,5.6848,0,0
PHPSGD,D,19940617,000000,5.6853,5.6853,5.6853,5.6853,0,0
PHPSGD,D,19940620,000000,5.6876,5.6876,5.6876,5.6876,0,0
PHPSGD,D,19940621,000000,5.7472,5.7472,5.7472,5.7472,0,0
PHPSGD,D,19940622,000000,5.7075,5.7075,5.7075,5.7075,0,0
PHPSGD,D,19940623,000000,5.7078,5.7078,5.7078,5.7078,0,0
PHPSGD,D,19940624,000000,5.7081,5.7081,5.7081,5.7081,0,0
PHPSGD,D,19940627,000000,5.6701,5.6701,5.6701,5.6701,0,0
PHPSGD,D,19940628,000000,5.7086,5.7086,5.7086,5.7086,0,0
PHPSGD,D,19940629,000000,5.6707,5.6707,5.6707,5.6707,0,0
PHPSGD,D,19940630,000000,5.671,5.671,5.671,5.671,0,0
PHPSGD,D,19940701,000000,5.6718,5.6718,5.6718,5.6718,0,0
PHPSGD,D,19940704,000000,5.6718,5.6718,5.6718,5.6718,0,0
PHPSGD,D,19940705,000000,5.6706,5.6706,5.6706,5.6706,0,0
PHPSGD,D,19940706,000000,5.6704,5.6704,5.6704,5.6704,0,0
PHPSGD,D,19940707,000000,5.6815,5.6815,5.6815,5.6815,0,0
PHPSGD,D,19940708,000000,5.6814,5.6814,5.6814,5.6814,0,0
PHPSGD,D,19940711,000000,5.7292,5.7292,5.7292,5.7292,0,0
PHPSGD,D,19940712,000000,5.7628,5.7628,5.7628,5.7628,0,0
PHPSGD,D,19940713,000000,5.7847,5.7847,5.7847,5.7847,0,0
PHPSGD,D,19940714,000000,5.7838,5.7838,5.7838,5.7838,0,0
PHPSGD,D,19940715,000000,5.7592,5.7592,5.7592,5.7592,0,0
PHPSGD,D,19940718,000000,5.7618,5.7618,5.7618,5.7618,0,0
PHPSGD,D,19940719,000000,5.7622,5.7622,5.7622,5.7622,0,0
PHPSGD,D,19940720,000000,5.7847,5.7847,5.7847,5.7847,0,0
PHPSGD,D,19940721,000000,5.7846,5.7846,5.7846,5.7846,0,0
PHPSGD,D,19940722,000000,5.7845,5.7845,5.7845,5.7845,0,0
PHPSGD,D,19940725,000000,5.7837,5.7837,5.7837,5.7837,0,0
PHPSGD,D,19940726,000000,5.7855,5.7855,5.7855,5.7855,0,0
PHPSGD,D,19940727,000000,5.7837,5.7837,5.7837,5.7837,0,0
PHPSGD,D,19940728,000000,5.7953,5.7953,5.7953,5.7953,0,0
PHPSGD,D,19940729,000000,5.7948,5.7948,5.7948,5.7948,0,0
PHPSGD,D,19940801,000000,5.7197,5.7197,5.7197,5.7197,0,0
PHPSGD,D,19940802,000000,5.7173,5.7173,5.7173,5.7173,0,0
PHPSGD,D,19940803,000000,5.7627,5.7627,5.7627,5.7627,0,0
PHPSGD,D,19940804,000000,5.7624,5.7624,5.7624,5.7624,0,0
PHPSGD,D,19940805,000000,5.7613,5.7613,5.7613,5.7613,0,0
PHPSGD,D,19940808,000000,5.762,5.762,5.762,5.762,0,0
PHPSGD,D,19940809,000000,5.7841,5.7841,5.7841,5.7841,0,0
PHPSGD,D,19940810,000000,5.7943,5.7943,5.7943,5.7943,0,0
PHPSGD,D,19940811,000000,5.8065,5.8065,5.8065,5.8065,0,0
PHPSGD,D,19940812,000000,5.8064,5.8064,5.8064,5.8064,0,0
PHPSGD,D,19940816,000000,5.807,5.807,5.807,5.807,0,0
PHPSGD,D,19940817,000000,5.8063,5.8063,5.8063,5.8063,0,0
PHPSGD,D,19940818,000000,5.7683,5.7683,5.7683,5.7683,0,0
PHPSGD,D,19940819,000000,5.7674,5.7674,5.7674,5.7674,0,0
PHPSGD,D,19940822,000000,5.769,5.769,5.769,5.769,0,0
PHPSGD,D,19940823,000000,5.7459,5.7459,5.7459,5.7459,0,0
PHPSGD,D,19940824,000000,5.7018,5.7018,5.7018,5.7018,0,0
PHPSGD,D,19940825,000000,5.7006,5.7006,5.7006,5.7006,0,0
PHPSGD,D,19940826,000000,5.7026,5.7026,5.7026,5.7026,0,0
PHPSGD,D,19940829,000000,5.7024,5.7024,5.7024,5.7024,0,0
PHPSGD,D,19940830,000000,5.7036,5.7036,5.7036,5.7036,0,0
PHPSGD,D,19940831,000000,5.703,5.703,5.703,5.703,0,0
PHPSGD,D,19940901,000000,5.713,5.713,5.713,5.713,0,0
PHPSGD,D,19940902,000000,5.7356,5.7356,5.7356,5.7356,0,0
PHPSGD,D,19940905,000000,5.7358,5.7358,5.7358,5.7358,0,0
PHPSGD,D,19940906,000000,5.7359,5.7359,5.7359,5.7359,0,0
PHPSGD,D,19940907,000000,5.735,5.735,5.735,5.735,0,0
PHPSGD,D,19940908,000000,5.7352,5.7352,5.7352,5.7352,0,0
PHPSGD,D,19940909,000000,5.7357,5.7357,5.7357,5.7357,0,0
PHPSGD,D,19940912,000000,5.6974,5.6974,5.6974,5.6974,0,0
PHPSGD,D,19940913,000000,5.7056,5.7056,5.7056,5.7056,0,0
PHPSGD,D,19940914,000000,5.7728,5.7728,5.7728,5.7728,0,0
PHPSGD,D,19940915,000000,5.7851,5.7851,5.7851,5.7851,0,0
PHPSGD,D,19940916,000000,5.7522,5.7522,5.7522,5.7522,0,0
PHPSGD,D,19940919,000000,5.802,5.802,5.802,5.802,0,0
PHPSGD,D,19940920,000000,5.8016,5.8016,5.8016,5.8016,0,0
PHPSGD,D,19940921,000000,5.734,5.734,5.734,5.734,0,0
PHPSGD,D,19940922,000000,5.6697,5.6697,5.6697,5.6697,0,0
PHPSGD,D,19940923,000000,5.8127,5.8127,5.8127,5.8127,0,0
PHPSGD,D,19940926,000000,5.8528,5.8528,5.8528,5.8528,0,0
PHPSGD,D,19940927,000000,5.8245,5.8245,5.8245,5.8245,0,0
PHPSGD,D,19940928,000000,5.7528,5.7528,5.7528,5.7528,0,0
PHPSGD,D,19940929,000000,5.7294,5.7294,5.7294,5.7294,0,0
PHPSGD,D,19940930,000000,5.6806,5.6806,5.6806,5.6806,0,0
PHPSGD,D,19941003,000000,5.7251,5.7251,5.7251,5.7251,0,0
PHPSGD,D,19941004,000000,5.7796,5.7796,5.7796,5.7796,0,0
PHPSGD,D,19941005,000000,5.753,5.753,5.753,5.753,0,0
PHPSGD,D,19941006,000000,5.7915,5.7915,5.7915,5.7915,0,0
PHPSGD,D,19941007,000000,5.7909,5.7909,5.7909,5.7909,0,0
PHPSGD,D,19941010,000000,5.7934,5.7934,5.7934,5.7934,0,0
PHPSGD,D,19941011,000000,5.827,5.827,5.827,5.827,0,0
PHPSGD,D,19941012,000000,5.825,5.825,5.825,5.825,0,0
PHPSGD,D,19941013,000000,5.825,5.825,5.825,5.825,0,0
PHPSGD,D,19941014,000000,5.8254,5.8254,5.8254,5.8254,0,0
PHPSGD,D,19941017,000000,5.7978,5.7978,5.7978,5.7978,0,0
PHPSGD,D,19941018,000000,5.8328,5.8328,5.8328,5.8328,0,0
PHPSGD,D,19941019,000000,5.8319,5.8319,5.8319,5.8319,0,0
PHPSGD,D,19941020,000000,5.8541,5.8541,5.8541,5.8541,0,0
PHPSGD,D,19941021,000000,5.8789,5.8789,5.8789,5.8789,0,0
PHPSGD,D,19941024,000000,5.8912,5.8912,5.8912,5.8912,0,0
PHPSGD,D,19941025,000000,5.9022,5.9022,5.9022,5.9022,0,0
PHPSGD,D,19941026,000000,5.9601,5.9601,5.9601,5.9601,0,0
PHPSGD,D,19941027,000000,5.9146,5.9146,5.9146,5.9146,0,0
PHPSGD,D,19941028,000000,5.9142,5.9142,5.9142,5.9142,0,0
PHPSGD,D,19941102,000000,5.9261,5.9261,5.9261,5.9261,0,0
PHPSGD,D,19941103,000000,5.938,5.938,5.938,5.938,0,0
PHPSGD,D,19941104,000000,5.9623,5.9623,5.9623,5.9623,0,0
PHPSGD,D,19941107,000000,6.0617,6.0617,6.0617,6.0617,0,0
PHPSGD,D,19941108,000000,6.06,6.06,6.06,6.06,0,0
PHPSGD,D,19941109,000000,6.2277,6.2277,6.2277,6.2277,0,0
PHPSGD,D,19941110,000000,6.1491,6.1491,6.1491,6.1491,0,0
PHPSGD,D,19941114,000000,6.0793,6.0793,6.0793,6.0793,0,0
PHPSGD,D,19941115,000000,6.0795,6.0795,6.0795,6.0795,0,0
PHPSGD,D,19941116,000000,6.0804,6.0804,6.0804,6.0804,0,0
PHPSGD,D,19941117,000000,6.0487,6.0487,6.0487,6.0487,0,0
PHPSGD,D,19941118,000000,6.0289,6.0289,6.0289,6.0289,0,0
PHPSGD,D,19941121,000000,6.0282,6.0282,6.0282,6.0282,0,0
PHPSGD,D,19941122,000000,6.1358,6.1358,6.1358,6.1358,0,0
PHPSGD,D,19941123,000000,6.1695,6.1695,6.1695,6.1695,0,0
PHPSGD,D,19941124,000000,6.2033,6.2033,6.2033,6.2033,0,0
PHPSGD,D,19941125,000000,6.2001,6.2001,6.2001,6.2001,0,0
PHPSGD,D,19941128,000000,6.1192,6.1192,6.1192,6.1192,0,0
PHPSGD,D,19941129,000000,6.1174,6.1174,6.1174,6.1174,0,0
PHPSGD,D,19941130,000000,6.1189,6.1189,6.1189,6.1189,0,0
PHPSGD,D,19941201,000000,6.0858,6.0858,6.0858,6.0858,0,0
PHPSGD,D,19941202,000000,6.0851,6.0851,6.0851,6.0851,0,0
PHPSGD,D,19941205,000000,6.1235,6.1235,6.1235,6.1235,0,0
PHPSGD,D,19941206,000000,6.1466,6.1466,6.1466,6.1466,0,0
PHPSGD,D,19941207,000000,6.1185,6.1185,6.1185,6.1185,0,0
PHPSGD,D,19941208,000000,6.1188,6.1188,6.1188,6.1188,0,0
PHPSGD,D,19941209,000000,6.1368,6.1368,6.1368,6.1368,0,0
PHPSGD,D,19941212,000000,6.1072,6.1072,6.1072,6.1072,0,0
PHPSGD,D,19941213,000000,6.0987,6.0987,6.0987,6.0987,0,0
PHPSGD,D,19941214,000000,6.0982,6.0982,6.0982,6.0982,0,0
PHPSGD,D,19941215,000000,6.1104,6.1104,6.1104,6.1104,0,0
PHPSGD,D,19941216,000000,6.0745,6.0745,6.0745,6.0745,0,0
PHPSGD,D,19941219,000000,6.1161,6.1161,6.1161,6.1161,0,0
PHPSGD,D,19941220,000000,6.0694,6.0694,6.0694,6.0694,0,0
PHPSGD,D,19941221,000000,6.0698,6.0698,6.0698,6.0698,0,0
PHPSGD,D,19941222,000000,6.07,6.07,6.07,6.07,0,0
PHPSGD,D,19941223,000000,6.0693,6.0693,6.0693,6.0693,0,0
PHPSGD,D,19941227,000000,6.0708,6.0708,6.0708,6.0708,0,0
PHPSGD,D,19941228,000000,5.9723,5.9723,5.9723,5.9723,0,0
PHPSGD,D,19941229,000000,6.0311,6.0311,6.0311,6.0311,0,0
PHPSGD,D,19941230,000000,6.0318,6.0318,6.0318,6.0318,0,0
PHPSGD,D,19950101,000000,6.032,6.032,6.032,6.032,0,0
PHPSGD,D,19950103,000000,5.8943,5.8943,5.8943,5.8943,0,0
PHPSGD,D,19950104,000000,5.9131,5.9131,5.9131,5.9131,0,0
PHPSGD,D,19950105,000000,5.9217,5.9217,5.9217,5.9217,0,0
