<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPTWD,D,19931025,000000,0.9277,0.9277,0.9277,0.9277,0,0
PHPTWD,D,19931026,000000,0.9273,0.9273,0.9273,0.9273,0,0
PHPTWD,D,19931027,000000,0.928,0.928,0.928,0.928,0,0
PHPTWD,D,19931028,000000,0.9269,0.9269,0.9269,0.9269,0,0
PHPTWD,D,19931029,000000,0.9391,0.9391,0.9391,0.9391,0,0
PHPTWD,D,19931102,000000,0.9381,0.9381,0.9381,0.9381,0,0
PHPTWD,D,19931103,000000,0.9391,0.9391,0.9391,0.9391,0,0
PHPTWD,D,19931104,000000,0.9422,0.9422,0.9422,0.9422,0,0
PHPTWD,D,19931105,000000,0.95,0.95,0.95,0.95,0,0
PHPTWD,D,19931108,000000,0.9669,0.9669,0.9669,0.9669,0,0
PHPTWD,D,19931109,000000,0.9665,0.9665,0.9665,0.9665,0,0
PHPTWD,D,19931110,000000,0.9661,0.9661,0.9661,0.9661,0,0
PHPTWD,D,19931112,000000,0.9653,0.9653,0.9653,0.9653,0,0
PHPTWD,D,19931115,000000,0.9564,0.9564,0.9564,0.9564,0,0
PHPTWD,D,19931116,000000,0.9528,0.9528,0.9528,0.9528,0,0
PHPTWD,D,19931117,000000,0.9472,0.9472,0.9472,0.9472,0,0
PHPTWD,D,19931118,000000,0.9462,0.9462,0.9462,0.9462,0,0
PHPTWD,D,19931119,000000,0.9465,0.9465,0.9465,0.9465,0,0
PHPTWD,D,19931122,000000,0.9479,0.9479,0.9479,0.9479,0,0
PHPTWD,D,19931123,000000,0.9466,0.9466,0.9466,0.9466,0,0
PHPTWD,D,19931124,000000,0.9519,0.9519,0.9519,0.9519,0,0
PHPTWD,D,19931125,000000,0.9579,0.9579,0.9579,0.9579,0,0
PHPTWD,D,19931126,000000,0.9578,0.9578,0.9578,0.9578,0,0
PHPTWD,D,19931129,000000,0.9692,0.9692,0.9692,0.9692,0,0
PHPTWD,D,19931130,000000,0.9688,0.9688,0.9688,0.9688,0,0
PHPTWD,D,19931201,000000,0.9687,0.9687,0.9687,0.9687,0,0
PHPTWD,D,19931202,000000,0.9749,0.9749,0.9749,0.9749,0,0
PHPTWD,D,19931203,000000,0.975,0.975,0.975,0.975,0,0
PHPTWD,D,19931206,000000,0.9735,0.9735,0.9735,0.9735,0,0
PHPTWD,D,19931207,000000,0.9737,0.9737,0.9737,0.9737,0,0
PHPTWD,D,19931208,000000,0.9767,0.9767,0.9767,0.9767,0,0
PHPTWD,D,19931209,000000,0.9767,0.9767,0.9767,0.9767,0,0
PHPTWD,D,19931210,000000,0.9726,0.9726,0.9726,0.9726,0,0
PHPTWD,D,19931213,000000,0.9727,0.9727,0.9727,0.9727,0,0
PHPTWD,D,19931214,000000,0.9677,0.9677,0.9677,0.9677,0,0
PHPTWD,D,19931215,000000,0.9659,0.9659,0.9659,0.9659,0,0
PHPTWD,D,19931216,000000,0.9644,0.9644,0.9644,0.9644,0,0
PHPTWD,D,19931217,000000,0.9613,0.9613,0.9613,0.9613,0,0
