<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHPXPT,D,19931025,000000,0.9307,0.9307,0.9307,0.9307,0,0
PHPXPT,D,19931026,000000,0.9345,0.9345,0.9345,0.9345,0,0
PHPXPT,D,19931027,000000,0.9293,0.9293,0.9293,0.9293,0,0
PHPXPT,D,19931028,000000,0.9353,0.9353,0.9353,0.9353,0,0
PHPXPT,D,19931029,000000,0.9497,0.9497,0.9497,0.9497,0,0
PHPXPT,D,19931102,000000,0.9587,0.9587,0.9587,0.9587,0,0
PHPXPT,D,19931103,000000,0.9468,0.9468,0.9468,0.9468,0,0
PHPXPT,D,19931104,000000,0.946,0.946,0.946,0.946,0,0
PHPXPT,D,19931105,000000,0.9423,0.9423,0.9423,0.9423,0,0
PHPXPT,D,19931108,000000,0.9641,0.9641,0.9641,0.9641,0,0
PHPXPT,D,19931109,000000,0.9606,0.9606,0.9606,0.9606,0,0
PHPXPT,D,19931110,000000,0.96,0.96,0.96,0.96,0,0
PHPXPT,D,19931112,000000,0.9651,0.9651,0.9651,0.9651,0,0
PHPXPT,D,19931115,000000,0.9495,0.9495,0.9495,0.9495,0,0
PHPXPT,D,19931116,000000,0.9487,0.9487,0.9487,0.9487,0,0
PHPXPT,D,19931117,000000,0.9428,0.9428,0.9428,0.9428,0,0
PHPXPT,D,19931118,000000,0.9427,0.9427,0.9427,0.9427,0,0
PHPXPT,D,19931119,000000,0.939,0.939,0.939,0.939,0,0
PHPXPT,D,19931122,000000,0.9368,0.9368,0.9368,0.9368,0,0
PHPXPT,D,19931123,000000,0.9538,0.9538,0.9538,0.9538,0,0
PHPXPT,D,19931124,000000,0.9547,0.9547,0.9547,0.9547,0,0
PHPXPT,D,19931125,000000,0.9598,0.9598,0.9598,0.9598,0,0
PHPXPT,D,19931126,000000,0.9597,0.9597,0.9597,0.9597,0,0
PHPXPT,D,19931129,000000,0.9951,0.9951,0.9951,0.9951,0,0
PHPXPT,D,19931130,000000,0.9914,0.9914,0.9914,0.9914,0,0
PHPXPT,D,19931201,000000,0.9722,0.9722,0.9722,0.9722,0,0
PHPXPT,D,19931202,000000,0.9776,0.9776,0.9776,0.9776,0,0
PHPXPT,D,19931203,000000,0.9795,0.9795,0.9795,0.9795,0,0
PHPXPT,D,19931206,000000,0.9719,0.9719,0.9719,0.9719,0,0
PHPXPT,D,19931207,000000,0.9703,0.9703,0.9703,0.9703,0,0
PHPXPT,D,19931208,000000,0.9602,0.9602,0.9602,0.9602,0,0
PHPXPT,D,19931209,000000,0.9656,0.9656,0.9656,0.9656,0,0
PHPXPT,D,19931210,000000,0.961,0.961,0.961,0.961,0,0
PHPXPT,D,19931213,000000,0.9421,0.9421,0.9421,0.9421,0,0
PHPXPT,D,19931214,000000,0.9387,0.9387,0.9387,0.9387,0,0
PHPXPT,D,19931215,000000,0.9399,0.9399,0.9399,0.9399,0,0
PHPXPT,D,19931216,000000,0.9367,0.9367,0.9367,0.9367,0,0
PHPXPT,D,19931217,000000,0.9377,0.9377,0.9377,0.9377,0,0
