<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNISK,D,19951023,000000,26.352,26.352,26.352,26.352,0,0
PLNISK,D,19951024,000000,26.325,26.325,26.325,26.325,0,0
PLNISK,D,19951025,000000,26.278,26.278,26.278,26.278,0,0
PLNISK,D,19951026,000000,26.258,26.258,26.258,26.258,0,0
PLNISK,D,19951027,000000,26.33,26.33,26.33,26.33,0,0
PLNISK,D,19951030,000000,26.331,26.331,26.331,26.331,0,0
PLNISK,D,19951031,000000,26.279,26.279,26.279,26.279,0,0
PLNISK,D,19951102,000000,26.29,26.29,26.29,26.29,0,0
PLNISK,D,19951103,000000,26.304,26.304,26.304,26.304,0,0
PLNISK,D,19951106,000000,26.261,26.261,26.261,26.261,0,0
PLNISK,D,19951107,000000,26.226,26.226,26.226,26.226,0,0
PLNISK,D,19951108,000000,26.212,26.212,26.212,26.212,0,0
PLNISK,D,19951109,000000,26.176,26.176,26.176,26.176,0,0
PLNISK,D,19951110,000000,26.128,26.128,26.128,26.128,0,0
PLNISK,D,19951113,000000,26.133,26.133,26.133,26.133,0,0
PLNISK,D,19951114,000000,26.148,26.148,26.148,26.148,0,0
PLNISK,D,19951115,000000,26.124,26.124,26.124,26.124,0,0
PLNISK,D,19951116,000000,26.135,26.135,26.135,26.135,0,0
PLNISK,D,19951117,000000,26.14,26.14,26.14,26.14,0,0
PLNISK,D,19951120,000000,26.105,26.105,26.105,26.105,0,0
PLNISK,D,19951121,000000,26.065,26.065,26.065,26.065,0,0
PLNISK,D,19951122,000000,26.052,26.052,26.052,26.052,0,0
PLNISK,D,19951123,000000,26.011,26.011,26.011,26.011,0,0
PLNISK,D,19951124,000000,25.999,25.999,25.999,25.999,0,0
PLNISK,D,19951127,000000,25.95,25.95,25.95,25.95,0,0
PLNISK,D,19951128,000000,26.041,26.041,26.041,26.041,0,0
PLNISK,D,19951129,000000,26.015,26.015,26.015,26.015,0,0
PLNISK,D,19951130,000000,25.967,25.967,25.967,25.967,0,0
PLNISK,D,19951201,000000,25.959,25.959,25.959,25.959,0,0
PLNISK,D,19951204,000000,26.072,26.072,26.072,26.072,0,0
PLNISK,D,19951205,000000,25.933,25.933,25.933,25.933,0,0
PLNISK,D,19951206,000000,25.898,25.898,25.898,25.898,0,0
PLNISK,D,19951207,000000,25.946,25.946,25.946,25.946,0,0
PLNISK,D,19951208,000000,25.894,25.894,25.894,25.894,0,0
PLNISK,D,19951211,000000,25.928,25.928,25.928,25.928,0,0
PLNISK,D,19951212,000000,25.912,25.912,25.912,25.912,0,0
PLNISK,D,19951213,000000,25.897,25.897,25.897,25.897,0,0
PLNISK,D,19951214,000000,25.891,25.891,25.891,25.891,0,0
PLNISK,D,19951215,000000,25.868,25.868,25.868,25.868,0,0
PLNISK,D,19951218,000000,25.864,25.864,25.864,25.864,0,0
PLNISK,D,19951219,000000,25.877,25.877,25.877,25.877,0,0
PLNISK,D,19951220,000000,25.78,25.78,25.78,25.78,0,0
PLNISK,D,19951221,000000,25.765,25.765,25.765,25.765,0,0
PLNISK,D,19951222,000000,26.4,26.4,26.4,26.4,0,0
PLNISK,D,19951227,000000,26.414,26.414,26.414,26.414,0,0
PLNISK,D,19951228,000000,26.42,26.42,26.42,26.42,0,0
PLNISK,D,19951229,000000,26.43,26.43,26.43,26.43,0,0
PLNISK,D,19960102,000000,26.415,26.415,26.415,26.415,0,0
PLNISK,D,19960103,000000,26.356,26.356,26.356,26.356,0,0
PLNISK,D,19960104,000000,26.234,26.234,26.234,26.234,0,0
PLNISK,D,19960105,000000,26.376,26.376,26.376,26.376,0,0
PLNISK,D,19960108,000000,26.359,26.359,26.359,26.359,0,0
PLNISK,D,19960109,000000,26.351,26.351,26.351,26.351,0,0
PLNISK,D,19960110,000000,26.323,26.323,26.323,26.323,0,0
PLNISK,D,19960111,000000,26.339,26.339,26.339,26.339,0,0
PLNISK,D,19960112,000000,26.266,26.266,26.266,26.266,0,0
PLNISK,D,19960115,000000,26.274,26.274,26.274,26.274,0,0
PLNISK,D,19960116,000000,26.307,26.307,26.307,26.307,0,0
PLNISK,D,19960117,000000,26.239,26.239,26.239,26.239,0,0
PLNISK,D,19960118,000000,26.283,26.283,26.283,26.283,0,0
PLNISK,D,19960119,000000,26.318,26.318,26.318,26.318,0,0
PLNISK,D,19960122,000000,26.3,26.3,26.3,26.3,0,0
PLNISK,D,19960123,000000,26.383,26.383,26.383,26.383,0,0
PLNISK,D,19960124,000000,26.309,26.309,26.309,26.309,0,0
PLNISK,D,19960125,000000,26.288,26.288,26.288,26.288,0,0
PLNISK,D,19960126,000000,26.317,26.317,26.317,26.317,0,0
PLNISK,D,19960129,000000,26.312,26.312,26.312,26.312,0,0
PLNISK,D,19960130,000000,26.279,26.279,26.279,26.279,0,0
PLNISK,D,19960131,000000,26.296,26.296,26.296,26.296,0,0
PLNISK,D,19960201,000000,26.294,26.294,26.294,26.294,0,0
PLNISK,D,19960202,000000,26.242,26.242,26.242,26.242,0,0
PLNISK,D,19960205,000000,26.207,26.207,26.207,26.207,0,0
PLNISK,D,19960206,000000,26.153,26.153,26.153,26.153,0,0
PLNISK,D,19960207,000000,26.157,26.157,26.157,26.157,0,0
PLNISK,D,19960208,000000,26.191,26.191,26.191,26.191,0,0
PLNISK,D,19960209,000000,26.2,26.2,26.2,26.2,0,0
PLNISK,D,19960212,000000,26.131,26.131,26.131,26.131,0,0
PLNISK,D,19960213,000000,26.126,26.126,26.126,26.126,0,0
PLNISK,D,19960214,000000,26.132,26.132,26.132,26.132,0,0
PLNISK,D,19960215,000000,26.088,26.088,26.088,26.088,0,0
PLNISK,D,19960216,000000,26.095,26.095,26.095,26.095,0,0
PLNISK,D,19960219,000000,26.28,26.28,26.28,26.28,0,0
