<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNMXN,D,19900108,000000,2.8345,2.8345,2.8345,2.8345,0,0
PLNMXN,D,19900115,000000,2.8432,2.8432,2.8432,2.8432,0,0
PLNMXN,D,19900122,000000,2.8391,2.8391,2.8391,2.8391,0,0
PLNMXN,D,19900129,000000,2.8601,2.8601,2.8601,2.8601,0,0
PLNMXN,D,19900205,000000,2.8642,2.8642,2.8642,2.8642,0,0
PLNMXN,D,19900212,000000,2.8685,2.8685,2.8685,2.8685,0,0
PLNMXN,D,19900219,000000,2.8685,2.8685,2.8685,2.8685,0,0
PLNMXN,D,19900226,000000,2.8884,2.8884,2.8884,2.8884,0,0
PLNMXN,D,19900305,000000,2.8969,2.8969,2.8969,2.8969,0,0
PLNMXN,D,19900312,000000,2.9008,2.9008,2.9008,2.9008,0,0
PLNMXN,D,19900319,000000,2.911,2.911,2.911,2.911,0,0
PLNMXN,D,19900326,000000,2.9174,2.9174,2.9174,2.9174,0,0
PLNMXN,D,19900402,000000,2.9195,2.9195,2.9195,2.9195,0,0
PLNMXN,D,19900409,000000,2.9337,2.9337,2.9337,2.9337,0,0
PLNMXN,D,19900417,000000,2.94,2.94,2.94,2.94,0,0
PLNMXN,D,19900423,000000,2.9473,2.9473,2.9473,2.9473,0,0
PLNMXN,D,19900430,000000,2.9542,2.9542,2.9542,2.9542,0,0
PLNMXN,D,19900507,000000,2.9622,2.9622,2.9622,2.9622,0,0
PLNMXN,D,19900514,000000,2.9684,2.9684,2.9684,2.9684,0,0
PLNMXN,D,19900521,000000,2.9779,2.9779,2.9779,2.9779,0,0
PLNMXN,D,19900528,000000,2.9751,2.9751,2.9751,2.9751,0,0
PLNMXN,D,19900604,000000,2.9842,2.9842,2.9842,2.9842,0,0
PLNMXN,D,19900611,000000,2.9895,2.9895,2.9895,2.9895,0,0
PLNMXN,D,19900618,000000,2.9958,2.9958,2.9958,2.9958,0,0
