<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNNZD,D,19840109,000000,155.76,155.76,155.76,155.76,0,0
PLNNZD,D,19840116,000000,155.52,155.52,155.52,155.52,0,0
PLNNZD,D,19840123,000000,155.76,155.76,155.76,155.76,0,0
PLNNZD,D,19840130,000000,155.52,155.52,155.52,155.52,0,0
PLNNZD,D,19840206,000000,154.32,154.32,154.32,154.32,0,0
PLNNZD,D,19840213,000000,154.32,154.32,154.32,154.32,0,0
PLNNZD,D,19840220,000000,156.01,156.01,156.01,156.01,0,0
PLNNZD,D,19840301,000000,136.8,136.8,136.8,136.8,0,0
PLNNZD,D,19840305,000000,138.5,138.5,138.5,138.5,0,0
PLNNZD,D,19840312,000000,138.7,138.7,138.7,138.7,0,0
PLNNZD,D,19840319,000000,138.89,138.89,138.89,138.89,0,0
PLNNZD,D,19840326,000000,137.74,137.74,137.74,137.74,0,0
PLNNZD,D,19840402,000000,138.12,138.12,138.12,138.12,0,0
PLNNZD,D,19840409,000000,139.28,139.28,139.28,139.28,0,0
PLNNZD,D,19840416,000000,139.47,139.47,139.47,139.47,0,0
PLNNZD,D,19840424,000000,138.5,138.5,138.5,138.5,0,0
PLNNZD,D,19840502,000000,138.7,138.7,138.7,138.7,0,0
PLNNZD,D,19840507,000000,138.5,138.5,138.5,138.5,0,0
PLNNZD,D,19840514,000000,139.28,139.28,139.28,139.28,0,0
PLNNZD,D,19840521,000000,139.28,139.28,139.28,139.28,0,0
PLNNZD,D,19840528,000000,139.28,139.28,139.28,139.28,0,0
PLNNZD,D,19840604,000000,138.31,138.31,138.31,138.31,0,0
PLNNZD,D,19840611,000000,140.45,140.45,140.45,140.45,0,0
PLNNZD,D,19840618,000000,140.45,140.45,140.45,140.45,0,0
PLNNZD,D,19840625,000000,142.65,142.65,142.65,142.65,0,0
PLNNZD,D,19840702,000000,141.24,141.24,141.24,141.24,0,0
PLNNZD,D,19840709,000000,144.09,144.09,144.09,144.09,0,0
PLNNZD,D,19840716,000000,144.09,144.09,144.09,144.09,0,0
PLNNZD,D,19840723,000000,179.21,179.21,179.21,179.21,0,0
PLNNZD,D,19840730,000000,178.89,178.89,178.89,178.89,0,0
PLNNZD,D,19840806,000000,177.31,177.31,177.31,177.31,0,0
PLNNZD,D,19840813,000000,177.94,177.94,177.94,177.94,0,0
PLNNZD,D,19840820,000000,176.68,176.68,176.68,176.68,0,0
PLNNZD,D,19840827,000000,176.68,176.68,176.68,176.68,0,0
PLNNZD,D,19840901,000000,162.34,162.34,162.34,162.34,0,0
PLNNZD,D,19840910,000000,164.2,164.2,164.2,164.2,0,0
PLNNZD,D,19840917,000000,164.2,164.2,164.2,164.2,0,0
PLNNZD,D,19840924,000000,162.08,162.08,162.08,162.08,0,0
PLNNZD,D,19841001,000000,162.87,162.87,162.87,162.87,0,0
PLNNZD,D,19841008,000000,164.2,164.2,164.2,164.2,0,0
PLNNZD,D,19841015,000000,164.47,164.47,164.47,164.47,0,0
PLNNZD,D,19841022,000000,162.87,162.87,162.87,162.87,0,0
PLNNZD,D,19841029,000000,163.4,163.4,163.4,163.4,0,0
PLNNZD,D,19841105,000000,160.26,160.26,160.26,160.26,0,0
PLNNZD,D,19841112,000000,162.87,162.87,162.87,162.87,0,0
PLNNZD,D,19841119,000000,163.4,163.4,163.4,163.4,0,0
PLNNZD,D,19841126,000000,164.2,164.2,164.2,164.2,0,0
PLNNZD,D,19841201,000000,162.87,162.87,162.87,162.87,0,0
PLNNZD,D,19841210,000000,163.67,163.67,163.67,163.67,0,0
PLNNZD,D,19841217,000000,164.2,164.2,164.2,164.2,0,0
PLNNZD,D,19841224,000000,165.29,165.29,165.29,165.29,0,0
PLNNZD,D,19850101,000000,151.06,151.06,151.06,151.06,0,0
PLNNZD,D,19850107,000000,153.14,153.14,153.14,153.14,0,0
PLNNZD,D,19850114,000000,154.56,154.56,154.56,154.56,0,0
PLNNZD,D,19850121,000000,153.37,153.37,153.37,153.37,0,0
PLNNZD,D,19850128,000000,153.61,153.61,153.61,153.61,0,0
PLNNZD,D,19850204,000000,155.04,155.04,155.04,155.04,0,0
PLNNZD,D,19850211,000000,156.74,156.74,156.74,156.74,0,0
PLNNZD,D,19850218,000000,155.52,155.52,155.52,155.52,0,0
PLNNZD,D,19850225,000000,161.03,161.03,161.03,161.03,0,0
PLNNZD,D,19850304,000000,163.67,163.67,163.67,163.67,0,0
PLNNZD,D,19850311,000000,147.71,147.71,147.71,147.71,0,0
