<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNUSD,D,19840102,000000,101.89,101.89,101.89,101.89,0,0
PLNUSD,D,19840109,000000,101.47,101.47,101.47,101.47,0,0
PLNUSD,D,19840116,000000,100.66,100.66,100.66,100.66,0,0
PLNUSD,D,19840123,000000,101.42,101.42,101.42,101.42,0,0
PLNUSD,D,19840130,000000,100.83,100.83,100.83,100.83,0,0
PLNUSD,D,19840206,000000,100.99,100.99,100.99,100.99,0,0
PLNUSD,D,19840213,000000,101.5,101.5,101.5,101.5,0,0
PLNUSD,D,19840220,000000,101.75,101.75,101.75,101.75,0,0
PLNUSD,D,19840301,000000,90.909,90.909,90.909,90.909,0,0
PLNUSD,D,19840305,000000,91.743,91.743,91.743,91.743,0,0
PLNUSD,D,19840312,000000,92.268,92.268,92.268,92.268,0,0
PLNUSD,D,19840319,000000,92.285,92.285,92.285,92.285,0,0
PLNUSD,D,19840326,000000,91.424,91.424,91.424,91.424,0,0
PLNUSD,D,19840402,000000,91.836,91.836,91.836,91.836,0,0
PLNUSD,D,19840409,000000,91.458,91.458,91.458,91.458,0,0
PLNUSD,D,19840416,000000,91.333,91.333,91.333,91.333,0,0
PLNUSD,D,19840424,000000,91.216,91.216,91.216,91.216,0,0
PLNUSD,D,19840502,000000,90.711,90.711,90.711,90.711,0,0
PLNUSD,D,19840507,000000,90.188,90.188,90.188,90.188,0,0
PLNUSD,D,19840514,000000,89.734,89.734,89.734,89.734,0,0
PLNUSD,D,19840521,000000,89.944,89.944,89.944,89.944,0,0
PLNUSD,D,19840528,000000,90.066,90.066,90.066,90.066,0,0
PLNUSD,D,19840604,000000,90.123,90.123,90.123,90.123,0,0
PLNUSD,D,19840611,000000,90.86,90.86,90.86,90.86,0,0
PLNUSD,D,19840618,000000,90.31,90.31,90.31,90.31,0,0
PLNUSD,D,19840625,000000,89.92,89.92,89.92,89.92,0,0
PLNUSD,D,19840702,000000,89.63,89.63,89.63,89.63,0,0
PLNUSD,D,19840709,000000,89.254,89.254,89.254,89.254,0,0
PLNUSD,D,19840716,000000,88.96,88.96,88.96,88.96,0,0
PLNUSD,D,19840723,000000,88.857,88.857,88.857,88.857,0,0
PLNUSD,D,19840730,000000,88.464,88.464,88.464,88.464,0,0
PLNUSD,D,19840806,000000,88.254,88.254,88.254,88.254,0,0
PLNUSD,D,19840813,000000,88.238,88.238,88.238,88.238,0,0
PLNUSD,D,19840820,000000,88.308,88.308,88.308,88.308,0,0
PLNUSD,D,19840827,000000,88.417,88.417,88.417,88.417,0,0
PLNUSD,D,19840901,000000,81.301,81.301,81.301,81.301,0,0
PLNUSD,D,19840910,000000,80.854,80.854,80.854,80.854,0,0
PLNUSD,D,19840917,000000,80.128,80.128,80.128,80.128,0,0
PLNUSD,D,19840924,000000,79.334,79.334,79.334,79.334,0,0
PLNUSD,D,19841001,000000,79.593,79.593,79.593,79.593,0,0
PLNUSD,D,19841008,000000,79.745,79.745,79.745,79.745,0,0
PLNUSD,D,19841015,000000,79.479,79.479,79.479,79.479,0,0
PLNUSD,D,19841022,000000,78.864,78.864,78.864,78.864,0,0
PLNUSD,D,19841029,000000,79.491,79.491,79.491,79.491,0,0
PLNUSD,D,19841105,000000,79.561,79.561,79.561,79.561,0,0
PLNUSD,D,19841112,000000,80.749,80.749,80.749,80.749,0,0
PLNUSD,D,19841119,000000,80.802,80.802,80.802,80.802,0,0
PLNUSD,D,19841126,000000,80.231,80.231,80.231,80.231,0,0
