<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONCAD,D,19951023,000000,6.1497,6.1497,6.1497,6.1497,0,0
RONCAD,D,19951024,000000,6.2003,6.2003,6.2003,6.2003,0,0
RONCAD,D,19951025,000000,6.1185,6.1185,6.1185,6.1185,0,0
RONCAD,D,19951026,000000,6.1164,6.1164,6.1164,6.1164,0,0
RONCAD,D,19951027,000000,6.1405,6.1405,6.1405,6.1405,0,0
RONCAD,D,19951030,000000,6.0892,6.0892,6.0892,6.0892,0,0
RONCAD,D,19951031,000000,5.9754,5.9754,5.9754,5.9754,0,0
RONCAD,D,19951102,000000,5.9405,5.9405,5.9405,5.9405,0,0
RONCAD,D,19951103,000000,5.8468,5.8468,5.8468,5.8468,0,0
RONCAD,D,19951106,000000,5.8635,5.8635,5.8635,5.8635,0,0
RONCAD,D,19951107,000000,5.7771,5.7771,5.7771,5.7771,0,0
RONCAD,D,19951108,000000,5.8261,5.8261,5.8261,5.8261,0,0
RONCAD,D,19951109,000000,5.7709,5.7709,5.7709,5.7709,0,0
RONCAD,D,19951110,000000,5.6986,5.6986,5.6986,5.6986,0,0
RONCAD,D,19951113,000000,5.6884,5.6884,5.6884,5.6884,0,0
RONCAD,D,19951114,000000,5.6959,5.6959,5.6959,5.6959,0,0
RONCAD,D,19951115,000000,5.7028,5.7028,5.7028,5.7028,0,0
RONCAD,D,19951116,000000,5.5136,5.5136,5.5136,5.5136,0,0
RONCAD,D,19951117,000000,5.3188,5.3188,5.3188,5.3188,0,0
RONCAD,D,19951120,000000,5.2987,5.2987,5.2987,5.2987,0,0
RONCAD,D,19951121,000000,5.298,5.298,5.298,5.298,0,0
RONCAD,D,19951122,000000,5.3092,5.3092,5.3092,5.3092,0,0
RONCAD,D,19951123,000000,5.3071,5.3071,5.3071,5.3071,0,0
RONCAD,D,19951124,000000,5.3103,5.3103,5.3103,5.3103,0,0
RONCAD,D,19951127,000000,5.3188,5.3188,5.3188,5.3188,0,0
RONCAD,D,19951128,000000,5.2538,5.2538,5.2538,5.2538,0,0
RONCAD,D,19951129,000000,5.3371,5.3371,5.3371,5.3371,0,0
RONCAD,D,19951130,000000,5.3424,5.3424,5.3424,5.3424,0,0
RONCAD,D,19951201,000000,5.3629,5.3629,5.3629,5.3629,0,0
RONCAD,D,19951204,000000,5.295,5.295,5.295,5.295,0,0
RONCAD,D,19951205,000000,5.2708,5.2708,5.2708,5.2708,0,0
RONCAD,D,19951206,000000,5.3116,5.3116,5.3116,5.3116,0,0
RONCAD,D,19951207,000000,5.2292,5.2292,5.2292,5.2292,0,0
RONCAD,D,19951208,000000,5.2583,5.2583,5.2583,5.2583,0,0
RONCAD,D,19951211,000000,5.2841,5.2841,5.2841,5.2841,0,0
RONCAD,D,19951212,000000,5.3306,5.3306,5.3306,5.3306,0,0
RONCAD,D,19951213,000000,5.2865,5.2865,5.2865,5.2865,0,0
RONCAD,D,19951214,000000,5.304,5.304,5.304,5.304,0,0
RONCAD,D,19951215,000000,5.27,5.27,5.27,5.27,0,0
RONCAD,D,19951218,000000,5.2585,5.2585,5.2585,5.2585,0,0
RONCAD,D,19951219,000000,5.2828,5.2828,5.2828,5.2828,0,0
RONCAD,D,19951220,000000,5.2536,5.2536,5.2536,5.2536,0,0
RONCAD,D,19951221,000000,5.2295,5.2295,5.2295,5.2295,0,0
RONCAD,D,19951222,000000,5.2284,5.2284,5.2284,5.2284,0,0
RONCAD,D,19951227,000000,5.2101,5.2101,5.2101,5.2101,0,0
RONCAD,D,19951228,000000,5.2061,5.2061,5.2061,5.2061,0,0
RONCAD,D,19951229,000000,5.1839,5.1839,5.1839,5.1839,0,0
RONCAD,D,19960102,000000,5.1793,5.1793,5.1793,5.1793,0,0
RONCAD,D,19960103,000000,5.1558,5.1558,5.1558,5.1558,0,0
RONCAD,D,19960104,000000,5.1512,5.1512,5.1512,5.1512,0,0
RONCAD,D,19960105,000000,5.1624,5.1624,5.1624,5.1624,0,0
RONCAD,D,19960108,000000,5.1813,5.1813,5.1813,5.1813,0,0
RONCAD,D,19960109,000000,5.172,5.172,5.172,5.172,0,0
RONCAD,D,19960110,000000,5.1221,5.1221,5.1221,5.1221,0,0
RONCAD,D,19960111,000000,5.2137,5.2137,5.2137,5.2137,0,0
RONCAD,D,19960112,000000,5.1534,5.1534,5.1534,5.1534,0,0
RONCAD,D,19960115,000000,5.0991,5.0991,5.0991,5.0991,0,0
RONCAD,D,19960116,000000,5.0827,5.0827,5.0827,5.0827,0,0
RONCAD,D,19960117,000000,5.1427,5.1427,5.1427,5.1427,0,0
RONCAD,D,19960118,000000,5.0734,5.0734,5.0734,5.0734,0,0
RONCAD,D,19960119,000000,5.0755,5.0755,5.0755,5.0755,0,0
RONCAD,D,19960122,000000,5.1048,5.1048,5.1048,5.1048,0,0
RONCAD,D,19960123,000000,5.1955,5.1955,5.1955,5.1955,0,0
RONCAD,D,19960124,000000,4.9755,4.9755,4.9755,4.9755,0,0
RONCAD,D,19960125,000000,4.8733,4.8733,4.8733,4.8733,0,0
RONCAD,D,19960126,000000,4.8806,4.8806,4.8806,4.8806,0,0
RONCAD,D,19960129,000000,4.8652,4.8652,4.8652,4.8652,0,0
RONCAD,D,19960130,000000,4.9582,4.9582,4.9582,4.9582,0,0
RONCAD,D,19960131,000000,5.0135,5.0135,5.0135,5.0135,0,0
RONCAD,D,19960201,000000,4.9747,4.9747,4.9747,4.9747,0,0
RONCAD,D,19960202,000000,4.972,4.972,4.972,4.972,0,0
RONCAD,D,19960205,000000,4.9601,4.9601,4.9601,4.9601,0,0
RONCAD,D,19960206,000000,4.9565,4.9565,4.9565,4.9565,0,0
RONCAD,D,19960207,000000,4.9325,4.9325,4.9325,4.9325,0,0
RONCAD,D,19960208,000000,4.9226,4.9226,4.9226,4.9226,0,0
RONCAD,D,19960209,000000,4.8456,4.8456,4.8456,4.8456,0,0
RONCAD,D,19960212,000000,4.8817,4.8817,4.8817,4.8817,0,0
RONCAD,D,19960213,000000,4.7806,4.7806,4.7806,4.7806,0,0
RONCAD,D,19960214,000000,4.7778,4.7778,4.7778,4.7778,0,0
RONCAD,D,19960215,000000,4.7556,4.7556,4.7556,4.7556,0,0
RONCAD,D,19960216,000000,4.7598,4.7598,4.7598,4.7598,0,0
RONCAD,D,19960219,000000,4.7154,4.7154,4.7154,4.7154,0,0
RONCAD,D,19960220,000000,4.7294,4.7294,4.7294,4.7294,0,0
RONCAD,D,19960221,000000,4.7568,4.7568,4.7568,4.7568,0,0
RONCAD,D,19960222,000000,4.747,4.747,4.747,4.747,0,0
RONCAD,D,19960223,000000,4.7776,4.7776,4.7776,4.7776,0,0
RONCAD,D,19960226,000000,4.7857,4.7857,4.7857,4.7857,0,0
RONCAD,D,19960227,000000,4.7694,4.7694,4.7694,4.7694,0,0
RONCAD,D,19960228,000000,4.6911,4.6911,4.6911,4.6911,0,0
RONCAD,D,19960229,000000,4.7977,4.7977,4.7977,4.7977,0,0
RONCAD,D,19960301,000000,4.6629,4.6629,4.6629,4.6629,0,0
RONCAD,D,19960304,000000,4.7275,4.7275,4.7275,4.7275,0,0
RONCAD,D,19960305,000000,4.6157,4.6157,4.6157,4.6157,0,0
RONCAD,D,19960306,000000,4.7178,4.7178,4.7178,4.7178,0,0
RONCAD,D,19960307,000000,4.7019,4.7019,4.7019,4.7019,0,0
RONCAD,D,19960308,000000,4.5893,4.5893,4.5893,4.5893,0,0
RONCAD,D,19960311,000000,4.6371,4.6371,4.6371,4.6371,0,0
RONCAD,D,19960312,000000,4.6232,4.6232,4.6232,4.6232,0,0
RONCAD,D,19960313,000000,4.5153,4.5153,4.5153,4.5153,0,0
RONCAD,D,19960314,000000,4.7906,4.7906,4.7906,4.7906,0,0
RONCAD,D,19960315,000000,4.7295,4.7295,4.7295,4.7295,0,0
RONCAD,D,19960318,000000,4.5918,4.5918,4.5918,4.5918,0,0
RONCAD,D,19960319,000000,4.6033,4.6033,4.6033,4.6033,0,0
RONCAD,D,19960320,000000,4.5016,4.5016,4.5016,4.5016,0,0
RONCAD,D,19960321,000000,4.5715,4.5715,4.5715,4.5715,0,0
RONCAD,D,19960322,000000,4.6056,4.6056,4.6056,4.6056,0,0
RONCAD,D,19960325,000000,4.6883,4.6883,4.6883,4.6883,0,0
RONCAD,D,19960326,000000,4.68,4.68,4.68,4.68,0,0
RONCAD,D,19960327,000000,4.6941,4.6941,4.6941,4.6941,0,0
RONCAD,D,19960328,000000,4.6944,4.6944,4.6944,4.6944,0,0
RONCAD,D,19960329,000000,4.6911,4.6911,4.6911,4.6911,0,0
RONCAD,D,19960401,000000,4.6688,4.6688,4.6688,4.6688,0,0
RONCAD,D,19960402,000000,4.6632,4.6632,4.6632,4.6632,0,0
RONCAD,D,19960403,000000,4.676,4.676,4.676,4.676,0,0
RONCAD,D,19960404,000000,4.6785,4.6785,4.6785,4.6785,0,0
RONCAD,D,19960405,000000,4.6757,4.6757,4.6757,4.6757,0,0
