<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONCLP,D,19951023,000000,1842.74,1842.74,1842.74,1842.74,0,0
RONCLP,D,19951024,000000,1827.15,1827.15,1827.15,1827.15,0,0
RONCLP,D,19951025,000000,1835.33,1835.33,1835.33,1835.33,0,0
RONCLP,D,19951026,000000,1854.59,1854.59,1854.59,1854.59,0,0
RONCLP,D,19951027,000000,1858.61,1858.61,1858.61,1858.61,0,0
RONCLP,D,19951030,000000,1855.8,1855.8,1855.8,1855.8,0,0
RONCLP,D,19951031,000000,1853.14,1853.14,1853.14,1853.14,0,0
RONCLP,D,19951102,000000,1832.15,1832.15,1832.15,1832.15,0,0
RONCLP,D,19951103,000000,1818.05,1818.05,1818.05,1818.05,0,0
RONCLP,D,19951106,000000,1810.79,1810.79,1810.79,1810.79,0,0
RONCLP,D,19951107,000000,1760.6,1760.6,1760.6,1760.6,0,0
RONCLP,D,19951108,000000,1769.11,1769.11,1769.11,1769.11,0,0
RONCLP,D,19951109,000000,1754.64,1754.64,1754.64,1754.64,0,0
RONCLP,D,19951110,000000,1741.76,1741.76,1741.76,1741.76,0,0
RONCLP,D,19951113,000000,1717.48,1717.48,1717.48,1717.48,0,0
RONCLP,D,19951114,000000,1704.62,1704.62,1704.62,1704.62,0,0
RONCLP,D,19951115,000000,1700.62,1700.62,1700.62,1700.62,0,0
RONCLP,D,19951116,000000,1651.1,1651.1,1651.1,1651.1,0,0
RONCLP,D,19951117,000000,1599.24,1599.24,1599.24,1599.24,0,0
RONCLP,D,19951120,000000,1608.81,1608.81,1608.81,1608.81,0,0
RONCLP,D,19951121,000000,1605.21,1605.21,1605.21,1605.21,0,0
RONCLP,D,19951122,000000,1610.23,1610.23,1610.23,1610.23,0,0
RONCLP,D,19951123,000000,1615.03,1615.03,1615.03,1615.03,0,0
RONCLP,D,19951124,000000,1630.78,1630.78,1630.78,1630.78,0,0
RONCLP,D,19951127,000000,1631.07,1631.07,1631.07,1631.07,0,0
RONCLP,D,19951128,000000,1605.12,1605.12,1605.12,1605.12,0,0
RONCLP,D,19951129,000000,1620.03,1620.03,1620.03,1620.03,0,0
RONCLP,D,19951130,000000,1631.13,1631.13,1631.13,1631.13,0,0
RONCLP,D,19951201,000000,1628.23,1628.23,1628.23,1628.23,0,0
RONCLP,D,19951204,000000,1602.98,1602.98,1602.98,1602.98,0,0
RONCLP,D,19951205,000000,1585.1,1585.1,1585.1,1585.1,0,0
RONCLP,D,19951206,000000,1593.31,1593.31,1593.31,1593.31,0,0
RONCLP,D,19951207,000000,1576.39,1576.39,1576.39,1576.39,0,0
RONCLP,D,19951208,000000,1579.54,1579.54,1579.54,1579.54,0,0
RONCLP,D,19951211,000000,1577.84,1577.84,1577.84,1577.84,0,0
RONCLP,D,19951212,000000,1589.84,1589.84,1589.84,1589.84,0,0
RONCLP,D,19951213,000000,1579.97,1579.97,1579.97,1579.97,0,0
RONCLP,D,19951214,000000,1580.05,1580.05,1580.05,1580.05,0,0
RONCLP,D,19951215,000000,1561.77,1561.77,1561.77,1561.77,0,0
RONCLP,D,19951218,000000,1556.71,1556.71,1556.71,1556.71,0,0
RONCLP,D,19951219,000000,1557.09,1557.09,1557.09,1557.09,0,0
RONCLP,D,19951220,000000,1557.08,1557.08,1557.08,1557.08,0,0
RONCLP,D,19951221,000000,1557.08,1557.08,1557.08,1557.08,0,0
RONCLP,D,19951222,000000,1557.08,1557.08,1557.08,1557.08,0,0
RONCLP,D,19951227,000000,1560.03,1560.03,1560.03,1560.03,0,0
RONCLP,D,19951228,000000,1563,1563,1563,1563,0,0
RONCLP,D,19951229,000000,1549.08,1549.08,1549.08,1549.08,0,0
RONCLP,D,19960102,000000,1548.55,1548.55,1548.55,1548.55,0,0
RONCLP,D,19960103,000000,1549.15,1549.15,1549.15,1549.15,0,0
RONCLP,D,19960104,000000,1550.61,1550.61,1550.61,1550.61,0,0
RONCLP,D,19960105,000000,1547.17,1547.17,1547.17,1547.17,0,0
RONCLP,D,19960108,000000,1547.32,1547.32,1547.32,1547.32,0,0
RONCLP,D,19960109,000000,1542.35,1542.35,1542.35,1542.35,0,0
RONCLP,D,19960110,000000,1531.96,1531.96,1531.96,1531.96,0,0
RONCLP,D,19960111,000000,1555.33,1555.33,1555.33,1555.33,0,0
RONCLP,D,19960112,000000,1539,1539,1539,1539,0,0
RONCLP,D,19960115,000000,1520.52,1520.52,1520.52,1520.52,0,0
RONCLP,D,19960116,000000,1512.18,1512.18,1512.18,1512.18,0,0
RONCLP,D,19960117,000000,1524.68,1524.68,1524.68,1524.68,0,0
RONCLP,D,19960118,000000,1515.84,1515.84,1515.84,1515.84,0,0
RONCLP,D,19960119,000000,1521.52,1521.52,1521.52,1521.52,0,0
RONCLP,D,19960122,000000,1528.06,1528.06,1528.06,1528.06,0,0
RONCLP,D,19960123,000000,1551.21,1551.21,1551.21,1551.21,0,0
RONCLP,D,19960124,000000,1493.78,1493.78,1493.78,1493.78,0,0
RONCLP,D,19960125,000000,1456.89,1456.89,1456.89,1456.89,0,0
RONCLP,D,19960126,000000,1452.53,1452.53,1452.53,1452.53,0,0
RONCLP,D,19960129,000000,1456.92,1456.92,1456.92,1456.92,0,0
RONCLP,D,19960130,000000,1488.67,1488.67,1488.67,1488.67,0,0
RONCLP,D,19960131,000000,1495.28,1495.28,1495.28,1495.28,0,0
RONCLP,D,19960201,000000,1490.95,1490.95,1490.95,1490.95,0,0
RONCLP,D,19960202,000000,1487.83,1487.83,1487.83,1487.83,0,0
RONCLP,D,19960205,000000,1476.41,1476.41,1476.41,1476.41,0,0
RONCLP,D,19960206,000000,1475.97,1475.97,1475.97,1475.97,0,0
RONCLP,D,19960207,000000,1477.16,1477.16,1477.16,1477.16,0,0
RONCLP,D,19960208,000000,1482.53,1482.53,1482.53,1482.53,0,0
RONCLP,D,19960209,000000,1446.64,1446.64,1446.64,1446.64,0,0
RONCLP,D,19960212,000000,1457.12,1457.12,1457.12,1457.12,0,0
RONCLP,D,19960213,000000,1424.79,1424.79,1424.79,1424.79,0,0
RONCLP,D,19960214,000000,1422.73,1422.73,1422.73,1422.73,0,0
RONCLP,D,19960215,000000,1413.91,1413.91,1413.91,1413.91,0,0
RONCLP,D,19960216,000000,1414.56,1414.56,1414.56,1414.56,0,0
RONCLP,D,19960219,000000,1394.97,1394.97,1394.97,1394.97,0,0
RONCLP,D,19960220,000000,1402.8,1402.8,1402.8,1402.8,0,0
RONCLP,D,19960221,000000,1419.86,1419.86,1419.86,1419.86,0,0
RONCLP,D,19960222,000000,1422.71,1422.71,1422.71,1422.71,0,0
RONCLP,D,19960223,000000,1430.16,1430.16,1430.16,1430.16,0,0
RONCLP,D,19960226,000000,1432.02,1432.02,1432.02,1432.02,0,0
RONCLP,D,19960227,000000,1431.29,1431.29,1431.29,1431.29,0,0
RONCLP,D,19960228,000000,1406.69,1406.69,1406.69,1406.69,0,0
RONCLP,D,19960229,000000,1442.72,1442.72,1442.72,1442.72,0,0
RONCLP,D,19960301,000000,1407.71,1407.71,1407.71,1407.71,0,0
RONCLP,D,19960304,000000,1420.67,1420.67,1420.67,1420.67,0,0
RONCLP,D,19960305,000000,1385.63,1385.63,1385.63,1385.63,0,0
RONCLP,D,19960306,000000,1412.81,1412.81,1412.81,1412.81,0,0
RONCLP,D,19960307,000000,1408.37,1408.37,1408.37,1408.37,0,0
RONCLP,D,19960308,000000,1374.61,1374.61,1374.61,1374.61,0,0
RONCLP,D,19960311,000000,1394.13,1394.13,1394.13,1394.13,0,0
RONCLP,D,19960312,000000,1394.13,1394.13,1394.13,1394.13,0,0
