<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONDKK,D,19951023,000000,24.385,24.385,24.385,24.385,0,0
RONDKK,D,19951024,000000,24.389,24.389,24.389,24.389,0,0
RONDKK,D,19951025,000000,24.294,24.294,24.294,24.294,0,0
RONDKK,D,19951026,000000,24.351,24.351,24.351,24.351,0,0
RONDKK,D,19951027,000000,24.148,24.148,24.148,24.148,0,0
RONDKK,D,19951030,000000,24.414,24.414,24.414,24.414,0,0
RONDKK,D,19951031,000000,24.45,24.45,24.45,24.45,0,0
RONDKK,D,19951102,000000,24.265,24.265,24.265,24.265,0,0
RONDKK,D,19951103,000000,23.993,23.993,23.993,23.993,0,0
RONDKK,D,19951106,000000,23.794,23.794,23.794,23.794,0,0
RONDKK,D,19951107,000000,23.37,23.37,23.37,23.37,0,0
RONDKK,D,19951108,000000,23.55,23.55,23.55,23.55,0,0
RONDKK,D,19951109,000000,23.517,23.517,23.517,23.517,0,0
RONDKK,D,19951110,000000,23.115,23.115,23.115,23.115,0,0
RONDKK,D,19951113,000000,22.984,22.984,22.984,22.984,0,0
RONDKK,D,19951114,000000,23.134,23.134,23.134,23.134,0,0
RONDKK,D,19951115,000000,22.857,22.857,22.857,22.857,0,0
RONDKK,D,19951116,000000,22.198,22.198,22.198,22.198,0,0
RONDKK,D,19951117,000000,21.316,21.316,21.316,21.316,0,0
RONDKK,D,19951120,000000,21.494,21.494,21.494,21.494,0,0
RONDKK,D,19951121,000000,21.426,21.426,21.426,21.426,0,0
RONDKK,D,19951122,000000,21.412,21.412,21.412,21.412,0,0
RONDKK,D,19951123,000000,21.452,21.452,21.452,21.452,0,0
RONDKK,D,19951124,000000,21.497,21.497,21.497,21.497,0,0
RONDKK,D,19951127,000000,21.77,21.77,21.77,21.77,0,0
RONDKK,D,19951128,000000,21.523,21.523,21.523,21.523,0,0
RONDKK,D,19951129,000000,21.863,21.863,21.863,21.863,0,0
RONDKK,D,19951130,000000,21.921,21.921,21.921,21.921,0,0
RONDKK,D,19951201,000000,22.095,22.095,22.095,22.095,0,0
RONDKK,D,19951204,000000,21.557,21.557,21.557,21.557,0,0
RONDKK,D,19951205,000000,21.413,21.413,21.413,21.413,0,0
RONDKK,D,19951206,000000,21.699,21.699,21.699,21.699,0,0
RONDKK,D,19951207,000000,21.348,21.348,21.348,21.348,0,0
RONDKK,D,19951208,000000,21.511,21.511,21.511,21.511,0,0
RONDKK,D,19951211,000000,21.432,21.432,21.432,21.432,0,0
RONDKK,D,19951212,000000,21.655,21.655,21.655,21.655,0,0
RONDKK,D,19951213,000000,21.639,21.639,21.639,21.639,0,0
RONDKK,D,19951214,000000,21.686,21.686,21.686,21.686,0,0
RONDKK,D,19951215,000000,21.445,21.445,21.445,21.445,0,0
RONDKK,D,19951218,000000,21.339,21.339,21.339,21.339,0,0
RONDKK,D,19951219,000000,21.304,21.304,21.304,21.304,0,0
RONDKK,D,19951220,000000,21.422,21.422,21.422,21.422,0,0
RONDKK,D,19951221,000000,21.402,21.402,21.402,21.402,0,0
RONDKK,D,19951222,000000,21.44,21.44,21.44,21.44,0,0
RONDKK,D,19951227,000000,21.306,21.306,21.306,21.306,0,0
RONDKK,D,19951228,000000,21.26,21.26,21.26,21.26,0,0
RONDKK,D,19951229,000000,21.099,21.099,21.099,21.099,0,0
RONDKK,D,19960102,000000,21.083,21.083,21.083,21.083,0,0
RONDKK,D,19960103,000000,21.2,21.2,21.2,21.2,0,0
RONDKK,D,19960104,000000,21.376,21.376,21.376,21.376,0,0
RONDKK,D,19960105,000000,21.179,21.179,21.179,21.179,0,0
RONDKK,D,19960108,000000,21.204,21.204,21.204,21.204,0,0
RONDKK,D,19960109,000000,21.196,21.196,21.196,21.196,0,0
RONDKK,D,19960110,000000,20.912,20.912,20.912,20.912,0,0
RONDKK,D,19960111,000000,21.19,21.19,21.19,21.19,0,0
RONDKK,D,19960112,000000,21.145,21.145,21.145,21.145,0,0
RONDKK,D,19960115,000000,20.884,20.884,20.884,20.884,0,0
RONDKK,D,19960116,000000,20.979,20.979,20.979,20.979,0,0
RONDKK,D,19960117,000000,21.24,21.24,21.24,21.24,0,0
RONDKK,D,19960118,000000,21.12,21.12,21.12,21.12,0,0
RONDKK,D,19960119,000000,21.249,21.249,21.249,21.249,0,0
RONDKK,D,19960122,000000,21.385,21.385,21.385,21.385,0,0
RONDKK,D,19960123,000000,21.606,21.606,21.606,21.606,0,0
RONDKK,D,19960124,000000,20.907,20.907,20.907,20.907,0,0
RONDKK,D,19960125,000000,20.263,20.263,20.263,20.263,0,0
RONDKK,D,19960126,000000,20.349,20.349,20.349,20.349,0,0
RONDKK,D,19960129,000000,20.358,20.358,20.358,20.358,0,0
RONDKK,D,19960130,000000,20.714,20.714,20.714,20.714,0,0
RONDKK,D,19960131,000000,20.877,20.877,20.877,20.877,0,0
RONDKK,D,19960201,000000,20.8,20.8,20.8,20.8,0,0
RONDKK,D,19960202,000000,20.841,20.841,20.841,20.841,0,0
RONDKK,D,19960205,000000,20.546,20.546,20.546,20.546,0,0
RONDKK,D,19960206,000000,20.492,20.492,20.492,20.492,0,0
RONDKK,D,19960207,000000,20.6,20.6,20.6,20.6,0,0
RONDKK,D,19960208,000000,20.627,20.627,20.627,20.627,0,0
RONDKK,D,19960209,000000,20.101,20.101,20.101,20.101,0,0
RONDKK,D,19960212,000000,20.301,20.301,20.301,20.301,0,0
RONDKK,D,19960213,000000,19.889,19.889,19.889,19.889,0,0
RONDKK,D,19960214,000000,19.738,19.738,19.738,19.738,0,0
RONDKK,D,19960215,000000,19.57,19.57,19.57,19.57,0,0
RONDKK,D,19960216,000000,19.541,19.541,19.541,19.541,0,0
RONDKK,D,19960219,000000,19.046,19.046,19.046,19.046,0,0
RONDKK,D,19960220,000000,19.175,19.175,19.175,19.175,0,0
RONDKK,D,19960221,000000,19.377,19.377,19.377,19.377,0,0
RONDKK,D,19960222,000000,19.376,19.376,19.376,19.376,0,0
RONDKK,D,19960223,000000,19.547,19.547,19.547,19.547,0,0
RONDKK,D,19960226,000000,19.419,19.419,19.419,19.419,0,0
RONDKK,D,19960227,000000,19.482,19.482,19.482,19.482,0,0
RONDKK,D,19960228,000000,19.213,19.213,19.213,19.213,0,0
RONDKK,D,19960229,000000,19.885,19.885,19.885,19.885,0,0
RONDKK,D,19960301,000000,19.503,19.503,19.503,19.503,0,0
RONDKK,D,19960304,000000,19.593,19.593,19.593,19.593,0,0
RONDKK,D,19960305,000000,19.258,19.258,19.258,19.258,0,0
RONDKK,D,19960306,000000,19.619,19.619,19.619,19.619,0,0
RONDKK,D,19960307,000000,19.645,19.645,19.645,19.645,0,0
RONDKK,D,19960308,000000,19.134,19.134,19.134,19.134,0,0
RONDKK,D,19960311,000000,19.418,19.418,19.418,19.418,0,0
RONDKK,D,19960312,000000,19.426,19.426,19.426,19.426,0,0
RONDKK,D,19960313,000000,18.777,18.777,18.777,18.777,0,0
RONDKK,D,19960314,000000,19.902,19.902,19.902,19.902,0,0
RONDKK,D,19960315,000000,19.668,19.668,19.668,19.668,0,0
RONDKK,D,19960318,000000,19.183,19.183,19.183,19.183,0,0
RONDKK,D,19960319,000000,19.364,19.364,19.364,19.364,0,0
RONDKK,D,19960320,000000,18.856,18.856,18.856,18.856,0,0
RONDKK,D,19960321,000000,19.22,19.22,19.22,19.22,0,0
RONDKK,D,19960322,000000,19.315,19.315,19.315,19.315,0,0
RONDKK,D,19960325,000000,19.657,19.657,19.657,19.657,0,0
RONDKK,D,19960326,000000,19.572,19.572,19.572,19.572,0,0
RONDKK,D,19960327,000000,19.782,19.782,19.782,19.782,0,0
RONDKK,D,19960328,000000,19.654,19.654,19.654,19.654,0,0
RONDKK,D,19960329,000000,19.61,19.61,19.61,19.61,0,0
RONDKK,D,19960401,000000,19.68,19.68,19.68,19.68,0,0
RONDKK,D,19960402,000000,19.664,19.664,19.664,19.664,0,0
RONDKK,D,19960403,000000,19.699,19.699,19.699,19.699,0,0
RONDKK,D,19960404,000000,19.727,19.727,19.727,19.727,0,0
RONDKK,D,19960405,000000,19.681,19.681,19.681,19.681,0,0
RONDKK,D,19960409,000000,19.783,19.783,19.783,19.783,0,0
RONDKK,D,19960410,000000,19.947,19.947,19.947,19.947,0,0
RONDKK,D,19960411,000000,19.96,19.96,19.96,19.96,0,0
RONDKK,D,19960412,000000,19.919,19.919,19.919,19.919,0,0
RONDKK,D,19960415,000000,20.039,20.039,20.039,20.039,0,0
RONDKK,D,19960416,000000,20,20,20,20,0,0
RONDKK,D,19960417,000000,19.987,19.987,19.987,19.987,0,0
RONDKK,D,19960418,000000,20.031,20.031,20.031,20.031,0,0
RONDKK,D,19960419,000000,19.885,19.885,19.885,19.885,0,0
RONDKK,D,19960422,000000,20.126,20.126,20.126,20.126,0,0
RONDKK,D,19960423,000000,20.15,20.15,20.15,20.15,0,0
RONDKK,D,19960424,000000,20.165,20.165,20.165,20.165,0,0
RONDKK,D,19960425,000000,20.214,20.214,20.214,20.214,0,0
RONDKK,D,19960426,000000,20.289,20.289,20.289,20.289,0,0
RONDKK,D,19960429,000000,20.122,20.122,20.122,20.122,0,0
RONDKK,D,19960430,000000,20.211,20.211,20.211,20.211,0,0
RONDKK,D,19960506,000000,20.158,20.158,20.158,20.158,0,0
RONDKK,D,19960507,000000,20.166,20.166,20.166,20.166,0,0
RONDKK,D,19960508,000000,20.148,20.148,20.148,20.148,0,0
RONDKK,D,19960509,000000,20.083,20.083,20.083,20.083,0,0
RONDKK,D,19960510,000000,20.066,20.066,20.066,20.066,0,0
RONDKK,D,19960513,000000,20.291,20.291,20.291,20.291,0,0
RONDKK,D,19960514,000000,20.259,20.259,20.259,20.259,0,0
RONDKK,D,19960515,000000,20.207,20.207,20.207,20.207,0,0
RONDKK,D,19960516,000000,20.23,20.23,20.23,20.23,0,0
RONDKK,D,19960517,000000,20.169,20.169,20.169,20.169,0,0
RONDKK,D,19960520,000000,20.196,20.196,20.196,20.196,0,0
RONDKK,D,19960521,000000,20.237,20.237,20.237,20.237,0,0
RONDKK,D,19960522,000000,20.216,20.216,20.216,20.216,0,0
RONDKK,D,19960523,000000,20.251,20.251,20.251,20.251,0,0
RONDKK,D,19960524,000000,20.241,20.241,20.241,20.241,0,0
RONDKK,D,19960527,000000,20.198,20.198,20.198,20.198,0,0
RONDKK,D,19960528,000000,20.269,20.269,20.269,20.269,0,0
RONDKK,D,19960529,000000,20.272,20.272,20.272,20.272,0,0
RONDKK,D,19960530,000000,19.993,19.993,19.993,19.993,0,0
RONDKK,D,19960531,000000,20.048,20.048,20.048,20.048,0,0
RONDKK,D,19960603,000000,19.93,19.93,19.93,19.93,0,0
RONDKK,D,19960604,000000,19.937,19.937,19.937,19.937,0,0
RONDKK,D,19960605,000000,19.941,19.941,19.941,19.941,0,0
RONDKK,D,19960607,000000,19.848,19.848,19.848,19.848,0,0
RONDKK,D,19960610,000000,19.946,19.946,19.946,19.946,0,0
RONDKK,D,19960611,000000,19.892,19.892,19.892,19.892,0,0
RONDKK,D,19960612,000000,19.857,19.857,19.857,19.857,0,0
RONDKK,D,19960613,000000,19.83,19.83,19.83,19.83,0,0
RONDKK,D,19960614,000000,19.632,19.632,19.632,19.632,0,0
RONDKK,D,19960617,000000,19.514,19.514,19.514,19.514,0,0
RONDKK,D,19960618,000000,19.412,19.412,19.412,19.412,0,0
RONDKK,D,19960619,000000,19.512,19.512,19.512,19.512,0,0
RONDKK,D,19960620,000000,19.551,19.551,19.551,19.551,0,0
RONDKK,D,19960621,000000,19.586,19.586,19.586,19.586,0,0
RONDKK,D,19960624,000000,19.626,19.626,19.626,19.626,0,0
RONDKK,D,19960625,000000,19.592,19.592,19.592,19.592,0,0
RONDKK,D,19960626,000000,19.51,19.51,19.51,19.51,0,0
RONDKK,D,19960627,000000,19.434,19.434,19.434,19.434,0,0
RONDKK,D,19960628,000000,19.368,19.368,19.368,19.368,0,0
RONDKK,D,19960701,000000,19.382,19.382,19.382,19.382,0,0
RONDKK,D,19960702,000000,19.427,19.427,19.427,19.427,0,0
RONDKK,D,19960703,000000,19.42,19.42,19.42,19.42,0,0
RONDKK,D,19960704,000000,19.244,19.244,19.244,19.244,0,0
RONDKK,D,19960705,000000,19.306,19.306,19.306,19.306,0,0
RONDKK,D,19960708,000000,19.339,19.339,19.339,19.339,0,0
RONDKK,D,19960709,000000,19.276,19.276,19.276,19.276,0,0
RONDKK,D,19960710,000000,19.28,19.28,19.28,19.28,0,0
RONDKK,D,19960711,000000,19.275,19.275,19.275,19.275,0,0
RONDKK,D,19960712,000000,19.183,19.183,19.183,19.183,0,0
RONDKK,D,19960715,000000,19.255,19.255,19.255,19.255,0,0
RONDKK,D,19960716,000000,18.979,18.979,18.979,18.979,0,0
RONDKK,D,19960717,000000,18.705,18.705,18.705,18.705,0,0
RONDKK,D,19960718,000000,18.816,18.816,18.816,18.816,0,0
RONDKK,D,19960719,000000,18.744,18.744,18.744,18.744,0,0
RONDKK,D,19960722,000000,18.693,18.693,18.693,18.693,0,0
RONDKK,D,19960723,000000,18.518,18.518,18.518,18.518,0,0
RONDKK,D,19960724,000000,18.536,18.536,18.536,18.536,0,0
RONDKK,D,19960725,000000,18.373,18.373,18.373,18.373,0,0
RONDKK,D,19960726,000000,18.337,18.337,18.337,18.337,0,0
RONDKK,D,19960729,000000,18.297,18.297,18.297,18.297,0,0
RONDKK,D,19960730,000000,18.237,18.237,18.237,18.237,0,0
RONDKK,D,19960731,000000,18.137,18.137,18.137,18.137,0,0
RONDKK,D,19960801,000000,18.211,18.211,18.211,18.211,0,0
RONDKK,D,19960802,000000,18.288,18.288,18.288,18.288,0,0
RONDKK,D,19960805,000000,18.24,18.24,18.24,18.24,0,0
RONDKK,D,19960806,000000,18.388,18.388,18.388,18.388,0,0
RONDKK,D,19960807,000000,18.339,18.339,18.339,18.339,0,0
RONDKK,D,19960808,000000,18.379,18.379,18.379,18.379,0,0
RONDKK,D,19960809,000000,18.295,18.295,18.295,18.295,0,0
RONDKK,D,19960812,000000,18.246,18.246,18.246,18.246,0,0
RONDKK,D,19960813,000000,18.269,18.269,18.269,18.269,0,0
RONDKK,D,19960814,000000,18.305,18.305,18.305,18.305,0,0
RONDKK,D,19960816,000000,18.309,18.309,18.309,18.309,0,0
RONDKK,D,19960819,000000,18.279,18.279,18.279,18.279,0,0
RONDKK,D,19960820,000000,18.278,18.278,18.278,18.278,0,0
RONDKK,D,19960821,000000,18.202,18.202,18.202,18.202,0,0
RONDKK,D,19960822,000000,18.301,18.301,18.301,18.301,0,0
RONDKK,D,19960823,000000,18.218,18.218,18.218,18.218,0,0
RONDKK,D,19960826,000000,18.072,18.072,18.072,18.072,0,0
RONDKK,D,19960827,000000,18.08,18.08,18.08,18.08,0,0
RONDKK,D,19960828,000000,18.088,18.088,18.088,18.088,0,0
