<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONHRK,D,19951023,000000,23.711,23.711,23.711,23.711,0,0
RONHRK,D,19951024,000000,23.684,23.684,23.684,23.684,0,0
RONHRK,D,19951025,000000,22.983,22.983,22.983,22.983,0,0
RONHRK,D,19951026,000000,23.054,23.054,23.054,23.054,0,0
RONHRK,D,19951027,000000,23.054,23.054,23.054,23.054,0,0
RONHRK,D,19951030,000000,23.018,23.018,23.018,23.018,0,0
RONHRK,D,19951031,000000,23.018,23.018,23.018,23.018,0,0
RONHRK,D,19951102,000000,22.991,22.991,22.991,22.991,0,0
RONHRK,D,19951103,000000,22.849,22.849,22.849,22.849,0,0
RONHRK,D,19951106,000000,22.834,22.834,22.834,22.834,0,0
RONHRK,D,19951107,000000,22.264,22.264,22.264,22.264,0,0
RONHRK,D,19951108,000000,22.431,22.431,22.431,22.431,0,0
RONHRK,D,19951109,000000,22.402,22.402,22.402,22.402,0,0
RONHRK,D,19951110,000000,22.19,22.19,22.19,22.19,0,0
RONHRK,D,19951113,000000,22.143,22.143,22.143,22.143,0,0
RONHRK,D,19951114,000000,22.129,22.129,22.129,22.129,0,0
RONHRK,D,19951115,000000,22.096,22.096,22.096,22.096,0,0
RONHRK,D,19951116,000000,21.421,21.421,21.421,21.421,0,0
RONHRK,D,19951117,000000,20.623,20.623,20.623,20.623,0,0
RONHRK,D,19951120,000000,20.623,20.623,20.623,20.623,0,0
RONHRK,D,19951121,000000,20.623,20.623,20.623,20.623,0,0
RONHRK,D,19951122,000000,20.623,20.623,20.623,20.623,0,0
RONHRK,D,19951123,000000,20.623,20.623,20.623,20.623,0,0
RONHRK,D,19951124,000000,20.623,20.623,20.623,20.623,0,0
RONHRK,D,19951127,000000,20.684,20.684,20.684,20.684,0,0
RONHRK,D,19951128,000000,20.402,20.402,20.402,20.402,0,0
RONHRK,D,19951129,000000,20.682,20.682,20.682,20.682,0,0
RONHRK,D,19951130,000000,20.873,20.873,20.873,20.873,0,0
RONHRK,D,19951201,000000,20.873,20.873,20.873,20.873,0,0
RONHRK,D,19951204,000000,20.767,20.767,20.767,20.767,0,0
RONHRK,D,19951205,000000,20.463,20.463,20.463,20.463,0,0
RONHRK,D,19951206,000000,20.663,20.663,20.663,20.663,0,0
RONHRK,D,19951207,000000,20.33,20.33,20.33,20.33,0,0
RONHRK,D,19951208,000000,20.385,20.385,20.385,20.385,0,0
RONHRK,D,19951211,000000,20.517,20.517,20.517,20.517,0,0
RONHRK,D,19951212,000000,20.676,20.676,20.676,20.676,0,0
RONHRK,D,19951213,000000,20.577,20.577,20.577,20.577,0,0
RONHRK,D,19951214,000000,20.656,20.656,20.656,20.656,0,0
RONHRK,D,19951215,000000,20.555,20.555,20.555,20.555,0,0
RONHRK,D,19951218,000000,20.555,20.555,20.555,20.555,0,0
RONHRK,D,19951219,000000,20.555,20.555,20.555,20.555,0,0
RONHRK,D,19951220,000000,20.555,20.555,20.555,20.555,0,0
RONHRK,D,19951221,000000,20.555,20.555,20.555,20.555,0,0
