<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONMXN,D,19951023,000000,30.081,30.081,30.081,30.081,0,0
RONMXN,D,19951024,000000,30.435,30.435,30.435,30.435,0,0
RONMXN,D,19951025,000000,30.353,30.353,30.353,30.353,0,0
RONMXN,D,19951026,000000,31.065,31.065,31.065,31.065,0,0
RONMXN,D,19951027,000000,31.759,31.759,31.759,31.759,0,0
RONMXN,D,19951030,000000,30.826,30.826,30.826,30.826,0,0
RONMXN,D,19951031,000000,31.844,31.844,31.844,31.844,0,0
RONMXN,D,19951102,000000,32.229,32.229,32.229,32.229,0,0
RONMXN,D,19951103,000000,33.28,33.28,33.28,33.28,0,0
RONMXN,D,19951106,000000,31.91,31.91,31.91,31.91,0,0
RONMXN,D,19951107,000000,31.941,31.941,31.941,31.941,0,0
RONMXN,D,19951108,000000,33.786,33.786,33.786,33.786,0,0
RONMXN,D,19951109,000000,34.416,34.416,34.416,34.416,0,0
RONMXN,D,19951110,000000,32.278,32.278,32.278,32.278,0,0
RONMXN,D,19951113,000000,32.211,32.211,32.211,32.211,0,0
RONMXN,D,19951114,000000,33.52,33.52,33.52,33.52,0,0
RONMXN,D,19951115,000000,33.189,33.189,33.189,33.189,0,0
RONMXN,D,19951116,000000,31.646,31.646,31.646,31.646,0,0
RONMXN,D,19951117,000000,30.428,30.428,30.428,30.428,0,0
RONMXN,D,19951120,000000,30.192,30.192,30.192,30.192,0,0
RONMXN,D,19951121,000000,30.157,30.157,30.157,30.157,0,0
RONMXN,D,19951122,000000,30.334,30.334,30.334,30.334,0,0
RONMXN,D,19951123,000000,29.91,29.91,29.91,29.91,0,0
RONMXN,D,19951124,000000,30.095,30.095,30.095,30.095,0,0
RONMXN,D,19951127,000000,30.14,30.14,30.14,30.14,0,0
RONMXN,D,19951128,000000,29.694,29.694,29.694,29.694,0,0
RONMXN,D,19951129,000000,29.328,29.328,29.328,29.328,0,0
RONMXN,D,19951130,000000,29.646,29.646,29.646,29.646,0,0
RONMXN,D,19951201,000000,29.858,29.858,29.858,29.858,0,0
RONMXN,D,19951204,000000,29.434,29.434,29.434,29.434,0,0
RONMXN,D,19951205,000000,29.51,29.51,29.51,29.51,0,0
RONMXN,D,19951206,000000,29.813,29.813,29.813,29.813,0,0
RONMXN,D,19951207,000000,29.517,29.517,29.517,29.517,0,0
RONMXN,D,19951208,000000,29.801,29.801,29.801,29.801,0,0
RONMXN,D,19951211,000000,29.76,29.76,29.76,29.76,0,0
RONMXN,D,19951212,000000,29.936,29.936,29.936,29.936,0,0
RONMXN,D,19951213,000000,29.954,29.954,29.954,29.954,0,0
RONMXN,D,19951214,000000,30.147,30.147,30.147,30.147,0,0
RONMXN,D,19951215,000000,29.767,29.767,29.767,29.767,0,0
RONMXN,D,19951218,000000,29.716,29.716,29.716,29.716,0,0
RONMXN,D,19951219,000000,29.387,29.387,29.387,29.387,0,0
RONMXN,D,19951220,000000,28.874,28.874,28.874,28.874,0,0
RONMXN,D,19951221,000000,29.046,29.046,29.046,29.046,0,0
RONMXN,D,19951222,000000,28.954,28.954,28.954,28.954,0,0
RONMXN,D,19951227,000000,29.23,29.23,29.23,29.23,0,0
RONMXN,D,19951228,000000,29.406,29.406,29.406,29.406,0,0
RONMXN,D,19951229,000000,29.399,29.399,29.399,29.399,0,0
RONMXN,D,19960102,000000,29.273,29.273,29.273,29.273,0,0
RONMXN,D,19960103,000000,28.748,28.748,28.748,28.748,0,0
