<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONTRY,D,19951023,000000,0.22578,0.22578,0.22578,0.22578,0,0
RONTRY,D,19951024,000000,0.22687,0.22687,0.22687,0.22687,0,0
RONTRY,D,19951025,000000,0.22506,0.22506,0.22506,0.22506,0,0
RONTRY,D,19951026,000000,0.2255,0.2255,0.2255,0.2255,0,0
RONTRY,D,19951027,000000,0.22729,0.22729,0.22729,0.22729,0,0
RONTRY,D,19951030,000000,0.22768,0.22768,0.22768,0.22768,0,0
RONTRY,D,19951031,000000,0.22723,0.22723,0.22723,0.22723,0,0
RONTRY,D,19951102,000000,0.22599,0.22599,0.22599,0.22599,0,0
RONTRY,D,19951103,000000,0.22459,0.22459,0.22459,0.22459,0,0
RONTRY,D,19951106,000000,0.22401,0.22401,0.22401,0.22401,0,0
RONTRY,D,19951107,000000,0.21981,0.21981,0.21981,0.21981,0,0
RONTRY,D,19951108,000000,0.22189,0.22189,0.22189,0.22189,0,0
RONTRY,D,19951109,000000,0.22066,0.22066,0.22066,0.22066,0,0
RONTRY,D,19951110,000000,0.21814,0.21814,0.21814,0.21814,0,0
RONTRY,D,19951113,000000,0.21853,0.21853,0.21853,0.21853,0,0
RONTRY,D,19951114,000000,0.21965,0.21965,0.21965,0.21965,0,0
RONTRY,D,19951115,000000,0.21933,0.21933,0.21933,0.21933,0,0
RONTRY,D,19951116,000000,0.21344,0.21344,0.21344,0.21344,0,0
RONTRY,D,19951117,000000,0.20549,0.20549,0.20549,0.20549,0,0
RONTRY,D,19951120,000000,0.20745,0.20745,0.20745,0.20745,0,0
RONTRY,D,19951121,000000,0.20745,0.20745,0.20745,0.20745,0,0
RONTRY,D,19951122,000000,0.20784,0.20784,0.20784,0.20784,0,0
RONTRY,D,19951123,000000,0.20784,0.20784,0.20784,0.20784,0,0
RONTRY,D,19951124,000000,0.21059,0.21059,0.21059,0.21059,0,0
RONTRY,D,19951127,000000,0.21239,0.21239,0.21239,0.21239,0,0
RONTRY,D,19951128,000000,0.21047,0.21047,0.21047,0.21047,0,0
RONTRY,D,19951129,000000,0.21375,0.21375,0.21375,0.21375,0,0
RONTRY,D,19951130,000000,0.21457,0.21457,0.21457,0.21457,0,0
RONTRY,D,19951201,000000,0.21614,0.21614,0.21614,0.21614,0,0
RONTRY,D,19951204,000000,0.2124,0.2124,0.2124,0.2124,0,0
RONTRY,D,19951205,000000,0.21195,0.21195,0.21195,0.21195,0,0
RONTRY,D,19951206,000000,0.21479,0.21479,0.21479,0.21479,0,0
RONTRY,D,19951207,000000,0.2121,0.2121,0.2121,0.2121,0,0
RONTRY,D,19951208,000000,0.21267,0.21267,0.21267,0.21267,0,0
RONTRY,D,19951211,000000,0.21361,0.21361,0.21361,0.21361,0,0
